,https://roic.ai/company/KULR,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,1892433,-16609,- -,-46087,-2737235
90,Debt Repayment,- -,- -,- -,- -,- -,-759000,- -
91,Common Stock Issued,- -,244380,- -,679000,898300,9501697,6500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,30858,169000,2804926,9026070
95,Cash Used/Provided by Financing Activities,- -,244380,- -,709858,1067300,11547623,15526070
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,244380,886674,-665865,-121039,8771283,5983161
98,Cash at the End of Period,- -,213181,895761,229896,108857,8880140,14863301
99,Cash at the Beginning of Period,- -,- -,9087,895761,229896,108857,8880140
100,Free Cash Flow,- -,-31199,-1057587,-1375723,-1188339,-2776340,-8959624
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1662684/000114420417017396/0001144204-17-017396-index.html,https://www.sec.gov/Archives/edgar/data/1662684/000114420418020894/0001144204-18-020894-index.htm,https://www.sec.gov/Archives/edgar/data/1662684/000114420419017012/0001144204-19-017012-index.html,https://www.sec.gov/Archives/edgar/data/1662684/000110465920061643/0001104659-20-061643-index.htm,https://www.sec.gov/Archives/edgar/data/1662684/000110465921038941/0001104659-21-038941-index.htm,https://www.sec.gov/Archives/edgar/data/1662684/000141057822000548/0001410578-22-000548-index.htm
102,false,,,,,,,
