,https://roic.ai/company/NGL-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,71493300,71493300,- -,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300
28,Weighted Average Shares Outstanding Diluted,71493300,71493300,- -,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300,71493300
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1504461/000150446120000022/0001504461-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1504461/000150446121000025/0001504461-21-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20967000,24238000,16337000,7832000,11561000,10440000,41303000,28176000,12264000,26207000,18572000,22704000,4829000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20967000,24238000,16337000,7832000,11561000,10440000,41303000,28176000,12264000,26207000,18572000,22704000,4829000
34,Net Receivables,26817000,37308000,43677000,86286000,585772000,908349000,1041424000,536639000,807318000,1077460000,1175786000,579768000,735378000
35,Inventory,15290000,7283000,12697000,94504000,126895000,310160000,441762000,367806000,561432000,564553000,463143000,69634000,158467000
36,Other Current Assets,1976000,3956000,4110000,10002000,37891000,80350000,120855000,95859000,103193000,131538000,155172000,101981000,109164000
37,Total Current Assets,65050000,72785000,76821000,198624000,762119000,1309299000,1645344000,1028480000,1484207000,1799758000,1812673000,774087000,1007838000
38,PP&E,27795000,28685000,62053000,255403000,516937000,829346000,1617389000,1649572000,1790273000,1719947000,1844493000,- -,2858999000
39,Goodwill,3755000,4457000,12608000,148785000,563146000,1107006000,1402761000,1315362000,1451716000,1312558000,1145861000,993587000,744439000
40,Intangible Assets,6773000,5628000,12351000,143559000,442603000,714956000,1288343000,1148890000,1163956000,1054482000,938335000,1612480000,1262613000
41,Intangible Assets,10528000,10085000,24959000,292344000,1005749000,1821962000,2691104000,2464252000,2615672000,2367040000,2084196000,2606067000,2007052000
42,Investments,- -,- -,- -,- -,- -,189821000,472673000,219550000,187423000,17236000,1127000,23182000,22719000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,61000,25000,- -,2766000,6542000,16795000,120991000,198301000,242804000,247141000,160004000,3095400000,50733000
45,Total Non-Current Assets,38384000,38795000,87012000,550513000,1529228000,2857924000,4902157000,4531675000,4836172000,4351364000,4089820000,5724649000,4939503000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,103434000,111580000,163833000,749137000,2291347000,4167223000,6547501000,5560155000,6320379000,6151122000,5902493000,6498736000,5947341000
48,Accounts Payable,31011000,35373000,37244000,81369000,542587000,817057000,859174000,427499000,665939000,861883000,993134000,532766000,679987000
49,Short-Term Debt,- -,- -,830000,19484000,- -,- -,- -,- -,- -,- -,- -,4683000,49253000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10970000
51,Deferred Revenue,- -,- -,7714000,20293000,22372000,29965000,54234000,56185000,35944000,21216000,8921000,19536000,11163000
52,Other Current Liabilities,14230000,12731000,4756000,23273000,94329000,148770000,199588000,222333000,236715000,233283000,249098000,288838000,170400000
53,Total Current Liabilities,45241000,48104000,50544000,144419000,659288000,995792000,1112996000,706017000,938598000,1116382000,1251153000,845823000,910803000
54,Long-Term Debt,8577000,8348000,65541000,199177000,740436000,1629834000,2745299000,2912837000,2963483000,2682628000,2160133000,3144848000,3422667000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3257000,5222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3668000,3503000,395000,212000,2205000,9744000,16086000,247236000,187606000,183441000,63575000,235092000,114615000
58,Total Non-Current Liabilities,15502000,17073000,65936000,199389000,742641000,1639578000,2761385000,3160073000,3151089000,2866069000,2223708000,3379940000,3537282000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177789000,150707000
61,Total Liabilities,60743000,65177000,116480000,343808000,1401929000,2635370000,3874381000,3866090000,4089687000,3982451000,3474861000,4225763000,4448085000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,196000,196000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,6355000,9859000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-5600000,-7652000,56000,31000,-50127000,-109564000,-202959000,-266491000,-375594000,-443066000,-420362000,-529068000,-266000
66,Other Total Stockholders Equity,41573000,43775000,- -,- -,939545000,1641417000,2876079000,1960556000,2606286000,2611737000,2847994000,- -,- -
67,Total Stockholders Equity,42524000,46178000,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,103267000,111355000,116536000,343808000,2291347000,4167223000,6547501000,5560155000,6320379000,6151122000,5902493000,4225763000,5947341000
69,Minority Interest,167000,225000,47297000,405329000,- -,- -,- -,- -,- -,- -,- -,2272973000,- -
70,Total Liabilities & Equity,103434000,111580000,163833000,749137000,2291347000,4167223000,6547501000,5560155000,6320379000,6151122000,5902493000,6498736000,5947341000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1504461/000150446120000022/0001504461-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1504461/000150446121000025/0001504461-21-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,4949000,8043000,- -,7876000,47940000,47655000,16661000,-198929000,137042000,-70875000,360047000,-397007000,-639819000
74,Depreciation and Amortization,3290000,3752000,- -,17188000,77513000,132653000,210475000,249211000,237795000,269430000,227694000,276848000,331200000
75,Deferred Income Tax,3169000,2190000,- -,324000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,97000,- -,- -,- -,8670000,14054000,32767000,51565000,53102000,35241000,41367000,26510000,6727000
77,Change in Working Capital,5861000,1596000,- -,27928000,48626000,210676000,218841000,-209885000,223146000,137767000,-121856000,-633256000,168771000
78,Accounts Receivable,15141000,-10613000,- -,-20179000,2430000,39390000,41662000,505540000,-269425000,-296851000,-144209000,436349000,-162031000
79,Inventory,-188000,8040000,- -,30268000,18433000,-73321000,243292000,74686000,-192190000,-7708000,52870000,29779000,-92731000
80,Accounts Payable,-11852000,4347000,- -,35747000,-17281000,-78791000,-53086000,-439709000,239047000,195542000,101699000,-375257000,207505000
81,Other Working Capital,24681000,26277000,- -,54205000,102831000,313507000,532348000,322463000,545609000,683376000,561520000,-71736000,97035000
82,Other Non-Cash Items,5093000,-8101000,- -,37013000,-50518000,-319802000,-216350000,459533000,-677909000,-233921000,-170002000,1190960000,437115000
83,Cash Provided by Operating Activities,22459000,7480000,- -,90329000,132231000,85236000,262394000,351495000,-26824000,137642000,337250000,464055000,303994000
84,CAPEX,-577000,-582000,- -,-7544000,- -,- -,-24218000,- -,-363871000,-156214000,-455613000,-555713000,-186801000
85,Acquisitions Net,-3532000,-3113000,- -,-297401000,-490402000,-1280325000,-1304450000,97052000,9433000,467189000,18484000,-1289692000,-62000
86,Purchases of Investments,- -,- -,- -,- -,- -,-35956000,- -,- -,-37442000,-100654000,- -,- -,-80372000
87,Sales/Maturities of Investments,- -,- -,- -,6464000,11579000,- -,199165000,105662000,- -,- -,- -,- -,- -
88,Other Investing Activites,828000,862000,- -,1584000,-67395000,-139092000,-236718000,-648041000,-335117000,-95953000,434989000,-149064000,-141059000
89,Cash Used for Investing Activites,-3281000,-2833000,- -,-296897000,-546218000,-1455373000,-1366221000,-445327000,-363126000,270582000,453473000,-1438756000,-221493000
90,Debt Repayment,-192108000,-80802000,- -,-331178000,-969312000,-2109819000,-3286688000,-2181508000,-2804479000,-2770912000,-4634711000,-3776107000,-3403948000
91,Common Stock Issued,- -,- -,- -,74759000,- -,650155000,541128000,- -,287136000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3418000,-642000,- -,- -,-21509000,- -,-15817000,-297000,-266772000,-182000
93,Dividends Paid,-189000,-132000,- -,-19060000,-71682000,-145930000,-242595000,-322007000,-181581000,-225067000,-236633000,-244400000,-142128000
94,Other Financing Activites,185180000,80100000,- -,476960000,1459352000,2974610000,4122845000,2605729000,3072962000,2617515000,4077396000,5266112000,3445882000
95,Cash Used/Provided by Financing Activities,-7117000,-834000,- -,198063000,417716000,1369016000,1134690000,80705000,374038000,-394281000,-794245000,978833000,-100376000
96,Effect of Forex Changes on Cash,373000,-542000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12434000,3271000,- -,-8505000,3729000,-1121000,30863000,-13127000,-15912000,13943000,-3522000,4132000,-17875000
98,Cash at the End of Period,20967000,24238000,- -,7832000,11561000,10440000,41303000,28176000,12264000,26207000,18572000,22704000,4829000
99,Cash at the Beginning of Period,8533000,20967000,- -,16337000,7832000,11561000,10440000,41303000,28176000,12264000,22094000,18572000,22704000
100,Free Cash Flow,21882000,6898000,- -,82785000,132231000,85236000,238176000,351495000,-390695000,-18572000,-118363000,-91658000,117193000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1504461/000150446120000022/0001504461-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1504461/000150446121000025/0001504461-21-000025-index.htm
102,false,,,,,,,,,,,,,
