,https://roic.ai/company/EH,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,609633000,609633000,5494000,45480000,45480000
58,Total Non-Current Liabilities,610225000,610145000,38460000,48802000,64941000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,643175000,666988000,134058000,206849000,201388000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,35000,35000,72000,72000,75000
64,Retained Earnings,-564623000,-644076000,-720419000,-808038000,-1122153000
65,Other Comprehensive Income/Loss,7271000,9334000,11230000,2985000,-4695000
66,Other Total Stockholders Equity,66860000,89160000,1020691000,1081299000,1459374000
67,Total Stockholders Equity,-490457000,-545547000,311574000,276318000,332601000
68,Total Liabilities And Stockholders Equity,152718000,121441000,445632000,483167000,533989000
69,Minority Interest,580000,3230000,3781000,1382000,1445000
70,Total Liabilities & Equity,153298000,124671000,449413000,484549000,535434000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-87433000,-79113000,-48545000,-87619000,- -
74,Depreciation and Amortization,4441000,5601000,5673000,6192000,- -
75,Deferred Income Tax,292000,-135000,-49000,184000,- -
76,Stock Based Compensation,32164000,22300000,14747000,54857000,- -
77,Change in Working Capital,14091000,735000,-28616000,-134493000,- -
78,Accounts Receivable,2193000,3442000,-39035000,-134678000,- -
79,Inventory,25595000,-2519000,-12305000,-29269000,- -
80,Accounts Payable,-18386000,917000,10358000,26611000,- -
81,Other Working Capital,6188000,4619000,4533000,1200000,- -
82,Other Non-Cash Items,-1987000,7202000,1272000,9183000,- -
83,Cash Provided by Operating Activities,-38432000,-43410000,-55518000,-151696000,- -
84,CAPEX,-11810000,-4949000,-3739000,-9079000,- -
85,Acquisitions Net,-258000,- -,- -,-54000,- -
86,Purchases of Investments,-47000000,-118810000,-113404000,-115364000,- -
87,Sales/Maturities of Investments,8000000,149510000,105730000,71996000,- -
88,Other Investing Activites,- -,-19000,-574000,-14045000,- -
89,Cash Used for Investing Activites,-51068000,25751000,-10988000,-66209000,- -
90,Debt Repayment,- -,-3000000,-10000000,-7000000,- -
91,Common Stock Issued,- -,- -,252861000,7313000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,34300000,19000000,82441000,42367000,- -
95,Cash Used/Provided by Financing Activities,34300000,16000000,325302000,42680000,- -
96,Effect of Forex Changes on Cash,7677000,1723000,1347000,-6264000,- -
97,Net Change In Cash,-47523000,64000,260143000,-181489000,- -
98,Cash at the End of Period,61455000,61519000,321662000,140173000,- -
99,Cash at the Beginning of Period,108978000,61455000,61519000,321662000,- -
100,Free Cash Flow,-50242000,-48359000,-59257000,-160775000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
