,https://roic.ai/company/CALT,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,-470000,-1652000,-3972000,-5575000
91,Common Stock Issued,55124000,24724000,64751000,768649000,210317000,891388000,324000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,62000,30000000,36473000,-51607000,-9830000,-118858000,116737000
95,Cash Used/Provided by Financing Activities,55186000,54724000,101224000,716572000,198835000,768558000,435162000
96,Effect of Forex Changes on Cash,-19000,44000,-56000,442000,-2387000,-44006000,9969000
97,Net Change In Cash,5965000,-921000,33111000,588823000,97365000,242764000,-40797000
98,Cash at the End of Period,25162000,24241000,57352000,646175000,753540000,996304000,955507000
99,Cash at the Beginning of Period,19197000,25162000,24241000,57352000,656175000,753540000,996304000
100,Free Cash Flow,-48912000,-55689000,-68007000,-128191000,-87195000,-309181000,-461588000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1184,0.1098,0.1219,0.1129,0.1068,0.1213,0.1106
