,https://roic.ai/company/DNB,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,419000000,463000000,248300000,323900000
53,Total Current Liabilities,- -,1001400000,1089800000,825300000,1004900000
54,Long-Term Debt,- -,1119600000,3818900000,3255800000,3716700000
55,Deferred Revenue,- -,7300000,7800000,16300000,- -
56,Deferred Tax Liabilities,- -,4600000,1233500000,1105000000,1207200000
57,Other Non-Current Liabilities,- -,377900000,353300000,439300000,323100000
58,Total Non-Current Liabilities,- -,1509400000,5413500000,4816400000,5247000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,93600000,91700000,- -
61,Total Liabilities,- -,2510800000,6503300000,5641700000,6251900000
62,Preferred Stock,- -,- -,1031800000,- -,- -
63,Common Stock,- -,800000,- -,- -,- -
64,Retained Earnings,- -,3325000000,-573500000,-685000000,-761800000
65,Other Comprehensive Income/Loss,- -,-1054100000,-23500000,-106000000,-57100000
66,Other Total Stockholders Equity,- -,-2977500000,3207000000,4368700000,- -
67,Total Stockholders Equity,- -,-705800000,2551700000,3519200000,3681200000
68,Total Liabilities And Stockholders Equity,- -,1805000000,9055000000,9160900000,9933100000
69,Minority Interest,- -,15900000,57800000,58500000,64100000
70,Total Liabilities & Equity,- -,1820900000,9112800000,9219400000,9997200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1799208/000179920821000013/0001799208-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1799208/000179920822000011/0001799208-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,140900000,288100000,-560000000,-111500000,-71700000
74,Depreciation and Amortization,79700000,88700000,482400000,536900000,615900000
75,Deferred Income Tax,81700000,21400000,-147600000,-231200000,-72300000
76,Stock Based Compensation,20500000,10800000,68000000,45100000,33300000
77,Change in Working Capital,-97000000,-618300000,-81800000,720600000,-79300000
78,Accounts Receivable,-34200000,9500000,-15200000,-42300000,-13700000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-11700000,-12600000,-19600000,5000000,-100000
81,Other Working Capital,28200000,-590100000,-671900000,48700000,16500000
82,Other Non-Cash Items,60700000,534700000,176000000,-764300000,77800000
83,Cash Provided by Operating Activities,286500000,325400000,-63000000,195600000,503700000
84,CAPEX,-62100000,-58200000,-68900000,-121400000,-257000000
85,Acquisitions Net,-151800000,- -,-6078000000,-20600000,-844800000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-54800000,-65300000,-76600000,-113700000,-157300000
89,Cash Used for Investing Activites,-206600000,-65300000,-6154600000,-134300000,-1078700000
90,Debt Repayment,-1270300000,-1638200000,-853400000,-1069200000,-632200000
91,Common Stock Issued,- -,- -,2148400000,2248200000,- -
92,Common Stock Repurchased,- -,- -,- -,-1067900000,- -
93,Dividends Paid,-74200000,-58100000,-96100000,-64100000,- -
94,Other Financing Activites,1325700000,1086600000,5122900000,142300000,1032300000
95,Cash Used/Provided by Financing Activities,-18800000,-609700000,6321800000,189300000,400100000
96,Effect of Forex Changes on Cash,28700000,-2600000,-5600000,5300000,-300000
97,Net Change In Cash,89800000,-352200000,- -,255900000,-175200000
98,Cash at the End of Period,442400000,90200000,98600000,354500000,177100000
99,Cash at the Beginning of Period,352600000,442400000,- -,98600000,352300000
100,Free Cash Flow,224400000,267200000,-131900000,74200000,246700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1799208/000179920821000013/0001799208-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1799208/000179920822000011/0001799208-22-000011-index.htm
102,false,,,,,
