,https://roic.ai/company/VICR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,4200000,3500000,6200000,4100000,3100000,5700000,8000000,7600000,8400000,10100000,27200000,8600000,13691000,11437000,14058000,15209000,13447000,14021000,61430000,9992000,11205000,8677000,10012000,10603000,9969000,10960000,13786000,11143000,11236000,13180000,14780000,13898000,17454000,18441000
53,Total Current Liabilities,4200000,3500000,8900000,6400000,6700000,10600000,12100000,15200000,14000000,18600000,37100000,18900000,23206000,15341000,20385000,20444000,19559000,22762000,68779000,21037000,17459000,20656000,22700000,19948000,17565000,20655000,23157000,20601000,22227000,28036000,35998000,29930000,40513000,49093000
54,Long-Term Debt,1700000,4700000,2200000,1100000,500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2855000,2968000,3225000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2196000,2178000,2124000,1549000,974000,637000,468000,374000,303000,232000,1054000,733000,413000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1200000,1000000,1700000,1700000,1900000,3200000,5500000,7986000,9444000,10027000,4362000,3173000,3172000,4389000,1597000,1660000,- -,1022000,- -,- -,335000,329000,55000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1300000,500000,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1344000,1377000,1659000,- -,1359000,1494000,1339000,867000,336000,449000,966000,748000,1018000,870000,569000
58,Total Non-Current Liabilities,1700000,4700000,2200000,1100000,1800000,1800000,900000,1700000,1700000,1800000,3200000,5500000,7986000,9444000,10027000,4362000,3173000,3172000,4389000,2941000,3037000,3855000,3200000,3483000,3043000,2648000,1833000,859000,823000,1269000,980000,4927000,4571000,4207000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4375000,4597000,4776000
61,Total Liabilities,5900000,8200000,11100000,7500000,8500000,12400000,13000000,16900000,15700000,20400000,40300000,24400000,31192000,24785000,30412000,24806000,22732000,25934000,73168000,23978000,20496000,24511000,25900000,23431000,20608000,23303000,24990000,21460000,23050000,29305000,36978000,34857000,45084000,53300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,- -,118000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,487000,488000,488000,490000,492000,496000,501000,502000,502000,384000,503000,387000,508000,510000,511000,513000,515000,519000,520000,523000,551000,557000
64,Retained Earnings,2600000,4100000,9200000,20500000,32400000,47600000,69700000,99200000,124800000,151100000,166900000,186000000,219899000,219340000,203398000,183863000,176769000,175660000,134579000,126263000,110174000,112972000,133791000,136362000,132285000,108645000,94758000,99685000,93438000,93605000,129000000,143098000,161008000,217633000
65,Other Comprehensive Income/Loss,-1600000,-3000000,-4800000,-7900000,-12700000,-19000000,-25800000,-33800000,-41800000,-49600000,-60300000,-66800000,-83777000,-102385000,239000,186000,-11000,-72000,72000,170000,-2767000,-1608000,-1369000,-322000,-112000,-526000,-471000,-577000,-561000,-478000,-394000,-383000,-204000,-1328000
66,Other Total Stockholders Equity,7800000,9400000,12000000,57500000,68800000,73800000,69600000,84700000,87700000,106900000,102700000,124800000,126312000,147394000,43908000,42119000,43373000,40706000,36194000,37505000,39262000,39919000,42106000,44400000,45671000,30547000,32974000,35410000,37417000,42468000,54530000,62324000,189465000,- -
67,Total Stockholders Equity,8800000,10500000,16400000,70100000,88500000,102400000,113500000,150100000,170700000,208400000,209300000,244500000,262921000,264837000,248033000,226658000,220623000,216790000,171346000,164440000,147171000,151785000,175031000,180945000,178352000,139176000,127772000,135031000,130809000,136114000,183656000,205562000,350820000,423599000
68,Total Liabilities And Stockholders Equity,14700000,18700000,27500000,77600000,97000000,114800000,126500000,167000000,186400000,228800000,249600000,268900000,294113000,289622000,278445000,251464000,243355000,242724000,244514000,188418000,167667000,176296000,200931000,204376000,198960000,162479000,152762000,156491000,153859000,165419000,220634000,240419000,395904000,476899000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1527000,3031000,3593000,4040000,4255000,4281000,3981000,3765000,3621000,3161000,2780000,1054000,208000,305000,434000,308000,335000,306000
70,Total Liabilities & Equity,14700000,18700000,27500000,77600000,97000000,114800000,126500000,167000000,186400000,228800000,249600000,268900000,294113000,289622000,278445000,251464000,244882000,245755000,248107000,192458000,171922000,180577000,204912000,208141000,202581000,165640000,155542000,157545000,154067000,165724000,221068000,240727000,396239000,477205000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/0000950135-97-001292-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/000095013505001465/b53304vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013506001593/b58492vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013507001656/b63649vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013508001871/b68148vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013509001744/0000950135-09-001744-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012310022990/0000950123-10-022990-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012311021734/b84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312512093608/0001193125-12-093608-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312513096150/0001193125-13-096150-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312514099821/d640434d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312515080277/d850860d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312516496705/0001193125-16-496705-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312517073261/0001193125-17-073261-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312518077391/0001193125-18-077391-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312519057343/0001193125-19-057343-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312520057067/0001193125-20-057067-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312521063132/0001193125-21-063132-index.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312522060946/0001193125-22-060946-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5100000,11200000,12000000,15100000,22100000,29500000,25600000,26200000,15800000,19100000,33920000,-559000,-15942000,-19535000,-3723000,3916000,-29738000,5335000,-3595000,2798000,33325000,8843000,-4077000,-23640000,-13887000,4927000,-6247000,167000,31725000,14109000,17922000,56629000
74,Depreciation and Amortization,- -,- -,1900000,3200000,4900000,6700000,7600000,8200000,8300000,8300000,11600000,15800000,18326000,19984000,22263000,23197000,21900000,17655000,13991000,11619000,10515000,10198000,10222000,11005000,10423000,10008000,9805000,9142000,8438000,8893000,9254000,10334000,11056000,11705000
75,Deferred Income Tax,- -,- -,- -,- -,- -,600000,-800000,1000000,- -,-200000,300000,900000,764000,-902000,1167000,-1051000,- -,-133000,86000,104000,127000,-74000,-6274000,148000,-369000,4491000,18000,-183000,-78000,-172000,-55000,60000,-21000,18000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000,871000,1923000,1244000,2450000,1634000,1782000,506000,1735000,3396000,3036000,5883000,7035000
77,Change in Working Capital,- -,- -,-1300000,4700000,4000000,2200000,30900000,12600000,19700000,-43600000,38400000,23478000,6681000,-480000,-12132000,7872000,1966000,-29495000,-4966000,-50627000,9494000,30663000,18932000,4112000,-30629000,-7548000,4584000,-5360000,1251000,38266000,20074000,-5145000,-299000,-20939000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2148000,-11926000,7546000,4052000,-821000,-1151000,2201000,780000,-9210000,-8834000,5714000,-2816000,-14301000
79,Inventory,- -,- -,-300000,- -,-1300000,- -,- -,-3000000,- -,-2300000,-4400000,-3600000,-11426000,3508000,- -,8364000,-4095000,- -,-4854000,-997000,-3311000,5291000,-13928000,-162000,5591000,33000,3202000,1880000,-3677000,-9309000,-10827000,-1812000,-8049000,-10134000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1670000,4580000,300000,-1301000,339000,3186000,7450000,-7339000,8668000,2503000
81,Other Working Capital,- -,- -,54100000,58800000,62800000,65000000,95900000,108500000,128200000,84600000,123000000,146478000,153159000,152679000,140547000,148419000,150385000,120890000,115924000,65297000,74791000,105454000,124386000,128498000,97869000,90321000,94905000,89545000,90796000,129062000,149136000,2062000,1413000,1002000
82,Other Non-Cash Items,- -,- -,100000,-13700000,-3000000,-3800000,-33800000,-21600000,-23900000,35400000,-35300000,-49178000,-20814000,21124000,22473000,8949000,-4261000,37328000,34957000,15750000,-7478000,-19444000,-40182000,376000,40646000,9549000,37000,1159000,-3326000,-51353000,-28223000,-186000,6000,-4000
83,Cash Provided by Operating Activities,- -,- -,5800000,5400000,17900000,20800000,26000000,29700000,29700000,26100000,30800000,10100000,38877000,39167000,17829000,19432000,15882000,29271000,14330000,-17819000,9063000,24798000,16894000,26407000,17238000,-4690000,2191000,11467000,544000,-2464000,36171000,22208000,34547000,54444000
84,CAPEX,- -,- -,-4900000,-8300000,-14700000,-16100000,-15500000,-15600000,-14300000,-20200000,-38200000,-14800000,-16783000,-22386000,-10770000,-5797000,-5022000,-9517000,-5603000,-9856000,-8265000,-10643000,-12103000,-7466000,-7396000,-6179000,-7128000,-9090000,-8428000,-12545000,-18211000,-12485000,-28653000,-47761000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4608000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,-9600000,-23064000,-37066000,-48941000,-75357000,-115932000,-189818000,-139642000,-12574000,-2267000,-908000,-1104000,-270000,- -,-340000,- -,- -,- -,- -,- -,-50166000,-70900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,5000000,5000000,9000000,- -,- -,- -,- -,- -,4000000,- -,36802000,31981000,63619000,100746000,199901000,163298000,28004000,6650000,16183000,11142000,3630000,1024000,3460000,360000,- -,- -,- -,- -,- -,75000000
88,Other Investing Activites,- -,- -,-100000,-200000,-4600000,-500000,-800000,900000,-2100000,-6200000,-3600000,-900000,30000,-788000,9070000,-2839000,-2408000,- -,-88000,102000,11000,354000,593000,-45000,-48000,75000,-21000,-144000,-91000,19000,-28000,3000,195000,- -
