,https://roic.ai/company/SLAB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,2800000,7200000,5200000,13300000,- -,34100000,23132000,22000000,28600000,- -,28300000,31500000,34778000,49600000,45300000,- -,52600000,59578000,73132000,74972000,73057000,- -,66662000
36,Other Current Assets,1500000,2900000,5500000,6700000,- -,11300000,21175000,58700000,39900000,- -,24700000,26200000,55430000,58100000,66600000,- -,70300000,61805000,39120000,64650000,69192000,- -,89307000
37,Total Current Assets,29300000,120100000,122400000,162700000,- -,283600000,476841000,503700000,692700000,- -,362700000,524000000,453049000,467700000,459300000,- -,528500000,490851000,947642000,826638000,943859000,- -,975821000
38,PP&E,12400000,22600000,20000000,29800000,- -,34400000,32584000,34100000,28200000,- -,30500000,27800000,25141000,135300000,132400000,- -,132800000,129559000,127682000,139049000,135939000,- -,139439000
39,Goodwill,- -,37500000,- -,100000,- -,38600000,- -,65700000,73200000,- -,105500000,105100000,115489000,130300000,228800000,- -,228800000,276130000,288227000,397344000,398402000,- -,631932000
40,Intangible Assets,- -,2200000,200000,400000,- -,14700000,77715000,20300000,18100000,- -,49700000,41900000,60005000,90800000,131600000,- -,115000000,103565000,83144000,170832000,134279000,- -,166084000
41,Intangible Assets,- -,39700000,200000,500000,- -,53300000,77715000,86000000,91300000,- -,155200000,147000000,175494000,221100000,360400000,- -,343800000,379695000,371371000,568176000,532681000,- -,798016000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24676000,17477000,11369000,10632000,- -,7419000,5196000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10355000,- -,- -,- -,- -
44,Other Non-Current Assets,300000,2400000,2400000,4100000,- -,6800000,25863000,63200000,28000000,- -,75800000,19324000,34830000,36531000,28468000,- -,30081000,76543000,78032000,90491000,62374000,- -,80211000
45,Total Non-Current Assets,12700000,64700000,22600000,34400000,- -,94500000,136162000,183300000,147500000,- -,261500000,218800000,252942000,404300000,531900000,- -,514100000,590993000,587440000,797716000,730994000,- -,1017666000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42000000,184800000,145000000,197100000,- -,378100000,613003000,687000000,840200000,- -,624200000,742800000,705991000,872000000,991200000,- -,1042600000,1081844000,1535082000,1624354000,1674853000,- -,1993487000
48,Accounts Payable,7400000,8700000,7000000,13300000,- -,45500000,43846000,26400000,33300000,- -,22300000,28800000,26354000,29600000,22100000,- -,38900000,39577000,38851000,41171000,38899000,- -,54949000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134480000
50,Tax Payable,- -,- -,- -,- -,- -,12663000,- -,- -,- -,- -,- -,- -,- -,1087000,2693000,- -,2084000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,5784000,34036000,13330000,6025000,- -,6439000,7620000,24962000,16652000,18878000,- -,21173000,45568000,50115000,22494000,19251000,- -,12986000
52,Other Current Liabilities,7600000,8100000,8800000,27100000,- -,29616000,29655000,61870000,54075000,- -,44261000,52180000,31522000,60148000,68122000,- -,103227000,54550000,73359000,81180000,79551000,- -,82083000
53,Total Current Liabilities,15000000,16800000,15800000,40400000,- -,80900000,107537000,101600000,93400000,- -,73000000,88600000,82838000,106400000,109100000,- -,163300000,139695000,162325000,144845000,137701000,- -,284498000
54,Long-Term Debt,6100000,3400000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,87500000,- -,77500000,72500000,341879000,354771000,368257000,- -,428945000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16652000,18878000,- -,21173000,13119000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,1700000,2400000,900000,- -,10000000,7418000,16700000,43300000,- -,48800000,24400000,24214000,3948000,37122000,- -,22527000,29572000,77862000,57448000,53844000,- -,80203000
58,Total Non-Current Liabilities,6200000,5100000,3800000,900000,- -,10000000,7418000,16700000,43300000,- -,48800000,24400000,24214000,115600000,143500000,- -,121200000,115191000,419741000,412219000,422101000,- -,509148000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,21200000,21900000,19600000,41300000,- -,90900000,114955000,118300000,136700000,- -,121800000,113000000,107052000,222000000,252600000,- -,284500000,254886000,582066000,557064000,559802000,- -,793646000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,5000,5000,5000,5000,- -,4000,5000,4000,4000,4000,- -,4000,4000,4000,4000,4000,- -,4000
64,Retained Earnings,5800000,19800000,-25800000,-5100000,- -,39700000,163864000,195000000,399900000,- -,432800000,505900000,586653000,640800000,690600000,- -,728600000,801999000,851307000,961343000,980608000,- -,993664000
65,Other Comprehensive Income/Loss,-2900000,-42200000,-37200000,-26200000,- -,-18600000,-39720000,-48200000,-53800000,- -,-4000000,-4000000,-2000000,-1000000,-1000000,- -,-1000000,-97994000,-1000000,-2000000,1000000,- -,1814000
66,Other Total Stockholders Equity,17900000,185400000,188400000,187000000,- -,266100000,373899000,421877000,357440000,- -,73656000,127891000,14282000,10169000,48958000,- -,30452000,122949000,102705000,107943000,133439000,- -,204359000
67,Total Stockholders Equity,20800000,163000000,125400000,155722000,- -,287205000,498048000,568682000,703545000,- -,502460000,629796000,598939000,649973000,738562000,- -,758056000,826958000,953016000,1067290000,1115051000,- -,1199841000
68,Total Liabilities And Stockholders Equity,42000000,184900000,145000000,197022000,- -,378105000,613003000,686982000,840245000,- -,624260000,742796000,705991000,871973000,991162000,- -,1042556000,1081844000,1535082000,1624354000,1674853000,- -,1993487000
69,Minority Interest,- -,-100000,- -,78000,- -,-5000,- -,18000,-45000,- -,-60000,4000,- -,27000,38000,- -,44000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42000000,184800000,145000000,197100000,- -,378100000,613003000,687000000,840200000,- -,624200000,742800000,705991000,872000000,991200000,- -,1042600000,1081844000,1535082000,1624354000,1674853000,- -,1993487000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1038074/000091205701002379/0000912057-01-002379-index.html,- -,https://www.sec.gov/Archives/edgar/data/1038074/000104746903002158/0001047469-03-002158-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465904001731/0001104659-04-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465906007281/0001104659-06-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465907007988/0001104659-07-007988-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746908000932/0001047469-08-000932-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746909000964/0001047469-09-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746910000705/0001047469-10-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746912001075/0001047469-12-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746913000608/0001047469-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746914000500/0001047469-14-000500-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746915000641/0001047469-15-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746917000461/0001047469-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746918000522/0001047469-18-000522-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746919000300/0001047469-19-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465920007928/0001104659-20-007928-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465921011613/0001104659-21-011613-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11000000,14000000,-45600000,20700000,- -,44700000,47506000,31200000,204800000,- -,32900000,73100000,35472000,63500000,49800000,- -,38000000,61494000,47092000,83591000,19265000,- -,12531000
74,Depreciation and Amortization,3100000,13834000,18174000,17587000,- -,24155000,20530000,21232000,16085000,- -,18624000,19729000,24600000,27775000,29402000,- -,30484000,40931000,42012000,60014000,56467000,- -,62513000
75,Deferred Income Tax,- -,-302000,-152000,- -,- -,505000,-3521000,-7021000,-153000,- -,1816000,1896000,2369000,4725000,3319000,- -,3054000,-4087000,-26452000,-8210000,23048000,- -,-6533000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43974000,36115000,31176000,30800000,- -,39067000,39628000,44752000,50077000,54799000,- -,60091000
77,Change in Working Capital,-2200000,89000000,3300000,15700000,- -,80400000,74704000,32796000,197200000,- -,-309600000,145700000,-43789000,-8911000,-11100000,- -,15000000,70337000,434161000,-103524000,124365000,- -,-114835000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19657000,-8562000,-20743000,8972000,- -,1757000,46000,3234000,3931000,-2401000,- -,-17612000
79,Inventory,-2200000,-3847000,1998000,-8098000,- -,-19201000,15273000,-16933000,-6393000,- -,3729000,-3216000,5334000,-13056000,5588000,- -,-7170000,-6093000,-13416000,7660000,2171000,- -,10748000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7217000,-3979000,- -,11475000,263000,-468000,5952000,7830000,- -,15263000
81,Other Working Capital,14300000,103300000,106600000,122300000,- -,202700000,369304000,402100000,599300000,- -,289700000,435400000,370211000,361300000,350200000,- -,365200000,351156000,785317000,681793000,806158000,- -,691323000
82,Other Non-Cash Items,400000,-93922000,35990000,-14948000,- -,-77878000,-35229000,5076000,-363151000,- -,375942000,-163458000,33975000,-21215000,17929000,- -,11838000,-79393000,-352044000,91594000,-111422000,- -,121951000
83,Cash Provided by Operating Activities,12300000,22610000,11712000,39039000,- -,71882000,103990000,83283000,54781000,- -,119682000,120941000,88742000,97050000,120150000,- -,137443000,128910000,189521000,173542000,166522000,- -,135718000
84,CAPEX,-9900000,-15843000,-5400000,-21498000,- -,-11438000,-20377000,-29772000,-5387000,- -,-12525000,-8943000,-8690000,-102043000,-10472000,- -,-11225000,-10927000,-12252000,-24462000,-16279000,- -,-20422000
85,Acquisitions Net,- -,-14433000,- -,- -,- -,- -,-6000,-21223000,-8540000,- -,-78477000,-4300000,-27262000,-71852000,-86441000,- -,- -,-6546000,-15168000,-239729000,-2510000,- -,-316809000
86,Purchases of Investments,-9400000,-63012000,-59210000,-77062000,- -,-80871000,-180532000,-404664000,-555798000,- -,-151470000,-237968000,-178676000,-192450000,-213883000,- -,-166094000,-185231000,-636363000,-395904000,-424524000,- -,-519567000
87,Sales/Maturities of Investments,5800000,25593000,84138000,54993000,- -,82854000,300661000,349766000,565336000,- -,304928000,153275000,193474000,235517000,210824000,- -,156520000,161921000,294452000,474129000,344937000,- -,497357000
88,Other Investing Activites,- -,-1250000,-821000,-2719000,- -,-1757000,-17192000,-4445000,259594000,- -,6714000,-6408000,-4018000,-8508000,-5939000,- -,-5514000,-8801000,-4960000,-11063000,-8396000,- -,-1570000
89,Cash Used for Investing Activites,-13500000,-68945000,18707000,-46286000,- -,-11212000,82554000,-110338000,255205000,- -,69170000,-104344000,-25172000,-139336000,-105911000,- -,-26313000,-49584000,-374291000,-197029000,-106772000,- -,-361011000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7174000,- -,-13434000,- -,-7500000,-5000000,-72500000,- -,- -,- -,-624737000
91,Common Stock Issued,800000,93151000,1707000,2787000,- -,16532000,20189000,38157000,21867000,- -,9220000,25187000,7660000,15148000,15301000,- -,13320000,13299000,11815000,13303000,14496000,- -,15015000
92,Common Stock Repurchased,- -,-70000,- -,-98000,- -,-21000,- -,-50046000,-163837000,- -,-291096000,-20181000,-110063000,-62019000,-26022000,- -,-71676000,-40543000,- -,-39276000,-26716000,- -,-16287000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5700000,-3041000,-1682000,-3838000,- -,228000,- -,6628000,28204000,- -,888000,1862000,2404000,99619000,290000,- -,632000,-20061000,373715000,-22863000,-17427000,- -,826876000
95,Cash Used/Provided by Financing Activities,6500000,90040000,25000,-1149000,- -,16739000,20189000,-5261000,-113766000,- -,-280988000,6868000,-107173000,52748000,-23865000,- -,-65224000,-52305000,313030000,-48836000,-29647000,- -,200867000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5300000,43705000,30444000,-8396000,- -,77409000,206733000,-32316000,196220000,- -,-92136000,23465000,-43603000,10462000,-9626000,- -,45906000,27021000,128260000,-72323000,30103000,- -,-24426000
98,Cash at the End of Period,8200000,51902000,82346000,73950000,- -,151359000,255369000,68188000,264408000,- -,172272000,195737000,94964000,105426000,95800000,- -,141706000,141106000,269366000,197043000,227146000,- -,202720000
99,Cash at the Beginning of Period,2900000,8197000,51902000,82346000,- -,73950000,48636000,100504000,68188000,- -,264408000,172272000,138567000,94964000,105426000,- -,95800000,114085000,141106000,269366000,197043000,- -,227146000
100,Free Cash Flow,2400000,6767000,6312000,17541000,- -,60444000,83613000,53511000,49394000,- -,107157000,111998000,80052000,-4993000,109678000,- -,126218000,117983000,177269000,149080000,150243000,- -,115296000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1038074/000091205701002379/0000912057-01-002379-index.html,- -,https://www.sec.gov/Archives/edgar/data/1038074/000104746903002158/0001047469-03-002158-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465904001731/0001104659-04-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465906007281/0001104659-06-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465907007988/0001104659-07-007988-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746908000932/0001047469-08-000932-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746909000964/0001047469-09-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746910000705/0001047469-10-000705-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746912001075/0001047469-12-001075-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746913000608/0001047469-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746914000500/0001047469-14-000500-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000104746915000641/0001047469-15-000641-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746917000461/0001047469-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746918000522/0001047469-18-000522-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000104746919000300/0001047469-19-000300-index.htm,https://www.sec.gov/Archives/edgar/data/1038074/000110465920007928/0001104659-20-007928-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1038074/000110465921011613/0001104659-21-011613-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
