,https://roic.ai/company/FIVN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,357000,464000,1949000,6753000,7730000,9643000,15343000,28484000,42065000,64747000,108805000
77,Change in Working Capital,5082000,-3121000,22684000,35597000,-33522000,18221000,12384000,232691000,29274000,270275000,-111079000
78,Accounts Receivable,-1898000,-2125000,-1574000,-1390000,-2410000,-3389000,-5163000,-5829000,-12935000,-9958000,-35986000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,927000,1988000,196000,300000,-1610000,811000,813000,2418000,2549000,6181000,4305000
81,Other Working Capital,1074000,-2047000,20637000,56234000,22712000,40933000,53317000,286008000,315282000,585557000,-60918000
82,Other Non-Cash Items,195000,11066000,-18693000,-35306000,31303000,-17556000,-15966000,-232606000,-34675000,-253276000,43236000
83,Cash Provided by Operating Activities,-699000,-8301000,-20959000,-24279000,-12939000,6838000,11106000,38622000,51221000,67302000,28485000
84,CAPEX,-3142000,-2680000,-554000,-1025000,-1116000,-1131000,-2650000,-9261000,-19228000,-30422000,-42216000
85,Acquisitions Net,- -,- -,-2836000,- -,- -,- -,- -,- -,-13890000,-165438000,- -
86,Purchases of Investments,-3581000,-2490000,- -,-49992000,-20000000,-1206000,- -,-220704000,-359470000,-620948000,-680490000
87,Sales/Maturities of Investments,- -,3581000,2490000,30000000,40000000,- -,- -,13216000,328957000,434478000,572228000
88,Other Investing Activites,-700000,- -,-121000,-25000,806000,-60000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7423000,-1589000,-1021000,-21042000,19690000,-2397000,-2650000,-216749000,-63631000,-382330000,-150478000
90,Debt Repayment,-1155000,-2928000,-11408000,-7005000,-9191000,-43088000,-7767000,-41456000,-7054000,-294513000,-25300000
91,Common Stock Issued,- -,- -,- -,71459000,- -,- -,- -,- -,- -,11656000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-260000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10998000,13401000,45175000,21408000,2635000,38285000,10136000,232808000,15528000,740281000,17799000
95,Cash Used/Provided by Financing Activities,9843000,10473000,33767000,85862000,-6556000,-4803000,2369000,191092000,8474000,457424000,-7501000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1721000,583000,11787000,40541000,195000,-362000,10825000,12965000,-3936000,142396000,-129494000
98,Cash at the End of Period,5378000,5961000,17748000,58289000,58484000,58122000,68947000,81912000,77976000,220372000,90878000
99,Cash at the Beginning of Period,3657000,5378000,5961000,17748000,58289000,58484000,58122000,68947000,81912000,77976000,220372000
100,Free Cash Flow,-3841000,-10981000,-21513000,-25304000,-14055000,5707000,8456000,29361000,31993000,36880000,-13731000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288847/000128884715000011/a12311410k.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884716000054/0001288847-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884717000038/0001288847-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884718000030/0001288847-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884719000021/0001288847-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884720000028/0001288847-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1288847/000128884721000029/0001288847-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884722000017/0001288847-22-000017-index.htm
102,false,,,,,,,,,,,
