,https://roic.ai/company/BSPK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390009001223/0001213900-09-001223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390010003967/0001213900-10-003967-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000121390011005355/0001213900-11-005355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409197/000101376213001485/0001013762-13-001485-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000101376215000052/0001013762-15-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000101376215001210/0001013762-15-001210-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017001102/0001213900-17-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017013553/0001213900-17-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390018017377/0001213900-18-017377-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390019026230/0001213900-19-026230-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390020043297/0001213900-20-043297-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390021065002/0001213900-21-065002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,13545,831,733123,437970,437772,185869,431,87172,79784,10343,126603,11177
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,13545,831,733123,437970,437772,185869,431,87172,79784,10343,126603,11177
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2004,6452,3585,5262
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61857,3171,- -,48259
36,Other Current Assets,- -,- -,- -,- -,3750,- -,9000,- -,- -,21000,- -,19952,30976,17637,2319,24329
37,Total Current Assets,- -,- -,- -,- -,17295,831,742123,437970,437772,206869,431,107124,174621,37603,132507,89027
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2745
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,250316,5243,1445,1314,48512,45166,41821,33741,32748
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1840,250316,5243,1445,1314,48512,45166,41821,33741,32748
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,11000,- -,334685,74375,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,12840,250316,339928,75820,1314,48512,45166,41821,33741,35493
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,17295,831,754963,688286,777700,282689,1745,155636,219787,79424,166248,124520
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,17000,5358,- -,69426,36525,- -,- -,59913,- -
49,Short-Term Debt,7403,14495,- -,- -,- -,- -,- -,- -,- -,- -,31500,153050,460750,50,620000,500534
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,5267,10071,3270,7344,16532,4500,- -,31514,14609,45000,105424,111006,- -,42228
53,Total Current Liabilities,7403,14495,5267,10071,3270,7344,16532,21500,5358,31514,115535,234575,566174,111056,679913,542762
54,Long-Term Debt,- -,- -,36069,57156,30000,49500,- -,- -,- -,- -,- -,193163,81153,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,36069,57156,30000,49500,- -,- -,- -,- -,- -,193163,81153,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7403,14495,41336,67227,33270,56844,16532,21500,5358,31514,115535,427738,647327,111056,679913,542762
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1,1,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,34030,34030,10341,340,29429,29429,327717,352717,7268,2423,2923,26823,42903,78156,194389,246889
64,Retained Earnings,-34030,-34030,-51677,-101257,-340891,-380929,-615768,-937413,-1331457,-2062624,-2427589,-9107086,-16716644,-14135883,-18776689,-19742266
65,Other Comprehensive Income/Loss,-7403,-14495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,33690,295487,295487,1026481,1251481,2096531,2311376,2310876,8808161,16246201,14026095,18068635,- -
67,Total Stockholders Equity,-7403,-14495,-41336,-67227,-15975,-56013,738431,666786,772342,251175,-113790,-272102,-427540,-31632,-513665,-418242
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,17295,831,754963,688286,777700,282689,1745,155636,219787,79424,166248,124520
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,17295,831,754963,688286,777700,282689,1745,155636,219787,79424,166248,124520
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390009001223/0001213900-09-001223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390010003967/0001213900-10-003967-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000121390011005355/0001213900-11-005355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409197/000101376213001485/0001013762-13-001485-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000101376215000052/0001013762-15-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000101376215001210/0001013762-15-001210-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017001102/0001213900-17-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017013553/0001213900-17-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390018017377/0001213900-18-017377-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390019026230/0001213900-19-026230-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390020043297/0001213900-20-043297-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390021065002/0001213900-21-065002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-7403,-7092,-24549,-25891,-239634,-40347,-391682,-321645,-394045,-731167,-364965,-6679497,-7609558,2580761,-4640806,-965577
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,131,3799,3798,3798,131,1739,3346,3345,2797,3244
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,200000,- -,- -,- -,- -,114625,- -,6285695,6508991,-1403625,- -,- -
77,Change in Working Capital,- -,9228,-4804,24096,-20538,96513,-21717,-309121,15944,-257059,-290459,-12347,-264102,318100,-473953,-78632
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2004,-7752,-114,-1677
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61857,6354,3171,-48259
80,Accounts Payable,- -,- -,21071,- -,- -,- -,-12717,468,-11641,26156,37547,- -,71299,- -,- -,- -
81,Other Working Capital,-14495,-5267,-10071,14025,-6513,90000,- -,416470,432414,175355,-115104,-127451,-391553,-73453,-547406,- -
82,Other Non-Cash Items,- -,-9228,4804,-19292,23717,-88380,9,323089,-32085,617900,438355,-18214,613635,-1991272,4646722,- -
83,Cash Provided by Operating Activities,-7403,-7092,-24549,-21087,-36455,-32214,-413259,-303878,-406388,-251903,-216938,-422624,-747688,-492691,-465240,-1040965
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-241275,-93410,- -,- -,-20185,- -,- -,- -,-4995
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-11000,-241275,-93410,- -,- -,24815,90000,- -,- -,-2250
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-11000,-241275,-93410,- -,- -,24815,90000,- -,- -,-4995
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500,-30000,- -,-120000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1040000,250000,499600,- -,- -,- -,460300,421250,125000,800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27500,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7403,7092,24549,21087,50000,19500,- -,- -,- -,- -,31500,490050,220000,2000,604000,130534
95,Cash Used/Provided by Financing Activities,7403,7092,24549,21087,50000,19500,1040000,250000,499600,- -,31500,484550,650300,423250,581500,930534
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-12714,615741,-295153,-198,-251903,-185438,86741,-7388,-69441,116260,-115426
98,Cash at the End of Period,- -,- -,- -,- -,13545,831,733123,437970,437772,185869,431,87172,79784,10343,126603,11177
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,13545,117382,733123,437970,437772,185869,431,87172,79784,10343,126603
100,Free Cash Flow,-7403,-7092,-24549,-21087,-36455,-32214,-413259,-545153,-499798,-251903,-216938,-442809,-747688,-492691,-465240,-1045960
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390009001223/0001213900-09-001223-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1409197/000121390010003967/0001213900-10-003967-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000121390011005355/0001213900-11-005355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409197/000101376213001485/0001013762-13-001485-index.html,https://www.sec.gov/Archives/edgar/data/1409197/000101376215000052/0001013762-15-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000101376215001210/0001013762-15-001210-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017001102/0001213900-17-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390017013553/0001213900-17-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390018017377/0001213900-18-017377-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390019026230/0001213900-19-026230-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390020043297/0001213900-20-043297-index.htm,https://www.sec.gov/Archives/edgar/data/1409197/000121390021065002/0001213900-21-065002-index.htm
102,false,,,,,,,,,,,,,,,,
