,https://roic.ai/company/SCTY,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1408356/000119312514104447/0001193125-14-104447-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459015000897/0001564590-15-000897-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459016012549/0001564590-16-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459017003084/0001564590-17-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510718000013/0001265107-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510719000004/0001265107-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510720000007/0001265107-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510721000019/0001265107-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-55790000,-29717000,-72448000,-76307000,-111295000,-678750000,565082000,-8000
74,Depreciation and Amortization,216100000,262422000,268734000,254913000,245606000,223073000,211609000,231117000
75,Deferred Income Tax,1200000,74000,3986000,4140000,-4026000,-14087000,99000,100000
76,Stock Based Compensation,21262000,2068000,2271000,2598000,3183000,310000,459000,843000
77,Change in Working Capital,-31800000,-13945000,-18800000,-17443000,-19806000,-48007000,1822563000,-15952000
78,Accounts Receivable,2911000,-8926000,-9378000,-11032000,-9790000,-12776000,-4077000,-7749000
79,Inventory,-19954000,- -,- -,- -,- -,- -,- -,-1708000
80,Accounts Payable,50750000,-3713000,-3534000,-3910000,-4792000,-18767000,- -,- -
81,Other Working Capital,-54500000,- -,-1773000,-2947000,-3064000,-5418000,-17968000,-2721000
82,Other Non-Cash Items,63628000,13380000,25419000,22626000,36542000,621964000,-2485677000,-87479000
83,Cash Provided by Operating Activities,214600000,234282000,209162000,190527000,150204000,104503000,114135000,128621000
84,CAPEX,-9126000,-275929000,-278980000,-210559000,-157302000,-155353000,-11623000,-116547000
85,Acquisitions Net,-3826000,- -,-56778000,- -,- -,- -,-111000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-708148000,-276102000,-279012000,-210504000,-157302000,-155353000,-139000,-127461000
89,Cash Used for Investing Activites,-721100000,-276102000,-335790000,-210504000,-157302000,-155353000,-122762000,-127461000
90,Debt Repayment,-65328000,-127166000,-666640000,-1238059000,-175250000,-184100000,-28556000,-87225000
91,Common Stock Issued,174083000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,161497000,- -
93,Dividends Paid,-2000000,-2000000,- -,-5000000,-5000000,-5000000,-5000000,- -
94,Other Financing Activites,400545000,168584000,793895000,1263633000,187473000,239025000,-106690000,77358000
95,Cash Used/Provided by Financing Activities,507300000,39418000,127255000,20574000,7223000,49925000,21251000,-9867000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,900000,-2402000,627000,597000,125000,-925000,12624000,-8707000
98,Cash at the End of Period,4300000,1953000,2580000,3177000,3302000,2377000,14812000,6294000
99,Cash at the Beginning of Period,3400000,4355000,1953000,2580000,3177000,3302000,2188000,15001000
100,Free Cash Flow,204700000,-41647000,-69818000,-20032000,-7098000,-50850000,102512000,12074000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1408356/000119312514104447/0001193125-14-104447-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459015000897/0001564590-15-000897-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459016012549/0001564590-16-012549-index.htm,https://www.sec.gov/Archives/edgar/data/1408356/000156459017003084/0001564590-17-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510718000013/0001265107-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510719000004/0001265107-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1265107/000126510720000007/0001265107-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1265107/000126510721000019/0001265107-21-000019-index.htm
102,false,,,,,,,,
