,https://roic.ai/company/PNNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-16593371,- -,- -,16633785,10263474,63661090,91724184,111056080,-10245652,21086706,63411501,47713462,17124806,-14769753,167216905
21,Income Before Tax Ratio,-1.2739,- -,- -,0.2766,0.1119,0.5614,0.9127,0.8870,2.2820,0.9709,0.9343,0.9378,0.5914,1.4982,0.9761
22,Income Tax expense (Gain),105880,- -,- -,98294,- -,307990,-53468,72603,- -,2350000,1700000,- -,1200000,1200000,600000
23,Net Income,-16699251,-40702939,35802029,16535491,10263474,63353100,91777652,110983477,-10245652,18736706,61711501,47713462,15924806,-15969753,166616905
24,Net Income ratio,-1.2820,-1.0224,0.7935,0.2750,0.1119,0.5587,0.9132,0.8864,2.2820,0.8627,0.9093,0.9378,0.5500,1.6199,0.9726
25,EPS,-0.80,-1.93,1.70,0.56,0.24,1.20,1.39,1.66,-0.14,0.26,0.87,0.68,0.24,-0.24,2.49
26,EPS Diluted,-0.80,-1.93,1.70,0.56,0.24,1.20,1.39,1.66,-0.14,0.26,0.87,0.68,0.24,-0.24,2.49
27,Weighted Average Shares Outstanding,20936149,21068772,21092334,29546772,29546772,52969278,66380829,67058474,74755139,71621530,71060836,70686354,67708683,67045105,66914420
28,Weighted Average Shares Outstanding Diluted,20936149,21068772,21094745,29546772,29546772,52969278,66380829,67058474,74755139,71621530,71060836,70686354,67708683,67045105,66914420
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1383414/000119312507264781/0001193125-07-264781-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312508240161/0001193125-08-240161-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312509237699/0001193125-09-237699-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312510263164/0001193125-10-263164-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000138341411000013/0001383414-11-000013-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312512470939/0001193125-12-470939-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312513440171/0001193125-13-440171-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312514409216/0001193125-14-409216-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312515373437/0001193125-15-373437-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312516773701/0001193125-16-773701-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459017024346/0001564590-17-024346-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459018029681/0001564590-18-029681-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459019044110/0001564590-19-044110-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459020054639/0001564590-20-054639-index.htm,https://www.sec.gov/Archives/edgar/data/1383414/000156459021057446/0001564590-21-057446-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,40249201,33247666,1814451,71604519,7559453,58440829,66518682,49619256,75608113,38202068,19506154,59516236,25806002,20357016
32,Short-Term Investments,291016608,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,291016608,40249201,33247666,1814451,71604519,7559453,58440829,66518682,49619256,75608113,38202068,19506154,59516236,25806002,20357016
34,Net Receivables,4517850,6046199,8265063,43068870,23997203,15807066,10894893,13703525,7590197,7032858,5906976,7606964,6226539,6399431,19445186
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1367479,1108567,1886119,5587977,5121302,- -,- -,- -,- -,- -,- -,- -,-24668714,- -
37,Total Current Assets,- -,47662879,42621296,46769440,101189699,28487821,- -,- -,- -,- -,- -,- -,- -,7536719,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,291016608,372147820,469760073,664724406,827548515,990479710,1078175553,1318054766,1299047833,1153679675,1153577508,1132085474,1219432796,1081771418,1255289834
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,372147820,469760073,664724406,827548515,990479710,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,555007676,- -,- -,- -,- -,- -,1153327092,1411827197,1368778273,1238935878,1202195841,1160118827,1285838013,1106816162,1295092036
47,Total Assets,555007676,419810699,512381369,711493846,928738214,1018967531,1153327092,1411827197,1368778273,1238935878,1202195841,1160118827,1285838013,1114352881,1295092036
48,Accounts Payable,- -,- -,23217799,5525827,26354382,8998902,72974982,27420779,31660183,27417147,20681706,19006105,14963814,15529535,21395213
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,274600000,2025934,6776537,10763237,13802360,18863812,87325018,29679221,13932187,8563153,8638674,7869265,5210656,71970465,- -
53,Total Current Liabilities,274600000,2025934,29994336,16289064,40156742,27862714,160300000,57100000,45592370,35980300,29320380,26875370,20174470,87500000,- -
54,Long-Term Debt,10000000,202000000,181806765,286426125,388792125,294452500,- -,- -,- -,- -,- -,- -,- -,- -,607340101
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5056505,- -,22203434,37132151,26935270,295500000,526700000,602865320,559588720,526066990,504341560,683757880,- -,- -
58,Total Non-Current Liabilities,10000000,207056505,181806765,308629559,425924276,321387770,295500000,526700000,602865320,559588720,526066990,504341560,683757880,- -,607340101
59,Other Liabilities,20014582,- -,- -,- -,- -,- -,591020893,1053417248,1209460681,1119177442,- -,1008683122,- -,501144029,1242288030
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,284614582,209082439,211801101,324918623,466081018,349250484,455820893,583817248,652187731,595569022,555387370,531216932,703932345,588644029,634947929
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,21069,21069,25369,36159,45690,65514,66499,75093,72966,71061,71061,69054,67045,67045,67045
64,Retained Earnings,-196769,-602660,1890235,1800646,8326854,2804397,-4675217,-11802580,-13424886,3119380,3333195,6003360,-206353536,-261983224,-126915912
65,Other Comprehensive Income/Loss,- -,-12000000,-49000000,-64000000,-41000000,-57000000,-48000000,-23000000,5000000,-82000000,-113000000,-175000000,-206000000,- -,- -
66,Other Total Stockholders Equity,270568794,223309851,347664664,448738418,495284652,723847136,750114917,862737436,724942462,722176415,756404215,797829481,994192159,787625031,- -
67,Total Stockholders Equity,270393094,210728260,300580268,386575223,462657196,669717047,697506199,828009949,716590542,643366856,646808471,628901895,581905668,525708852,660144107
68,Total Liabilities And Stockholders Equity,555007676,419810699,512381369,711493846,928738214,1018967531,1153327092,1411827197,1368778273,1238935878,1202195841,1160118827,1285838013,1114352881,1295092036
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,555007676,419810699,512381369,711493846,928738214,1018967531,1153327092,1411827197,1368778273,1238935878,1202195841,1160118827,1285838013,1114352881,1295092036
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1383414/000119312507264781/0001193125-07-264781-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312508240161/0001193125-08-240161-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312509237699/0001193125-09-237699-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312510263164/0001193125-10-263164-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000138341411000013/0001383414-11-000013-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312512470939/0001193125-12-470939-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312513440171/0001193125-13-440171-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312514409216/0001193125-14-409216-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312515373437/0001193125-15-373437-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312516773701/0001193125-16-773701-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459017024346/0001564590-17-024346-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459018029681/0001564590-18-029681-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459019044110/0001564590-19-044110-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459020054639/0001564590-20-054639-index.htm,https://www.sec.gov/Archives/edgar/data/1383414/000156459021057446/0001564590-21-057446-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-16699251,-40702939,35802029,16535491,10263474,63353100,91777652,110983477,-10245652,18736706,61711501,47713462,15924806,-15969753,166616905
74,Depreciation and Amortization,23921978,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,269844445,320236945,-33009985,17853416,30552581,-60407850,-160925107,103200000,11507630,9612070,6659920,2445010,6700900,-59788811,-5393717
78,Accounts Receivable,-319774617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,274614582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-274600000,45636945,12626960,30480376,61032957,625107,-160300000,-57100000,-45592370,-35980300,-29320380,-26875370,-20174470,-79963281,- -
82,Other Non-Cash Items,-314938586,-670282545,-45147558,-161439737,-178628571,-118284888,109471581,-386718482,1754730,129358087,877226,16782331,-103749492,-53839896,-153314980
83,Cash Provided by Operating Activities,-37871414,-390748539,-42355514,-127050830,-137812516,-115339638,40324126,-172535005,3016708,157706863,69248647,66940803,-81123786,-129598460,7908208
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,-261913786,-269040000,-146500000,-248000000,-698550875,-1023800000,-1099300000,-1277026800,-562362000,-500189523,-435956800,-324392900,-778884000,-291884000,-437018601
91,Common Stock Issued,315375000,- -,34400000,107710000,114080000,206572500,7574000,98855000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1920000,-5986500,- -,- -,- -,- -,-17898517,-12180491,- -,-15010571,-14471720,- -,- -
93,Dividends Paid,-6973280,-18961895,-20226021,-27919260,-39582741,-51660628,-68501660,-73462877,-83870760,-80313359,-65375968,-50970704,-48810906,-44249769,-32181652
94,Other Financing Activites,249343115,461040000,169600000,269813375,831656200,920182700,1170784910,1432537450,644000000,460013048,393746125,304798250,963250000,431912500,455776000
95,Cash Used/Provided by Financing Activities,295831049,173038105,35353979,95617615,207602584,51294572,10557250,180902773,-20131277,-132670325,-107586643,-85575925,121083374,95778731,-13424253
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-289915,215143,952319,931951,-60792,50494,109495,67059
97,Net Change In Cash,- -,-217710434,-7001535,-31433215,69790068,-64045066,50881376,8077853,-16899426,25988857,-37406045,-18695914,40010082,-33710234,-5448986
98,Cash at the End of Period,257959635,40249201,33247666,1814451,71604519,7559453,58440829,66518682,49619256,75608113,38202068,19506154,59516236,25806002,20357016
99,Cash at the Beginning of Period,- -,257959635,40249201,33247666,1814451,71604519,7559453,58440829,66518682,49619256,75608113,38202068,19506154,59516236,25806002
100,Free Cash Flow,-37871414,-390748539,-42355514,-127050830,-137812516,-115339638,40324126,-172535005,3016708,157706863,69248647,66940803,-81123786,-129598460,7908208
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1383414/000119312507264781/0001193125-07-264781-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312508240161/0001193125-08-240161-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312509237699/0001193125-09-237699-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312510263164/0001193125-10-263164-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000138341411000013/0001383414-11-000013-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312512470939/0001193125-12-470939-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312513440171/0001193125-13-440171-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312514409216/0001193125-14-409216-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312515373437/0001193125-15-373437-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000119312516773701/0001193125-16-773701-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459017024346/0001564590-17-024346-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459018029681/0001564590-18-029681-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459019044110/0001564590-19-044110-index.html,https://www.sec.gov/Archives/edgar/data/1383414/000156459020054639/0001564590-20-054639-index.htm,https://www.sec.gov/Archives/edgar/data/1383414/000156459021057446/0001564590-21-057446-index.htm
102,false,,,,,,,,,,,,,,,
