,https://roic.ai/company/ENIA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,0.2466,0.2143,0.2258,0.2341,0.2504,0.2744,0.2679,0.2976,0.2984,0.2597,0.2397,0.2391,0.3056,0.2594,0.2367,0.2553,0.2314,0.2009,0.1966,0.1827,0.1667
19,Total Other Income Expenses (Gains),- -,-669829924,-763133968,-393334604,-731530035,-1105583849,-756749477,-663574928,-786497971,-768038072,-1122189223,-416756781,-499788926,-538395206,-448559839,-390683116,-234782494,-401255358,35325696,-428763734,-573751000,-329530000,-362754000,-305115000,-723243000
20,Income Before Tax,- -,335647177,13380625,398162880,376843483,-366273481,136556829,477987998,777459014,1237745663,1398988687,2682040058,3293669481,3023593333,2567684671,2663124552,3073380206,2518130662,1804535156,1391689517,1645648000,2104990000,2406109000,1748000000,1940803000
21,Income Before Tax Ratio,- -,0.1050,0.0031,0.0880,0.0839,-0.1062,0.0345,0.0980,0.1245,0.1693,0.1487,0.2575,0.2591,0.2204,0.2040,0.2085,0.2839,0.2238,0.2414,0.1951,0.1716,0.1737,0.1708,0.1555,0.1214
22,Income Tax expense (Gain),- -,149664666,160947801,240761280,200784707,-91631575,69921946,247034171,346270723,205467989,508320050,706226126,709042832,723154562,887433211,840258115,957918791,921763576,738365127,537494058,519134000,437932000,236346000,567000000,806292000
23,Net Income,- -,185982511,-147567176,157401600,61921410,-310562343,20970946,79753672,132088751,537033571,378259830,894002942,1301315390,1016214040,723044988,769795060,1251176884,943591013,932837551,572927819,709043000,1201381000,1614085000,825000000,740859000
24,Net Income ratio,- -,0.0582,-0.0344,0.0348,0.0138,-0.0900,0.0053,0.0164,0.0212,0.0735,0.0402,0.0858,0.1024,0.0741,0.0575,0.0603,0.1156,0.0839,0.1248,0.0803,0.0739,0.0991,0.1146,0.0734,0.0463
25,EPS,738.11,1.31,-1.04,0.91,0.39,-1.92,0.05,0.12,0.19,0.79,0.55,1.31,1.91,1.49,1.06,1.13,1.25,1.10,0.94,0.57,0.61,1.03,1.23,0.54,0.49
26,EPS Diluted,738.11,1.31,-1.04,0.91,0.39,-1.92,0.05,0.12,0.19,0.79,0.55,1.31,1.91,1.49,1.06,1.13,1.25,1.10,0.94,0.57,0.61,1.03,1.23,0.54,0.49
27,Weighted Average Shares Outstanding,140020784,142080210,142005631,173142454,156820221,161457215,173142454,656229467,682888705,681708002,681784866,681860211,682560570,681474260,681828598,679335280,997551168,914999031,997551168,1011287510,1167421321,1167421321,1309612813,1521726221,1521726221
28,Weighted Average Shares Outstanding Diluted,140020784,142080210,142005631,173142454,173142454,173142454,173142454,681859877,682888705,681860211,681860211,681860211,682560570,681474260,681828598,679335280,997551168,914999031,997551168,1011287510,1167421321,1167421321,1309612813,1521726221,1521726221
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912505/000156459018009655/0001564590-18-009655-index.htm,https://www.sec.gov/Archives/edgar/data/912505/000110465919024154/0001104659-19-024154-index.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,269010738,475374978,913028884,643324882,717244609,164615058,1187497330,2236889526,2009232025,2349202368,1749055231,3052136378,2812830042,1671080311,2692955914,1472763000,1904285000,1938997000,1506993000,1396253000
32,Short-Term Investments,- -,- -,- -,- -,- -,2142087,18763956,22178766,10312948,17115955,23689306,164503769,2943673,16338594,1808656,396675800,1428380764,150115514,88354879,103530613,107780000,142385000,100352000,24110000,279338000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,271152824,494138935,935207651,653637830,734360564,188304364,1352001099,2239833199,2025570619,2351011024,2145731031,4480517142,2962945556,1759435190,2796486527,1580543000,2046670000,2039349000,1531103000,1675591000
34,Net Receivables,- -,- -,- -,- -,- -,1077895781,1090060001,1453330752,1482311909,1886955438,2512764262,2201669486,2502848235,2212410978,1950512591,2271006241,2449894631,2987656243,1606205846,1709670509,2520701000,3616353000,3628147000,3570967000,4519465000
35,Inventory,- -,- -,- -,- -,- -,83811122,74526382,91766366,137135159,123776323,211722583,163173342,111005278,130942061,150061219,170298165,147787234,220308253,134031634,99327027,246089000,339398000,396239000,471433000,538276000
36,Other Current Assets,- -,- -,- -,- -,- -,266001064,268852643,254041351,254397731,337394124,1626669226,972623916,214652406,518056407,412665945,216182151,324610020,316063072,7658449312,176524476,198088000,381565000,517519000,605753000,329147000
37,Total Current Assets,- -,- -,- -,- -,- -,1698860791,1927577961,2734346120,2527482629,3082486450,4539460435,4689467843,5068339117,4886980065,4864250780,4803217588,7402809026,6486973123,11158121982,4782008538,4545421000,6383986000,6581254000,6179256000,7062479000
38,PP&E,- -,- -,- -,- -,- -,13712687865,13618078402,13832679385,14848774563,15188207525,16078750940,15785609747,13529084464,14111555955,13947326995,14776985179,14124217563,13586455848,7055028934,7703166521,8092467000,8686827000,9019237000,8577092000,13325481000
39,Goodwill,- -,- -,- -,- -,- -,1176348729,1312628123,1320363175,1362123669,1230206438,1287486248,930459535,2959164670,3086975818,2843111404,2855748232,2607408621,2327908469,626320655,715688198,713175000,1205570000,1173043000,945512000,1470225000
40,Intangible Assets,- -,- -,- -,- -,- -,112311259,129801590,145275857,158885885,170446186,191415469,206756875,2850306955,3035905583,2825768720,2454396563,2229764684,1927549880,1383772970,1812513853,3682479000,5827289000,5527979000,2640357000,5341985000
41,Intangible Assets,- -,- -,- -,- -,- -,1288659987,1442429713,1465639032,1521009554,1400652624,1478901717,1137216410,5809471625,6122881401,5668880124,5310144796,4837173304,4255458349,2010093625,2528202051,4395654000,7032859000,6701022000,- -,6812210000
42,Investments,- -,- -,- -,- -,- -,490839757,527595915,434624065,192047073,216472274,165002526,232373505,103503715,98482484,308207187,854572593,1396906203,985386326,732509229,1032422090,1730184000,2729342000,3000170000,2763501000,3303640000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,23004077,- -,- -,896601046,946005820,731647811,668441575,399261757,319502490,154148282,180782037,200371000,433037000,1088234000,- -,992368000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,327128052,536798439,446256497,823162378,864381807,704919716,705149894,630186695,1016310521,927001815,755018808,677194300,636405514,673405583,646819413,1204893000,2130305000,3386467000,9413709000,3462760000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,15819315660,16124902469,16179198979,17384993568,17692718307,18427574900,17860349556,20968847545,22295236181,21583063931,22365162951,21434753128,19783208528,10625185653,12091392112,15623569000,21012370000,23195130000,20754302000,27896459000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,17518176451,18052480430,18913545099,19912476196,20775204756,22967035335,22549817400,26037186662,27182216246,26447314711,27168380539,28837562154,26270181651,21783307635,16873400650,20168990000,27396356000,29776384000,26933558000,34958938000
48,Accounts Payable,- -,- -,- -,- -,- -,339619326,407459384,455404502,630907586,983163884,1033629735,978777060,220664841,309742723,756928309,2241389127,2457511947,2901966201,1606933751,1360330263,2005875000,5103388000,2632709000,3042597000,2817333000
49,Short-Term Debt,- -,- -,- -,- -,- -,2287432335,1104504388,877117711,1530411378,836526301,681015517,959888148,1422098817,- -,1294228949,1352292754,1491939229,690139524,870359796,744713563,670916000,1642504000,1478831000,1866655000,1242079000
50,Tax Payable,- -,- -,- -,- -,- -,38214456,80466974,97953803,129533136,268387658,36832894,142494557,365198059,308623309,454182585,364248686,490167090,351456873,320947019,564253348,695981000,413646000,417036000,705792000,906324000
51,Deferred Revenue,- -,- -,- -,- -,- -,12156714,20917837,11667083,7867703,9425903,15721692,16089759,10879104,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1425170000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,346897675,362986424,489670335,699207926,799117652,1764073473,1997491918,2673466090,4721467218,2687092328,1263787063,1714942246,1679350514,3875293364,1722043210,2257544000,2904864000,2624392000,942800000,3736122000
53,Total Current Liabilities,- -,- -,- -,- -,- -,2986106049,1895868032,1833859631,2868394593,2628233739,3494440416,3952246886,4327108852,5031209941,4738249586,4857468944,5664393422,5271456239,6352586911,3827087036,4934335000,9650756000,6735932000,7277222000,7795534000
54,Long-Term Debt,- -,- -,- -,- -,- -,5565978410,5514492502,5882264642,5168872257,6035613823,6615587224,6021973036,6380186603,6381349862,6299648841,5386656574,4942381432,5089074804,2604263960,3485857028,4255197000,4535549000,4889422000,3982088000,5093161000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7001666,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,85696328,41627117,114364597,166302909,- -,45157743,196064910,1129480168,1161880277,979099540,1058813130,751425090,789296443,326985506,329987527,455311000,546070000,643854000,- -,879400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1862413686,680605576,850849852,1230045366,1331928489,1476736824,448600504962054,1624335147,993457752,1150393360,1659354036,1315178990,1459643322,951841471,1340477059,2245640000,3832081000,5260990000,- -,6160750000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,7514088425,6236725195,6847479091,6565220532,7367542312,8137481792,448606723000000,9141003584,8536687891,8429141741,8104823741,7008985512,7338014569,3883090937,5156321613,6956148000,8913700000,10794266000,3982088000,12133311000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18282007169,- -,- -,- -,14017971025,14676029138,- -,- -,- -,- -,- -,13304761000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193609023,- -,- -,117158717,192530061,167944586,110457053,125352818,104492000,121973000,190267000,142565000,248578000
61,Total Liabilities,- -,- -,- -,- -,- -,10500194474,8132593228,8681338722,9433615125,9995776051,11631922208,11001571753,13468112437,13567897832,13167391327,12962292685,12673378935,12609470809,10235677849,8983408649,11890483000,18564456000,17530198000,16599895000,19928845000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,1005155327,3891145491,4095577433,4594008145,4535904153,5208783020,- -,- -,5904005119,- -,5762760965,10771633367,9577339115,8184271639,6912667136,6763204000,6763204000,9783875000,9763078000,15799499000
64,Retained Earnings,- -,- -,- -,- -,- -,306750829,273851305,208974348,579508639,1046496980,781076925,767830736,3974062034,4396711069,4300028140,4939408820,5345905159,5035361802,4766732735,3205290443,3583831000,4841687000,5474411000,5415698000,5768691000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-48091826,- -,- -,-10013678337,-10820785967,-12139836322,-12264891141,-9037046437,-9967273110,-2543623906,-3082690406,-4698928788,-4379440505,-4454133904,-3769594332,-3866564000,-4880883000,-5291999000,-7072917000,-8735261000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,131931109,- -,- -,9881343853,10628023092,11979621294,23045306051,17632058628,7473845203,19317703540,323869681,301643331,-0,- -,-140662151,- -,- -,- -,- -,-272000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1395745439,4286395167,4607195619,5041182300,5389638257,5829644917,5789835301,6934923227,7807288281,7502004521,7943349059,11720253069,10233260411,8496870470,6207701095,6480471000,6724008000,9966287000,8105859000,12832657000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,11895939913,12418988394,13288534340,14474797425,15385414308,17461567125,16791407054,20403035663,21375186113,20669395848,20905641744,24393632004,22842731220,18732548319,15191109744,18370954000,25288464000,27496485000,24705754000,32761502000
69,Minority Interest,- -,- -,- -,- -,- -,5622236539,5633492036,5625010759,5437678771,5389790448,5505468210,5758410346,5634150999,5807030133,5777918863,6262738794,4443930151,3427450431,3050759316,1682290906,1798036000,2107892000,2279899000,2227804000,2197436000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,17518176451,18052480430,18913545099,19912476196,20775204756,22967035335,22549817400,26037186662,27182216246,26447314711,27168380539,28837562154,26270181651,21783307635,16873400650,20168990000,27396356000,29776384000,26933558000,34958938000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912505/000156459018009655/0001564590-18-009655-index.htm,https://www.sec.gov/Archives/edgar/data/912505/000110465919024154/0001104659-19-024154-index.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,185982511,-147567176,157401600,61921410,-310562343,20970946,79753672,132088751,537033571,378259830,894002942,1301315390,1016214040,723044988,769795060,1251176884,943591013,932837551,572927819,709043000,1201381000,1614085000,825000000,740859000
74,Depreciation and Amortization,- -,-437083307,-718600607,-833247989,687218550,1192232055,684660014,760296508,807143946,886991920,965484637,979381775,895563192,938446104,818229993,903423632,827399191,790646836,- -,478610598,648114000,862440000,- -,858000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-481694911,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,241630821,333276639,110559203,98530804,98012299,206419365,5584789,639773039,-334153725,-734314666,1411827306,-369080813,544049174,110626981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,39637217,60259849,-179997370,176271389,74895088,-147434247,-43358175,-149995482,-339063615,-433829513,-29162452,- -,-342856257,-20767145,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,4100402,65402933,38017788,1779448,16335001,17446261,-12570795,-38602932,8763798,-61415358,11799895,62446527,27953834,-17945569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,139316033,-75143668,37652936,-79326376,-66350869,32922513,-16953934,34318775,205026878,438628936,- -,- -,269201649,-345354716,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182440696,-274285068,- -,259164443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,1310176006,1583430327,1451651224,126114562,-108320141,54219941,266774929,156364011,529731106,1307074289,-275159566,2671444976,1563028335,1618796372,1510484857,1153278322,1067524832,1779228352,1509393419,512843000,-2063821000,-1614085000,-1683000000,-740859000
83,Cash Provided by Operating Activities,- -,1300706031,1050539183,886364037,973785326,871361871,966270265,1112409898,1735369747,1619602872,1916504089,3010052456,4017547835,4061737653,3270698335,3183703550,3231854397,2801762682,2712065903,2560931836,1870000000,- -,- -,- -,- -
84,CAPEX,- -,-401058348,-678787993,-564389089,-501719228,-441266632,-435277461,-478681832,-616486290,-972368960,-1192863080,-1294713928,-1451565959,-1465802001,-1321042093,-1458847376,-1468292445,-1792576792,-1921211520,-1243949268,-1370626000,-1540619000,-1658890000,-1553491000,-3011611000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7736637,- -,- -,-39246871,- -,24383664,- -,-2733379694,-792669939,-492122420,-745609805,-1035515000,-1926103000,-342907000,-215626000,- -
86,Purchases of Investments,- -,- -,- -,-178383602,-18919460,-32569804,-5024486,-619126,-64360896,-65890359,-222442104,-57594298,-651969992,- -,- -,- -,-6623238,-44028144,-9712565,-8790820,-13860000,-3079000,-3909000,-5070000,-1287970000
87,Sales/Maturities of Investments,- -,- -,- -,860126762,- -,- -,204913632,4603936,3240211,65983121,239256170,12106607,8566829,- -,- -,- -,1683726793,1886543876,582438959,770761298,262099000,308565000,299920000,197420000,1291825000
88,Other Investing Activites,- -,-735826867,-2342921402,173250614,-219173644,6248725,384035734,125666990,35345017,26588437,-212557998,118175704,11042340,-630885909,-266689906,-654126692,-122623047,-181578780,-256395651,73785439,-1009399000,-698137000,-661303000,-698513000,-96948000
89,Cash Used for Investing Activites,- -,-1136885216,-3021709396,290604686,-739812332,-467587712,148647420,-349030032,-642261957,-953424398,-1388607012,-1222025915,-1709382427,-1621382531,-1201578404,-1730493171,-2325385467,-494483530,-1713571653,-743301710,-2479141000,-3069189000,-1599798000,-1535616000,-1934297000
90,Debt Repayment,- -,-2682346183,-6087344671,-4099848892,-3130630334,-1637039739,-4415741105,-2152582631,-1752509450,-2754139394,-1692276260,-2146292788,-2128741713,-1597630866,-1234148885,-1380469789,-1087631941,-2127016705,-894891158,-1184807719,-1432822000,-4332977000,-7503954000,-1853157000,-3369121000
91,Common Stock Issued,- -,- -,- -,517190861,- -,- -,919153881,- -,- -,- -,5675339,- -,- -,- -,186793,- -,2148553284,14493214,- -,- -,- -,- -,2999874000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-18218842,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140662151,- -,- -,- -,- -,-282000
93,Dividends Paid,- -,-342383551,-52553730,-247322604,-212212882,-139419484,-135897685,-174623696,-235779336,-335426677,-1110658157,-821791554,-1140435355,-1162221912,-1248060035,-1116047048,-915887688,- -,-862984708,-645105056,-543774000,-591958000,-723983000,-1057692000,-962959000
94,Other Financing Activites,- -,3022386647,7516203259,2490144547,3252630037,1380823895,2917759508,1986782687,534620448,2531631304,2438866468,2425696168,690308851,78339374,765396254,431865918,494820520,-5184939,262973596,864306000,1388076000,6792001000,4405159000,1724314000,3737612000
95,Cash Used/Provided by Financing Activities,- -,-2343087,1376304858,-1339836088,-90213179,-395635329,-732944242,-340423640,-1453668339,-557934766,-358392610,-542388174,-2578868217,-2681513405,-1716625874,-2064650919,639854176,-2117708430,-1494902271,-1106268926,-588520000,1867066000,-822904000,-1186535000,-594750000
96,Effect of Forex Changes on Cash,- -,9860490,-88752474,6771815,-110163,-3469489,-200994906,-48625549,-40715756,27378842,39138444,-190319610,-90307803,-121552406,145426930,-128142714,-44266966,-27231133,-32834922,-6777528,-19081000,-210920000,-70097000,-135363000,-197269000
97,Net Change In Cash,- -,171435847,-683617828,-156095550,143649652,4669342,180978536,374330677,-401276306,135622550,208559580,1055318758,-361010612,-362710688,497920987,-739584148,1502055464,162339579,-529243504,704584378,-1216693000,431522000,34712000,-432004000,-110740000
98,Cash at the End of Period,- -,359761444,366147740,197507264,319973944,307014050,556743389,985027199,699717058,826489742,1157654975,2038503368,2236889526,2009232025,2349202368,1749055231,3052136378,2812879050,1874489512,2692955914,1472763000,1904285000,1938997000,1506993000,1396253000
99,Cash at the Beginning of Period,- -,188325597,1049765569,353602813,176324291,302344708,375764852,610696522,1100993364,690867192,949095395,983184610,2597900138,2371942714,1851281381,2488639379,1550080914,2650539472,2403733016,1988371536,2689456000,1472763000,1904285000,1938997000,1506993000
100,Free Cash Flow,- -,899647682,371751190,321974949,472066098,430095239,530992805,633728067,1118883456,647233913,723641009,1715338528,2565981876,2595935652,1949656242,1724855280,1763561276,1009185880,790853822,1316983274,499423000,303946000,868621000,872019000,-396035000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912505/000156459018009655/0001564590-18-009655-index.htm,https://www.sec.gov/Archives/edgar/data/912505/000110465919024154/0001104659-19-024154-index.htm,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
