,https://roic.ai/company/VNO-PL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-103243000,-112467000,-812000000,-45000000,- -,- -,- -,-78954000,-28000000,-243300000,-299400000,- -,- -,-246250000,- -,-470000000,-893000,- -,-300000000
93,Dividends Paid,- -,- -,- -,- -,- -,-4100000,-16500000,-17500000,-30500000,-43200000,-52900000,-59600000,-93000000,-173300000,-183800000,-204503000,-335954000,-337586000,-348692000,-401400000,-583125000,-594904000,-581955000,-619093000,-319473000,-529968000,-570209000,-773294000,-629101000,-629299000,-555329000,-556098000,-561006000,-534463000,-553916000,- -,-471989000
94,Other Financing Activites,- -,- -,- -,- -,- -,14900000,18600000,29800000,343000000,12000000,180700000,99800000,1735200000,1948000000,1114900000,1311971000,991843000,504279000,918040000,1181466000,1697160000,4210241000,2741667000,1620435000,2522935000,2518225000,3716562000,3935267000,2368707000,1995899000,4135733000,2251184000,854343000,566902000,1038207000,- -,2326755000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-10400000,-9800000,4400000,-56400000,-32100000,36600000,-15000000,1220000000,879800000,262100000,473813000,-179368000,-533092000,-286317000,-35224000,683828000,3030655000,1291657000,7677000,-1382752000,-95415000,-621974000,170979000,-2139894000,54342000,643826000,-446154000,-338344000,-1122826000,-2235589000,- -,-29477000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-10400000,-9800000,4400000,-56400000,-32100000,36600000,-15000000,1220000000,879800000,-55200000,24359000,128595000,-57384000,112342000,278740000,-304778000,1938813000,-1078722000,372258000,-991374000,155310000,-84236000,353766000,-377029000,615187000,637230000,-334680000,315481000,-1197907000,890226000,- -,199982000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112600000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1501027000,1914812000,716905000,1607131000,- -,1930351000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,84900000,5500000,14700000,51500000,24100000,23600000,19100000,89700000,356000000,167800000,112630000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1599331000,1914812000,716905000,- -,1730369000
100,Free Cash Flow,- -,- -,- -,- -,- -,-36600000,28500000,4700000,400000,21500000,46300000,55900000,-800400000,-775500000,-218900000,-121721000,320595000,499825000,528951000,664693000,762678000,824668000,-2341793000,817812000,633579000,771086000,702499000,825049000,1040789000,1135310000,672150000,1000667000,860142000,728032000,223604000,424240000,761806000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
