,https://roic.ai/company/FENC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126000
14,Depreciation and Amortization,52009,55234,123763,1605814,2518006,3055000,2428000,192000,164000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000,14000
15,EBITDA,-1545301,-2399425,-4238555,-5218340,-6903499,-14930000,-14614000,-13998000,-13722000,-2601000,-1353000,-3395000,-3600000,-1932000,-3576000,-3118000,-2959000,-6817000,-10576000,-13009000,-17483000,-17209000
16,EBITDA ratio,-2287030.8430,-3631530.0168,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1605618,-2648827,-4040959,-6744718,-9421505,-18346000,-19063000,-14190000,-13886000,-3216000,-4604000,-3438000,-3620000,-1931000,-2877000,-1890000,-2871000,-6951000,-10409000,-13009000,-17885000,-17223000
18,Operating Income ratio,-2376299.4317,-4009001.1225,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),8309,194170,321358,79437,-171136,-3189000,-1575000,- -,- -,-229000,-3251000,8123000,-1543000,3776000,701000,1231000,82000,-95000,521000,234000,-224000,-123000
20,Income Before Tax,- -,- -,- -,-6665281,-9592642,-21535000,-20638000,- -,- -,- -,- -,4685000,-5163000,1845000,-2176000,-659000,-2789000,-7046000,-9888000,-12775000,-18109000,-17346000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,-518196,-854681,-2290000,-1535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1597310,-2454658,-3719600,-6147085,-8736960,-19245000,-19103000,-13357000,-13600000,-3012000,-7823000,4685000,-5163000,1845000,-2176000,-659000,-2789000,-7046000,-9888000,-12775000,-18109000,-17346000
24,Net Income ratio,-2364003.6704,-3715126.0402,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-3.10,-20.68,-19.26,-20.14,-15.65,-20.45,-16.69,-4.59,-4.59,-0.83,-1.25,0.60,-0.63,0.18,-0.22,-0.06,-0.22,-0.47,-0.52,-0.64,-0.76,-0.67
26,EPS Diluted,-3.10,-20.68,-19.26,-20.14,-15.65,-20.45,-16.69,-4.59,-4.59,-0.83,-1.25,0.57,-0.63,0.18,-0.22,-0.06,-0.22,-0.47,-0.52,-0.64,-0.76,-0.67
27,Weighted Average Shares Outstanding,536639,122023,192508,309637,580747,941263,1142260,2793665,3073005,3073005,6908492,7994325,8385991,9719323,9871000,10827000,12765000,15014000,19015385,19960938,23704000,26007000
28,Weighted Average Shares Outstanding Diluted,536639,607094,962544,1421015,2627105,941263,1142260,2793665,3073005,3073005,6908492,8016658,8385991,10571322,9871000,10827000,12765000,15014000,19015385,19960938,23704000,26007000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211583/000119312508069303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000119312509067881/0001193125-09-067881-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000111650210000268/0001116502-10-000268-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420411019011/v216950_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420412017470/0001144204-12-017470-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420413019057/0001144204-13-019057-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420414019399/v372442_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420415020272/v404663_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420416090604/0001144204-16-090604-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420417017299/0001144204-17-017299-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420418017571/0001144204-18-017571-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420419014220/0001144204-19-014220-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465920021132/0001104659-20-021132-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465921043756/0001104659-21-043756-index.htm,https://www.sec.gov/Archives/edgar/data/1211583/000155837022002334/0001558370-22-002334-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,111116,9350861,207061,2151480,13672891,11969000,5665000,16162000,5349000,685000,5947000,5297000,2303000,1663000,2307000,942000,3926000,28260000,22781000,13650000,30344000,21100000
32,Short-Term Investments,- -,- -,5368175,- -,7109664,1175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,111116,9350861,5575236,2151480,20782555,13144000,5665000,16162000,5349000,685000,5947000,5297000,2303000,1663000,2307000,942000,3926000,28260000,22781000,13650000,30344000,21100000
34,Net Receivables,29868,135029,138434,22272,39031,144000,103000,185000,139000,69000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,294888,449312,470218,1158889,853680,111000,127000,214000,151000,79000,46000,54000,62000,89000,65000,77000,46000,141000,169000,234000,- -,1287000
37,Total Current Assets,435872,9935202,6183887,3332640,21675266,13399000,5895000,16561000,5639000,833000,5993000,5351000,2365000,1752000,2372000,1019000,3972000,28401000,22950000,13884000,30344000,22387000
38,PP&E,207322,519990,632915,486273,420335,892000,293000,648000,421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,14154000,9956000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,14154000,9956000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-1,- -,- -,21840710,19638644,- -,440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000,- -,27000
45,Total Non-Current Assets,207321,519990,632915,22326983,20058979,15046000,10689000,648000,421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000,- -,27000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000,- -
47,Total Assets,643193,10455192,6816803,25659624,41734245,28445000,16584000,17209000,6060000,833000,5993000,5351000,2365000,1752000,2372000,1019000,3972000,28401000,22950000,14146000,31417000,22414000
48,Accounts Payable,423503,441273,634863,1040105,1475175,1385000,2074000,532000,547000,318000,272000,342000,259000,212000,308000,297000,244000,855000,1032000,1612000,1571000,777000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,56008,83980,59227,47514,- -,1279000,2621000,1870000,1883000,102000,10645000,5129000,7063000,2995000,1451000,174000,158000,789000,605000,659000,776000,889000
53,Total Current Liabilities,479511,525253,694089,1087618,1475175,2664000,4695000,2402000,2430000,420000,10917000,5471000,7322000,3207000,1759000,471000,402000,1644000,1637000,2271000,2347000,1654000
54,Long-Term Debt,33382,8772,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,7937757,7164707,5174000,3639000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,83569,101382,41956,1323702,92074,550000,665000,659000,577000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3334000
58,Total Non-Current Liabilities,116951,110155,41956,9261459,7256781,5724000,4304000,659000,577000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3334000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,596461,635408,736045,10349077,8731956,8388000,8999000,3061000,3007000,427000,10917000,5471000,7322000,3207000,1759000,471000,402000,1644000,1637000,2271000,2347000,4988000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,64929000,- -,- -,- -,65952000,66790000,68656000,69153000,74515000,103045000,106392000,106392000,140733000,140801000
64,Retained Earnings,-3007525,-5395614,-9104541,-16583023,-25492307,-52399000,-71502000,-84379000,-97979000,-100991000,-108813000,-105380000,-110543000,-108698000,-110874000,-111533000,-114322000,-121368000,-131256000,-144031000,- -,-179486000
65,Other Comprehensive Income/Loss,-72157,-170325,-352663,12925210,22231710,5850000,5850000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000,1243000
66,Other Total Stockholders Equity,3126414,15385723,15537961,32543171,58881905,- -,79736000,97527000,34860000,100397000,102889000,104260000,38391000,39210000,41588000,41685000,42134000,43837000,44934000,48271000,-112906000,53214000
67,Total Stockholders Equity,46732,9819784,6080758,15310547,33002289,20057000,7585000,14148000,3053000,406000,-4924000,-120000,-4957000,-1455000,613000,548000,3570000,26757000,21313000,11875000,29070000,15772000
68,Total Liabilities And Stockholders Equity,643193,10455192,6816803,25659624,41734245,28445000,16584000,17209000,6060000,833000,5993000,5351000,2365000,1752000,2372000,1019000,3972000,28401000,22950000,14146000,31417000,20760000
69,Minority Interest,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654000
70,Total Liabilities & Equity,643193,10455192,6816803,25659624,41734245,28445000,16584000,17209000,6060000,833000,5993000,5351000,2365000,1752000,2372000,1019000,3972000,28401000,22950000,14146000,31417000,22414000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211583/000119312508069303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000119312509067881/0001193125-09-067881-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000111650210000268/0001116502-10-000268-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420411019011/v216950_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420412017470/0001144204-12-017470-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420413019057/0001144204-13-019057-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420414019399/v372442_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420415020272/v404663_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420416090604/0001144204-16-090604-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420417017299/0001144204-17-017299-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420418017571/0001144204-18-017571-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420419014220/0001144204-19-014220-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465920021132/0001104659-20-021132-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465921043756/0001104659-21-043756-index.htm,https://www.sec.gov/Archives/edgar/data/1211583/000155837022002334/0001558370-22-002334-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1597310,-2454658,-3719600,-6147085,-8736960,-19245000,-19103000,-13357000,-13600000,-3012000,-7823000,4685000,-5163000,1845000,-2176000,-659000,-2789000,-7046000,-9888000,-12775000,-18109000,-17346000
74,Depreciation and Amortization,52009,55234,123763,1605814,2518006,3055000,2428000,192000,164000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000,14000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,326000,87000,1061000,97000,703000,2258000,2097000,3082000,84000,266000
77,Change in Working Capital,351847,9453587,-3920150,-3244776,17955069,-9465092,-9535000,12959000,-10950000,-2796000,-5337000,4804000,-4837000,3502000,2068000,-65000,3022000,23187000,-5444000,-9700000,16384000,-7264000
78,Accounts Receivable,- -,- -,- -,- -,- -,2000,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,-54000,611000,177000,580000,-41000,-794000
81,Other Working Capital,-43639,9409948,5489798,2245022,20200092,10735000,1200000,14159000,3209000,413000,-4924000,-120000,-4957000,-1455000,613000,548000,3570000,26757000,21313000,11613000,27997000,20733000
82,Other Non-Cash Items,-30388,-9742629,4286971,2353152,-17725888,13394092,14270000,-13097000,13578000,1120000,11232000,-12965000,6680000,-7644000,-2652000,-1235000,-3060000,-22040000,5409000,10333000,-14356000,10108000
83,Cash Provided by Operating Activities,-1223842,-2688466,-3229017,-5432894,-5989772,-12261000,-13475000,-13303000,-10808000,-4688000,-1928000,-3226000,-2994000,-2210000,-1699000,-1862000,-2124000,-3641000,-7826000,-9060000,-15595000,-14222000
84,CAPEX,-32316,-331604,-298723,-69786,-155124,-102000,-5000,-73000,-15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-5368175,- -,-7109664,-3435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6043891,- -,2260000,1175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,8404,-130103,-861928,193155,22000,- -,-2000,- -,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-32316,-323200,-5797000,5112177,-7071633,-1255000,1170000,-75000,-15000,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1229418,12278156,- -,4454,23657845,8134000,6096000,23915000,- -,- -,7190000,2566000,- -,1570000,2182000,- -,5000000,27381000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,51066,-24286,-33343,2234629,901718,-175000,-42000,-40000,7000,- -,- -,- -,- -,- -,161000,497000,108000,594000,2347000,-71000,32289000,4978000
95,Cash Used/Provided by Financing Activities,1280484,12253870,-33343,2239083,24559564,7959000,6054000,23875000,7000,- -,7190000,2566000,- -,1570000,2343000,497000,5108000,27975000,2347000,-71000,32289000,4978000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24326,9242204,-9059360,1918366,11499160,-5557000,-6251000,10497000,-10813000,-4664000,5262000,-650000,-2994000,-640000,644000,-1365000,2984000,24334000,-5479000,-9131000,16694000,-9244000
98,Cash at the End of Period,111116,9350861,207061,2151480,13672891,11916000,5665000,16162000,5349000,685000,5947000,5297000,2303000,1663000,2307000,942000,3926000,28260000,22781000,13650000,30344000,21100000
99,Cash at the Beginning of Period,86790,108657,9266421,233114,2173732,17473000,11916000,5665000,16162000,5349000,685000,5947000,5297000,2303000,1663000,2307000,942000,3926000,28260000,22781000,13650000,30344000
100,Free Cash Flow,-1256158,-3020070,-3527740,-5502680,-6144896,-12363000,-13480000,-13376000,-10823000,-4688000,-1928000,-3226000,-2994000,-2210000,-1699000,-1862000,-2124000,-3641000,-7826000,-9060000,-15595000,-14222000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1211583/000119312508069303/d10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000119312509067881/0001193125-09-067881-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000111650210000268/0001116502-10-000268-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420411019011/v216950_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420412017470/0001144204-12-017470-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420413019057/0001144204-13-019057-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420414019399/v372442_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420415020272/v404663_10k.htm,https://www.sec.gov/Archives/edgar/data/1211583/000114420416090604/0001144204-16-090604-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420417017299/0001144204-17-017299-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420418017571/0001144204-18-017571-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000114420419014220/0001144204-19-014220-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465920021132/0001104659-20-021132-index.html,https://www.sec.gov/Archives/edgar/data/1211583/000110465921043756/0001104659-21-043756-index.htm,https://www.sec.gov/Archives/edgar/data/1211583/000155837022002334/0001558370-22-002334-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
