,https://roic.ai/company/ENOB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,-51.3930,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,-177539,- -,-462787,-64877,-111716,- -,- -,-125276
23,Net Income,-29945,-37589,-2370883,- -,-1735239,-2392830,-9151865,-18016480,-11416358,-26723607
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-40.5724,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.01,-0.32,- -,-0.18,-0.20,-0.42,-0.48,-0.25,-0.57
26,EPS Diluted,-0.01,-0.01,-0.32,- -,-0.18,-0.20,-0.42,-0.48,-0.25,-0.57
27,Weighted Average Shares Outstanding,3210383,5000000,7500142,- -,9533290,12266441,21940489,37552062,46330743,47167262
28,Weighted Average Shares Outstanding Diluted,3210383,5000000,7500142,- -,9533290,12266441,21940489,37552062,46330743,47167262
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390013003650/0001213900-13-003650-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390017010130/0001213900-17-010130-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112218000094/0001731122-18-000094-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112219000575/0001731122-19-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112220000975/0001731122-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112221001565/0001731122-21-001565-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,336,6744,3008831,- -,23368,3941712,15600865,12282224,8696361,20664410
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,336,6744,3008831,- -,23368,3941712,15600865,12282224,8696361,20664410
34,Net Receivables,13219,13219,8016,- -,695418,223777,122866,20794,1982,1640
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2029502,- -,13693,33391,38284,191969,242866,232943
37,Total Current Assets,13555,19963,5046349,- -,732479,4198880,15762015,12494987,8941209,20898993
38,PP&E,- -,- -,- -,- -,- -,- -,27402,687517,2481977,2155342
39,Goodwill,- -,- -,- -,- -,- -,- -,11640000,11640000,11640000,11640000
40,Intangible Assets,- -,- -,186414,- -,135743,124393,152095459,154917299,154901323,154889906
41,Intangible Assets,- -,- -,186414,- -,135743,124393,163735459,166557299,166541323,166529906
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,7146,- -,2609,198879,137550,137550,137550,20984
45,Total Non-Current Assets,- -,- -,193560,- -,138352,323272,163900411,167382366,169160850,168706232
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13555,19963,5239909,- -,870831,4522152,179662426,179877353,178102059,189605225
48,Accounts Payable,- -,- -,923887,- -,1185115,669973,806809,538563,592877,320559
49,Short-Term Debt,5000,63735,99951,- -,102882,2089844,- -,- -,271285,292409
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,22235,7497,733826,- -,220232,229601,66913,571853,470636,1272925
53,Total Current Liabilities,27235,71232,1757664,- -,1508229,2989418,873722,1110416,1334798,1885893
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5780787,7018448
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,22891000,5667000,4714213,6037945
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,22891000,5667000,10495000,13056393
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1803064,1531743
61,Total Liabilities,27235,71232,1757664,- -,1508229,2989418,23764722,6777416,11829798,14942286
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500,500,953,- -,953,1243,3616,4527,4650,5222
64,Retained Earnings,-38680,-76269,-21892007,- -,-26300694,-28693524,-37595389,-52771840,-64188198,-90911805
65,Other Comprehensive Income/Loss,- -,- -,275249,- -,564293,352832,205680,101818,-41416,-10834
66,Other Total Stockholders Equity,24500,24500,- -,- -,- -,29872183,193283798,225765432,230497225,265580356
67,Total Stockholders Equity,-13680,-51269,3482245,- -,-637398,1532734,155897705,173099937,166272261,174662939
68,Total Liabilities And Stockholders Equity,13555,19963,5239909,- -,870831,4522152,179662427,179877353,178102059,189605225
69,Minority Interest,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -
70,Total Liabilities & Equity,13555,19963,5239909,- -,870831,4522152,179662426,179877353,178102059,189605225
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390013003650/0001213900-13-003650-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390017010130/0001213900-17-010130-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112218000094/0001731122-18-000094-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112219000575/0001731122-19-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112220000975/0001731122-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112221001565/0001731122-21-001565-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-29945,-37589,-2370883,- -,-1735239,-2392830,-9151865,-18016480,-11416358,-26723607
74,Depreciation and Amortization,- -,- -,45201,- -,27395,14528,2858514,71709,108583,391415
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1232241,281545,2164967,1028724,1444798
77,Change in Working Capital,-4945,-37589,3339954,- -,-4064435,1985212,13678831,-3503722,-3778160,11406689
78,Accounts Receivable,- -,- -,17440,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,375388,- -,306297,-515142,119575,-29946,59314,-272318
81,Other Working Capital,-13680,-51269,3288685,- -,-775750,1209462,14888293,11384571,7606411,19013100
82,Other Non-Cash Items,9945,45086,-3048447,- -,4299990,-2016629,-12005294,10776185,3597789,-7130018
83,Cash Provided by Operating Activities,-24945,-30092,-2034175,- -,-1472289,-1177478,-4338269,-8507341,-10459422,-20610723
84,CAPEX,- -,- -,- -,- -,- -,- -,-30000,-716669,-184463,-48892
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-294933,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-13219,- -,-1952034,- -,1052989,-196140,-250799,- -,- -,- -
89,Cash Used for Investing Activites,-13219,- -,-1952034,- -,1052989,-196140,-575732,-716669,-184463,-48892
90,Debt Repayment,- -,- -,-1432213,- -,- -,- -,- -,- -,-272700,-546651
91,Common Stock Issued,25000,- -,7377089,- -,- -,3510000,16712715,- -,- -,31844798
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13500,36500,724931,- -,- -,1996601,- -,6020000,7472700,1303406
95,Cash Used/Provided by Financing Activities,38500,36500,6669807,- -,- -,5506601,16712715,6020000,7200000,32601553
96,Effect of Forex Changes on Cash,- -,- -,306439,- -,21523,-214639,-139561,-114631,-141978,26111
97,Net Change In Cash,38500,6408,2990037,- -,-397777,3918344,11659153,-3318641,-3585863,11968049
98,Cash at the End of Period,336,6744,3008831,- -,23368,3941712,15600865,12282224,8696361,20664410
99,Cash at the Beginning of Period,- -,336,18794,- -,421145,23368,3941712,15600865,12282224,8696361
100,Free Cash Flow,-24945,-30092,-2034175,- -,-1472289,-1177478,-4368269,-9224010,-10643885,-20659615
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390013003650/0001213900-13-003650-index.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527728/000121390017010130/0001213900-17-010130-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112218000094/0001731122-18-000094-index.html,https://www.sec.gov/Archives/edgar/data/1527728/000173112219000575/0001731122-19-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112220000975/0001731122-20-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1527728/000173112221001565/0001731122-21-001565-index.htm
102,false,,,,,,,,,,
