,https://roic.ai/company/PFIE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883808000163/k123107.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883810000227/0001038838-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883811000181/0001038838-11-000181-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883812000173/k033112.htm,https://www.sec.gov/Archives/edgar/data/1289636/000103883813000261/0001038838-13-000261-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690614000885/0001096906-14-000885-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690615000641/0001096906-15-000641-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000128963619000007/0001289636-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963620000004/0001289636-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963621000005/0001289636-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1289636/000128963622000005/0001289636-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,64282,25480,607,- -,226559,1931757,1689386,1914877,808772,4456674,14144796,21292595,11445799,10101932,7358856,9148312,8188270
32,Short-Term Investments,- -,- -,- -,- -,3110,7154,3306,840,- -,- -,- -,- -,4310627,4557740,3822053,2388601,- -
33,Cash and Short-Term Investments,64282,25480,607,- -,229669,1938911,1692692,1915717,808772,4456674,14144796,21292595,15756426,14659672,11180909,11536913,8188270
34,Net Receivables,129208,53575,- -,- -,989313,1092037,2294780,4236240,5879165,8873471,9462378,4400463,8069255,7058420,5675086,4271646,6262799
35,Inventory,230607,156261,- -,- -,691900,624679,1300047,1968740,3463614,6579858,11766535,11046682,6446083,9659571,9571807,8414772,7185248
36,Other Current Assets,4230,- -,- -,- -,812,999,885,22771,1967,453241,112741,315757,437304,473726,1672422,1612444,2599404
37,Total Current Assets,428327,235316,607,- -,1911694,3656626,5288404,8143468,10153518,20363244,35486450,37055497,30709068,31851389,28100224,25835775,24235721
38,PP&E,242075,185696,- -,- -,357613,559326,710460,1982290,2232355,4385881,9275965,8232911,7197499,8020462,12179010,12071905,11250819
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,997701,997701,997701,997701,2579381,2579381,2579381
40,Intangible Assets,5918,4904,3890,- -,- -,- -,- -,- -,- -,- -,594019,529300,494792,429956,1989782,1771870,1549138
41,Intangible Assets,5918,4904,3890,- -,- -,- -,- -,- -,- -,- -,1591720,1527001,1492493,1427657,4569163,4351251,4128519
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8517182,7978380,7399963,6064294,1013683
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501921,452431,72817,85092,- -,- -,163254
44,Other Non-Current Assets,6031,6031,1593,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16989595
45,Total Non-Current Assets,254024,196631,5483,- -,357613,559326,710460,1982290,2232355,4385881,11369606,10212343,17279991,17511591,24148136,22487450,-433320
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,682351,431947,6090,- -,2269307,4215952,5998864,10125758,12385873,24749125,46856056,47267840,47989059,49362980,52248360,48323225,23802401
48,Accounts Payable,297474,224373,98403,- -,147552,216904,206582,645215,1499330,1461138,1040530,893822,1780977,1177985,2633520,1178979,1822559
49,Short-Term Debt,1307984,1180556,1073772,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39451,60428
50,Tax Payable,- -,- -,- -,- -,413862,- -,- -,- -,- -,- -,- -,335375,919728,- -,- -,- -,560445
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,89681,49733,46499,- -,440788,519775,279501,848967,423896,1906717,679715,956158,2160658,2929136,2551859,1196870,1842134
53,Total Current Liabilities,1695139,1454662,1218674,- -,588340,736679,486083,1494182,1923226,3367855,1720245,1849980,3941635,4107121,5185379,2415300,3725121
54,Long-Term Debt,511672,1333125,1185277,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12669,35912
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136106
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631353,632732,- -,- -,439275,522870,136106
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52120,- -,-136106
58,Total Non-Current Liabilities,511672,1333125,1185277,- -,- -,- -,- -,- -,- -,- -,631353,632732,- -,- -,491395,535539,172018
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111496,52120,- -
61,Total Liabilities,2206811,2787787,2403951,- -,588340,736679,486083,1494182,1923226,3367855,2351598,2482712,3941635,4107121,5676774,2950839,3897139
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,38570,19570,19570,- -,45000,45000,45000,45000,45250,47836,53199,53256,53931,49708,50824,51385,51720
64,Retained Earnings,-2171287,-3002667,-3177940,- -,1934032,3213306,4839770,8027541,9460196,15067505,20815188,20849932,25548835,22683577,24705069,22529472,21477929
65,Other Comprehensive Income/Loss,-150772,-171932,- -,- -,-224828,-267019,1000000,-563383,-710935,-1014766,-2000000,-2282682,-2200462,-3000000,-2000000,-2148924,-2100467
66,Other Total Stockholders Equity,759029,799189,760509,- -,- -,487986,-371989,1122418,1668136,7280695,25636071,26164622,20645120,25522574,23815693,24940453,24711801
67,Total Stockholders Equity,-1524460,-2355840,-2397861,- -,1680967,3479273,5512781,8631576,10462647,21381270,44504458,44785128,44047424,45255859,46571586,45372386,44140983
68,Total Liabilities And Stockholders Equity,682351,431947,6090,- -,2269307,4215952,5998864,10125758,12385873,24749125,46856056,47267840,47989059,49362980,52248360,48323225,48038122
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24235721
70,Total Liabilities & Equity,682351,431947,6090,- -,2269307,4215952,5998864,10125758,12385873,24749125,46856056,47267840,47989059,49362980,52248360,48323225,23802401
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883808000163/k123107.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883810000227/0001038838-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883811000181/0001038838-11-000181-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883812000173/k033112.htm,https://www.sec.gov/Archives/edgar/data/1289636/000103883813000261/0001038838-13-000261-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690614000885/0001096906-14-000885-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690615000641/0001096906-15-000641-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000128963619000007/0001289636-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963620000004/0001289636-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963621000005/0001289636-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1289636/000128963622000005/0001289636-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1197754,-831380,-175273,- -,875145,1279274,1626463,3187771,1432655,5607309,5747683,34744,4449535,6080762,2021492,-2175597,-1051543
74,Depreciation and Amortization,42706,40119,- -,- -,40655,60496,91024,198707,243838,359305,1140319,989484,889724,896681,1467007,1176707,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,80530,- -,- -,1280785,678971,841166,1059000,390826,443127,- -
77,Change in Working Capital,-1036680,47466,1279,- -,2541421,1596593,1882374,1846965,1581006,8765097,16770816,1439312,-8438084,976835,-4829423,505630,-2909875
78,Accounts Receivable,- -,- -,- -,- -,95640,112482,-1102711,-2049959,-1494660,-3264108,-912606,5114485,-2591392,911981,1965207,2268435,- -
79,Inventory,72567,74346,- -,- -,-369545,212233,-615346,-703223,-1528107,-3249235,-5472869,641410,1346919,-3417671,1630632,1216200,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,736341,77785,-302782,148921,- -,-92207,- -,- -,- -
81,Other Working Capital,-1266812,-1219346,-1218067,- -,1323354,2919947,4802321,6649286,8230292,16995389,33766205,35205517,26767433,27744268,22914845,23420475,20510600
82,Other Non-Cash Items,964357,-34052,75015,- -,-2980046,-1223084,-3813777,-3709838,-3628091,-12704438,-24254523,4190422,9970470,-3460722,8663300,314533,3961418
83,Cash Provided by Operating Activities,-1227371,-777847,-98979,- -,477175,1713279,-213916,1604135,-370592,2027273,685080,7332933,7712811,5552556,7713202,264400,- -
84,CAPEX,-7748,-29793,- -,- -,-62604,-172120,-210519,-1487628,-550622,-2659295,-6167945,-62465,-611060,-1927906,-4664619,-1547331,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,- -,- -,- -,-4384175,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1598,- -,- -,- -,- -,- -,- -,- -,-334910,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140356,1494568,2799547,- -
88,Other Investing Activites,- -,74813,58500,- -,13430,- -,- -,- -,13770,33910,7867,158641,140462,219063,116785,514448,- -
89,Cash Used for Investing Activites,-7748,45020,58500,- -,-50772,-172120,-210519,-1487628,-536852,-2625385,-6910078,96176,-805508,-1568487,-7437441,1766664,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73628,-57796,- -
91,Common Stock Issued,282100,- -,- -,- -,- -,- -,- -,- -,- -,118512,16424688,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3307544,-4670134,-2743534,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,927209,694025,15606,- -,-205972,- -,- -,- -,- -,4332975,327961,-39342,68537,-563022,-233141,-152639,- -
95,Cash Used/Provided by Financing Activities,1209309,694025,15606,- -,-205972,- -,- -,- -,- -,4451487,16752649,-39342,-3239007,-5233156,-3050303,-210435,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-26969,164039,182064,108984,-198661,-205473,-839529,-241968,97882,-94780,31466,-31173,- -
97,Net Change In Cash,-25810,-38802,-24873,- -,193462,1705198,-242371,225491,-1106105,3647902,9688122,7147799,3766178,-1343867,-2743076,1789456,- -
98,Cash at the End of Period,64282,25480,607,- -,226559,1931757,1689386,1914877,808772,4456674,14144796,21292595,11445799,10101932,7358856,9148312,- -
99,Cash at the Beginning of Period,90092,64282,25480,- -,33097,226559,1931757,1689386,1914877,808772,4456674,14144796,7679621,11445799,10101932,7358856,9148312
100,Free Cash Flow,-1235119,-807640,-98979,- -,414571,1541159,-424435,116507,-921214,-632022,-5482865,7270468,7101751,3624650,3048583,-1282931,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883808000163/k123107.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1289636/000103883810000227/0001038838-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883811000181/0001038838-11-000181-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000103883812000173/k033112.htm,https://www.sec.gov/Archives/edgar/data/1289636/000103883813000261/0001038838-13-000261-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690614000885/0001096906-14-000885-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000109690615000641/0001096906-15-000641-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1289636/000128963619000007/0001289636-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963620000004/0001289636-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1289636/000128963621000005/0001289636-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1289636/000128963622000005/0001289636-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,
