,https://roic.ai/company/GO,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,486414000,406213000,877170000,- -,787047000
67,Total Stockholders Equity,- -,427133000,299951000,745384000,- -,922307000
68,Total Liabilities And Stockholders Equity,- -,1317871000,1376862000,2185529000,- -,2485624000
69,Minority Interest,- -,-1000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1317870000,1376862000,2185529000,- -,2485624000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1771515/000177151520000005/0001771515-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1771515/000177151521000009/0001771515-21-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,10198000,20601000,15868000,15419000,- -,106713000
74,Depreciation and Amortization,37152000,43156000,47057000,50143000,- -,58051000
75,Deferred Income Tax,6579000,4745000,5831000,872000,- -,-19578000
76,Stock Based Compensation,2905000,1659000,10409000,31439000,- -,38084000
77,Change in Working Capital,-9201000,- -,13224000,-27249000,- -,87112000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,-20439000,-18202000,-15292000,-21115000,- -,-25737000
80,Accounts Payable,10041000,13191000,3936000,22599000,- -,4778000
81,Other Working Capital,76224000,76224000,89448000,62199000,- -,149311000
82,Other Non-Cash Items,23242000,14542000,13422000,62211000,- -,-89145000
83,Cash Provided by Operating Activities,70875000,84703000,105811000,132835000,- -,181237000
84,CAPEX,-62851000,-74122000,-67935000,-100267000,- -,-130781000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6715000,-6754000,-8788000,-10825000,- -,-8866000
89,Cash Used for Investing Activites,-65416000,-77820000,-73550000,-108019000,- -,-133786000
90,Debt Repayment,-5222000,-5406000,-725104000,-415678000,- -,-91212000
91,Common Stock Issued,172000,- -,29000,407666000,- -,- -
92,Common Stock Repurchased,-253000,-172000,-34000,- -,- -,- -
93,Dividends Paid,-86454000,-1307000,-153587000,-3645000,- -,-434000
94,Other Financing Activites,87429000,-1050000,861697000,-6121000,- -,121420000
95,Cash Used/Provided by Financing Activities,-4328000,-7935000,-16999000,-17778000,- -,29774000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1131000,-1052000,15262000,7038000,- -,77225000
98,Cash at the End of Period,6853000,5801000,21063000,28101000,- -,105326000
99,Cash at the Beginning of Period,5722000,6853000,5801000,21063000,- -,28101000
100,Free Cash Flow,8024000,10581000,37876000,32568000,- -,50456000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1771515/000177151520000005/0001771515-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1771515/000177151521000009/0001771515-21-000009-index.htm
102,false,,,,,,
