,https://roic.ai/company/UAVS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000107704808000134/0001077048-08-000134-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420414018850/0001144204-14-018850-index.htm,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420416093691/0001144204-16-093691-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000114420417018156/0001144204-17-018156-index.html,https://www.sec.gov/Archives/edgar/data/8504/000158069518000161/0001580695-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570519000030/0001575705-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570520000043/0001575705-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570521000158/0001575705-21-000158-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570522000260/0001575705-22-000260-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,20000,- -,99493,951004,127585,2961819,2770440,767494,1079356,805524,3101682,128035,677936,2601730,717997,23940,14591
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,2971162,1018573,1018573,1018573,1018573,210990,210990,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,20000,- -,99493,951004,127585,5932981,3789013,1786067,2097929,1824097,3312672,339025,677936,2601730,717997,23940,14591
34,Net Receivables,- -,- -,- -,- -,14438,227055,462044,357387,1454405,1221962,2461746,1278509,977488,600255,143799,93,65833,- -,2889
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238794,248218,144327,185733,- -,149482,221167,136,4039
36,Other Current Assets,- -,- -,- -,- -,6673,333536,309312,144468,114436,374592,602834,4060344,2778726,553954,223648,80370,124163,722,1478
37,Total Current Assets,- -,- -,20000,- -,120604,1511595,898941,6434836,5357854,3382621,5401303,7411168,7213213,1678967,1045383,2831675,1129160,24798,22996
38,PP&E,- -,- -,- -,- -,26625,154317,6781237,24447800,26057363,33512775,63755994,66667975,13701949,5514085,1589340,28374,37776,123,2972
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3270984,3108000,3108,64867
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,677118,520573,441,13565
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3948102,3628573,3549,78433
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,345278,9201917,- -,- -,- -,- -,834180,1978953,919239,798809,- -,- -,- -,- -,283
45,Total Non-Current Assets,- -,- -,- -,- -,371903,9356234,6781237,24447800,26057363,33512775,64590174,68646928,14621188,6312894,1589340,3976476,3666349,3671,81688
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,20000,- -,492507,10867829,7680178,30882636,31415217,36895396,69991477,76058096,21834401,7991861,2634723,6808151,4795509,28469,104683
48,Accounts Payable,- -,330000,340000,250000,42299,416834,1016168,1109848,2355692,2384090,2424009,3042835,1142842,294241,217941,197827,57432,160,2527
49,Short-Term Debt,- -,420000,450000,570000,350000,1377930,1723036,6131000,7000,825000,- -,- -,1986660,17925000,4876903,40998,- -,175428,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4892,264472,- -,- -
52,Other Current Liabilities,- -,- -,-10000,- -,95890,322412,87811,1091531,1082903,1347386,4082169,1096521,1131057,1535165,1034827,56695,199971,-173405,14622
53,Total Current Liabilities,- -,750000,780000,820000,488189,2117176,2827015,8332379,3445595,4556476,6506178,4139356,4260559,19754406,6129671,300412,521875,2182,17149
54,Long-Term Debt,- -,- -,- -,- -,25000,6856972,7843163,22114,3826484,8500000,31547255,23011660,16625000,- -,- -,- -,- -,- -,942
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,23908,459689,803624,3150175,2677010,2379265,3027443,2906093,3482415,6715340,8531424,- -,- -,189,10015
58,Total Non-Current Liabilities,- -,- -,- -,- -,48908,7316661,8646787,3172289,6503494,10879265,34574698,25917753,20107415,6715340,8531424,- -,- -,189,10957
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21914
60,Capital Lease Obligations,- -,- -,- -,- -,23908,872619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257363,- -
61,Total Liabilities,- -,750000,780000,820000,537097,9433837,11473802,11504668,9949089,15435741,41080876,30057109,24367974,26469746,14661095,300412,521875,2372,28106
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,4780,4780,4780,4780,752,940,940,202002,7,6,- -,- -
63,Common Stock,- -,40000,40000,40000,13194,22203,4444,67460,73412,73587,115005,7643,8424,8424,16295,12549,15424,59,75
64,Retained Earnings,- -,-3740000,-3750000,-3800000,-2595971,-7423906,-12730974,-18355991,-20450876,-20713343,-20462406,-17280817,-71391881,-87577862,-86429760,-5676091,-8198785,- -,-51054
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-65187,-30982,-63988,- -,-552589,-552589,-552589,-552589,- -,-17007427,-9216200,-87939,-102982,- -,-71
66,Other Total Stockholders Equity,- -,2950000,2950000,2950000,2603374,8866677,8996894,37661719,41825673,42647220,49805811,63825998,68848944,86098040,83401291,12259213,12559971,26354670,127627
67,Total Stockholders Equity,- -,-750000,-760000,-810000,-44590,1433992,-3793624,19377968,20900400,21459655,28910601,46000987,-2533573,-18477885,-12026372,6507739,4273634,26354729,76577
68,Total Liabilities And Stockholders Equity,- -,- -,20000,10000,492507,10867829,7680178,30882636,30849489,36895396,69991477,76058096,21834401,7991861,2634723,6808151,4795509,26357101,104683
69,Minority Interest,- -,- -,- -,-10000,- -,- -,- -,- -,565728,- -,- -,- -,- -,- -,- -,- -,- -,-26328632,- -
70,Total Liabilities & Equity,- -,- -,20000,- -,492507,10867829,7680178,30882636,31415217,36895396,69991477,76058096,21834401,7991861,2634723,6808151,4795509,28469,104683
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000107704808000134/0001077048-08-000134-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420414018850/0001144204-14-018850-index.htm,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420416093691/0001144204-16-093691-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000114420417018156/0001144204-17-018156-index.html,https://www.sec.gov/Archives/edgar/data/8504/000158069518000161/0001580695-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570519000030/0001575705-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570520000043/0001575705-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570521000158/0001575705-21-000158-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570522000260/0001575705-22-000260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-30000,-10000,-50000,-2003103,-4827935,-5307068,-4948091,-2038622,345992,1290453,4573624,-51921854,-13175770,8275032,-2079683,-2522694,-4932450,-30108680
74,Depreciation and Amortization,- -,- -,- -,- -,208921,935330,1107548,915180,- -,- -,- -,- -,- -,- -,- -,65362,- -,173661,1501826
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,274333,- -,- -,- -,- -,- -,- -,- -,110593,260311,401999,4508474
77,Change in Working Capital,- -,- -,-60000,452415,-237996,-1322493,-9092753,9123284,3809802,-3086114,68980,4376687,-319158,-21028093,12991151,7615551,-1923978,-584669,-16769
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-234989,131942,-1097018,232443,-361314,1183237,301021,377233,105772,163,-65740,65833,514265
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34336,-9424,103891,-41406,-15943,12836,-71685,85520,-1981952
80,Accounts Payable,- -,- -,-10000,90000,- -,- -,599334,-138659,1245844,28398,-545112,618826,-1899993,-848601,-94783,-228327,-140395,102380,552741
81,Other Working Capital,- -,-760000,-820000,-367585,-605581,-1928074,-11020827,-1897543,1912259,-1173855,-1104875,3271812,2952654,-18075439,-5084288,2531263,607285,22616,5847
82,Other Non-Cash Items,- -,- -,60000,-542415,596619,4806604,16978855,-4197330,-2532673,5024865,1753388,-6308312,52092337,32105218,-22507672,-7489961,2368071,2684888,11652021
83,Cash Provided by Operating Activities,- -,-30000,-10000,-140000,-1435559,-408494,3686582,1167376,-761493,2284743,3112821,2641999,-148675,-2098645,-1241489,-1778138,-1818290,-2256571,-12463128
84,CAPEX,- -,- -,- -,- -,-139580,-9680120,-3327203,-301565,-6564989,-10362813,-7857286,-7394768,-259697,-258772,-4632,- -,-24445,-179023,-525312
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656693,- -,- -,- -,- -,-925000,- -,- -,-14568897
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-11600,323100,300000,48500,3825000,-214760,448820,989189,4260619,-50000,- -,-635219,- -,-672899,-27403415
89,Cash Used for Investing Activites,- -,- -,- -,- -,-151180,-9357020,-3027203,-253065,-2739989,-10577573,-6751773,-6405579,4000922,-308772,-4632,-1560219,-24445,-779023,-42497624
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-12757641,-911213,-3019630,-33484,-834096,-14035595,-4935595,-686660,-160199,-84559,-40998,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,720800,4313756,- -,- -,3435996,- -,- -,- -,4603812,- -,1681221,5950000,- -,22796742,2907000
92,Common Stock Repurchased,- -,10000,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,-210643,- -,-1110880,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-56263,-433696,-757992,-1392035,-1798274,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,20000,30000,120000,375000,6303269,11274843,38480,4450000,6757064,5771742,18688538,573968,120430,275000,250000,- -,4572068,42703984
95,Cash Used/Provided by Financing Activities,- -,30000,30000,120000,1095800,10617025,-1482798,-872733,3310103,6289884,4179654,3260908,-1556089,-566230,1796022,5904798,-40998,26257930,45610984
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,20000,-20000,-490939,851511,-823419,41578,-191379,-2002946,540702,-502672,2296158,-2973647,549901,2566441,-1883733,23222336,-9349767
98,Cash at the End of Period,- -,- -,20000,- -,99493,951004,127585,169163,2770440,767494,1308196,805524,3101682,128035,677936,2601730,717997,23940333,14590566
99,Cash at the Beginning of Period,- -,- -,- -,20000,590432,99493,951004,127585,2961819,2770440,767494,1308196,805524,3101682,128035,35289,2601730,717997,23940333
100,Free Cash Flow,- -,-30000,-10000,-140000,-1575139,-10088614,359379,865811,-7326482,-8078070,-4744465,-4752769,-408372,-2357417,-1246121,-1778138,-1842735,-2435594,-12988440
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000107704808000134/0001077048-08-000134-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420414018850/0001144204-14-018850-index.htm,- -,https://www.sec.gov/Archives/edgar/data/8504/000114420416093691/0001144204-16-093691-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000114420417018156/0001144204-17-018156-index.html,https://www.sec.gov/Archives/edgar/data/8504/000158069518000161/0001580695-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570519000030/0001575705-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/8504/000157570520000043/0001575705-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570521000158/0001575705-21-000158-index.htm,https://www.sec.gov/Archives/edgar/data/8504/000157570522000260/0001575705-22-000260-index.htm
102,false,,,,,,,,,,,,,,,,,,,
