,https://roic.ai/company/KMDA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,527721,20364770,16866527,16929000,15100000,37400000,23259000,18664000,30338000,32499000,31245000,39069000,- -
33,Cash and Short-Term Investments,- -,13275487,30908477,46083839,41337099,33795000,74200000,52000000,28306000,28632000,43019000,50592000,73907000,109266000,18587000
34,Net Receivables,- -,4129940,5374882,14751733,8288492,14257000,20200000,18700000,25043000,21794000,31972000,29896000,25242000,23053000,35562000
35,Inventory,- -,8098129,8134921,10595859,15395166,20722000,21900000,25400000,26336000,25594000,21070000,29316000,43173000,43042000,71830000
36,Other Current Assets,- -,133735,78670,0,2323962,1056000,1400000,1100000,909000,1057000,822000,1086000,1240000,2553000,4065000
37,Total Current Assets,- -,25637292,44496950,71431430,67344719,69830000,117700000,97200000,80594000,77077000,96883000,110890000,143562000,177914000,130044000
38,PP&E,- -,14296475,16568154,19731735,17481608,18827000,21400000,21800000,21309000,22249000,25178000,25004000,28572000,29119000,29400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,44929,- -,100000,100000,54000,330000,- -,123000,298000,1492000,153592000
41,Intangible Assets,- -,171795,101901,35513,44929,197000,100000,100000,54000,330000,- -,123000,298000,1492000,153592000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1956079,1744989,323000,578560,260000,200000,- -,35000,40000,49000,2099000,1365000,2140000,5631000
45,Total Non-Current Assets,- -,16424348,18415043,20090248,18105097,19284000,21700000,21900000,21398000,22619000,25227000,27226000,30235000,32751000,188623000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,42061640,62911993,91521678,85449816,89114000,139400000,119100000,101992000,99696000,122110000,138116000,173797000,210665000,318667000
48,Accounts Payable,- -,4936846,5992096,18976660,12576195,11994000,14100000,16500000,16917000,16277000,18036000,17285000,24830000,16110000,25104000
49,Short-Term Debt,- -,1452589,87117,18320,12349,5370000,8718000,7492000,37000,412000,614000,562000,1509000,1310000,21771000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,7271939,8176000,5454000,2919000,1921000,4903000,4927000,461000,589000,222000,247000
52,Other Current Liabilities,- -,2741576,2965161,877398,3124540,3639000,4328000,4089000,4064000,5614000,5820000,5261000,5811000,7325000,6935000
53,Total Current Liabilities,- -,9131010,9044374,19872378,22985024,29179000,32600000,31000000,22939000,27206000,29397000,23569000,32739000,24967000,54057000
54,Long-Term Debt,- -,18868059,20909506,23159310,22519706,18747000,7500000,- -,151000,1364000,1370000,716000,4238000,36000,20567000
55,Deferred Revenue,- -,- -,1117479,20263868,16045717,12054000,- -,- -,- -,- -,- -,- -,- -,2025000,15000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1419816,1690078,1739295,1224645,741000,9300000,7700000,6395000,4383000,1851000,1455000,1501000,4999000,67204000
58,Total Non-Current Liabilities,- -,20287875,23717064,45162472,39790068,31542000,16800000,7700000,6546000,5747000,3221000,2171000,5739000,7060000,87786000
59,Other Liabilities,- -,40575749,- -,- -,79580137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5001000,4665000,4314000
61,Total Liabilities,- -,29418885,32761438,65034851,62775092,60721000,49400000,38700000,29485000,32953000,32618000,25740000,38478000,32027000,141843000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4151084,7051761,8199290,7680242,7204000,9200000,9200000,9320000,9320000,10400000,10409000,10425000,11706000,11725000
64,Retained Earnings,- -,-49599454,-71575955,-91584249,-88868628,-80691000,-72800000,-83500000,-95574000,-101669000,-94997000,-73671000,-52229000,-43933000,-46163000
65,Other Comprehensive Income/Loss,- -,-15883856,-18245560,-22218496,4867578,-3402000,-3490000,-3677000,-3477000,-3579000,-3785000,-3509000,-3696000,-3453000,-3585000
66,Other Total Stockholders Equity,- -,73974981,112920309,132090282,98995533,105282000,157060000,158394000,162238000,162671000,177874000,179147000,180819000,214318000,214847000
67,Total Stockholders Equity,- -,12642755,30150555,26486828,22674724,28393000,89970000,80417000,72507000,66743000,89492000,112376000,135319000,178638000,176824000
68,Total Liabilities And Stockholders Equity,- -,42061640,62911993,91521678,85449816,89114000,139370000,119117000,101992000,99696000,122110000,138116000,173797000,210665000,318667000
69,Minority Interest,- -,- -,- -,-0,- -,- -,30000,-17000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,42061640,62911993,91521678,85449816,89114000,139400000,119100000,101992000,99696000,122110000,138116000,173797000,210665000,318667000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1567529/000117891315001343/zk1516595.htm,https://www.sec.gov/Archives/edgar/data/1567529/000117891316004529/0001178913-16-004529-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891317000668/0001178913-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891318000767/0001178913-18-000767-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891319000698/0001178913-19-000698-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000121390020004782/0001213900-20-004782-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-22895697,-12446380,-22034113,-15173098,-3492906,260000,400000,-13200000,-11270000,-6733000,6901000,22296000,22251000,17140000,-2230000
74,Depreciation and Amortization,2126931,2368650,2474927,2777629,2858119,3044000,3001000,2788000,3227000,3501000,3523000,3703000,4519000,4897000,5609000
75,Deferred Income Tax,- -,- -,- -,- -,- -,523000,24000,52000,- -,1722000,269000,-1955000,730000,1425000,345000
76,Stock Based Compensation,240677,307909,1673711,1776499,997110,1267000,1327000,3751000,1907000,1071000,483000,948000,1163000,977000,529000
77,Change in Working Capital,1652061,3097852,1702750,18585453,1439569,-14256000,-10729000,-4309000,-8388000,3914000,-8218000,-14066000,-1716000,-7101000,-14411000
78,Accounts Receivable,190882,1753890,-553592,-8608818,5383605,-6662000,-3445000,-869000,-5604000,3489000,-9967000,2311000,5117000,1332000,-12861000
79,Inventory,1150218,-2200820,190074,-1910659,-6074619,-4861000,-2413000,-3490000,-913000,742000,4524000,-8246000,-13857000,1157000,-2373000
80,Accounts Payable,-198922,528070,1279042,6245226,1184708,-157000,1579000,3261000,887000,-2650000,-838000,-1116000,6259000,-9560000,7917000
81,Other Working Capital,35531,2322926,-2123554,18976378,945875,-3349000,-6270000,-2817000,-2970000,602000,-2336000,-5021000,116000,-1881000,-5068000
82,Other Non-Cash Items,6302729,-6049810,3089765,2664889,-861534,900000,2123000,1000000,545000,-1578000,650000,-380000,624000,1767000,1339000
83,Cash Provided by Operating Activities,-12573299,-12721780,-13092960,10631372,940357,-8262000,-3854000,-9918000,-13979000,1897000,3608000,10546000,27571000,19105000,-8819000
84,CAPEX,-7618932,-3726884,-5270869,-3835693,-1863111,-4609000,-5643000,-3076000,-2718000,-2641000,-4167000,-2884000,-2300000,-5488000,-3730000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96403000
86,Purchases of Investments,- -,-67925,-527721,-19727790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,185009,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,476167,-23258,-10824,224071,757488,2177000,1740000,-23743000,13971000,4278000,-11441000,-2292000,1736000,-7639000,39083000
89,Cash Used for Investing Activites,-7140690,-3600020,-5809413,-23339412,-1105623,-2432000,-3903000,-26819000,11253000,1637000,-15608000,-5176000,-564000,-13127000,-61050000
90,Debt Repayment,-707507,-6269443,-19190917,-68208,-853389,-12000,-4307000,-7728000,-7806000,-211000,-530000,-596000,-1546000,-1595000,-1426000
91,Common Stock Issued,- -,- -,29967344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14965805,31475398,25246635,7636718,474514,2978000,53515000,88000,1451000,1701000,15850000,9000,16000,24959000,20019000
95,Cash Used/Provided by Financing Activities,14258297,25205955,36023062,7568511,-378875,2966000,49208000,-7640000,-6355000,1490000,15320000,-587000,-1530000,23364000,18593000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1039149,220000,793000,-187000,-418000,-103000,-607000,629000,-908000,-1807000,-334000
97,Net Change In Cash,-5455691,9266860,17120689,-6716761,495008,-7508000,42244000,-44564000,-9499000,4921000,2713000,5412000,24569000,27535000,-51610000
98,Cash at the End of Period,3933565,13275487,30380756,25719069,24470573,16866000,59110000,14546000,5047000,9968000,12681000,18093000,42662000,70197000,18587000
99,Cash at the Beginning of Period,9389256,4008627,13260067,32435830,23975565,24374000,16866000,59110000,14546000,5047000,9968000,12681000,18093000,42662000,70197000
100,Free Cash Flow,-20192230,-16448664,-18363829,6795679,-922754,-12871000,-9497000,-12994000,-16697000,-744000,-559000,7662000,25271000,13617000,-12549000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1567529/000117891315001343/zk1516595.htm,https://www.sec.gov/Archives/edgar/data/1567529/000117891316004529/0001178913-16-004529-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891317000668/0001178913-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891318000767/0001178913-18-000767-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000117891319000698/0001178913-19-000698-index.html,https://www.sec.gov/Archives/edgar/data/1567529/000121390020004782/0001213900-20-004782-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
