,https://roic.ai/company/MFON,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,-515,-30727,-1229583,-16312989,-7338927,-16759031,-10440764,-6133046,-9514461,-5946012,-7215649,-8821974,-2918397,-8259784
24,Net Income ratio,- -,-Infinity,-Infinity,-1.3376,-6.4625,-1.7989,-4.0939,-2.6101,-1.3278,-1.1283,-0.6920,-0.6244,-0.8772,-0.2202,-1.0104
25,EPS,- -,-0.00,-0.03,-0.84,-4.68,-1.92,-1.58,-0.49,-0.23,-0.29,-0.16,-0.17,-0.18,-0.06,-0.16
26,EPS Diluted,- -,-0.00,-0.03,-0.84,-4.68,-1.92,-1.58,-0.49,-0.23,-0.29,-0.16,-0.17,-0.18,-0.06,-0.16
27,Weighted Average Shares Outstanding,- -,1000002,1386304,1491767,3485062,3844952,10612007,21203563,26684927,32797631,36575762,42133368,47720507,51575454,51575454
28,Weighted Average Shares Outstanding Diluted,- -,1000002,1386304,1491767,3485062,3844952,10612007,21203563,26684927,32797631,36575762,42133368,47720507,51575454,51575454
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447380/000141588912000550/0001415889-12-000550-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588913000495/0001415889-13-000495-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000141588914001015/0001415889-14-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588915001163/0001415889-15-001163-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276216000365/0001562762-16-000365-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276217000041/0001562762-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276218000130/0001562762-18-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586619000425/0001445866-19-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586620000286/0001445866-20-000286-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276221000136/0001562762-21-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276222000152/0001562762-22-000152-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15000,47758,373439,396,363,2572685,848230,634129,1188485,460059,554255,273599,3282820,735424
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15000,47758,373439,396,363,2572685,848230,634129,1188485,460059,554255,273599,3282820,735424
34,Net Receivables,- -,- -,- -,49215,243846,414671,280667,378934,700356,1244484,885743,1180527,1141674,1249597,578303
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,68030,15924,30009,140114,109846,131345,1179376,209536,736309,601749,319774,227458
37,Total Current Assets,- -,15000,47758,490684,260166,445043,2993466,1337010,1465830,3612345,1555338,2471091,2017022,4852191,1541185
38,PP&E,- -,- -,- -,1609,25316,14111,- -,- -,- -,- -,- -,- -,260645,10444,- -
39,Goodwill,- -,- -,- -,- -,3002070,2259624,3108964,1921072,1921072,803118,803118,537550,496352,496352,411183
40,Intangible Assets,- -,- -,- -,- -,1116506,444112,935316,2010952,2373689,627119,676436,1781448,1762211,1368328,1124720
41,Intangible Assets,- -,- -,- -,- -,4118576,2703736,4044280,3932024,4294761,1430237,1479554,2318998,2258563,1864680,1535903
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,46317,197046,187117,63944,99476,173022,109776,88916,2640969,1328158,1441086,1360862
45,Total Non-Current Assets,- -,- -,- -,47926,4340938,2904964,4108224,4031500,4467783,1540013,1568470,4959967,3847366,3316210,2896765
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15000,47758,538610,4601104,3350007,7101690,5368510,5933613,5152358,3123808,7431058,5864388,8168401,4437950
48,Accounts Payable,- -,515,4000,151943,842777,514949,543647,412551,375363,701347,1096003,1731628,3256888,1935411,3823909
49,Short-Term Debt,- -,- -,- -,- -,1739000,3029653,20000,- -,- -,1011910,2236224,1279590,681276,641676,1048771
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,233318,326525,216993,136523,180941,72624,160023,1429266,1956938,440309,606597,377170
52,Other Current Liabilities,- -,- -,- -,1364318,2273917,5978431,385288,1111398,611459,788748,818023,1083114,847053,896673,745895
53,Total Current Liabilities,- -,515,4000,1749579,5182219,9740026,1085458,1704890,1059446,2662028,5579516,6051270,5225526,4080357,5995745
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,361166,180810,194328,1567529,1499001,1188589
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,2784084,- -,24245,- -,- -,- -,- -,860500,785678,844831,2537797
58,Total Non-Current Liabilities,- -,- -,- -,- -,2784084,- -,24245,- -,- -,361166,180810,1054828,2353207,2343832,3726386
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303803,71469,- -
61,Total Liabilities,- -,515,4000,1749579,7966303,9740026,1109703,1704890,1059446,3023194,5760326,7106098,7578733,6424189,9722131
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,6000,17700,22754,23218,16320,22748,28788,36389,37025,45998,51381,55411,55411
64,Retained Earnings,- -,-515,-31242,-8174253,-24487242,-31826169,-48585200,-59025964,-65159010,-74673471,-80619483,-87835132,-96657106,-99575503,-107835287
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-134810,-156174,- -,- -,- -,- -,- -,- -,- -,-23,-52088
66,Other Total Stockholders Equity,- -,12000,69000,6945584,21234099,25569106,54560867,62666836,70004389,76766246,77945940,88114094,94891380,101264328,102547783
67,Total Stockholders Equity,- -,14485,43758,-1210969,-3365199,-6390019,5991987,3663620,4874167,2129164,-2636518,324960,-1714345,1744213,-5284181
68,Total Liabilities And Stockholders Equity,- -,15000,47758,538610,4601104,3350007,7101690,5368510,5933613,5152358,3123808,7431058,5864388,8168402,4437950
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -
70,Total Liabilities & Equity,- -,15000,47758,538610,4601104,3350007,7101690,5368510,5933613,5152358,3123808,7431058,5864388,8168401,4437950
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447380/000141588912000550/0001415889-12-000550-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588913000495/0001415889-13-000495-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000141588914001015/0001415889-14-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588915001163/0001415889-15-001163-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276216000365/0001562762-16-000365-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276217000041/0001562762-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276218000130/0001562762-18-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586619000425/0001445866-19-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586620000286/0001445866-20-000286-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276221000136/0001562762-21-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276222000152/0001562762-22-000152-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-515,-30727,-1229583,-16312989,-7338927,-16759031,-10440764,-6133046,-9514461,-5946012,-7215649,-8821974,-2918397,-8259784
74,Depreciation and Amortization,- -,- -,- -,6348,751072,549151,270579,416435,361840,709456,386304,425247,600066,696574,707073
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,156785,1405256,821878,1890216,1933335,1659832,1599169,1130297,965161,1163270,773938,997274
77,Change in Working Capital,- -,515,29273,-1276085,-3663158,-4372930,11202991,-2275888,774264,543933,-4974495,443999,371675,3980338,-5226394
78,Accounts Receivable,- -,- -,- -,-6250,-216145,-285884,128613,58883,-527569,-712755,365716,249479,-115288,282734,-365213
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,515,3485,255443,576304,-327828,-17521,-131098,-37188,250693,394006,582700,1581238,-1321012,1888498
81,Other Working Capital,- -,14485,43758,-1258895,-4922053,-9294983,1908008,-367880,406384,950317,-4024178,-3580179,-3208504,771834,-4454560
82,Other Non-Cash Items,- -,- -,-25788,1563578,16929134,8122645,446357,6068580,-664320,3611823,7033582,832330,946676,-3861564,7297233
83,Cash Provided by Operating Activities,- -,- -,-27242,-778957,-890685,-2218183,-2948888,-4298302,-4001430,-3050080,-2370324,-4548912,-5740287,-1329111,-4484598
84,CAPEX,- -,- -,- -,- -,-89189,-11112,-51285,-35264,-783171,-647239,-424817,-525151,-557233,-297195,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,-3000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-286833,- -,-415000,-368019,-736665,-596816,-407327,-504845,-544956,-283870,-378472
89,Cash Used for Investing Activites,- -,- -,- -,- -,-299022,-11112,-466285,-2403283,-783171,-636151,-424817,-3525151,-557233,-297195,-378472
90,Debt Repayment,- -,- -,- -,-128615,-467039,-919208,-1609682,- -,- -,-8080,- -,-3049222,-305345,-534286,- -
91,Common Stock Issued,- -,15000,60000,- -,1011203,- -,6897177,4977130,4570500,1953600,82798,8051958,2800000,3574775,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,13000,1270008,272500,3148470,700000,- -,- -,2298706,983401,3095000,3500000,1620990,2364722
95,Cash Used/Provided by Financing Activities,- -,15000,73000,1141393,816664,2229262,5987495,4977130,4570500,4244226,1066199,8097736,5994655,4661479,2364722
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3639,516,70523,22209,-25952,- -
97,Net Change In Cash,- -,- -,45758,362436,-373043,-33,2572322,-1724455,-214101,554356,-1728426,94196,-280656,3009221,-2547396
98,Cash at the End of Period,- -,15000,47758,373439,396,363,2572685,848230,634129,1188485,460059,554255,273599,3282820,735424
99,Cash at the Beginning of Period,- -,- -,2000,11003,373439,396,363,2572685,848230,634129,2188485,460059,554255,273599,3282820
100,Free Cash Flow,- -,- -,-27242,-778957,-979874,-2229295,-3000173,-4333566,-4784601,-3697319,-2795141,-5074063,-6297520,-1626306,-4484598
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447380/000141588912000550/0001415889-12-000550-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588913000495/0001415889-13-000495-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000141588914001015/0001415889-14-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000141588915001163/0001415889-15-001163-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276216000365/0001562762-16-000365-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276217000041/0001562762-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276218000130/0001562762-18-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586619000425/0001445866-19-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000144586620000286/0001445866-20-000286-index.html,https://www.sec.gov/Archives/edgar/data/1447380/000156276221000136/0001562762-21-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1447380/000156276222000152/0001562762-22-000152-index.htm
102,false,,,,,,,,,,,,,,,
