,https://roic.ai/company/AVDL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1771000,- -,- -,- -,628000,- -,- -,- -,25500000,- -
86,Purchases of Investments,- -,- -,-4238000,- -,- -,- -,- -,- -,-22573000,-424383000,-183614000,-96713000,-70782000,-160968000,-73632000,-25015000,-3567000,-1085000,-68275000,-50591000,-107603000,-151005000,-376310000,-24648000,-131407000,-61769000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,37945000,431055000,262584000,94707000,75216000,138476000,83128000,26382000,18246000,7152000,13678000,20490000,71546000,189009000,359507000,63246000,36284000,102224000
88,Other Investing Activites,-7800000,- -,6781000,4065000,- -,3000,3000,918000,543000,154000,92000,47000,- -,- -,131000,185000,67000,1006000,13242000,- -,- -,-53111000,-20000000,154000,- -,16500000
89,Cash Used for Investing Activites,-9300000,-1600000,1412000,3392000,-737000,-1175000,-1432000,-1923000,2078000,-4500000,72668000,-13231000,911000,-24262000,6028000,-351000,15448000,6044000,-43083000,-31730000,-36630000,-15698000,-36981000,38723000,-69721000,56929000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-272000,-67000,-35000,-2006000,-320000,-552000,-34553000,-4911000,- -,- -,- -,- -,-1701000,- -
91,Common Stock Issued,28500000,700000,10190000,- -,11728000,- -,1000,75482000,764000,13646000,2617000,569000,540000,291000,704000,296000,607000,400000,132260000,6990000,440000,404000,577000,118000,179683000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22361000,-27637000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-600000,-100000,-345000,-40000,-107000,-196000,401000,-154000,4322000,7433000,2864000,2454000,8614000,-1808000,-1443000,7855000,6668000,18426000,-1712000,-25830000,-8394000,-1361000,139719000,-145000,1701000,263000
95,Cash Used/Provided by Financing Activities,27900000,600000,9845000,-40000,11621000,-196000,402000,74430000,5086000,21079000,5481000,3023000,8882000,-1584000,-774000,6145000,6955000,18274000,95995000,-23751000,-7954000,-23318000,112659000,-27000,179683000,263000
96,Effect of Forex Changes on Cash,100000,-1800000,402000,-1180000,-335000,-673000,1477000,10356000,378000,-763000,2486000,3934000,-1577000,-654000,-329000,-199000,22000,252000,-9170000,-3508000,-166000,-297000,-201000,78000,720000,-896000
97,Net Change In Cash,- -,- -,3471000,-2067000,4927000,-4828000,9218000,95090000,3392000,-3573000,50809000,-25515000,708000,-18305000,-532000,-4728000,-714000,3894000,33124000,25304000,-25849000,-22651000,-7239000,449000,61948000,- -
98,Cash at the End of Period,- -,- -,7277000,5210000,10137000,5309000,14527000,109617000,4591000,1018000,51827000,26312000,27021000,8716000,8184000,3456000,2742000,6636000,39760000,65064000,39215000,16564000,9325000,9774000,71722000,- -
99,Cash at the Beginning of Period,1000000,15500000,3806000,7277000,5210000,10137000,5309000,14527000,1199000,4591000,1018000,51827000,26313000,27021000,8716000,8184000,3456000,2742000,6636000,39760000,65064000,39215000,16564000,9325000,9774000,71722000
100,Free Cash Flow,-5700000,-10500000,-9319000,-4912000,-6359000,-3962000,7336000,9386000,-17987000,-30715000,-36220000,-30513000,-11031000,6425000,-9056000,-12226000,-24208000,-21705000,-12346000,82664000,17700000,-37040000,-102894000,-38354000,-48832000,-77336000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1012477/000114420416097865/0001144204-16-097865-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247717000021/0001012477-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247718000008/0001012477-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247719000002/0001012477-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247720000007/0001012477-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000101247721000004/0001012477-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1012477/000110465922034756/0001104659-22-034756-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
