,https://roic.ai/company/PRTC,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Intangible Assets,3344000,3162000,2999000,3871000,3524000,3309000,3080000,667413000,899000
41,Intangible Assets,3344000,3162000,2999000,3871000,3524000,3309000,3080000,- -,899000
42,Investments,- -,- -,- -,- -,- -,- -,- -,725547000,- -
43,Tax Assets,- -,- -,- -,- -,- -,142000,449000,- -,- -
44,Other Non-Current Assets,1225000,254000,83000,163000,148000,131424000,170125000,2948000,531872000
45,Total Non-Current Assets,5645000,4629000,4309000,8553000,10596000,141737000,181977000,772333000,575645000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19185000,16766000,228028000,326755000,298749000,339846000,441763000,941178000,989993000
48,Accounts Payable,1194000,905000,4731000,2393000,2077000,3394000,4644000,11098000,8871000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1455000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,114975000,- -
52,Other Current Liabilities,20236000,21855000,88942000,158131000,202003000,270468000,261120000,11673000,172053000
53,Total Current Liabilities,21430000,22760000,93673000,160524000,204080000,273862000,265764000,139201000,180924000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,14818000
55,Deferred Revenue,1061000,1532000,561000,291000,203000,159000,1366000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6428000,- -,108626000
57,Other Non-Current Liabilities,48000,501000,107000,1887000,2055000,1828000,1233000,- -,32087000
58,Total Non-Current Liabilities,1109000,2033000,668000,2178000,2258000,1987000,9027000,- -,155531000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,151579000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,357000,37843000,35349000
61,Total Liabilities,22539000,24793000,94341000,162702000,206338000,275849000,274791000,290780000,336455000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1272000,1273000,159362000,4523000,4609000,4679000,5375000,5408000,5417000
64,Retained Earnings,-30897000,-35064000,-70421000,-111420000,-160335000,-127873000,-167692000,254444000,260429000
65,Other Comprehensive Income/Loss,-337000,-457000,-649000,-1055000,-2240000,-3876000,-6065000,120224000,-10521000
66,Other Total Stockholders Equity,33056000,33364000,90712000,334075000,335632000,341372000,443889000,287962000,414423000
67,Total Stockholders Equity,3094000,-884000,179004000,226123000,177666000,214302000,275507000,668038000,669748000
68,Total Liabilities And Stockholders Equity,25633000,23909000,273345000,388825000,384004000,490151000,550298000,958818000,1006203000
69,Minority Interest,-6448000,-7143000,-45317000,-62070000,-85255000,-150305000,-108535000,-17640000,-16210000
70,Total Liabilities & Equity,19185000,16766000,228028000,326755000,298749000,339846000,441763000,941178000,989993000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-11054000,-4303000,-41643000,-39393000,-48792000,30869000,-43654000,421144000,5985000
74,Depreciation and Amortization,500000,453000,455000,740000,1570000,2099000,2778000,6665000,6645000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,408000,290000,2811000,11095000,10153000,11849000,12637000,- -,10718000
77,Change in Working Capital,5130000,-5965000,2870000,4807000,1935000,2969000,9964000,15028000,-8525000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,747000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,3564000,751000,24964000,-5860000,-22899000,-136474000,-54521000,-442837000,-146650000
83,Cash Provided by Operating Activities,-1452000,-8774000,-10543000,-28611000,-58033000,-88688000,-72796000,- -,-131827000
84,CAPEX,-1453000,-588000,-420000,-4610000,-3676000,-2171000,-4490000,-12138000,-5424000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2520000,-3488000,-2219000,-385383000,-312825000,-147203000,-169952000,-1280000,-1150000
87,Sales/Maturities of Investments,3773000,3082000,3386000,205752000,273270000,249396000,148062000,- -,380702000
88,Other Investing Activites,-617000,106000,-53000,-1155000,- -,-16420000,-13390000,7129000,-9904000
89,Cash Used for Investing Activites,-200000,-858000,747000,-184241000,-43231000,83682000,-39645000,-6289000,364478000
90,Debt Repayment,-3884000,-18000,-20000,-366000,- -,-163000,-185000,-250000,- -
91,Common Stock Issued,698000,- -,55841000,235656000,27260000,12400000,152030000,- -,-11760000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-66000,-35000,-1280000,-12888000
93,Dividends Paid,-136000,-2000,-96000,- -,- -,-91000,-1062000,- -,- -
94,Other Financing Activites,4578000,5959000,8998000,50647000,2228000,2616000,6139000,51440000,63517000
95,Cash Used/Provided by Financing Activities,1256000,5939000,64723000,285937000,29488000,14696000,156887000,49910000,38869000
96,Effect of Forex Changes on Cash,-7000,9000,-138000,-294000,-16000,- -,-44000,-104000,- -
97,Net Change In Cash,-403000,-3684000,54789000,72791000,-71792000,9690000,44402000,15309000,271521000
98,Cash at the End of Period,10855000,7171000,61960000,134751000,62959000,72649000,117051000,- -,403881000
99,Cash at the Beginning of Period,11258000,10855000,7171000,61960000,134751000,62959000,72649000,- -,132360000
100,Free Cash Flow,-2905000,-9362000,-10963000,-33221000,-61709000,-90859000,-77286000,- -,-137251000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,
