,https://roic.ai/company/SGMO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,325000,447000,423000,284000,287000,317000,594000,497000,327000,423000,326000,310000,499000,968000,1126000,754000,1849000,1506000,5340000,5408000,11986000,15859000
37,Total Current Assets,- -,- -,- -,8200000,66512000,63770000,54096000,45285000,34376000,48462000,55056000,82118000,65852000,85773000,61314000,85692000,68365000,97274000,190879000,212582000,149580000,248397000,410521000,405473000,659668000,398769000
38,PP&E,- -,- -,- -,600000,1982000,2799000,1793000,906000,318000,472000,675000,1770000,1986000,1654000,1673000,1603000,1543000,1406000,1479000,2916000,6557000,31066000,78723000,107215000,112369000,124704000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1585000,1585000,- -,1585000,1585000,40044000,39273000,42798000,39702000
40,Intangible Assets,- -,- -,- -,- -,- -,18370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1870000,1870000,1585000,- -,- -,54866000,53156000,58128000,53760000
41,Intangible Assets,- -,- -,- -,- -,- -,18370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3455000,3455000,1585000,1585000,1585000,94910000,92429000,100926000,93462000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12584000,38663000,47260000,- -,- -,1012000,- -,21832000,50530000,88169000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,400000,431000,78000,338000,41000,31000,49000,49000,12000,12000,12000,12000,41000,41000,40000,139000,152000,169000,4681000,6241000,10567000,15057000,16819000
45,Total Non-Current Assets,- -,- -,- -,1000000,2413000,21247000,2131000,947000,349000,521000,724000,1782000,1998000,1666000,1685000,1644000,14168000,43564000,52333000,4653000,8311000,38344000,179874000,232043000,278882000,323154000
46,Other Assets,539000,6896000,4032000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,539000,6896000,4032000,9200000,68925000,85017000,56227000,46232000,34725000,48983000,55780000,83900000,67850000,87439000,62999000,87336000,82533000,140838000,243212000,217235000,157891000,286741000,590395000,637516000,938550000,721923000
48,Accounts Payable,- -,- -,- -,300000,634000,1261000,937000,815000,906000,1534000,1108000,1554000,1691000,- -,- -,4110000,3046000,3022000,5525000,3905000,2580000,16000,3355000,6671000,12553000,9759000
49,Short-Term Debt,- -,- -,- -,- -,- -,285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3690000,4026000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,451000,375000,120000,785000,4327000,2596000,4944000,7395000,11814000,81000,148000,2304000,2282000,9050000,9120000,4145000,28345000,47564000,38711000,96644000,85711000
52,Other Current Liabilities,- -,- -,- -,700000,1401000,671000,669000,636000,657000,933000,1496000,3183000,2545000,3843000,7011000,2946000,3440000,4827000,6307000,7072000,6566000,16498000,27592000,24490000,30660000,28391000
53,Total Current Liabilities,- -,- -,- -,1000000,2035000,2668000,1981000,1571000,2348000,6794000,5200000,9681000,11631000,15657000,7092000,7204000,8790000,10131000,20882000,20097000,13291000,44859000,78511000,69872000,143547000,127887000
54,Long-Term Debt,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38396000,44055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8847000,6679000,13149000,4699000,4460000,29244000,108273000,81432000,245045000,166776000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748000,748000,- -,- -,- -,6705000,6570000,7185000,6645000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,300000,- -,- -,- -,4375000,1875000,2097000,823000,- -,- -,- -,- -,1570000,1800000,- -,3945000,24738000,29649000,46903000,7011000,1217000
58,Total Non-Current Liabilities,- -,- -,- -,300000,- -,300000,- -,- -,- -,4375000,1875000,2097000,823000,- -,- -,- -,8847000,8997000,15697000,4699000,8405000,53982000,144627000,134905000,297637000,218693000
59,Other Liabilities,105000,487000,628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3945000,24738000,27689000,44406000,42086000,48081000
61,Total Liabilities,105000,487000,628000,1300000,2035000,2668000,1981000,1571000,2348000,11169000,7075000,11778000,12454000,15657000,7092000,7204000,17637000,19128000,36579000,24796000,21696000,98841000,223138000,204777000,441184000,346580000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3300000,89764000,127161000,127234000,127927000,129482000,148162000,350000,403000,410000,450000,454000,526000,531000,622000,690000,703000,709000,856000,1022000,1160000,1421000,1459000
64,Retained Earnings,-325000,-1725000,-5010000,-8800000,-17851000,-43100000,-72864000,-83297000,-97115000,-110408000,-128272000,-149752000,-174054000,-192641000,-217495000,-253245000,-275509000,-302133000,-328550000,-369253000,-440911000,-495479000,-562696000,-656985000,-777981000,-956267000
65,Other Comprehensive Income/Loss,- -,- -,- -,-300000,-632000,-1624000,-2357000,-3182000,-3793000,-4067000,-4238000,-4512000,-5034000,-1404000,-2080000,-2726000,-2952000,-3521000,-3899000,-4846000,-5639000,-6951000,-1000000,-2000000,5419000,-3987000
66,Other Total Stockholders Equity,759000,8134000,8414000,13700000,- -,- -,2233000,3213000,3803000,4127000,180865000,225983000,234074000,265377000,275028000,335577000,342826000,426742000,538392000,565835000,582036000,689474000,929192000,1090379000,1269375000,1334138000
67,Total Stockholders Equity,434000,6409000,3404000,7900000,66890000,82349000,54246000,44661000,32377000,37814000,48705000,72122000,55396000,71782000,55907000,80132000,64896000,121710000,206633000,192439000,136195000,187900000,366518000,432554000,498234000,375343000
68,Total Liabilities And Stockholders Equity,539000,6896000,4032000,9200000,68925000,85017000,56227000,46232000,34725000,48983000,55780000,83900000,67850000,87439000,62999000,87336000,82533000,140838000,243212000,217235000,157891000,286741000,589656000,637331000,939418000,721923000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739000,185000,-868000,- -
70,Total Liabilities & Equity,539000,6896000,4032000,9200000,68925000,85017000,56227000,46232000,34725000,48983000,55780000,83900000,67850000,87439000,62999000,87336000,82533000,140838000,243212000,217235000,157891000,286741000,590395000,637516000,938550000,721923000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001233/000091205702012726/0000912057-02-012726-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000104746903010531/0001047469-03-010531-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000104746904005491/0001047469-04-005491-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014905000054/0000950149-05-000054-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014906000120/0000950149-06-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000095013407004598/0000950134-07-004598-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312508044052/0001193125-08-044052-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312509043753/0001193125-09-043753-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312510049073/0001193125-10-049073-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312511038131/0001193125-11-038131-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312512073470/0001193125-12-073470-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312513076887/0001193125-13-076887-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312514065170/0001193125-14-065170-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459015000950/sgmo-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459016012882/0001564590-16-012882-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459017002900/0001564590-17-002900-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459018004163/0001564590-18-004163-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459019005808/0001564590-19-005808-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828020002582/0001628280-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828021003069/0001628280-21-003069-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000162828022003819/0001628280-22-003819-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-3800000,-9066000,-25249000,-29764000,-10433000,-13818000,-13293000,-17864000,-21480000,-24302000,-18587000,-24854000,-35750000,-22264000,-26624000,-26417000,-40703000,-71658000,-54568000,-68334000,-95186000,-120996000,-178286000
74,Depreciation and Amortization,- -,- -,- -,700000,5232000,4310000,2513000,2171000,1480000,488000,-686000,-1871000,523000,572000,676000,646000,660000,569000,549000,988000,997000,1498000,2359000,9607000,13369000,17638000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5722000,-14000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8467000,7818000,8081000,5338000,6146000,9200000,11730000,15057000,9089000,14677000,19330000,25708000,32956000
77,Change in Working Capital,- -,- -,- -,500000,57277000,-3375000,-8987000,-8401000,-11686000,9640000,8188000,22581000,-18216000,15895000,-15894000,24266000,-18913000,27568000,82854000,22488000,-56196000,67249000,128472000,3591000,180520000,-101895000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431000,-297000,-553000,-3414000,1008000,-7213000,7847000,-2144000,1629000,-1330000,-32236000,31685000,-789000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,7200000,64477000,61102000,52115000,43714000,32028000,41668000,49856000,72437000,54221000,70116000,54222000,78488000,59575000,87143000,169997000,192485000,136289000,203538000,332010000,335601000,516121000,-83829000
82,Other Non-Cash Items,- -,- -,- -,200000,-55897000,18207000,26566000,9223000,13860000,-904000,-4116000,-15298000,24650000,-12484000,8320000,-23138000,27097000,-27141000,-71861000,-22501000,45931000,-12089000,-40022000,-81744000,71274000,-3664000
83,Cash Provided by Operating Activities,- -,- -,- -,-2400000,-2454000,-6107000,-9672000,-7440000,-10164000,-4069000,-14478000,-16068000,-17345000,-6137000,-23934000,-25895000,-8082000,-19482000,-5675000,-33720000,-65883000,11179000,37152000,-144402000,169875000,-233251000
84,CAPEX,- -,- -,- -,-300000,-1750000,-1403000,-69000,-64000,-24000,-428000,-374000,-1369000,-739000,-272000,-695000,-576000,-723000,-432000,-621000,-2411000,-732000,-3751000,-43065000,-20675000,-14714000,-23278000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-2000000,- -,- -,-76000000,- -,-704000,-119000
86,Purchases of Investments,- -,- -,- -,-8200000,-54530000,-55353000,-35493000,-44803000,-20702000,-33518000,-67135000,-119855000,-82485000,-79406000,-100027000,-112974000,-91428000,-118894000,-227802000,-257988000,-218640000,-252328000,-451239000,-443711000,-570779000,-338159000
87,Sales/Maturities of Investments,- -,- -,- -,2600000,7306000,54891000,55154000,44028000,29160000,29518000,55277000,94586000,107014000,60500000,113096000,93550000,103470000,51129000,127765000,337861000,237497000,178675000,391845000,404847000,314570000,609755000
88,Other Investing Activites,- -,- -,- -,-100000,- -,4656000,79000,216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,1000000,2000000,- -,-3500000,353000,-262000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-6000000,-48974000,2791000,19671000,-623000,8434000,-4428000,-12232000,-26638000,23790000,-19178000,12374000,-20000000,11319000,-68118000,-100658000,77462000,18125000,-80904000,-178106000,-59801000,-271627000,248199000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,7400000,49788000,690000,468000,227000,553000,18379000,20905000,42279000,1847000,26763000,1185000,51877000,1676000,78122000,106733000,6804000,1113000,98144000,231963000,136308000,142526000,27099000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,11540000,-28000,-285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2015000,-4556000,12906000,-776000,-654000,-254000,5721000,10574000,5759000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,7400000,61328000,662000,183000,227000,553000,18379000,20905000,42279000,1847000,26763000,1185000,51877000,1676000,76107000,102177000,19710000,337000,97490000,231709000,142029000,153100000,32858000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,147000,-187000,- -,- -,- -,- -,- -,-1158000,302000,- -,- -,- -,- -,- -,- -,- -,- -,-163000,184000,-447000,-263000
97,Net Change In Cash,- -,- -,- -,-1000000,9900000,-2507000,9995000,-7836000,-1177000,9881000,-5805000,-427000,7134000,1750000,-10375000,5982000,4913000,-11493000,-4156000,63452000,-47421000,27765000,90592000,-61990000,50901000,47543000
98,Cash at the End of Period,- -,- -,- -,300000,10151000,7644000,17639000,9803000,8626000,18507000,12702000,12275000,19409000,21159000,10784000,16766000,21679000,10186000,6030000,69482000,22061000,49826000,143918000,81928000,132829000,180372000
99,Cash at the Beginning of Period,- -,- -,- -,1300000,251000,10151000,7644000,17639000,9803000,8626000,18507000,12702000,12275000,19409000,21159000,10784000,16766000,21679000,10186000,6030000,69482000,22061000,53326000,143918000,81928000,132829000
100,Free Cash Flow,- -,- -,- -,-2700000,-4204000,-7510000,-9741000,-7504000,-10188000,-4497000,-14852000,-17437000,-18084000,-6409000,-24629000,-26471000,-8805000,-19914000,-6296000,-36131000,-66615000,7428000,-5913000,-165077000,155161000,-256529000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1001233/000091205702012726/0000912057-02-012726-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000104746903010531/0001047469-03-010531-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000104746904005491/0001047469-04-005491-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014905000054/0000950149-05-000054-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000095014906000120/0000950149-06-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000095013407004598/0000950134-07-004598-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312508044052/0001193125-08-044052-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312509043753/0001193125-09-043753-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312510049073/0001193125-10-049073-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312511038131/0001193125-11-038131-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000119312512073470/0001193125-12-073470-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312513076887/0001193125-13-076887-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000119312514065170/0001193125-14-065170-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459015000950/sgmo-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1001233/000156459016012882/0001564590-16-012882-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459017002900/0001564590-17-002900-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459018004163/0001564590-18-004163-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000156459019005808/0001564590-19-005808-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828020002582/0001628280-20-002582-index.html,https://www.sec.gov/Archives/edgar/data/1001233/000162828021003069/0001628280-21-003069-index.htm,https://www.sec.gov/Archives/edgar/data/1001233/000162828022003819/0001628280-22-003819-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
