,https://roic.ai/company/VCYT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,8530000,4901000,56443000,41374000,51252000,59581000,37225000,79755000,239455000,421232000,1096514000
68,Total Liabilities And Stockholders Equity,10451000,19067000,79630000,64839000,75285000,101034000,78669000,120638000,275212000,457163000,1187825000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9845000,- -
70,Total Liabilities & Equity,10451000,19067000,79630000,64839000,75285000,101034000,78669000,120638000,275212000,447318000,1187825000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1384101/000104746914002734/0001047469-14-002734-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746915002671/a2223500z10-k.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746916011115/0001047469-16-011115-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410117000008/0001384101-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410118000006/0001384101-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410119000010/0001384101-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410120000015/0001384101-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410121000012/0001384101-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000138410122000028/0001384101-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-14445000,-18649000,-25580000,-29373000,-33704000,-31358000,-31003000,-22999000,-12599000,- -,-75563000
74,Depreciation and Amortization,611000,706000,999000,1175000,2254000,3511000,3841000,3920000,4117000,7944000,19593000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6258000
76,Stock Based Compensation,659000,934000,1247000,3548000,5602000,6378000,6617000,5958000,9807000,12995000,22519000
77,Change in Working Capital,-80000,683000,53629000,-34816000,7008000,28882000,-20193000,41993000,86325000,188680000,4219000
78,Accounts Receivable,-463000,-565000,-683000,-1961000,-558000,-5321000,-3960000,-452000,-6161000,955000,-8571000
79,Inventory,-143000,-771000,-1517000,-1129000,-71000,292000,-1849000,1922000,-3404000,- -,-1464000
80,Accounts Payable,116000,1348000,3348000,1874000,-3546000,-1441000,1728000,-1568000,-141000,711000,5155000
81,Other Working Capital,6707000,7390000,61019000,26203000,33211000,62093000,41900000,83893000,170218000,358898000,- -
82,Other Non-Cash Items,-269000,9159000,-49454000,31834000,-8125000,-35395000,16823000,-42393000,-90882000,-219330000,3869000
83,Cash Provided by Operating Activities,-13524000,-7167000,-19159000,-27632000,-26965000,-27982000,-23915000,-13521000,-3232000,-9711000,-31621000
84,CAPEX,-276000,-1462000,-1332000,-2024000,-6165000,-4210000,-1755000,-1874000,-2756000,-2837000,-5376000
85,Acquisitions Net,- -,- -,- -,-6916000,- -,- -,- -,- -,-40000000,- -,-736830000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000
88,Other Investing Activites,-55000,- -,50000,-70000,-533000,-2000,560000,- -,23000,- -,- -
89,Cash Used for Investing Activites,-331000,-1462000,-1282000,-9010000,-6698000,-4212000,-1195000,-1874000,-42733000,-3837000,-739206000
90,Debt Repayment,- -,- -,- -,-110000,- -,-5288000,-27195000,-292000,-25208000,-100000,- -
91,Common Stock Issued,- -,- -,66304000,- -,37258000,31949000,200000,55038000,137848000,193831000,593821000
92,Common Stock Repurchased,- -,- -,-7019000,-129000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18646000,15065000,18374000,675000,475000,25668000,26777000,4753000,14647000,9864000,2499000
95,Cash Used/Provided by Financing Activities,18646000,15065000,77659000,436000,37733000,52329000,-218000,59499000,127287000,203595000,596320000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1514000
97,Net Change In Cash,4791000,6436000,57218000,-36206000,4070000,20135000,-25328000,44104000,81322000,190047000,-176021000
98,Cash at the End of Period,7566000,14002000,71220000,35014000,39084000,59219000,33891000,78598000,159920000,349967000,173946000
99,Cash at the Beginning of Period,2775000,7566000,14002000,71220000,35014000,39084000,59219000,34494000,78598000,159920000,349967000
100,Free Cash Flow,-13800000,-8629000,-20491000,-29656000,-33130000,-32192000,-25670000,-15395000,-5988000,-12548000,-36997000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1384101/000104746914002734/0001047469-14-002734-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746915002671/a2223500z10-k.htm,https://www.sec.gov/Archives/edgar/data/1384101/000104746916011115/0001047469-16-011115-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410117000008/0001384101-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410118000006/0001384101-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410119000010/0001384101-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410120000015/0001384101-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1384101/000138410121000012/0001384101-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1384101/000138410122000028/0001384101-22-000028-index.htm
102,false,,,,,,,,,,,
