,https://roic.ai/company/ARLO,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-10289000,-4315000,-71285000,76262000,-3975000,17732000
90,Debt Repayment,- -,- -,- -,- -,5614000,964000
91,Common Stock Issued,- -,- -,173395000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,43579000,43188000,70892000,-38000,-5637000,-5934000
95,Cash Used/Provided by Financing Activities,43579000,43188000,244287000,-38000,-23000,-4970000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-112000,155316000,85395000,-50528000,-10435000
98,Cash at the End of Period,220000,108000,155424000,240819000,190291000,179856000
99,Cash at the Beginning of Period,- -,220000,108000,155424000,240819000,190291000
100,Free Cash Flow,-34552000,-42563000,-39352000,2507000,-50422000,-25465000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1736946/000173694619000010/0001736946-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694620000007/0001736946-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694621000010/0001736946-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1736946/000173694622000010/0001736946-22-000010-index.htm
102,false,,,,,,
