,https://roic.ai/company/INFN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,6638000,7676000,10106000,12975000,16547000,15619000,17859000,23661000,24562000,25917000,35777000,61489000,65997000,100494000,119824000,100140000,83583000
15,EBITDA,-32592000,-48218000,-66480000,-60450000,-82187000,-44968000,94429000,-71946000,-11996000,-62194000,-59479000,-200000,52685000,99442000,44883000,-115892000,-92452000,-232174000,-53820000,-26108000
16,EBITDA ratio,-Infinity,-Infinity,-110.9850,-14.6474,-1.4113,-0.1829,0.1819,-0.2328,-0.0264,-0.1536,-0.1357,-0.0004,0.0789,0.1121,0.0516,-0.1565,-0.0980,-0.1788,-0.0397,-0.0183
17,Operating Income,-32592000,-48218000,599000,-63695000,-85544000,-43096000,73433000,-89661000,-28689000,-80648000,-83001000,-24186000,27342000,59736000,-25774000,-183087000,-185679000,-350230000,-155199000,-87479000
18,Operating Income ratio,-Infinity,-Infinity,1.0000,-15.4337,-1.4689,-0.1753,0.1414,-0.2901,-0.0631,-0.1992,-0.1893,-0.0444,0.0409,0.0674,-0.0296,-0.2472,-0.1968,-0.2696,-0.1145,-0.0614
19,Total Other Income Expenses (Gains),-1470000,-2013000,- -,-2256000,-4319000,-11978000,8018000,1168000,1074000,595000,-139000,-6279000,-10930000,-7705000,-3407000,-12849000,-29271000,-33425000,-45489000,-71311000
20,Income Before Tax,-34062000,-50231000,- -,-65951000,-89863000,-55074000,81451000,-88493000,-27615000,-80053000,-83140000,-30465000,16412000,52031000,-29181000,-195936000,-214950000,-383655000,-200688000,-158790000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,-15.9804,-1.5431,-0.2240,0.1569,-0.2863,-0.0608,-0.1977,-0.1896,-0.0560,0.0246,0.0587,-0.0335,-0.2645,-0.2279,-0.2954,-0.1480,-0.1114
22,Income Tax expense (Gain),- -,- -,- -,12000,72000,268000,2723000,-1871000,317000,1691000,2190000,1654000,2753000,1081000,-4751000,-1400000,-700000,2963000,6035000,11988000
23,Net Income,-34062000,-50231000,-66480000,-67100000,-89935000,-55342000,78728000,-86622000,-27932000,-81744000,-85330000,-32119000,13659000,51413000,-23927000,-194506000,-214295000,-386618000,-206723000,-170778000
24,Net Income ratio,-Infinity,-Infinity,-110.9850,-16.2588,-1.5443,-0.2251,0.1516,-0.2802,-0.0615,-0.2019,-0.1946,-0.0590,0.0204,0.0580,-0.0275,-0.2626,-0.2272,-0.2977,-0.1525,-0.1198
25,EPS,-21.27,-19.61,-17.94,-14.08,-14.90,-1.09,0.85,-0.91,-0.28,-0.78,-0.77,-0.27,0.11,0.39,-0.17,-1.32,-1.34,-2.16,-1.10,-0.82
26,EPS Diluted,-21.27,-19.61,-17.94,-14.08,-14.90,-1.09,0.81,-0.91,-0.28,-0.78,-0.77,-0.27,0.11,0.36,-0.17,-1.32,-1.34,-2.16,-1.10,-0.82
27,Weighted Average Shares Outstanding,1602000,2561000,3705000,4605000,6036000,50732000,92427000,95468000,99380000,105432000,110739000,117425000,123672000,133259000,142989000,147878000,157748000,178984000,188216000,207377000
28,Weighted Average Shares Outstanding Diluted,1602000,2561000,3705000,4605000,60389000,50732000,97088000,95468000,99380000,105432000,110739000,117425000,128565000,143171000,142989000,147878000,157748000,178984000,188216000,207377000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138639/000119312508032787/0001193125-08-032787-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312509031411/0001193125-09-031411-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312510044817/0001193125-10-044817-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312511052376/0001193125-11-052376-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312512099137/0001193125-12-099137-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312513091900/0001193125-13-091900-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000144530514000553/0001445305-14-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000162828015000830/0001628280-15-000830-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863916000019/0001138639-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863917000002/0001138639-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863918000038/0001138639-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863919000019/0001138639-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863920000029/0001138639-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863921000026/0001138639-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863922000033/0001138639-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,36013000,28884000,91200000,166800000,109900000,113600000,94458000,104700000,124300000,86495000,149101000,162641000,116345000,202954000,109201000,298014000,190611000
32,Short-Term Investments,- -,- -,- -,1099000,688000,181200000,68200000,143400000,168000000,101296000,76100000,172700000,239628000,125561000,141697000,147596000,26511000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,37112000,29572000,272400000,235000000,253300000,281600000,195754000,180800000,297000000,326123000,274662000,304338000,263941000,229465000,109201000,298014000,190611000
34,Net Receivables,- -,- -,- -,4860000,42148000,40300000,70400000,70400000,80400000,81962000,109900000,100600000,154596000,186243000,150370000,126152000,317115000,349645000,319428000,358954000
35,Inventory,- -,- -,- -,24653000,58269000,58600000,59000000,68900000,81900000,88996000,127800000,123700000,146500000,174699000,232955000,214704000,311888000,340429000,269307000,291367000
36,Other Current Assets,- -,- -,- -,5874000,66051000,83000000,8800000,15600000,17700000,16519000,11000000,17800000,24636000,29511000,42760000,43140000,98629000,143556000,175124000,150829000
37,Total Current Assets,- -,- -,- -,72499000,196040000,454300000,373200000,408200000,461600000,383231000,429500000,539100000,651855000,665115000,730423000,647937000,957097000,942831000,1061873000,991761000
38,PP&E,- -,- -,- -,14534000,26665000,37000000,46800000,43700000,51700000,76753000,80300000,79700000,81566000,110861000,124800000,135942000,342820000,218874000,221984000,205556000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191560000,176760000,195615000,227231000,249848000,273426000,255788000
40,Intangible Assets,- -,- -,- -,788000,1806000,1500000,1300000,961000,- -,- -,- -,- -,- -,156319000,108475000,92188000,233119000,170346000,124882000,86574000
41,Intangible Assets,- -,- -,- -,788000,1806000,1500000,1300000,961000,- -,- -,- -,- -,- -,347879000,285235000,287803000,460350000,420194000,398308000,342362000
42,Investments,- -,- -,- -,- -,- -,30100000,74684000,18255000,14453000,63315000,11874000,73419000,73733000,91007000,47779000,36129000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,822000,- -,- -,- -,35731000,- -,21609000,13347000,8700000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,13091000,5955000,6300000,11116000,20784000,23747000,7583000,6526000,8681000,10862000,-26412000,10346000,-11750000,27656000,37739000,50332000,47545000
45,Total Non-Current Assets,- -,- -,- -,28413000,34426000,74900000,133900000,83700000,89900000,148473000,98700000,161800000,166161000,559066000,468160000,469733000,844173000,685507000,670624000,595463000
46,Other Assets,69849000,75441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,69849000,75441000,- -,100912000,230466000,529200000,507100000,491900000,551500000,531704000,528200000,700900000,818016000,1224181000,1198583000,1117670000,1801270000,1628338000,1732497000,1587224000
48,Accounts Payable,- -,- -,- -,14518000,41767000,17500000,34000000,31100000,35700000,48838000,61400000,39800000,61533000,92554000,62486000,58124000,191187000,273397000,175762000,216404000
49,Short-Term Debt,- -,- -,- -,12422000,20025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144928000,4718000,51159000,118006000,533000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3111000,3588000,2372000,3993000,3295000,2384000,3707000,23249000,65815000,45884000,- -
51,Deferred Revenue,- -,- -,- -,6636000,101080000,167031000,14683000,18295000,21958000,22781000,26744000,32402000,35321000,42977000,58900000,72421000,88534000,103753000,133246000,137297000
52,Other Current Liabilities,- -,- -,- -,9344000,30950000,32269000,34817000,51905000,62442000,47846000,55856000,68698000,77477000,101512000,95147000,99203000,218428000,287010000,206872000,258254000
53,Total Current Liabilities,- -,- -,- -,42920000,193822000,216800000,83500000,101300000,120100000,119465000,144000000,140900000,174331000,237043000,216533000,374676000,502867000,715319000,633886000,612488000
54,Long-Term Debt,- -,- -,- -,11351000,8357000,- -,- -,- -,- -,- -,- -,109200000,116894000,123327000,133586000,- -,460467000,326072000,523505000,531115000
55,Deferred Revenue,- -,- -,- -,- -,- -,7406000,7724000,8080000,4633000,3410000,3210000,4888000,10758000,13881000,19362000,22502000,31768000,36067000,29810000,31612000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000,1364000,12370000,35731000,25327000,21609000,13347000,8700000,4164000,2364000
57,Other Non-Current Liabilities,- -,- -,- -,267351000,334608000,10394000,10376000,14020000,16067000,21026000,23985000,26748000,21756000,52048000,41447000,33518000,89000000,155645000,114848000,85874000
58,Total Non-Current Liabilities,- -,- -,- -,278702000,342965000,17800000,18100000,22100000,20700000,24436000,28000000,142200000,161778000,224987000,219722000,77629000,594582000,526484000,672327000,650965000
59,Other Liabilities,111574000,166641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198256000,86090000,93532000,54326000
61,Total Liabilities,111574000,166641000,- -,321622000,536787000,234600000,101600000,123400000,140800000,143901000,172000000,283100000,336109000,462030000,436255000,452305000,1097449000,1241803000,1306213000,1263453000
62,Preferred Stock,- -,151865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6000,9000,100000,100000,100000,100000,107000,100000,100000,126000,140000,145000,149000,175000,181000,201000,211000
64,Retained Earnings,- -,- -,- -,-224153000,-314088000,-369400000,-290700000,-377400000,-405300000,-487036000,-572400000,-604500000,-590826000,-539413000,-563575000,-758081000,-956970000,-1319891000,-1527264000,-1698042000
65,Other Comprehensive Income/Loss,- -,- -,- -,-86000,-153000,78000,-3598000,-1810000,-1261000,-2195000,-2228000,-3486000,-4618000,1123000,-28324000,6254000,-25300000,-34639000,-11898000,-4496000
66,Other Total Stockholders Equity,- -,- -,- -,3523000,7911000,663796000,699661000,747617000,817210000,876927000,930664000,1025696000,1077225000,1300301000,1354082000,1417043000,1685916000,1740884000,1965245000,2026098000
67,Total Stockholders Equity,-41725000,-91200000,- -,-220710000,-306321000,294574000,405463000,368507000,410749000,387803000,356136000,417810000,481907000,762151000,762328000,665365000,703821000,386535000,426284000,323771000
68,Total Liabilities And Stockholders Equity,69849000,75441000,- -,100912000,230466000,529174000,507063000,491907000,551549000,531704000,528136000,700910000,818016000,1224181000,1198583000,1117670000,1801270000,1628338000,1732497000,1587224000
69,Minority Interest,- -,- -,- -,- -,- -,26000,37000,-7000,-49000,- -,64000,-10000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,69849000,75441000,- -,100912000,230466000,529200000,507100000,491900000,551500000,531704000,528200000,700900000,818016000,1224181000,1198583000,1117670000,1801270000,1628338000,1732497000,1587224000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1138639/000119312508032787/0001193125-08-032787-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312509031411/0001193125-09-031411-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312510044817/0001193125-10-044817-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312511052376/0001193125-11-052376-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312512099137/0001193125-12-099137-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312513091900/0001193125-13-091900-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000144530514000553/0001445305-14-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000162828015000830/0001628280-15-000830-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863916000019/0001138639-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863917000002/0001138639-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863918000038/0001138639-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863919000019/0001138639-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863920000029/0001138639-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863921000026/0001138639-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863922000033/0001138639-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-50231000,- -,-67100000,-89935000,-55342000,78728000,-86622000,-27932000,-81744000,-85330000,-32119000,13659000,51413000,-23927000,-194506000,-214295000,-386618000,-206723000,-170778000
74,Depreciation and Amortization,- -,- -,- -,6638000,7676000,10106000,12975000,16547000,15619000,17859000,23661000,24562000,25917000,35777000,61489000,65997000,100494000,119824000,100140000,83583000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,23819000,37375000,50335000,50157000,41819000,31976000,28394000,32580000,40533000,45720000,43410000,43294000,49461000,51812000
77,Change in Working Capital,- -,- -,- -,29579000,-27361000,235282000,52200000,17200000,34600000,-77734000,21734000,112700000,79324000,-49452000,85818000,-240629000,180969000,-226718000,200475000,5111000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-31796000,1834000,-6755000,-4686000,-26517000,6341000,-53951000,-15971000,33895000,25849000,-21111000,-35395000,32150000,-45783000
79,Inventory,- -,- -,- -,-16466000,-33616000,2515000,-821000,-8618000,-13143000,-6007000,-40623000,-3036000,-25486000,-17116000,-64095000,2727000,-8617000,-42840000,71424000,-28022000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1161000,9342000,15410000,-20202000,18810000,19223000,-28254000,-4763000,-520000,83272000,-93411000,32304000
81,Other Working Capital,- -,- -,- -,29579000,2218000,237500000,289700000,306900000,341500000,263766000,285500000,398200000,477524000,428072000,513890000,273261000,454230000,227512000,427987000,7753000
82,Other Non-Cash Items,- -,6504000,- -,-25566000,41845000,-166988000,-147804000,-17146000,-42085000,89497000,-51343000,-101939000,-111331000,62858000,-125536000,301493000,-209661000,282868000,-255653000,58400000
83,Cash Provided by Operating Activities,- -,-43727000,- -,-56449000,-67775000,23058000,19918000,-32646000,30537000,-1965000,-49466000,35180000,35963000,133176000,38377000,-21925000,-99083000,-167350000,-112300000,28128000
84,CAPEX,- -,- -,- -,-4706000,-19930000,-20215000,-22941000,-15394000,-20672000,-39382000,-25395000,-21068000,-23122000,-42018000,-43335000,-58041000,-37692000,-30202000,-39009000,-41379000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144445000,- -,- -,-101849000,-8991000,- -,- -
86,Purchases of Investments,- -,- -,- -,-2715000,-6501000,-299159000,-226014000,-163870000,-257630000,-277834000,-54150000,-288140000,-307898000,-186737000,-131077000,-160215000,-2986000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,36672000,6912000,85820000,291968000,1536000,232333000,291853000,129189000,128474000,236532000,281590000,166381000,163407000,155151000,26584000,- -,- -
88,Other Investing Activites,- -,-4892000,- -,200000,1450000,3286000,1192000,144381000,247000,195000,-776000,-66000,-1571000,135000,-4084000,4296000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-4892000,- -,29451000,-18069000,-230268000,44205000,-33347000,-45722000,-25168000,48868000,-180800000,-96059000,-91475000,-12115000,-50553000,12624000,-12609000,-39009000,-41379000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151211000,-20463000,-9820000,-78981000
91,Common Stock Issued,- -,- -,- -,43636000,78432000,297674000,11482000,9310000,19348000,10023000,11580000,23185000,24707000,25351000,17648000,17991000,17693000,12053000,109988000,16497000
92,Common Stock Repurchased,- -,- -,- -,-7000,-7000,-59000,-29000,-31000,-14000,-1248000,-882000,-1544000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,53573000,- -,14430000,355000,-28137000,248000,-335000,-349000,-262000,- -,144469000,-1846000,-4368000,-26514000,4091000,341407000,80320000,233994000,-39060000
95,Cash Used/Provided by Financing Activities,- -,53573000,- -,58059000,78780000,269478000,11701000,8944000,18985000,8513000,10698000,166110000,22861000,20983000,-8866000,22082000,207889000,71910000,334162000,-101544000
96,Effect of Forex Changes on Cash,- -,- -,- -,-79000,-65000,57000,-263000,138000,-10000,-571000,108000,-826000,-600000,-78000,-3856000,4100000,-579000,-1491000,-267000,1933000
97,Net Change In Cash,- -,53573000,- -,30982000,-7129000,62325000,75561000,-56911000,3790000,-19191000,10208000,19664000,-37835000,62606000,13540000,-46296000,120851000,-109540000,182586000,-112862000
98,Cash at the End of Period,- -,- -,- -,36013000,28884000,91209000,166770000,109859000,113649000,94458000,104666000,124330000,86495000,149101000,162641000,116345000,242337000,132797000,315383000,202521000
99,Cash at the Beginning of Period,- -,- -,- -,5031000,36013000,28884000,91209000,166770000,109859000,113649000,94458000,104666000,124330000,86495000,149101000,162641000,121486000,242337000,132797000,315383000
100,Free Cash Flow,- -,-43727000,- -,-61155000,-87705000,2843000,-3023000,-48040000,9865000,-41347000,-74861000,14112000,12841000,91158000,-4958000,-79966000,-136775000,-197552000,-151309000,-13251000
101,SEC Link,undefined,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1138639/000119312508032787/0001193125-08-032787-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312509031411/0001193125-09-031411-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312510044817/0001193125-10-044817-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312511052376/0001193125-11-052376-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312512099137/0001193125-12-099137-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000119312513091900/0001193125-13-091900-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000144530514000553/0001445305-14-000553-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000162828015000830/0001628280-15-000830-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863916000019/0001138639-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863917000002/0001138639-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863918000038/0001138639-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863919000019/0001138639-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863920000029/0001138639-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863921000026/0001138639-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1138639/000113863922000033/0001138639-22-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
