,https://roic.ai/company/DOC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,764994,642940,397000,2871000,47656000,53919000,37997000,53666000,115084000,- -,43944000
58,Total Non-Current Liabilities,99439257,85131957,43218000,80976000,145034000,407166000,1201567000,1147876000,1187251000,-910778000,1815892000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215779000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,63290000,74116000,104957000
61,Total Liabilities,102399000,88495281,52023000,242364000,568410000,1105774000,1616749000,1695174000,1865597000,1670659000,2195676000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,215000,510000,872000,1362000,1814000,1824000,1900000,- -,2247000
64,Retained Earnings,- -,- -,-8670000,-51797000,-109024000,-197261000,-315417000,-428307000,-529194000,- -,-776001000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,13708000,13952000,14433000,4321000,-5859000,-892000
66,Other Total Stockholders Equity,22611972,19096813,220750000,586017000,1129284000,1920642000,2772823000,2791555000,2931921000,2720861000,- -
67,Total Stockholders Equity,- -,- -,212295000,534730000,1021132000,1738451000,2473172000,2379505000,2408948000,2641297000,2836308000
68,Total Liabilities And Stockholders Equity,125010972,107592094,264318000,777094000,1589542000,2844225000,4089921000,4074679000,4274545000,4311956000,5031984000
69,Minority Interest,- -,- -,28542000,34479000,55329000,43867000,74462000,68155000,72036000,-3902506000,150725000
70,Total Liabilities & Equity,125010972,107592094,292860000,811573000,1644871000,2888092000,4164383000,4142834000,4346581000,409450000,5182709000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574540/000110465914021828/0001104659-14-021828-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000110465915019223/0001104659-15-019223-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454016000065/0001574540-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454017000007/0001574540-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454018000016/0001574540-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454019000013/0001574540-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454020000015/0001574540-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454021000038/0001574540-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454022000042/0001574540-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-3060000,-1655607,-2237000,-4037000,11788000,29981000,38146000,56230000,74483000,68488000,83965000
74,Depreciation and Amortization,4783000,4429044,5107000,16731000,45471000,86589000,125159000,158389000,146436000,149590000,157870000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,433000,2422000,3798000,4894000,6695000,8681000,10115000,12486000,15032000
77,Change in Working Capital,-1314000,-72798,48576886,-163814000,-215342000,-240129000,314959000,-101357000,-26034000,-589938000,255000
78,Accounts Receivable,-312000,31525,-184000,-986000,-2836000,-10058000,-2988000,230000,-5902000,-1404000,-2863000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-718000,459454,-1496000,-136000,-56000,3779000,6600000,-7137000,2462000,659000,-356000
81,Other Working Capital,5912,-66886,48510000,-115304000,-330646000,-570775000,-255816000,-357173000,-383207000,-973145000,- -
82,Other Non-Cash Items,2569000,659496,-50874886,161993000,215637000,243444000,-304488000,86751000,-3823000,592671000,-9567000
83,Cash Provided by Operating Activities,2978000,3360135,1005000,13295000,61352000,124779000,180471000,208694000,201177000,233297000,247555000
84,CAPEX,-52000,-844509,-125728000,-900000,-4988000,-11304000,-23243000,-34638000,-40137000,-33887000,-32566000
85,Acquisitions Net,- -,- -,- -,- -,-999000,- -,-8625000,- -,-27066000,-18390000,-9069000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-52000,13680825,-126280000,-518810000,-800717000,-1261176000,-1294013000,-77183000,-228242000,-183523000,-594151000
89,Cash Used for Investing Activites,-52000,13680825,-126280000,-518810000,-801716000,-1261176000,-1302638000,-77183000,-255308000,-201913000,-603220000
90,Debt Repayment,-2639000,-14149277,-94182000,-263749000,-365022000,-935232000,-1289503000,-365018000,-355184000,-562477000,-873868000
91,Common Stock Issued,- -,- -,244934000,350384000,545117000,766841000,844669000,10759000,131629000,364388000,268126000
92,Common Stock Repurchased,- -,- -,- -,-7867000,-1694000,-13427000,-23847000,-2203000,-14023000,-515000,-157439000
93,Dividends Paid,-1525000,-1670750,-2865000,-28104000,-64283000,-106416000,-143708000,-168971000,-172056000,-187989000,-198844000
94,Other Financing Activites,406000,-538781,31252000,414296000,613466000,1436979000,1721792000,410356000,446959000,355369000,1325051000
95,Cash Used/Provided by Financing Activities,-3758000,-16358808,179139000,464960000,727584000,1148745000,1109403000,-115077000,37325000,-31224000,363026000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-832000,682152,53864000,-40555000,-12780000,12348000,-12764000,16434000,-16806000,160000,7361000
98,Cash at the End of Period,1932000,2614036,56478000,15923000,3143000,15491000,2727000,19161000,2355000,2515000,9876000
99,Cash at the Beginning of Period,2764000,1931884,2614000,56478000,15923000,3143000,15491000,2727000,19161000,2355000,2515000
100,Free Cash Flow,2926000,2515626,-124723000,12395000,56364000,113475000,157228000,174056000,161040000,199410000,214989000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574540/000110465914021828/0001104659-14-021828-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000110465915019223/0001104659-15-019223-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454016000065/0001574540-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454017000007/0001574540-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454018000016/0001574540-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454019000013/0001574540-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454020000015/0001574540-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454021000038/0001574540-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1574540/000157454022000042/0001574540-22-000042-index.htm
102,false,,,,,,,,,,,
