,https://roic.ai/company/GRBK,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,3017087,6375000,6457000,1705000,4327000,3388000,3072000,289000,- -,- -,- -,- -,10738000,18878000,13911000,456662000
58,Total Non-Current Liabilities,3017087,128815000,232808000,228050000,225051000,175192000,10142000,289000,164061000,47500000,75000000,107000000,211124000,284444000,274501000,455924000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,633000,343000,5237000,4674000,- -,- -,- -,- -,- -,- -,3564000,2591000,- -
61,Total Liabilities,22835489,153629000,270965000,268880000,277289000,199644000,195313000,4601000,218728000,102021000,139499000,179192000,298394000,339144000,339438000,511306000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10,334000,334000,333000,333000,1221000,62000,62000,313000,488000,490000,506000,507000,509000,511000,512000
64,Retained Earnings,-2333622,-6082000,-46947000,-60577000,-80560000,-89277000,-129120000,-168328000,69919000,87177000,110933000,125903000,177526000,235027000,349656000,539866000
65,Other Comprehensive Income/Loss,- -,-950000,-2741000,-242000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,26953025,128369000,130044000,132721000,134397000,182541000,185288000,186881000,101626000,271867000,273149000,289938000,290318000,287632000,290075000,348316000
67,Total Stockholders Equity,24619413,121671000,80690000,72235000,54170000,94485000,56230000,18615000,171858000,359532000,384572000,416347000,468351000,523168000,640242000,888694000
68,Total Liabilities And Stockholders Equity,47454902,275300000,351655000,341115000,331459000,294129000,251543000,23216000,390586000,461553000,524071000,595539000,766745000,862312000,979680000,1400000000
69,Minority Interest,74026510,68799000,14069000,5660000,252000,5457000,-1120000,-7562000,9739000,12323000,16913000,16691000,17281000,13227000,9167000,21867000
70,Total Liabilities & Equity,121481412,344099000,365724000,346775000,331711000,299586000,250423000,15654000,400325000,473876000,540984000,612230000,784026000,875539000,988847000,1421867000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373670/000137367021000016/0001373670-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1373670/000137367022000008/0001373670-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2333622,-2421000,-40865000,-13630000,-19983000,-8717000,-39843000,-39208000,50026000,15325000,23756000,14970000,51623000,58656000,113693000,204381000
74,Depreciation and Amortization,5275,79000,9791000,28137000,28720000,29712000,28300000,25337000,735000,865000,286000,325000,2943000,3079000,3666000,2744000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-25338000,8352000,13147000,36299000,14712000,1237000,-114000,-365000
76,Stock Based Compensation,- -,- -,682000,413000,1435000,1493000,1490000,1593000,40000,474000,1284000,2571000,1774000,2191000,2097000,3078000
77,Change in Working Capital,-215374,23477587,-22659000,4055000,-1191000,21463000,-182150000,159932000,241988000,79266000,73920000,81404000,157686000,96191000,77285000,470987000
78,Accounts Receivable,- -,- -,-16669000,-7076000,-4057000,14211000,4335000,1481000,-303000,-2566000,866000,843000,-3029000,- -,- -,- -
79,Inventory,- -,- -,-14929000,-5956000,-2804000,-2499000,12745000,1764000,-37612000,-58728000,-74281000,-95418000,-129291000,-83970000,-90345000,-358270000
80,Accounts Payable,- -,- -,845000,-3322000,8685000,-7046000,2276000,-8468000,4898000,-21000,1583000,7241000,-483000,3953000,-5523000,21161000
81,Other Working Capital,7889413,31367000,8708000,12763000,11572000,33035000,-149115000,10817000,252805000,332071000,405991000,487395000,645081000,741272000,818557000,1289544000
82,Other Non-Cash Items,-680788,-26742587,-38012000,-28356000,3886000,-20384000,193656000,-134434000,-264823000,-151853000,-119448000,-154381000,-268214000,-183417000,-161528000,-773207000
83,Cash Provided by Operating Activities,-3224509,-5607000,-91063000,-9381000,12867000,23567000,1453000,13220000,2628000,-47571000,-7055000,-18812000,-39476000,-22063000,35099000,-92382000
84,CAPEX,-58653350,-188531000,-40674000,-14310000,-4576000,-2843000,-843000,-11254000,-1378000,-307000,-458000,-149000,-3211000,-2569000,-2867000,-2025000
85,Acquisitions Net,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-286000,-27616000,-5300000,-10431000,- -
86,Purchases of Investments,- -,- -,-1860000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4043000,- -,- -,- -,- -,5581000,2768000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2155000,-39903000,-14010000,-4576000,- -,- -,1742000,7556000,- -,- -,- -,- -,- -,- -,-8000
89,Cash Used for Investing Activites,-60153350,-190686000,-41763000,-9967000,-4576000,-2843000,-843000,-9512000,11759000,2461000,-458000,-435000,-30827000,-7869000,-13298000,-2033000
90,Debt Repayment,- -,- -,-2736000,-11033000,-32629000,-57279000,-6426000,-159000,-44581000,-207760000,-37370000,-57522000,-80226000,-260000000,-421090000,-2901000
91,Common Stock Issued,26953035,103581000,- -,- -,- -,46000000,- -,- -,- -,169942000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-2276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-981000,-2186000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-13121000,- -,- -,-10896000,-10747000,- -,- -,- -
94,Other Financing Activites,63663341,121460000,94150000,24191000,25657000,-1734000,- -,- -,47899000,81570000,58833000,88352000,163723000,288048000,395239000,157235000
95,Cash Used/Provided by Financing Activities,90616376,225041000,89138000,13158000,-6972000,-13013000,-6426000,-159000,-9803000,43752000,21463000,19934000,71769000,25862000,-25851000,154334000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,90616376,28748000,-43688000,-6190000,1319000,7711000,-5816000,3549000,4584000,-1358000,13950000,687000,1466000,-4070000,-4050000,59217000
98,Cash at the End of Period,27238517,55987000,12299000,6109000,7428000,15139000,9323000,12872000,21267000,19909000,35157000,40289000,41755000,37685000,33635000,78696000
99,Cash at the Beginning of Period,- -,27239000,55987000,12299000,6109000,7428000,15139000,9323000,16683000,21267000,21207000,39602000,40289000,41755000,37685000,19479000
100,Free Cash Flow,-61877859,-194138000,-131737000,-23691000,8291000,20724000,610000,1966000,1250000,-47878000,-7513000,-18961000,-42687000,-24632000,32232000,-94407000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1373670/000137367021000016/0001373670-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1373670/000137367022000008/0001373670-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,
