,https://roic.ai/company/APLE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1418121/000145714309000005/0001457143-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000104746910001818/0001047469-10-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041311001840/0000930413-11-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041312001500/0000930413-12-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518513000452/0001185185-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518514000516/0001185185-14-000516-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518515000457/0001185185-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518516003772/0001185185-16-003772-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518517000461/0001185185-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518518000290/0001185185-18-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518519000277/0001185185-19-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518520000213/0001185185-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459021007573/0001564590-21-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459022005942/0001564590-22-005942-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,75200000,272900000,224108000,30733000,9027000,18102000,- -,22651000,29425000,29791000,33632000,34661000,5556000,3282000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,75200000,272900000,224108000,30733000,9027000,18102000,- -,22651000,29425000,29791000,33632000,34661000,5556000,3282000
34,Net Receivables,1800000,2600000,18981000,9605000,33126000,10421000,22879000,24743000,31460000,31457000,29091000,26926000,22137000,40052000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-1807000,-2587000,- -,- -,- -,9416000,228114000,- -,39000000,- -,- -,12093000,34128000,36667000
37,Total Current Assets,75193000,272913000,243089000,40338000,42153000,37939000,250993000,47394000,99885000,61248000,62723000,73680000,61821000,80001000
38,PP&E,346400000,687500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1502853000,1660629000,1483864000,1453342000,3528756000,3675381000,4879998000,4841090000,4865949000,4868731000,4767938000,4710526000
45,Total Non-Current Assets,- -,- -,1502853000,1660629000,1483864000,1453342000,3528756000,3675381000,4879998000,4841090000,4865949000,4868731000,4767938000,4710526000
46,Other Assets,356407000,709587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,431600000,982500000,1745942000,1700967000,1526017000,1491281000,3779749000,3722775000,4979883000,4902338000,4928672000,4942411000,4829759000,4790527000
48,Accounts Payable,3232000,6420000,- -,- -,13101000,16919000,55555000,77614000,124856000,109057000,107420000,114364000,97860000,92672000
49,Short-Term Debt,38647000,58688000,- -,- -,- -,- -,191600000,114800000,270000000,106900000,268800000,50900000,105800000,76000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,12254000,13253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,41879000,65108000,12254000,13253000,13101000,16919000,247155000,192414000,394856000,215957000,376220000,165264000,203660000,168672000
54,Long-Term Debt,38600000,58700000,99649000,124124000,166783000,162551000,517970000,883303000,1067963000,1115296000,1143442000,1269507000,1376771000,1474534000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216627000,219981000,- -
58,Total Non-Current Liabilities,38600000,58700000,99649000,124124000,166783000,162551000,517970000,883303000,1067963000,1115296000,1143442000,1486134000,1596752000,1474534000
59,Other Liabilities,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216627000,219981000,111776000
61,Total Liabilities,41900000,65100000,111903000,137377000,179884000,179470000,765125000,1075717000,1462819000,1331253000,1519662000,1651398000,1800412000,1643206000
62,Preferred Stock,- -,- -,48000,48000,48000,48000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400600000,968700000,1787213000,1807175000,1805335000,1807377000,3737328000,3500584000,4453205000,4588188000,4495073000,4493763000,4488419000,4569352000
64,Retained Earnings,-10900000,-51400000,- -,- -,-459250000,-495614000,-722193000,-851469000,-940730000,-1026881000,-1096069000,-1198052000,-1416270000,-1406523000
65,Other Comprehensive Income/Loss,-2300000,-18200000,- -,- -,- -,- -,-511000,-2057000,4589000,9778000,10006000,-4698000,-42802000,-15508000
66,Other Total Stockholders Equity,2300000,18300000,-153222000,-243633000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,389700000,917400000,1634039000,1563590000,1346133000,1311811000,3014624000,2647058000,3517064000,3571085000,3409010000,3291013000,3029347000,3147321000
68,Total Liabilities And Stockholders Equity,431600000,982500000,1745942000,1700967000,1526017000,1491281000,3779749000,3722775000,4979883000,4902338000,4928672000,4942411000,4829759000,4790527000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,431600000,982500000,1745942000,1700967000,1526017000,1491281000,3779749000,3722775000,4979883000,4902338000,4928672000,4942411000,4829759000,4790527000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1418121/000145714309000005/0001457143-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000104746910001818/0001047469-10-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041311001840/0000930413-11-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041312001500/0000930413-12-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518513000452/0001185185-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518514000516/0001185185-14-000516-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518515000457/0001185185-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518516003772/0001185185-16-003772-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518517000461/0001185185-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518518000290/0001185185-18-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518519000277/0001185185-19-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518520000213/0001185185-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459021007573/0001564590-21-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459022005942/0001564590-22-005942-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,2200000,16854000,16257000,69988000,75476000,115222000,6833000,117288000,144652000,182492000,206086000,171917000,-173207000,18828000
74,Depreciation and Amortization,2300000,15936000,30749000,49815000,52748000,54827000,113112000,127449000,148163000,176499000,183482000,193240000,199786000,184471000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1100000,- -,174491000,23030000,-203750000,1967000,-8032000,-17182000,-148858000,-149951000,140262000,-158788000,221913000,-3179000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,196000,- -,- -,- -,- -,- -,2559000,3057000,31596000,-22872000,3034000,9151000,-7168000,14088000
81,Other Working Capital,33314000,33314000,207805000,230835000,27085000,29052000,21020000,3838000,-145020000,-294971000,-154709000,-313497000,-91584000,- -
82,Other Non-Cash Items,-100000,-3653000,-182739000,-26789000,198492000,-34570000,140274000,53497000,188077000,175701000,-125018000,175305000,-221764000,17442000
83,Cash Provided by Operating Activities,3300000,29137000,38758000,116044000,122966000,137446000,252187000,281052000,332034000,384741000,404812000,381674000,26728000,217562000
84,CAPEX,-311100000,- -,-22736000,- -,-16526000,-22505000,-67990000,-62260000,-65128000,-63305000,-74293000,-74896000,-48559000,-18312000
85,Acquisitions Net,-315000000,-325085000,-740735000,-160249000,-18017000,-7225000,- -,- -,-93590000,- -,- -,- -,- -,-893000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,310800000,-16046000,-45368000,-5836000,123968000,32671000,-58404000,-82285000,-76247000,-159292000,-210160000,-14324000,-82261000,-149790000
89,Cash Used for Investing Activites,-315300000,-341131000,-786103000,-166085000,105951000,25446000,-58404000,-82285000,-169837000,-159292000,-210160000,-14324000,-82261000,-150683000
90,Debt Repayment,- -,- -,-1135000,- -,-34512000,-3713000,-189821000,-111218000,-318794000,-203020000,-694563000,-251706000,-44268000,-94769000
91,Common Stock Issued,400779000,570703000,825857000,58843000,50007000,21919000,- -,- -,- -,132993000,4677000,- -,- -,75000000
92,Common Stock Repurchased,400800000,-2605000,-7462000,-39168000,-51987000,-19992000,-2349000,-237567000,-9328000,-692000,-105829000,-4912000,-17245000,-3345000
93,Dividends Paid,-13000000,-57330000,-118126000,-160399000,-291093000,-151586000,-233412000,-229127000,-229056000,-267917000,-275892000,-268672000,-67378000,-6797000
94,Other Financing Activites,-401379000,-1054000,-594000,-2610000,76962000,-445000,213697000,379145000,394981000,113187000,880796000,158969000,184131000,-31387000
95,Cash Used/Provided by Financing Activities,387200000,509714000,698540000,-143334000,-250623000,-153817000,-211885000,-198767000,-162197000,-225449000,-190811000,-366321000,55240000,-61298000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,75180000,197720000,-48805000,-193375000,-21706000,9075000,-211885000,-198767000,-162197000,-225449000,3841000,1029000,-293000,5581000
98,Cash at the End of Period,75200000,272913000,224108000,30733000,9027000,18102000,- -,- -,- -,- -,33632000,34661000,34368000,39949000
99,Cash at the Beginning of Period,20000,75193000,272913000,224108000,30733000,9027000,18102000,- -,- -,- -,29791000,33632000,34661000,34368000
100,Free Cash Flow,-307800000,29137000,16022000,116044000,106440000,114941000,184197000,218792000,266906000,321436000,330519000,306778000,-21831000,199250000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1418121/000145714309000005/0001457143-09-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000104746910001818/0001047469-10-001818-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041311001840/0000930413-11-001840-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000093041312001500/0000930413-12-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518513000452/0001185185-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518514000516/0001185185-14-000516-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518515000457/0001185185-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518516003772/0001185185-16-003772-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518517000461/0001185185-17-000461-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518518000290/0001185185-18-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518519000277/0001185185-19-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000118518520000213/0001185185-20-000213-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459021007573/0001564590-21-007573-index.htm,https://www.sec.gov/Archives/edgar/data/1418121/000156459022005942/0001564590-22-005942-index.htm
102,false,,,,,,,,,,,,,,
