,https://roic.ai/company/AZTA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,2200000,6700000,13000000,400000,-22700000,-8900000,25506000,-36099000,-627412000,-180854000,25985000,-1196000,29907000,55636000,-236152000,-226917000,56064000,127576000,11420000,-6762000,-1695000,17815000,3954000,65371000,20466000,9443000,74972000,-48969000
21,Income Before Tax Ratio,0.0917,0.1466,0.1438,0.0046,-0.2272,-0.0857,0.0794,-0.0946,-2.0621,-0.5263,0.0481,-0.0026,0.0432,0.0749,-0.4486,-1.0375,0.0945,0.1854,0.0220,-0.0150,-0.0035,0.0322,0.0071,0.0943,0.0324,0.0121,0.0836,-0.0953
22,Income Tax expense (Gain),700000,2100000,4500000,-400000,-4300000,-1000000,12753000,-6439000,92816000,4906000,8053000,5204000,4732000,2287000,1233000,643000,-2746000,1954000,-123282000,-2170000,-1980000,3430000,75810000,12140000,-47251000,-111000,9937000,-20100000
23,Net Income,1500000,4600000,8500000,800000,-18400000,-7900000,12753000,-29660000,-719954000,-185760000,17721000,-10057000,25930000,151472000,-235946000,-227858000,58982000,128352000,136789000,-2215000,31361000,14221000,-69476000,62612000,116575000,437416000,64853000,110747000
24,Net Income ratio,0.0625,0.1007,0.0940,0.0093,-0.1842,-0.0760,0.0397,-0.0777,-2.3663,-0.5406,0.0328,-0.0217,0.0374,0.2038,-0.4483,-1.0418,0.0995,0.1865,0.2633,-0.0049,0.0650,0.0257,-0.1240,0.0904,0.1846,0.5602,0.0723,0.2156
25,EPS,0.32,0.72,1.04,0.10,-1.84,-0.76,0.84,-1.65,-27.90,-5.05,0.41,-0.22,0.36,2.06,-3.66,-3.62,0.92,1.99,2.10,-0.03,0.47,0.21,-1.01,0.90,1.65,6.08,0.88,1.49
26,EPS Diluted,0.32,0.72,1.04,0.10,-1.84,-0.76,0.78,-1.65,-27.90,-5.05,0.41,-0.22,0.36,2.04,-3.66,-3.62,0.92,1.97,2.08,-0.03,0.46,0.21,-1.01,0.89,1.64,6.05,0.88,1.49
27,Weighted Average Shares Outstanding,4687500,6388889,8199000,8435000,10269000,11192000,15224000,18015000,25807000,36774000,43006000,44919000,72323000,73492000,64542000,62911000,63777000,64549000,65128000,65912000,66648000,67411000,68507000,69575000,70489000,71992000,73557000,74229000
28,Weighted Average Shares Outstanding Diluted,4687500,6388889,8199000,8435000,10269000,11192000,16351000,18015000,25807000,36774000,43469000,44919000,72533000,74074000,64542000,62911000,64174000,65003000,65722000,65912000,67644000,68549000,68507000,70485000,70937000,72386000,73850000,74455000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933974/000155837020013971/0001558370-20-013971-index.htm,https://www.sec.gov/Archives/edgar/data/933974/000155837021016314/0001558370-21-016314-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,124999000,193281000,202462000,115773000,168232000,110269000,59985000,59823000,58833000,54639000,82971000,94114000,80722000,85086000,101622000,197708000,301642000,295649000,227427000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4481000,62086000,121561000,68280000,80102000,33077000,28046000,49011000,65695000,85646000,45900000,68130000,70021000,39000,28000,46281000,34124000,67000,81000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,129480000,255367000,324023000,184053000,248334000,143346000,88031000,108834000,124528000,140285000,128871000,162244000,150743000,85125000,101650000,243989000,335766000,295716000,227508000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,69374000,124004000,77555000,127195000,105904000,75616000,38548000,92273000,76701000,78855000,77483000,80106000,86448000,106372000,120828000,125192000,165602000,188291000,119877000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,53212000,71891000,48434000,99854000,104794000,105901000,84738000,115787000,107654000,102985000,97719000,93567000,100619000,92572000,106395000,96986000,99445000,114834000,60398000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17946000,9873000,16077000,21710000,20489000,13783000,9872000,10437000,11641000,25364000,26046000,38396000,35667000,15265000,23138000,97889000,46332000,50612000,369583000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,270012000,461135000,466089000,432812000,479521000,338646000,221189000,327331000,320524000,347489000,330119000,374313000,373477000,299334000,352011000,564056000,647145000,649453000,777366000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,64825000,58810000,54165000,78833000,80747000,81604000,74793000,63669000,68596000,64478000,47870000,50183000,41855000,54885000,58462000,59988000,100669000,117665000,130719000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351444000,319302000,119979000,48138000,48138000,84727000,88440000,122030000,109501000,121408000,202138000,233638000,255876000,488602000,501536000,469356000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,79550000,68963000,65922000,94067000,76964000,58452000,14081000,11123000,44314000,39400000,60088000,59550000,55446000,81843000,83520000,99956000,251168000,218325000,186534000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,79550000,68963000,65922000,445511000,396266000,178431000,62219000,59261000,129041000,127840000,182118000,169051000,176854000,283981000,317158000,355832000,739770000,719861000,655890000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51960000,65339000,115902000,91374000,70178000,112156000,87595000,33369000,31235000,7237000,2845000,3101000,3598000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104626000,99146000,67563000,70476000,1982000,1692000,43798000,5064000,4979000,10043000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,78314000,82131000,37904000,35421000,58304000,64957000,3161000,2624000,2557000,6153000,7332000,4772000,9397000,12354000,6070000,64346000,20506000,64066000,241896000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,222689000,209904000,157991000,559765000,535317000,324992000,192133000,190893000,316096000,394471000,406644000,403725000,386177000,386571000,414617000,531201000,868854000,909672000,1042146000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,492701000,671039000,624080000,992577000,1014838000,663638000,413322000,518224000,636620000,741960000,736763000,778038000,759654000,685905000,766628000,1095257000,1515999000,1559125000,1819512000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,26770000,45086000,30820000,69392000,57758000,37248000,26360000,65734000,40199000,28988000,35392000,33740000,44890000,41128000,49100000,55873000,58919000,61758000,42360000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,11000,12000,11000,- -,- -,- -,- -,- -,- -,- -,881000,- -,- -,- -,2000000,829000,827000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2686000,1040000,4015000,1699000,1077000,1808000,6111000,7554000,11417000,6746000,99263000,10094000,8711000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,33686000,34568000,22143000,26119000,5424000,3553000,2916000,4365000,14073000,9986000,19653000,26279000,17886000,14966000,24292000,25884000,29435000,31357000,25724000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,74303000,87333000,72120000,84657000,79615000,62050000,41213000,38056000,41467000,42217000,37516000,52941000,51475000,63699000,73386000,80860000,183087000,117176000,277004000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,134857000,166998000,125095000,180179000,142797000,102851000,70489000,108155000,95739000,81191000,92561000,113841000,114251000,119793000,146778000,164617000,272270000,211118000,345088000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,175025000,175014000,175002000,2000,- -,- -,10755000,- -,- -,- -,- -,7417000,- -,- -,- -,194071000,50315000,81443000,94765000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8275000,6840000,5594000,5435000,8237000,38910000,36966000,15003000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,19826000,15214000,13088000,12868000,11799000,18383000,12455000,20717000,22283000,11468000,11546000,5616000,6518000,6828000,6771000,10500000,15550000,15984000,39322000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,194851000,190228000,188090000,12870000,11799000,18383000,23210000,20717000,22283000,11468000,11546000,21308000,13358000,12422000,12206000,212808000,104775000,134393000,149090000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8298000,- -,- -,- -,- -,- -,31855000,45088000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,329708000,357226000,313185000,193049000,154596000,121234000,93699000,128872000,118022000,92659000,104107000,135149000,127609000,132215000,158984000,377425000,377045000,345511000,494178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000,447000,454000,754000,765000,770000,779000,789000,797000,798000,800000,804000,811000,821000,833000,841000,857000,873000,878000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-951134000,-933413000,-943470000,-980299000,-828827000,-1064773000,-1292631000,-1233649000,-1110599000,-992524000,-1015991000,-1007265000,-1020065000,-1117044000,-1082364000,-994074000,-586412000,-551072000,-470051000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,10832000,12335000,8667000,15432000,18202000,18063000,16318000,19510000,19480000,23642000,22604000,15687000,5898000,15166000,15213000,13587000,3511000,21919000,19351000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102215000,1233526000,1244184000,1763247000,1669639000,1587935000,1594663000,1602165000,1608331000,1616750000,1624543000,1633663000,1645401000,1654747000,1673962000,1697478000,1720998000,1741894000,1775156000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,162286000,312895000,309835000,799134000,859779000,541995000,319129000,388815000,518009000,648666000,631956000,642889000,632045000,553690000,607644000,717832000,1138954000,1213614000,1325334000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,491994000,670121000,623020000,992183000,1014375000,663229000,412828000,517687000,636031000,741325000,736063000,778038000,759654000,685905000,766628000,1095257000,1515999000,1559125000,1819512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,707000,918000,1060000,394000,463000,409000,494000,537000,589000,635000,700000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,492701000,671039000,624080000,992577000,1014838000,663638000,413322000,518224000,636620000,741960000,736763000,778038000,759654000,685905000,766628000,1095257000,1515999000,1559125000,1819512000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933974/000155837020013971/0001558370-20-013971-index.htm,https://www.sec.gov/Archives/edgar/data/933974/000155837021016314/0001558370-21-016314-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1500000,4600000,8500000,800000,-18400000,-7900000,12753000,-29660000,-719954000,-185760000,17721000,-10057000,25930000,151472000,-235946000,-227858000,58982000,128352000,136789000,-2215000,31361000,14221000,-69476000,62612000,116575000,437416000,64853000,110747000
74,Depreciation and Amortization,800000,1200000,3100000,4800000,8100000,10400000,30213000,45255000,38030000,31811000,18380000,17190000,33901000,32801000,34538000,25856000,18420000,17249000,21620000,24155000,23459000,25160000,28046000,28149000,37429000,54454000,65496000,65333000
75,Deferred Income Tax,- -,- -,-400000,-200000,-4400000,-3000000,-8533000,-14050000,96748000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122136000,-2936000,-1779000,-2173000,70273000,517000,-45217000,-15161000,-5407000,-17265000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5817000,6567000,6752000,8647000,7757000,10912000,12159000,11737000,17278000,19822000,20113000,16317000,27456000
77,Change in Working Capital,-2600000,- -,- -,- -,- -,- -,- -,- -,- -,135155000,158982000,46857000,-88361000,84091000,-100929000,-85095000,68476000,5609000,41513000,-28740000,22914000,-1246000,-79685000,25692000,194206000,-24564000,63460000,-6057000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29963000,-53163000,9916000,-784000,6422000,12098000,-5134000,-1796000,-11178000,-28463000,-11445000,-18755000,-69643000
79,Inventory,-1200000,-8100000,-5000000,-5600000,3800000,2000000,-26842000,10529000,8121000,19515000,-17744000,23933000,-1459000,-4473000,-610000,21779000,-31341000,-19131000,5874000,15490000,9598000,-5919000,8565000,-12792000,-24365000,-2933000,-13144000,-50443000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10947000,39352000,-15099000,-11182000,3123000,-11924000,8358000,-5143000,7846000,5457000,4695000,792000,30967000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,135155000,294137000,340994000,252633000,336724000,235795000,150700000,219176000,224785000,266298000,237558000,260472000,259226000,179541000,205233000,399439000,374875000,438335000,432278000
82,Other Non-Cash Items,- -,-13000000,-13300000,-7400000,16500000,6000000,-47611000,19140000,529517000,-29536000,-186228000,-22876000,93722000,-195491000,315993000,224786000,-124573000,-70312000,-50395000,56368000,-33086000,-4394000,78652000,-38024000,-248851000,-381360000,-166853000,-30357000
83,Cash Provided by Operating Activities,-300000,-7200000,-2100000,-2000000,1800000,5500000,-13178000,20685000,-55659000,-48330000,8855000,31114000,65192000,72873000,13656000,-56494000,27872000,87650000,36038000,54389000,53781000,43727000,39547000,96224000,73964000,90898000,37866000,149857000
84,CAPEX,-1000000,-7400000,-9700000,-6400000,-4400000,-19700000,-13706000,-53652000,-23660000,-13810000,-8203000,-11704000,-20954000,-20633000,-23514000,-11339000,-4364000,-6455000,-8653000,-3635000,-5518000,-16146000,-12848000,-12917000,-12787000,-23861000,-39924000,-52805000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-24399000,-33142000,-16195000,400000,- -,- -,-41377000,124000,-1000000,- -,- -,-10060000,-9216000,-68331000,49744000,-12672000,-125248000,-44791000,-85755000,218938000,-15744000,-95514000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-118034000,-181402000,-74559000,-74878000,-231687000,-635683000,-853839000,-391748000,-151231000,-59091000,-117473000,-186718000,-135015000,-91740000,-174287000,-92833000,-13151000,-170000,-69692000,-35225000,-10894000,-151000
87,Sales/Maturities of Investments,500000,500000,- -,- -,- -,- -,15000000,114956000,123599000,121729000,169141000,618453000,934961000,362833000,190592000,75628000,84546000,120095000,131317000,145023000,112085000,104008000,139388000,3590000,19566000,51460000,44820000,121000
88,Other Investing Activites,- -,- -,-1300000,-2000000,-200000,9100000,-774000,-504000,1025000,10152000,- -,1294000,281000,130393000,1918000,1055000,7191000,-1112000,530000,11534000,177000,6000,985000,-140000,200000,- -,-1000000,2000000
89,Cash Used for Investing Activites,-500000,-6900000,-11000000,-8400000,-4600000,-10600000,-141913000,-153744000,10210000,43593000,-70749000,-27640000,19072000,80969000,16765000,6253000,-29208000,-84250000,-21037000,-7149000,-17799000,-17637000,-10874000,-54188000,-148468000,211312000,-22742000,-146349000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239000,-8829000,- -,- -,-1500000,-851387000,-2105000,-1992000
91,Common Stock Issued,300000,31600000,300000,81500000,800000,1700000,225878000,9106000,8029000,6134000,130203000,5313000,3659000,9303000,2391000,1248000,1245000,1358000,1705000,1851000,1838000,1807000,1888000,2040000,2826000,3422000,4595000,5812000
92,Common Stock Repurchased,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110762000,-90194000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5180000,-20953000,-21328000,-22875000,-26992000,-27503000,-27932000,-28285000,-28895000,-29513000,-29726000
94,Other Financing Activites,- -,-2400000,-300000,-1400000,-4800000,- -,-5800000,151584000,-587000,34000,-98000,-11000,-175015000,-1740000,- -,- -,- -,- -,- -,- -,-3189000,- -,-342000,-28000,197236000,685699000,- -,- -
95,Cash Used/Provided by Financing Activities,300000,29200000,-400000,80100000,-4000000,1700000,220078000,160690000,7442000,6168000,130105000,5302000,-171356000,-103199000,-87803000,1248000,1245000,-3822000,-19248000,-19477000,-24465000,-34014000,-25957000,-25920000,170277000,-191161000,-27023000,-25906000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-300000,300000,-150000,-1028000,3065000,-1729000,71000,405000,403000,1816000,-581000,-1291000,-71000,-568000,53000,569000,-374000,-5468000,1648000,420000,313000,-3586000,9254000,5205000
97,Net Change In Cash,300000,29200000,-400000,80100000,-4000000,-3100000,64837000,26603000,-34942000,-298000,68282000,9181000,-86689000,52459000,-57963000,-50284000,-162000,-990000,-4194000,28332000,11143000,-13392000,4364000,16536000,96086000,107463000,-2645000,-17193000
98,Cash at the End of Period,- -,- -,- -,- -,- -,66400000,131203000,160239000,125297000,124999000,193281000,202462000,115773000,168232000,110269000,59985000,59823000,58833000,54639000,82971000,94114000,80722000,85086000,101622000,197708000,305171000,302526000,285333000
99,Cash at the Beginning of Period,1000000,500000,15600000,2100000,75300000,69500000,66366000,133636000,160239000,125297000,124999000,193281000,202462000,115773000,168232000,110269000,59985000,59823000,58833000,54639000,82971000,94114000,80722000,85086000,101622000,197708000,305171000,302526000
100,Free Cash Flow,-1300000,-14600000,-11800000,-8400000,-2600000,-14200000,-26884000,-32967000,-79319000,-62140000,652000,19410000,44238000,52240000,-9858000,-67833000,23508000,81195000,27385000,50754000,48263000,27581000,26699000,83307000,61177000,67037000,-2058000,97052000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933974/000155837020013971/0001558370-20-013971-index.htm,https://www.sec.gov/Archives/edgar/data/933974/000155837021016314/0001558370-21-016314-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
