,https://roic.ai/company/AXTA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,807300000,865900000,820400000,765800000,801900000,870200000,860800000,830100000,869800000,937500000
35,Inventory,- -,471000000,550200000,538300000,530700000,529700000,608600000,613000000,591600000,559900000,669700000
36,Other Current Assets,- -,47500000,80200000,132100000,135800000,53000000,67000000,142200000,134200000,135300000,127800000
37,Total Current Assets,- -,1354500000,1955600000,1872900000,1917300000,1920000000,2315600000,2309600000,2573400000,2925900000,2575600000
38,PP&E,- -,708800000,1622600000,1514100000,1382900000,1315700000,1388600000,1298200000,1318600000,1295800000,1290400000
39,Goodwill,- -,588800000,1113600000,1001100000,928200000,961000000,1271200000,1230800000,1208900000,1294900000,1592700000
40,Intangible Assets,- -,66900000,1439600000,1300000000,1191600000,1130300000,1428200000,1348000000,1223900000,1148800000,1278200000
41,Intangible Assets,- -,655700000,2553200000,2301100000,2119800000,2091300000,2699400000,2578800000,2432800000,2443700000,2870900000
42,Investments,- -,19400000,20700000,4500000,4200000,4400000,5200000,1700000,1600000,1700000,- -
43,Tax Assets,- -,93400000,271900000,250000000,227200000,314100000,198400000,184800000,162300000,223600000,181500000
44,Other Non-Current Assets,- -,46800000,313100000,310200000,202800000,209300000,225000000,302600000,329300000,266500000,298800000
45,Total Non-Current Assets,- -,1524100000,4781500000,4379900000,3936900000,3934800000,4516600000,4366100000,4244600000,4231300000,4641600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2878600000,6737100000,6252800000,5854200000,5854800000,6832200000,6675700000,6818000000,7157200000,7217200000
48,Accounts Payable,- -,389900000,428800000,463600000,418600000,429500000,510700000,477800000,442000000,513400000,610900000
49,Short-Term Debt,- -,200000,46700000,40100000,50100000,27900000,37700000,42200000,73200000,83000000,106900000
50,Tax Payable,- -,43000000,65600000,42200000,41200000,50500000,49200000,36600000,36900000,56400000,53400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,359200000,527900000,443000000,412900000,462300000,533800000,520600000,557700000,584500000,617100000
53,Total Current Liabilities,- -,749300000,1003400000,946700000,881600000,919700000,1082200000,1040600000,1072900000,1180900000,1334900000
54,Long-Term Debt,- -,- -,3874200000,3656300000,3391400000,3236000000,3877900000,3821800000,3790200000,3838500000,3749900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,27900000,280400000,208200000,165500000,160200000,152900000,140800000,115500000,114000000,174700000
57,Other Non-Current Liabilities,- -,404400000,367300000,329600000,274500000,281300000,311400000,362000000,429800000,544000000,419000000
58,Total Non-Current Liabilities,- -,432300000,4521900000,4194100000,3831400000,3677500000,4342200000,4324600000,4335500000,4496500000,4343600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,29300000,28800000,27200000
61,Total Liabilities,- -,1181600000,5525300000,5140800000,4713000000,4597200000,5424400000,5365200000,5408400000,5677400000,5678500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,229100000,229800000,237000000,239300000,242400000,245300000,249900000,250900000,251800000
64,Retained Earnings,- -,- -,-253900000,-226500000,-132800000,-47100000,-21400000,198600000,443200000,563300000,827200000
65,Other Comprehensive Income/Loss,- -,-140900000,34000000,-103300000,-269300000,-350400000,-241000000,-336100000,-395500000,-424800000,-414400000
66,Other Total Stockholders Equity,- -,1838000000,1133700000,1144700000,1238800000,1294300000,1296100000,1097300000,1056600000,1043600000,- -
67,Total Stockholders Equity,- -,1663400000,1142900000,1044700000,1073700000,1136100000,1276100000,1205100000,1354200000,1433000000,1492900000
68,Total Liabilities And Stockholders Equity,- -,2845000000,6668200000,6185500000,5786700000,5733300000,6700500000,6570300000,6762600000,7110400000,7171400000
69,Minority Interest,- -,33600000,68900000,67300000,67500000,121500000,131700000,105400000,55400000,46800000,45800000
70,Total Liabilities & Equity,- -,2878600000,6737100000,6252800000,5854200000,5854800000,6832200000,6675700000,6818000000,7157200000,7217200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1616862/000161686215000003/0001616862-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686216000044/0001616862-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686217000013/0001616862-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686218000010/0001616862-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686219000012/0001616862-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686220000012/0001616862-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686221000013/0001616862-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686222000010/0001616862-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,179400000,243300000,-224900000,27400000,93700000,41800000,36700000,207100000,249000000,121600000,263900000
74,Depreciation and Amortization,108700000,110700000,300700000,308700000,307700000,322100000,347500000,369100000,353000000,320300000,316500000
75,Deferred Income Tax,3500000,9100000,-120800000,-38200000,-5000000,-14200000,91700000,6100000,15700000,-55400000,15000000
76,Stock Based Compensation,- -,- -,7400000,8000000,30200000,41100000,38500000,37300000,15700000,15100000,14900000
77,Change in Working Capital,-60600000,634100000,347000000,-26000000,109500000,-35400000,233100000,35600000,231500000,244500000,-45400000
78,Accounts Receivable,-5400000,-58900000,-6400000,-40200000,-61100000,-67800000,-15200000,-22300000,-10100000,- -,- -
79,Inventory,6100000,5700000,33900000,-24700000,-35200000,-1700000,-19900000,-48100000,10800000,39600000,-111600000
80,Accounts Payable,10000000,54900000,67100000,53600000,-6700000,32300000,39800000,49500000,18200000,103000000,140100000
81,Other Working Capital,-28900000,605200000,952200000,926200000,1035700000,1000300000,1233400000,1269000000,1500500000,1745000000,- -
82,Other Non-Cash Items,5200000,-608400000,67400000,-28500000,-136500000,203900000,-207500000,-159100000,-291800000,-136800000,-6300000
83,Cash Provided by Operating Activities,236200000,388800000,376800000,251400000,399600000,559300000,540000000,496100000,573100000,509300000,558600000
84,CAPEX,-124400000,-94800000,-54500000,-188600000,-138100000,-136200000,-125000000,-143400000,-112500000,-82100000,-121600000
85,Acquisitions Net,300000,100000,-4827600000,-6500000,-29600000,-114800000,-568700000,-109700000,4900000,3400000,-649000000
86,Purchases of Investments,- -,- -,-22500000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,22500000,- -,- -,- -
88,Other Investing Activites,-34200000,-15100000,-53800000,16400000,3400000,-6000000,4100000,14500000,13700000,17200000,54600000
89,Cash Used for Investing Activites,-116600000,-88200000,-5011200000,-178500000,-164300000,-257000000,-689600000,-216100000,-93900000,-61500000,-716000000
90,Debt Repayment,-400000,-700000,-46600000,-154900000,-144200000,-1764300000,-64100000,-556000000,-67100000,-1262100000,-100900000
91,Common Stock Issued,- -,- -,1355400000,2500000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-58400000,-253800000,-105300000,-26000000,-243800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-124700000,-289900000,3789300000,29200000,69700000,1531700000,489800000,468500000,14000000,1157200000,10200000
95,Cash Used/Provided by Financing Activities,-125100000,-290600000,5098100000,-123200000,-74500000,-232600000,367300000,-341300000,-158400000,-130900000,-334500000
96,Effect of Forex Changes on Cash,2400000,-100000,-4400000,-26900000,-57900000,-19300000,17100000,-15200000,3300000,26600000,-20900000
97,Net Change In Cash,-3100000,9900000,- -,-77200000,102900000,50400000,234800000,-76500000,324100000,343500000,-512800000
98,Cash at the End of Period,18800000,28700000,459300000,382100000,485000000,538100000,772900000,696400000,1020500000,1364000000,851200000
99,Cash at the Beginning of Period,21900000,18800000,- -,459300000,382100000,487700000,538100000,772900000,696400000,1020500000,1364000000
100,Free Cash Flow,111800000,294000000,269500000,62800000,261500000,423100000,415000000,352700000,460600000,427200000,437000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616862/000161686215000003/0001616862-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686216000044/0001616862-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686217000013/0001616862-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686218000010/0001616862-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686219000012/0001616862-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686220000012/0001616862-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686221000013/0001616862-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686222000010/0001616862-22-000010-index.htm
102,false,,,,,,,,,,,
