,https://roic.ai/company/QEGY,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,-1430992,-2648772,-3241019,-3381767,- -,- -,-2328938,-365662,174263,-19277,716709,-142075,-314396,-912683,-1130082
68,Total Liabilities And Stockholders Equity,1343716,44849,1823,784,- -,- -,- -,- -,209556,15115,765189,65186,9400,47,47
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-11042,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1343716,44849,1823,784,- -,- -,- -,- -,198514,15115,765189,65186,9400,47,47
71,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295961/000143774921001123/0001437749-21-001123-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921009779/0001437749-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921014770/0001437749-21-014770-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-3074397,-486122,-592245,-140748,- -,- -,-1232,1935776,-635404,-330418,-1174990,-449613,-341791,-1051548,-217399
74,Depreciation and Amortization,34790,225794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,32400,2900,480647,83461,- -,- -,- -
77,Change in Working Capital,-2000033,-260328,-210258,-139961,- -,- -,290329,1963276,360364,-29013,85987,-49375,-324519,-590465,-217399
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,18454,19019,-8421,- -,24578,23005,48992,73209,239186
81,Other Working Capital,-2008720,-2269048,-2479306,-2619267,- -,- -,-2328938,-365662,-5298,-34311,51676,2301,-322218,-912683,-1130082
82,Other Non-Cash Items,4817481,344963,719518,280457,- -,- -,-289097,-3958862,-118097,190617,353741,239913,583024,1435442,434798
83,Cash Provided by Operating Activities,-222159,-175693,-82985,-252,- -,- -,- -,-59810,-360737,-165914,-254615,-175614,-83286,-206571,- -
84,CAPEX,-830591,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,308200,- -,- -,- -,- -,- -,- -,- -,- -,-7822,- -,- -,-150000,- -
89,Cash Used for Investing Activites,-830591,308200,- -,- -,- -,- -,- -,- -,- -,- -,-7822,- -,- -,-150000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14800,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,27500,30000,136900,296990,175000,17272,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1110050,-150000,43198,- -,- -,- -,- -,32000,350000,10142,- -,- -,47728,355040,- -
95,Cash Used/Provided by Financing Activities,1110050,-150000,43198,- -,- -,- -,- -,59500,380000,147042,282190,175000,65000,355040,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,57300,-17493,-39787,-252,- -,- -,- -,- -,19263,-18872,19753,-614,-18286,-1531,- -
98,Cash at the End of Period,58316,40823,1036,784,- -,- -,- -,-310,18953,81,19834,19864,1578,47,47
99,Cash at the Beginning of Period,1016,58316,40823,1036,- -,- -,- -,- -,-310,18953,81,20478,19864,1578,47
100,Free Cash Flow,-1052750,-175693,-82985,-252,- -,- -,- -,-59810,-360737,-165914,-254615,-175614,-83286,-206571,- -
101,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295961/000143774921001123/0001437749-21-001123-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921009779/0001437749-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921014770/0001437749-21-014770-index.htm
102,false,,,,,,,,,,,,,,,
