,https://roic.ai/company/PHCF,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,1949058,532369,1229955,818840,2003553,1527431
53,Total Current Liabilities,1949058,532369,2086122,1362445,3064715,3721272
54,Long-Term Debt,- -,- -,1208003,1206565,1145825,539195
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,555796,909382
58,Total Non-Current Liabilities,- -,- -,1208003,1206565,1701621,1448577
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1441628,1100188
61,Total Liabilities,1949058,532369,3294125,2569010,4766336,5169849
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,11508,11508,11508
64,Retained Earnings,-8196723,-7239501,-6764155,-9221341,-13267289,-18321053
65,Other Comprehensive Income/Loss,-186417,-214299,-259206,-381608,-583761,289443
66,Other Total Stockholders Equity,8254466,8731624,14865005,22040695,22411794,- -
67,Total Stockholders Equity,-118674,1287824,7851644,12449254,8572252,3890943
68,Total Liabilities And Stockholders Equity,1830384,1820193,11145769,15018264,13338588,9060792
69,Minority Interest,- -,- -,-2513,-641182,-1291912,-631327
70,Total Liabilities & Equity,1830384,1820193,11143256,14377082,12046676,8429465
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,454645,957222,475346,-2457186,-4045948,-4735800
74,Depreciation and Amortization,110683,93403,78514,135939,1065724,1066696
75,Deferred Income Tax,209923,175435,-150615,380302,179449,-11065
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-394060,-462782,-453262,-4586181,2305882,1428478
78,Accounts Receivable,- -,-354868,-2403079,-242674,1200468,1484313
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1413,- -
81,Other Working Capital,- -,- -,1277528,-298954,847265,-765922
82,Other Non-Cash Items,5565,62556,-270255,-607369,-643443,581045
83,Cash Provided by Operating Activities,386756,825834,-320272,-7134495,-1138336,-1670646
84,CAPEX,- -,- -,-132998,-172158,-288372,- -
85,Acquisitions Net,- -,- -,- -,-2042460,125365,- -
86,Purchases of Investments,-175045,-8270,-1913794,-24347,-1425,- -
87,Sales/Maturities of Investments,- -,- -,- -,365462,178237,150900
88,Other Investing Activites,963,38707,3536,-1673168,318194,506779
89,Cash Used for Investing Activites,-174082,30437,-2043256,-3534027,331999,657679
90,Debt Repayment,- -,- -,- -,- -,-334434,-75445
91,Common Stock Issued,- -,- -,- -,8032912,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-693374,-565164,6869904,- -,- -,884290
95,Cash Used/Provided by Financing Activities,-693374,-565164,6869904,8032912,-334434,808845
96,Effect of Forex Changes on Cash,-19435,6731,-19854,-168805,-119418,40975
97,Net Change In Cash,-500135,297838,4486522,-2804415,-1260189,-163147
98,Cash at the End of Period,24680,322518,4809040,2004625,744436,581289
99,Cash at the Beginning of Period,524815,24680,322518,4809040,2004625,744436
100,Free Cash Flow,386756,825834,-453270,-7306653,-1426708,-1670646
101,SEC Link,- -,- -,- -,- -,- -,- -
102,false,,,,,,
