,https://roic.ai/company/BCC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1328581/000132858113000015/0001328581-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858114000010/bcc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858115000032/bcc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858116000155/0001328581-16-000155-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858117000012/0001328581-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858118000012/0001328581-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858119000025/0001328581-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858120000024/0001328581-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858121000011/0001328581-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858122000017/0001328581-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,264601000,182455000,54507000,118249000,163549000,184496000,103978000,177140000,191671000,285237000,405382000,748907000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,264601000,182455000,54507000,118249000,163549000,184496000,103978000,177140000,191671000,285237000,405382000,748907000
34,Net Receivables,- -,107774000,123933000,141621000,160091000,180446000,199064000,210649000,256177000,229240000,231646000,391133000,462228000
35,Inventory,- -,261202000,283978000,325806000,383359000,394461000,384857000,433451000,476673000,533049000,497596000,503480000,660671000
36,Other Current Assets,- -,3808000,4864000,5523000,26006000,35168000,17153000,12381000,22582000,31818000,8285000,8860000,14072000
37,Total Current Assets,- -,637385000,595230000,527457000,687705000,773624000,785570000,760459000,932572000,985778000,1022764000,1308855000,1885878000
38,PP&E,- -,273569000,266456000,265924000,360985000,368128000,402666000,568702000,565792000,487224000,562975000,553426000,586960000
39,Goodwill,- -,12170000,12170000,12170000,21823000,21823000,21823000,55433000,55433000,59159000,60382000,60382000,60382000
40,Intangible Assets,- -,8906000,8900000,8900000,10277000,10183000,10090000,15547000,15066000,16851000,17797000,16574000,15351000
41,Intangible Assets,- -,21076000,21070000,21070000,32100000,32006000,31913000,70980000,70499000,76010000,78179000,76956000,75733000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,760000,16684000,908000,8840000,9064000,8211000,7952000,7460000,6589000
44,Other Non-Current Assets,- -,20203000,20075000,21947000,22636000,30043000,27549000,30216000,29266000,24025000,21481000,19021000,17480000
45,Total Non-Current Assets,- -,314848000,307601000,308941000,416481000,446861000,463036000,678738000,674621000,595470000,670587000,656863000,686762000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,952233000,902831000,836398000,1104186000,1220485000,1248606000,1439197000,1607193000,1581248000,1693351000,1965718000,2572640000
48,Accounts Payable,- -,112808000,117900000,142142000,142120000,152436000,160471000,195913000,234787000,211657000,224554000,307653000,334985000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8101000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,65648000,60079000,94045000,96897000,102754000,98179000,116951000,146774000,158168000,160438000,216349000,305761000
53,Total Current Liabilities,- -,178456000,177979000,236187000,239017000,255190000,258650000,312864000,381561000,369825000,384992000,524002000,640746000
54,Long-Term Debt,- -,219560000,219560000,275000000,301613000,301415000,344589000,437629000,438312000,439428000,440544000,531400000,531789000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,6339000,16454000,19218000,26694000,18263000,3641000
57,Other Non-Current Liabilities,- -,145124000,222673000,227447000,111075000,171492000,110697000,102361000,96317000,80187000,139791000,41254000,43845000
58,Total Non-Current Liabilities,- -,364684000,442233000,502447000,412688000,472907000,455286000,546329000,551083000,538833000,607029000,590917000,579275000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81448000,87608000,87161000
61,Total Liabilities,- -,543140000,620212000,738634000,651705000,728097000,713936000,859193000,932644000,908658000,992021000,1114919000,1220021000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,297000,297000,297000,432000,433000,434000,435000,437000,441000,444000,446000,447000
64,Retained Earnings,- -,-33364000,-79727000,-38231000,110705000,190714000,242896000,281150000,361243000,330056000,356698000,452334000,948879000
65,Other Comprehensive Income/Loss,- -,-40195000,-120845000,-121229000,-55249000,-101498000,-93015000,-83012000,-76702000,-47652000,-50248000,-1078000,-1047000
66,Other Total Stockholders Equity,- -,482355000,482894000,256927000,396593000,402739000,384355000,381431000,389571000,389745000,394436000,399097000,404340000
67,Total Stockholders Equity,- -,409093000,282619000,97764000,452481000,492388000,534670000,580004000,674549000,672590000,701330000,850799000,1352619000
68,Total Liabilities And Stockholders Equity,- -,952233000,902831000,836398000,1104186000,1220485000,1248606000,1439197000,1607193000,1581248000,1693351000,1965718000,2572640000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,952233000,902831000,836398000,1104186000,1220485000,1248606000,1439197000,1607193000,1581248000,1693351000,1965718000,2572640000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1328581/000132858113000015/0001328581-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858114000010/bcc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858115000032/bcc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858116000155/0001328581-16-000155-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858117000012/0001328581-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858118000012/0001328581-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858119000025/0001328581-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858120000024/0001328581-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858121000011/0001328581-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858122000017/0001328581-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-98498000,-33297000,-46363000,41496000,116936000,80009000,52182000,38254000,82957000,20477000,80925000,174979000,712486000
74,Depreciation and Amortization,43679000,37674000,39232000,37211000,39810000,53052000,57197000,74927000,82321000,148937000,82377000,97131000,82489000
75,Deferred Income Tax,- -,- -,- -,- -,-59600000,10705000,30883000,-7823000,8117000,-7965000,9025000,27497000,-13704000
76,Stock Based Compensation,2736000,1625000,- -,- -,2869000,5916000,5825000,8177000,9730000,8831000,7973000,7820000,7911000
77,Change in Working Capital,40708000,458929000,-41678000,-125981000,157418000,69746000,8486000,-79325000,103416000,64942000,21819000,147081000,-119287000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,47086000,-28428000,-20899000,-41828000,-50958000,-11102000,9604000,-30757000,-43222000,-64190000,40176000,-6249000,-158472000
80,Accounts Payable,- -,- -,- -,- -,1151000,15418000,6822000,45651000,68124000,-14531000,5212000,131541000,123670000
81,Other Working Capital,- -,458929000,417251000,291270000,448688000,518434000,526920000,447595000,551011000,615953000,637772000,784853000,- -
82,Other Non-Cash Items,-23848000,-454644000,5828000,127410000,-224006000,-117585000,-74242000,117697000,-134974000,-71611000,43528000,-159992000,-2911000
83,Cash Provided by Operating Activities,-35223000,10287000,-42981000,80136000,33427000,101843000,80331000,151907000,151567000,163611000,245647000,294516000,666984000
84,CAPEX,-16806000,-35751000,-33537000,-27386000,-45751000,-61217000,-87526000,-83583000,-75450000,-79987000,-82720000,-79429000,-106518000
85,Acquisitions Net,-4598000,- -,-5782000,-2355000,-103029000,- -,- -,-215900000,- -,-25482000,-15676000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1104000,298000,2702000,307000,2100000,4813000,3134000,644000,2238000,16212000,4331000,713000,932000
89,Cash Used for Investing Activites,-20300000,-35453000,-36617000,-29434000,-146680000,-56404000,-84392000,-298839000,-73212000,-89257000,-94065000,-78716000,-105586000
90,Debt Repayment,-65627000,-128451000,- -,-244560000,-105010000,-57600000,- -,-754071000,-410400000,-7500000,-5500000,-405774000,-28000000
91,Common Stock Issued,83172000,86117000,- -,- -,262488000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000000,- -,-23711000,-10268000,- -,-4930000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2701000,-50615000,-53954000,-79195000,-213681000
94,Other Financing Activites,49277000,45000000,-2548000,65910000,128131000,57461000,48719000,830753000,407908000,3222000,1438000,389314000,23808000
95,Cash Used/Provided by Financing Activities,66822000,2666000,-2548000,-178650000,185609000,-139000,25008000,66414000,-5193000,-59823000,-58016000,-95655000,-217873000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11299000,-22500000,-82146000,-127948000,72356000,45300000,20947000,-80518000,73162000,14531000,93566000,120145000,343525000
98,Cash at the End of Period,287101000,264601000,182455000,54507000,118249000,163549000,184496000,103978000,177140000,191671000,285237000,405382000,748907000
99,Cash at the Beginning of Period,275802000,287101000,264601000,182455000,45893000,118249000,163549000,184496000,103978000,177140000,191671000,285237000,405382000
100,Free Cash Flow,-52029000,-25464000,-76518000,52750000,-12324000,40626000,-7195000,68324000,76117000,83624000,162927000,215087000,560466000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1328581/000132858113000015/0001328581-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858114000010/bcc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858115000032/bcc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858116000155/0001328581-16-000155-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858117000012/0001328581-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858118000012/0001328581-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858119000025/0001328581-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858120000024/0001328581-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1328581/000132858121000011/0001328581-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1328581/000132858122000017/0001328581-22-000017-index.htm
102,false,,,,,,,,,,,,,
