,https://roic.ai/company/TIG,2018,2019,2020,2021
47,Total Assets,800119000,919034000,377359000,1503015000
48,Accounts Payable,43113000,56007000,59892000,- -
49,Short-Term Debt,26469000,21637000,31637000,- -
50,Tax Payable,5416000,5027000,4527000,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1348000,- -
53,Total Current Liabilities,69582000,77644000,92877000,- -
54,Long-Term Debt,7302000,7403000,31637000,35338000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,12329000,7520000
57,Other Non-Current Liabilities,- -,- -,- -,- -
58,Total Non-Current Liabilities,7302000,7403000,43966000,42858000
59,Other Liabilities,632708000,707178000,910765000,1123964000
60,Capital Lease Obligations,1096000,- -,6893000,4976000
61,Total Liabilities,694988000,777419000,959676000,1081106000
62,Preferred Stock,1000000,- -,- -,- -
63,Common Stock,78360000,78438000,511000,- -
64,Retained Earnings,9779000,40361000,112959000,128390000
65,Other Comprehensive Income/Loss,-2003000,4821000,9527000,4384000
66,Other Total Stockholders Equity,17995000,17995000,287110000,- -
67,Total Stockholders Equity,105131000,141615000,410107000,421909000
68,Total Liabilities And Stockholders Equity,800119000,919034000,1369783000,1503015000
69,Minority Interest,- -,- -,-992424000,- -
70,Total Liabilities & Equity,800119000,919034000,377359000,1503015000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1801754/000180175421000006/0001801754-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1801754/000180175422000005/0001801754-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,19522000,31285000,90769000,19330000
74,Depreciation and Amortization,497000,876000,3485000,- -
75,Deferred Income Tax,-71000,-1118000,-445000,- -
76,Stock Based Compensation,79000,78000,703000,- -
77,Change in Working Capital,48428000,111050000,-770359000,505997000
78,Accounts Receivable,-64638000,-54606000,-49304000,9511000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,8546000,11809000,473000,- -
81,Other Working Capital,719581000,830631000,60272000,566269000
82,Other Non-Cash Items,6811000,-89998000,725859000,-525327000
83,Cash Provided by Operating Activities,75266000,52173000,50012000,- -
84,CAPEX,-3218000,-633000,-807000,- -
85,Acquisitions Net,-786000,-5496000,4472000,- -
86,Purchases of Investments,-142369000,-89171000,-129233000,- -
87,Sales/Maturities of Investments,65518000,71357000,105322000,- -
88,Other Investing Activites,2296000,- -,-807000,- -
89,Cash Used for Investing Activites,-78559000,-23943000,-20246000,- -
90,Debt Repayment,-10031000,-4832000,-49728000,- -
91,Common Stock Issued,- -,- -,99643000,- -
92,Common Stock Repurchased,-2000000,-1900000,-5182000,- -
93,Dividends Paid,-1681000,-1393000,-19947000,- -
94,Other Financing Activites,27994000,- -,26614000,- -
95,Cash Used/Provided by Financing Activities,14282000,-8125000,51400000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,10989000,20105000,81166000,- -
98,Cash at the End of Period,55963000,76068000,157234000,- -
99,Cash at the Beginning of Period,44974000,55963000,76068000,157234000
100,Free Cash Flow,72048000,51540000,49205000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1801754/000180175421000006/0001801754-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1801754/000180175422000005/0001801754-22-000005-index.htm
102,false,,,,
