,https://roic.ai/company/NXTC,2017,2018,2019,2020,2021
77,Change in Working Capital,2298000,119191000,199466000,-47300000,-56444000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,767000,1342000,-622000,2040000,-1959000
81,Other Working Capital,6296000,125487000,324953000,277653000,221209000
82,Other Non-Cash Items,- -,-90340000,-205926000,27625000,51105000
83,Cash Provided by Operating Activities,-12514000,7992000,-35623000,-44954000,-57244000
84,CAPEX,-8652000,-3063000,-3371000,-7132000,-2360000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-300552000,-137129000,-156477000
87,Sales/Maturities of Investments,- -,- -,- -,187784000,195438000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8652000,-3063000,-303923000,43523000,36601000
90,Debt Repayment,-140000,-400000,- -,-1527000,- -
91,Common Stock Issued,- -,4000,238503000,112000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,25000000,121813000,4540000,- -,-3265000
95,Cash Used/Provided by Financing Activities,24860000,121417000,243043000,-1415000,-3265000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,3694000,126346000,-96503000,-2846000,-23908000
98,Cash at the End of Period,9287000,135633000,39130000,36284000,12376000
99,Cash at the Beginning of Period,5593000,9287000,135633000,39130000,36284000
100,Free Cash Flow,-21166000,4929000,-38994000,-52086000,-59604000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1661059/000155837020002566/0001558370-20-002566-index.htm,https://www.sec.gov/Archives/edgar/data/1661059/000155837021002384/0001558370-21-002384-index.htm,https://www.sec.gov/Archives/edgar/data/1661059/000155837022002824/0001558370-22-002824-index.htm
102,false,,,,,
