,https://roic.ai/company/EXK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,-24328,- -,- -,-64964,- -,- -,- -,- -,- -,-100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3355152,-1555000,-4000000,-2600000,-21030000,-35569000,-28267000,-130000,- -,- -,- -,- -,- -,- -,-5497000,-3307000
87,Sales/Maturities of Investments,- -,- -,12869,15796,- -,- -,175903,2504000,5995000,581000,3590000,22687000,50373000,5328000,- -,- -,- -,49000,- -,3000,1032000,9288000
88,Other Investing Activites,- -,34167,- -,15556,-99546,-26867,- -,-6080000,-12625000,-17065000,-30176000,- -,-190000,-65000,-82000,- -,569000,72000,1000,-269000,190000,10105000
89,Cash Used for Investing Activites,- -,29482,8751,7025,-114795,-4156180,-14174189,-22780000,-10630000,-19084000,-47616000,-59824000,-144320000,-83385000,-41830000,-35662000,-19066000,-39714000,-40397000,-21785000,-29814000,-38006000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1191000,- -,- -,- -,-6000000,-6000000,-7425000,-14180000,-9000000,- -,-1590000,-3412000,-3742000
91,Common Stock Issued,- -,- -,- -,202170,822806,9085362,29788585,9891000,2541000,5054000,52431000,19974000,- -,- -,- -,1146000,55353000,- -,8273000,23557000,26367000,59998000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-282000,-1673000,-3121000,-119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2363000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-794000,-989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-19924,- -,-1789014,-47000,- -,28562000,7946000,- -,10274000,29283000,5456000,-1029000,7290000,-1319000,616000,-764000,4586000,2758000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,202170,802882,9085362,27999571,9844000,2259000,29958000,56267000,19855000,10274000,23283000,-544000,-7308000,48463000,-10319000,8889000,21203000,27541000,56651000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1466000,1208000,-55000,-348000,-309000,-462000,403000,-41000,152000,1024000,113000
97,Net Change In Cash,- -,9170,-8257,100536,293258,3578156,16009178,-15293000,-12995000,23120000,41335000,7397000,-56817000,16387000,-3959000,-10632000,51904000,-34040000,-4901000,-10008000,37715000,42220000
98,Cash at the End of Period,- -,10167,1490,102146,406856,4018124,31860444,16577000,3582000,26702000,68037000,75434000,18617000,35004000,31045000,20413000,72317000,38277000,33376000,23368000,61083000,103303000
99,Cash at the Beginning of Period,- -,997,9747,1609,113598,439968,15851265,31870000,16577000,3582000,26702000,68037000,75434000,18617000,35004000,31045000,20413000,72317000,38277000,33376000,23368000,61083000
100,Free Cash Flow,- -,-24997,-21126,-108658,-410079,-5480338,-8745181,-20006000,-17249000,-4819000,2508000,1890000,9785000,-11974000,-2985000,-3015000,3334000,-24245000,-13750000,-31377000,13425000,-30630000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299309001046/0001062993-09-001046-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299310000915/0001062993-10-000915-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299311001110/0001062993-11-001110-index.html,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299313001635/0001062993-13-001635-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299316008243/0001062993-16-008243-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299317001429/0001062993-17-001429-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299318000989/0001062993-18-000989-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299319001052/0001062993-19-001052-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299320001269/0001062993-20-001269-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
