,https://roic.ai/company/LXFR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096056/000109605619000015/0001096056-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605620000019/0001096056-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605621000010/0001096056-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605622000015/0001096056-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2900000,2910596,10300000,22200000,40200000,28400000,14600000,36900000,13600000,13300000,13800000,10200000,1500000,6200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -
33,Cash and Short-Term Investments,2900000,2910596,10300000,22200000,40200000,28400000,14600000,36900000,13600000,14900000,13800000,10200000,1500000,6200000
34,Net Receivables,53700000,44467442,51900000,59300000,75600000,69800000,74900000,63000000,58200000,72100000,62600000,67100000,38700000,48200000
35,Inventory,86600000,57888524,77100000,100600000,83800000,94100000,104600000,91800000,82500000,82200000,93600000,94500000,68800000,90500000
36,Other Current Assets,- -,6629691,- -,7100000,500000,800000,2000000,- -,1800000,2100000,11100000,4300000,41900000,18300000
37,Total Current Assets,143200000,111896253,139300000,189200000,200100000,193100000,196100000,191700000,156100000,171300000,181100000,176100000,150900000,163200000
38,PP&E,105500000,108985657,108500000,114200000,129600000,137900000,143800000,136000000,127900000,125500000,106900000,113700000,95500000,100100000
39,Goodwill,33600000,37029251,35900000,35700000,37300000,38200000,67900000,62200000,56900000,59600000,67600000,68800000,70200000,69700000
40,Intangible Assets,1700000,1616998,1300000,1300000,1100000,3200000,25400000,24800000,23700000,22100000,14600000,13600000,12800000,13700000
41,Intangible Assets,35300000,38646249,37200000,37000000,38400000,41400000,93300000,87000000,80600000,81700000,82200000,82400000,83000000,83400000
42,Investments,200000,323400,400000,500000,800000,7900000,7400000,7200000,10000000,7600000,1600000,2300000,500000,400000
43,Tax Assets,11800000,11642385,9700000,22700000,21600000,15800000,19200000,13800000,16600000,16200000,18600000,15800000,16500000,8000000
44,Other Non-Current Assets,2800000,2263797,1500000,700000,- -,- -,- -,- -,300000,300000,- -,- -,- -,13700000
45,Total Non-Current Assets,155600000,161861488,157300000,175100000,190400000,203000000,263700000,244000000,235400000,231300000,209300000,214200000,195500000,205600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,298800000,273757741,296600000,364300000,390500000,396100000,459800000,435700000,391500000,402600000,390400000,390300000,346400000,368800000
48,Accounts Payable,32900000,24901767,35300000,40500000,35700000,33700000,34200000,34900000,24000000,28400000,36900000,36400000,18600000,31700000
49,Short-Term Debt,39300000,- -,9600000,3100000,- -,- -,- -,- -,- -,19200000,3500000,3300000,2900000,3000000
50,Tax Payable,1600000,4365894,1300000,200000,8300000,5000000,4900000,1800000,1400000,1600000,1600000,100000,400000,3000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,42700000,29752761,35900000,41000000,43000000,31600000,31200000,34500000,30000000,36800000,47300000,34300000,43900000,49200000
53,Total Current Liabilities,114900000,54654528,80800000,84600000,78700000,65300000,65400000,69400000,54000000,84400000,87700000,74000000,65400000,83900000
54,Long-Term Debt,104700000,126125835,106300000,129400000,63500000,63800000,121400000,131600000,121000000,93800000,73600000,103100000,60100000,69400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,600000,161700,200000,- -,- -,5500000,2000000,1700000,4900000,3600000,3500000,2500000,2000000,2700000
57,Other Non-Current Liabilities,44600000,57241725,44100000,85500000,99500000,69800000,95600000,63300000,69700000,58500000,41300000,36300000,51800000,3700000
58,Total Non-Current Liabilities,149900000,183529260,150600000,214900000,163000000,139100000,219000000,196600000,195600000,155900000,118400000,141900000,113900000,75800000
59,Other Liabilities,- -,367058519,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,9600000,12800000
61,Total Liabilities,264800000,238183788,231400000,299500000,241700000,204400000,284400000,266000000,249600000,240300000,206100000,215900000,179300000,159700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,19600000,140517116,19600000,19600000,25300000,25300000,25300000,25300000,25300000,25300000,26600000,26600000,26600000,26500000
64,Retained Earnings,225400000,213928820,255000000,259400000,278600000,317300000,308800000,316600000,308100000,311400000,95300000,84800000,91200000,107500000
65,Other Comprehensive Income/Loss,-173000000,-318225183,-203600000,-214500000,-361100000,-356900000,-365400000,-382100000,-395000000,-380300000,-146600000,-149600000,-165800000,-135000000
66,Other Total Stockholders Equity,-39400000,-646799,-5800000,300000,206000000,206000000,206700000,209900000,203500000,205900000,209000000,212600000,215100000,- -
67,Total Stockholders Equity,32600000,35573953,65200000,64800000,148800000,191700000,175400000,169700000,141900000,162300000,184300000,174400000,167100000,209100000
68,Total Liabilities And Stockholders Equity,297400000,273757741,296600000,364300000,390500000,396100000,459800000,435700000,391500000,402600000,390400000,390300000,346400000,368800000
69,Minority Interest,1400000,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,298800000,273757741,296600000,364300000,390500000,396100000,459800000,435700000,391500000,402600000,390400000,390300000,346400000,368800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096056/000109605619000015/0001096056-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605620000019/0001096056-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605621000010/0001096056-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605622000015/0001096056-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,12900000,9540288,25700000,43400000,42400000,34100000,29200000,16100000,21900000,11500000,25000000,3100000,20000000,29900000
74,Depreciation and Amortization,14700000,14067882,13800000,14500000,14700000,15800000,18100000,18600000,18400000,19000000,19000000,15300000,13300000,15600000
75,Deferred Income Tax,2600000,- -,400000,1800000,17000000,12600000,7100000,9500000,6000000,400000,200000,3200000,4800000,-1600000
76,Stock Based Compensation,- -,- -,- -,- -,800000,1800000,1800000,1300000,1100000,1700000,4800000,4500000,2800000,2800000
77,Change in Working Capital,-13400000,28941725,1258275,46100000,16800000,6400000,2900000,-8400000,-20200000,-15200000,6500000,8700000,-16600000,-1200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-13800000,32016558,-20200000,-24800000,24100000,-9100000,-8500000,3000000,4500000,5000000,-15500000,300000,9500000,-15300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,-800000,-12900000,11400000
81,Other Working Capital,28300000,57241725,58500000,104600000,121400000,127800000,130700000,122300000,102100000,86900000,93400000,102100000,85500000,- -
82,Other Non-Cash Items,18500000,3398233,-3358275,-76700000,-22700000,-33600000,-36100000,15700000,2000000,27800000,7700000,-29000000,25300000,-19400000
83,Cash Provided by Operating Activities,35300000,55948127,37800000,29100000,69000000,37100000,23000000,52800000,29200000,45200000,63200000,5800000,49600000,26100000
84,CAPEX,-21400000,-12935983,-15900000,-21500000,-19300000,-26500000,-22300000,-17400000,-18900000,-11300000,-13900000,-13900000,-8000000,-9100000
85,Acquisitions Net,6000000,485099,800000,800000,-10100000,-7000000,-57800000,-4200000,-100000,-6600000,3800000,4400000,1500000,4100000
86,Purchases of Investments,- -,- -,-100000,-300000,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,323400,-400000,-500000,- -,4800000,-1600000,-1700000,1500000,-1900000,-13800000,-12700000,-8300000,-9200000
89,Cash Used for Investing Activites,-15000000,-12127484,-15600000,-21200000,-29400000,-33400000,-79800000,-21200000,-15100000,-18100000,-10000000,-8300000,-6800000,-5100000
90,Debt Repayment,- -,-28297463,-5000000,-148300000,-72800000,- -,-300000,- -,-8500000,-13400000,-37000000,-3500000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,65100000,- -,600000,200000,- -,300000,6600000,3500000,1100000,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,- -,- -,- -,-1900000,-6300000,- -,- -,- -,- -,-6400000
93,Dividends Paid,- -,- -,- -,- -,-5800000,-10800000,-10800000,-10800000,-13300000,-13300000,-13400000,-13600000,-13600000,-13600000
94,Other Financing Activites,-21900000,-15846579,-9600000,153800000,-9500000,-4900000,53300000,3300000,-7400000,-7200000,-8100000,12600000,-40000000,3900000
95,Cash Used/Provided by Financing Activities,-21900000,-44144042,-14600000,5400000,-23000000,-15700000,42800000,-9200000,-35500000,-33600000,-51900000,-1000000,-52500000,-16100000
96,Effect of Forex Changes on Cash,100000,- -,-200000,-1400000,1400000,200000,200000,-100000,-1900000,2000000,-500000,-300000,900000,- -
97,Net Change In Cash,-1500000,-323400,7400000,11900000,18000000,-11800000,-13800000,22300000,-23300000,-4500000,800000,-3800000,-8800000,4900000
98,Cash at the End of Period,2900000,2910596,10300000,22200000,40200000,28400000,14600000,36900000,13600000,9100000,14100000,10300000,1500000,6400000
99,Cash at the Beginning of Period,4400000,3233996,2900000,10300000,22200000,40200000,28400000,14600000,36900000,13600000,13300000,14100000,10300000,1500000
100,Free Cash Flow,13900000,43012144,21900000,7600000,49700000,10600000,700000,35400000,10300000,33900000,49300000,-8100000,41600000,17000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096056/000109605619000015/0001096056-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605620000019/0001096056-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605621000010/0001096056-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1096056/000109605622000015/0001096056-22-000015-index.htm
102,false,,,,,,,,,,,,,,
