,https://roic.ai/company/SYSX,2016,2017,2018,2019,2020
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,407544,- -
64,Retained Earnings,- -,- -,-3123000,-8538000,-12002000
65,Other Comprehensive Income/Loss,-879000,-877000,- -,- -,- -
66,Other Total Stockholders Equity,217000,- -,-11543000,-11918544,- -
67,Total Stockholders Equity,-662000,-22172000,-14662000,-20049000,-23513000
68,Total Liabilities And Stockholders Equity,46418000,14540000,-8504000,-8434000,3463000
69,Minority Interest,- -,- -,11539000,11511000,- -
70,Total Liabilities & Equity,46418000,14540000,3035000,3077000,3463000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1737372/000121390019005105/0001213900-19-005105-index.html,https://www.sec.gov/Archives/edgar/data/1737372/000121390020008250/0001213900-20-008250-index.htm,https://www.sec.gov/Archives/edgar/data/1737372/000121390021018255/0001213900-21-018255-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-2207000,-16914000,-7901000,-5415000,-3464000
74,Depreciation and Amortization,966000,2264000,2655000,1677000,440000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,301000,150000,65000,- -,- -
77,Change in Working Capital,9961000,-12501000,11103000,5482000,353000
78,Accounts Receivable,2843000,8881000,1284000,-1749000,- -
79,Inventory,-136000,193000,7000,- -,- -
80,Accounts Payable,6432000,2376000,-10570000,-3643000,-2432000
81,Other Working Capital,-13558000,-26059000,-14956000,-9474000,-9121000
82,Other Non-Cash Items,-1266000,32453000,-22498000,-11108000,343000
83,Cash Provided by Operating Activities,7755000,5452000,-16576000,-9364000,-2328000
84,CAPEX,-125000,-80000,- -,- -,- -
85,Acquisitions Net,-494000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,362000,- -,- -
89,Cash Used for Investing Activites,-619000,-80000,362000,- -,- -
90,Debt Repayment,- -,- -,-1040000,- -,-510000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-8902000,-6288000,17238000,9386000,2977000
95,Cash Used/Provided by Financing Activities,-8902000,-6288000,16198000,9386000,2467000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-1766000,-916000,-16000,22000,139000
98,Cash at the End of Period,938000,22000,6000,28000,167000
99,Cash at the Beginning of Period,2704000,938000,22000,6000,28000
100,Free Cash Flow,7630000,5372000,-16576000,-9364000,-2328000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1737372/000121390019005105/0001213900-19-005105-index.html,https://www.sec.gov/Archives/edgar/data/1737372/000121390020008250/0001213900-20-008250-index.htm,https://www.sec.gov/Archives/edgar/data/1737372/000121390021018255/0001213900-21-018255-index.htm
102,false,,,,,
