,https://roic.ai/company/TLRS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-1.32,-0.84,-2.28,-1.80,-7.20,-2.64,-1.56,-0.48,-0.96,-0.72,-0.42,-0.40,-0.16,-0.06,-0.13,-0.03,-0.04,-0.04
26,EPS Diluted,-1.32,-0.84,-2.28,-1.80,-7.20,-2.64,-1.56,-0.48,-0.96,-0.72,-0.42,-0.40,-0.16,-0.06,-0.13,-0.03,-0.04,-0.04
27,Weighted Average Shares Outstanding,403522,533657,841858,1596301,2267726,2808226,3762782,4908185,5149627,5587885,6674436,10999230,16786343,28829486,39437019,62482406,78725630,120741893
28,Weighted Average Shares Outstanding Diluted,403522,533657,841858,1596301,2267726,2808226,3762782,4908185,5149627,5587885,6674436,10999230,16786343,28829486,39437019,62482406,78725630,120741893
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291809000256/0001052918-09-000256-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291812000076/0001052918-12-000076-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1288750/000091228214000042/0000912282-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291814000508/0001052918-14-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000091228216000638/0000912282-16-000638-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291817000062/0001052918-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000016/0001052918-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000478/0001052918-18-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291820000008/0001052918-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000009/0001052918-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000415/0001052918-21-000415-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,110000,170000,730000,3950000,740000,970000,4640000,1830000,1030000,820000,2830000,500970,82280,67150,110740,30760,2520726,3327352
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,110000,170000,730000,3950000,740000,970000,4640000,1830000,1030000,820000,2830000,500970,82280,67150,110740,30760,2520726,3327352
34,Net Receivables,- -,- -,1310000,3880000,3500000,1420000,910000,- -,2120000,50000,10000,5760,- -,2630,- -,118530,- -,- -
35,Inventory,- -,- -,870000,1930000,2050000,1090000,1240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,80000,380000,1600000,610000,740000,7020000,70000,40000,30000,23590,435230,20720,44780,21120,14144,23573
37,Total Current Assets,110000,170000,2990000,10140000,7890000,4090000,7530000,8850000,3220000,910000,2870000,530320,517510,90500,155520,170410,2534870,3350925
38,PP&E,- -,- -,4420000,8010000,9220000,6300000,19260000,12620000,13640000,14040000,14430000,15277260,15482720,17125520,14926420,15023840,13807655,13821085
39,Goodwill,- -,- -,2810000,2810000,2810000,2810000,2810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,370000,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,3180000,2920000,2810000,2810000,2810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,621000,1127600,1178850,642450,642450,642450,642450,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10000,940000,450000,199000,-307600,9331150,1707550,1297550,1417550,774400,703910,294880,312980,310890,544396,544396
45,Total Non-Current Assets,- -,- -,7610000,11870000,12480000,9930000,23740000,23130000,15990000,15980000,16490000,16694110,16186630,17420400,15239400,15334730,14352051,14365481
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,110000,170000,10600000,22010000,20370000,14020000,31270000,31980000,19210000,16890000,19360000,17224430,16704140,17510900,15394920,15505140,16886921,17716406
48,Accounts Payable,40000,60000,1350000,3620000,2160000,1220000,2510000,420000,930000,200000,140000,219470,53670,109680,110130,103490,173981,114819
49,Short-Term Debt,65000,- -,1866472,2162735,698765,563140,732830,- -,- -,- -,- -,- -,- -,- -,- -,52970,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,65720,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,15909,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5000,50000,693528,1187265,5041235,2136860,1457170,8154091,160000,270000,190000,444020,320750,345650,74470,345900,205489,66087
53,Total Current Liabilities,110000,110000,3910000,6970000,7900000,3920000,4700000,8590000,1090000,470000,330000,663490,374420,455330,184600,502360,379470,180906
54,Long-Term Debt,- -,20000,950000,650000,8920000,5410000,6020000,- -,- -,- -,- -,- -,- -,- -,395240,452260,300000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,120000,270000,570000,- -,620000,1110000,730000,120000,130000,210000,138720,145650,152940,160580,168610,112615,208332
58,Total Non-Current Liabilities,- -,140000,1220000,1220000,8920000,6030000,7130000,730000,120000,130000,210000,138720,145650,152940,555820,620870,412615,208332
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,724081,647416,577534,571452,629262,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,110000,250000,5130000,8190000,16820000,9950000,11830000,9320000,1210000,600000,540000,802210,520070,608270,740420,1123230,792085,389238
62,Preferred Stock,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,30000,30000,40000,60000,60000,60000,70000,10000,13330,24110,33150,53530,67400,112075,139696
64,Retained Earnings,-2530000,-3060000,-5030000,-7720000,-17820000,-25130000,-30880000,-33210000,-38260000,-41990000,-44760000,-49135620,-51892860,-53538660,-58596460,-60253740,-63630832,-68338647
65,Other Comprehensive Income/Loss,- -,- -,-400000,-802761,-2390000,-3520000,456600,486400,-6582261,-10306843,- -,- -,128115,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2520909,3127016,10834086,20430227,23730407,32679785,49798270,55318043,62781862,68523199,63570318,65544517,67924702,70408137,73197430,74568252,79613593,85345213
67,Total Stockholders Equity,909,77016,5464086,11937466,3550407,4069785,19434870,22654443,17999601,16296356,18820318,16422227,16184067,16902627,14654500,14381912,16094836,17146262
68,Total Liabilities And Stockholders Equity,110909,327016,10594086,20127466,20370407,14019785,31264870,31974443,19209601,16896356,19360318,17224437,16704137,17510897,15394920,15505142,16886921,17535500
69,Minority Interest,-909,-157016,5914,1882534,-407,215,5130,5557,399,-6356,-318,-7,3,3,- -,-2,- -,180906
70,Total Liabilities & Equity,110000,170000,10600000,22010000,20370000,14020000,31270000,31980000,19210000,16890000,19360000,17224430,16704140,17510900,15394920,15505140,16886921,17716406
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291809000256/0001052918-09-000256-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291812000076/0001052918-12-000076-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1288750/000091228214000042/0000912282-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291814000508/0001052918-14-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000091228216000638/0000912282-16-000638-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291817000062/0001052918-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000016/0001052918-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000478/0001052918-18-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291820000008/0001052918-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000009/0001052918-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000415/0001052918-21-000415-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-520000,-530000,-1970000,-2690000,-10100000,-7310000,-5750000,-2330000,-5050000,-3720000,-2780000,-4372450,-2757240,-1645800,-5057790,-1657280,-3377091,-4707815000000
74,Depreciation and Amortization,57,2490,682133,1144695,1445295,1367192,1504057,1691381,187481,27789,11118,7918,1981,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-408031,-852122,- -,- -,- -,- -,- -,68985,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,2234856,1468074,901246,370000,10000,- -,194910,890966,45000,231000,5000,161100,646422
77,Change in Working Capital,45832,60000,-980000,4090000,-3180000,180000,2660000,-2570000,1870000,-1690000,2100000,-2673170,276260,-507920,335750,-302870,2487350,1014619
78,Accounts Receivable,- -,- -,- -,- -,- -,1865484,514593,-1108640,1837928,- -,- -,- -,- -,-2633,2633,-118525,118525,- -
79,Inventory,- -,- -,343644,-1059826,-655489,956795,-439883,-282871,1577703,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-936956,1282716,-664920,-1068564,-724332,-64200,78777,-165809,56015,454,-6649,70496,-59162
81,Other Working Capital,- -,60000,-920000,3170000,-10000,170000,2830000,260000,2130000,440000,2540000,-133170,143090,-364830,-29080,-331950,2155400,3170019
82,Other Non-Cash Items,163234,17825,2523237,-4090248,7081476,672366,-1365050,460272,-2097113,2277713,-1915100,3622297,-444262,411424,2872805,505973,-877848,4707809075205
83,Cash Provided by Operating Activities,-310877,-449685,255370,-1545553,-4753229,-2855586,-1890950,-2699223,-4719632,-3094498,-2583982,-3220495,-2032295,-1628311,-1618235,-1449177,-1606489,-4263754
84,CAPEX,-643,- -,-274315,-2801703,-2235253,-312877,-1092856,-1112006,-618000,-148500,-158000,-444000,-211400,-1162800,-199500,-72715,-33000,- -
85,Acquisitions Net,- -,- -,-2400000,- -,- -,- -,4421033,- -,8000000,- -,3554143,- -,- -,- -,- -,- -,234964,- -
86,Purchases of Investments,- -,- -,- -,- -,-50000,- -,- -,-21450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,156500,- -,- -,- -,- -,230000,346986,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,30990,-786566,588373,1363769,-256202,-22568,-251086,1350000,188240,840692,95005,461529,190744,102791,-123025,-13430
89,Cash Used for Investing Activites,-643,- -,-2643325,-3588269,-1696880,1071892,3071975,-999524,7130914,1201500,3584383,396692,113605,-354285,-8756,30076,78939,-13430
90,Debt Repayment,- -,- -,- -,- -,- -,-8884025,-1255210,-918015,-6028701,- -,- -,- -,-52000,- -,- -,- -,-250000,- -
91,Common Stock Issued,357000,387800,3274438,9159162,4701998,- -,2807162,- -,- -,1683837,- -,499448,1500000,1957475,1421767,1109395,4198000,4475818
92,Common Stock Repurchased,- -,- -,- -,- -,-7500000,- -,- -,4568987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,65000,125000,-328508,-807597,6035625,10900000,935913,49050,11550,- -,1000000,- -,52000,10000,248806,229727,69519,607992
95,Cash Used/Provided by Financing Activities,422000,512800,2945930,8351565,3237623,2015975,2487865,3700022,-6017151,1683837,1000000,499448,1500000,1967475,1670573,1339122,4017519,5083810
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,110480,63115,557975,3217743,-3212485,232281,3668890,-2810778,-3605869,-209161,2000401,-2324355,-418690,-15121,43582,-79979,2489969,806626
98,Cash at the End of Period,111155,174270,732245,3949988,737503,969784,4638674,1827896,1034080,824919,2825320,500965,82275,67154,110736,30757,2520726,3327352
99,Cash at the Beginning of Period,675,111155,174270,732245,3949988,737503,969784,4638674,4639949,1034080,824919,2825320,500965,82275,67154,110736,30757,2520726
100,Free Cash Flow,-311520,-449685,-18945,-4347256,-6988482,-3168463,-2983806,-3811229,-5337632,-3242998,-2741982,-3664495,-2243695,-2791111,-1817735,-1521892,-1639489,-4263754
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291809000256/0001052918-09-000256-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1288750/000105291812000076/0001052918-12-000076-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1288750/000091228214000042/0000912282-14-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291814000508/0001052918-14-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000091228216000638/0000912282-16-000638-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291817000062/0001052918-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000016/0001052918-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291818000478/0001052918-18-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291820000008/0001052918-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000009/0001052918-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1288750/000105291821000415/0001052918-21-000415-index.htm
102,false,,,,,,,,,,,,,,,,,,
