,https://roic.ai/company/XRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1685,0.1433,0.1522,0.0522,0.1094,0.0702,0.0854,-0.0002,0.0239,0.1136,0.0483,0.1508,0.1607,0.0732,0.1555,0.0311,0.1027,0.0748,0.0791,0.1199,0.1025,0.0980,0.1335,0.0379,0.1227,0.1099,0.1438,0.1430,0.1416,0.1480,0.1033,0.0305,0.1288,0.1278,0.2280,0.1023,-0.0070
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-213400000,79000000,195000000,-790000000,-303000000,-644000000,-701000000,-800000000,-764000000,-3487000000,-702000000,-631000000,-580000000,-2072000000,-825000000,-1274000000,-857000000,-1516000000,-1343000000,-280000000,-916000000,-985000000,259000000,-1856000000,-570000000,-289000000,153000000,-607000000,-266000000,-360000000,-419000000,-464000000,-361000000,-494000000,-325000000,-165000000,-795000000
20,Income Before Tax,545400000,600000000,840000000,858000000,1088000000,916000000,800000000,22000000,-305000000,1345000000,1789000000,1906000000,2180000000,792000000,2055000000,-366000000,376000000,252000000,494000000,1116000000,830000000,808000000,1438000000,-114000000,627000000,815000000,1565000000,1348000000,1312000000,1206000000,412000000,568000000,570000000,598000000,822000000,252000000,-475000000
21,Income Before Tax Ratio,0.0617,0.0641,0.0814,0.0522,0.0643,0.0516,0.0457,0.0012,-0.0177,0.0754,0.1077,0.1097,0.1200,0.0407,0.1069,-0.0196,0.0221,0.0159,0.0315,0.0710,0.0529,0.0508,0.0877,-0.0065,0.0413,0.0389,0.0712,0.0602,0.0612,0.0617,0.0228,0.0527,0.0555,0.0608,0.0907,0.0359,-0.0675
22,Income Tax expense (Gain),164900000,112000000,262000000,470000000,384000000,311000000,346000000,278000000,-116000000,551000000,615000000,700000000,728000000,207000000,631000000,-109000000,485000000,60000000,134000000,340000000,-5000000,-288000000,400000000,-231000000,152000000,256000000,386000000,277000000,276000000,259000000,-23000000,62000000,481000000,257000000,179000000,64000000,-17000000
23,Net Income,475300000,423000000,578000000,388000000,704000000,243000000,454000000,-1020000000,-126000000,794000000,-472000000,1206000000,1452000000,395000000,1424000000,-257000000,-71000000,91000000,360000000,859000000,978000000,1210000000,1135000000,230000000,485000000,606000000,1295000000,1195000000,1159000000,969000000,474000000,-477000000,195000000,361000000,1353000000,192000000,-455000000
24,Net Income ratio,0.0538,0.0452,0.0560,0.0236,0.0416,0.0137,0.0259,-0.0564,-0.0073,0.0445,-0.0284,0.0694,0.0799,0.0203,0.0741,-0.0137,-0.0042,0.0057,0.0229,0.0546,0.0623,0.0761,0.0692,0.0131,0.0320,0.0289,0.0589,0.0534,0.0541,0.0496,0.0263,-0.0443,0.0190,0.0367,0.1492,0.0273,-0.0646
25,EPS,0.50,0.43,0.59,0.13,0.49,0.18,0.42,-0.31,-0.21,4.49,-3.13,6.98,8.62,1.06,8.36,-1.76,-0.48,0.08,1.52,3.76,3.84,5.00,4.84,1.04,2.24,1.76,3.68,3.60,3.72,3.28,1.76,2.32,0.71,1.40,6.03,0.85,-2.18
26,EPS Diluted,0.50,0.43,0.59,0.13,0.49,0.18,0.41,-0.37,-0.21,4.29,-3.13,6.62,8.08,1.04,7.84,-1.76,-0.48,0.08,1.44,3.44,3.76,4.88,4.76,1.04,2.20,1.72,3.60,3.52,3.64,3.24,1.72,2.32,0.71,1.38,5.80,0.84,-2.18
27,Weighted Average Shares Outstanding,144829000,146623000,150294500,154447500,138311000,138485000,139408500,142741500,156339500,176968796,152398721,172779370,161832947,164299000,170334928,146022727,147916667,225000000,190131579,209042553,239583333,236200000,234504132,221367750,217494750,330857750,347024000,325513250,306371500,288591250,266131500,253390750,254341000,248707000,221969000,208983000,208983000
28,Weighted Average Shares Outstanding Diluted,144829000,146623000,150294500,154447500,138311000,138485000,139408500,142741500,156339500,184937888,184689922,182175227,172648515,164299000,181632653,146022727,147916667,225000000,200694444,228488372,244680851,242008197,238445378,221367750,219880000,337682000,360943750,332296000,318381750,299640750,269056000,255994750,256570000,251660000,233169000,208983000,208983000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108772/000177045020000012/0001770450-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1770450/000177045021000013/0001770450-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1770450/000177045022000010/0001770450-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2887000000,2477000000,3218000000,1322000000,1399000000,1099000000,1229000000,3799000000,1211000000,902000000,1246000000,1764000000,1411000000,1368000000,2223000000,1293000000,1084000000,2740000000,2625000000,1840000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,137000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2887000000,2477000000,3218000000,1566000000,1536000000,1099000000,1229000000,3799000000,1211000000,902000000,1246000000,1764000000,1411000000,1368000000,2223000000,1293000000,1084000000,2740000000,2625000000,1840000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5724000000,5601000000,5385000000,4937000000,5121000000,5454000000,4899000000,4324000000,5311000000,4931000000,4854000000,4542000000,4187000000,3745000000,2307000000,2786000000,2613000000,2532000000,2093000000,1965000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222000000,1152000000,1143000000,1201000000,1163000000,1305000000,1232000000,900000000,991000000,1021000000,1011000000,998000000,934000000,942000000,841000000,915000000,818000000,694000000,843000000,696000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1186000000,1105000000,1182000000,1032000000,934000000,682000000,790000000,708000000,1126000000,1058000000,1162000000,1207000000,2342000000,630000000,1621000000,236000000,180000000,174000000,222000000,200000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11019000000,10335000000,10928000000,8736000000,8754000000,8540000000,8150000000,9731000000,8639000000,7912000000,8273000000,8511000000,8874000000,6685000000,6992000000,5230000000,4695000000,6140000000,5783000000,4701000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000000,1827000000,1759000000,1627000000,2008000000,2174000000,2013000000,1860000000,2201000000,2145000000,2091000000,2025000000,1648000000,1491000000,1135000000,1083000000,941000000,1109000000,1013000000,875000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2024000000,3448000000,3182000000,3422000000,8649000000,8803000000,9062000000,9205000000,8805000000,8823000000,3787000000,3930000000,3867000000,3900000000,4071000000,3287000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1924000000,2047000000,2145000000,1960000000,286000000,891000000,610000000,598000000,3984000000,3042000000,3704000000,3352000000,2031000000,2263000000,290000000,268000000,374000000,497000000,355000000,331000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1924000000,2047000000,2145000000,1960000000,2310000000,4339000000,3792000000,4020000000,12633000000,11845000000,12766000000,12557000000,10836000000,11086000000,4077000000,4198000000,4241000000,4397000000,4426000000,3618000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1056000000,1291000000,1395000000,1381000000,1285000000,1338000000,1531000000,1388000000,1404000000,1403000000,46000000,47000000,53000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1526000000,1521000000,1547000000,1790000000,1349000000,1692000000,1640000000,540000000,672000000,763000000,368000000,- -,714000000,- -,1026000000,740000000,598000000,508000000,519000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10758000000,8856000000,8531000000,8083000000,6847000000,7141000000,6800000000,5725000000,5296000000,6147000000,4741000000,4290000000,4962000000,3310000000,4553000000,3005000000,2854000000,2757000000,2964000000,3457000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14439000000,14256000000,13956000000,13217000000,12955000000,15003000000,14297000000,14301000000,21961000000,22204000000,21742000000,20525000000,18784000000,18132000000,11153000000,10716000000,10179000000,8907000000,8958000000,8522000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25458000000,24591000000,24884000000,21953000000,21709000000,23543000000,22447000000,24032000000,30600000000,30116000000,30015000000,29036000000,27658000000,24817000000,18145000000,15946000000,14874000000,15047000000,14741000000,13223000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000000,898000000,1037000000,1043000000,1133000000,1367000000,1446000000,1451000000,1968000000,2016000000,1913000000,1626000000,1584000000,1614000000,1126000000,1108000000,1091000000,1053000000,983000000,1069000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4377000000,4236000000,3074000000,1139000000,1485000000,525000000,1610000000,988000000,1370000000,1545000000,1042000000,1117000000,1427000000,985000000,1011000000,282000000,961000000,1138000000,479000000,731000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000,150000000,170000000,180000000,- -,133000000,- -,- -,110000000,86000000,75000000,99000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,191000000,194000000,242000000,- -,- -,371000000,432000000,438000000,496000000,431000000,428000000,187000000,- -,156000000,158000000,140000000,194000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2571000000,2435000000,1946000000,1973000000,1886000000,1943000000,2394000000,2022000000,2708000000,2388000000,2517000000,2447000000,2634000000,2227000000,2330000000,1351000000,1043000000,1086000000,876000000,835000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7787000000,7569000000,6300000000,4346000000,4698000000,4077000000,5450000000,4461000000,6417000000,6381000000,5910000000,5686000000,6076000000,5254000000,4654000000,2741000000,3251000000,3435000000,2478000000,2829000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9794000000,6930000000,7050000000,6139000000,5660000000,6939000000,6774000000,8276000000,7237000000,7088000000,7447000000,6904000000,6314000000,6382000000,5305000000,5235000000,4269000000,3233000000,4307000000,3806000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,82000000,134000000,168000000,- -,100000000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,290000000,262000000,286000000,- -,60000000,- -,- -,51000000,37000000,35000000,108000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5403000000,5413000000,4401000000,4260000000,4271000000,3836000000,3985000000,4104000000,4551000000,4250000000,4249000000,3224000000,4210000000,3555000000,3131000000,2463000000,2050000000,2534000000,2325000000,1813000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15197000000,12343000000,11451000000,10399000000,9931000000,10775000000,10759000000,12380000000,12024000000,11710000000,12092000000,10582000000,10524000000,10097000000,8436000000,7698000000,6370000000,5804000000,6667000000,5727000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000000,342000000,291000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22984000000,19912000000,17751000000,14745000000,14629000000,14852000000,16209000000,16841000000,18441000000,18091000000,18002000000,16268000000,16600000000,15351000000,13090000000,10439000000,9621000000,9239000000,9145000000,8556000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550000000,1388000000,889000000,889000000,- -,- -,- -,- -,- -,- -,349000000,349000000,349000000,349000000,214000000,214000000,214000000,214000000,214000000,214000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2739000000,3239000000,4881000000,4741000000,- -,- -,- -,871000000,1398000000,1353000000,1239000000,1210000000,1124000000,1013000000,1014000000,255000000,232000000,215000000,198000000,168000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025000000,1315000000,2101000000,3021000000,4202000000,5288000000,5341000000,5674000000,6016000000,7046000000,7991000000,8839000000,9491000000,9686000000,5039000000,4856000000,5072000000,6312000000,6281000000,5631000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1913000000,-1263000000,-738000000,-1240000000,-1647000000,-765000000,-2416000000,-1988000000,-1988000000,-2716000000,-3227000000,-2779000000,-4159000000,-4642000000,-4348000000,-3748000000,-3565000000,-3646000000,-3332000000,-2988000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-203000000,4525000000,4168000000,3313000000,2493000000,6580000000,6193000000,5518000000,5030000000,4178000000,3017000000,3098000000,3893000000,3266000000,2706000000,2231000000,1625000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2401000000,4679000000,7133000000,7208000000,7080000000,8588000000,6238000000,7050000000,12006000000,11876000000,11870000000,12649000000,10983000000,9423000000,5017000000,5470000000,5219000000,5801000000,5592000000,4650000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25385000000,24591000000,24884000000,21953000000,21709000000,23440000000,22447000000,23891000000,30447000000,29967000000,29872000000,28917000000,27583000000,24774000000,18107000000,15909000000,14840000000,15040000000,14737000000,13206000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,- -,- -,- -,- -,103000000,- -,141000000,153000000,149000000,143000000,119000000,75000000,43000000,38000000,37000000,34000000,7000000,4000000,17000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25458000000,24591000000,24884000000,21953000000,21709000000,23543000000,22447000000,24032000000,30600000000,30116000000,30015000000,29036000000,27658000000,24817000000,18145000000,15946000000,14874000000,15047000000,14741000000,13223000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108772/000177045020000012/0001770450-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1770450/000177045021000013/0001770450-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1770450/000177045022000010/0001770450-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,704000000,243000000,454000000,-1020000000,-126000000,794000000,-472000000,1206000000,1452000000,395000000,1424000000,-257000000,-71000000,91000000,360000000,859000000,978000000,1210000000,1135000000,230000000,485000000,606000000,1295000000,1195000000,1159000000,969000000,474000000,-477000000,195000000,361000000,1353000000,192000000,-455000000
74,Depreciation and Amortization,- -,- -,- -,- -,765000000,691000000,695000000,739000000,655000000,681000000,660000000,715000000,739000000,821000000,935000000,948000000,1332000000,1035000000,748000000,686000000,637000000,636000000,656000000,669000000,698000000,1097000000,1251000000,1301000000,1358000000,1426000000,1190000000,563000000,527000000,526000000,430000000,368000000,327000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,41000000,-359000000,258000000,263000000,293000000,361000000,-192000000,277000000,-534000000,456000000,-178000000,-70000000,155000000,-15000000,99000000,224000000,-324000000,120000000,-2000000,203000000,96000000,122000000,113000000,32000000,-9000000,399000000,135000000,124000000,34000000,-89000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,123000000,123000000,125000000,90000000,91000000,46000000,50000000,52000000,57000000,50000000,42000000,54000000
77,Change in Working Capital,- -,- -,- -,- -,-1286000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,3210000000,- -,-466000000,1862000000,-238000000,-334000000,407000000,-1763000000,2570000000,-3048000000,-691000000,832000000,462000000,-27000000,-1367000000,907000000,151000000,-1045000000,1261000000,600000000,212000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000000,-118000000,-296000000,171000000,33000000,-446000000,103000000,-25000000,-367000000,196000000,111000000,369000000,41000000
79,Inventory,- -,- -,- -,- -,- -,-114000000,-298000000,-524000000,-228000000,-472000000,-604000000,-422000000,-517000000,-1031000000,68000000,279000000,319000000,16000000,62000000,-38000000,-162000000,11000000,-43000000,-114000000,319000000,-151000000,-124000000,- -,-38000000,-22000000,-101000000,7000000,-69000000,35000000,109000000,-134000000,88000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,- -,- -,- -,- -,- -,- -,-18000000,-47000000,-123000000,118000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,3232000000,3232000000,2766000000,4628000000,4390000000,4056000000,4463000000,2700000000,5270000000,2222000000,1531000000,2363000000,2825000000,2798000000,1431000000,2338000000,2489000000,1444000000,2705000000,3305000000,-83000000
82,Other Non-Cash Items,- -,- -,- -,- -,-247000000,-34000000,-1130000000,-266000000,189000000,-1309000000,62000000,-2014000000,-1288000000,-2011000000,-1384000000,-842000000,-3361000000,928000000,1307000000,-1812000000,58000000,6000000,-551000000,2127000000,-1750000000,3950000000,-220000000,-969000000,-816000000,-509000000,1236000000,61000000,-1290000000,1106000000,-1885000000,-688000000,580000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-64000000,900000000,19000000,-506000000,359000000,424000000,513000000,200000000,1264000000,-987000000,1252000000,-663000000,1566000000,1876000000,1879000000,1750000000,1420000000,1617000000,1871000000,939000000,2208000000,2726000000,1961000000,2580000000,2375000000,2063000000,1611000000,1095000000,34000000,1140000000,1333000000,548000000,629000000
84,CAPEX,- -,- -,- -,- -,-436000000,-444000000,-498000000,-582000000,-470000000,-389000000,-1410000000,-510000000,-1332000000,-946000000,-701000000,-452000000,-219000000,-146000000,-197000000,-204000000,-181000000,-294000000,-359000000,-335000000,-193000000,-519000000,-501000000,-513000000,-427000000,-452000000,-342000000,-138000000,-105000000,-90000000,-65000000,-74000000,-68000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-856000000,- -,-4000000,- -,-12000000,-1000000,-76000000,-1615000000,-155000000,-163000000,-1734000000,-212000000,-276000000,-129000000,-314000000,729000000,-30000000,-67000000,59000000,-21000000,-173000000,-9000000
