,https://roic.ai/company/DBVT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14945392,50715648,54410176,139334526,353553233,269733078,165414977,140436971,192699839,196352000,77301000
34,Net Receivables,1004,3989560,5647885,7199780,10562395,13650036,20313362,19293068,5399229,7860000,- -
35,Inventory,44649,39243,9070,150872,- -,- -,- -,1791352,2282911,- -,- -
36,Other Current Assets,3741611,256164,435817,1140454,2023703,2865887,2462989,4879890,3585671,3163000,37085000
37,Total Current Assets,18732656,55000615,60502947,147825632,366139330,286249001,188191329,166401281,203967649,207375000,114386000
38,PP&E,1100631,1307012,2394657,2705540,6100628,13127340,21363102,23128575,48009454,34897000,25482000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,18531,87005,35064,102770,100963,147563,34317,47047,- -,22000
41,Intangible Assets,26585,18531,87005,35064,102770,100963,147563,34317,47047,41000,22000
42,Investments,516189,34184,363763,1351266,1513131,1377729,1599203,494166,1177301,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-1,474129,497646,589321,1452999,1509192,2014300,6405857,17293216,29933000,6833000
45,Total Non-Current Assets,1643405,1833856,3343071,4681191,9169527,16115224,25124169,30062915,66527019,64871000,32337000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20376061,56834471,63846018,152506823,375308858,302364225,213315498,196464196,270494668,272246000,146723000
48,Accounts Payable,2857206,1293046,2067565,2279572,10970197,14429347,20324160,32677877,23935837,20338000,- -
49,Short-Term Debt,256848,1116080,246484,426509,376096,775104,3317177,2922672,4894032,22092000,510000
50,Tax Payable,- -,83044,77414,139006,424201,530058,513473,512469,430146,580000,- -
51,Deferred Revenue,- -,168352,1096026,1278671,864802,3415927,3345970,4987417,3589031,4687000,- -
52,Other Current Liabilities,1129122,1614985,2436670,2766123,5304703,11881074,16118003,9221002,21425531,5596000,30887000
53,Total Current Liabilities,4243175,4192464,5846745,6750876,17515798,30501451,43105310,49808968,53844431,52713000,31397000
54,Long-Term Debt,805238,498123,1817964,4728063,5130868,4258340,2189457,1461908,22739493,11039000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,154792,337161,401413,645377,535718,12199739,12151786,6453901,1730666,3003000,16052000
58,Total Non-Current Liabilities,960030,835284,2219376,5373440,5666586,16458079,14341243,7915809,24470159,14042000,16052000
59,Other Liabilities,1920060,- -,- -,10746880,- -,- -,28682487,- -,48940317,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,25608253,14204000,- -
61,Total Liabilities,5203205,5027749,8066122,12124315,23182385,46959531,57446553,57724777,78314589,66755000,47449000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1143510,1773236,2083501,2329960,2646885,2592445,2998056,3450011,5268169,6518000,- -
64,Retained Earnings,-9381456,-17208453,-26659692,-29198745,-48842193,-120452442,-177187657,-189974834,-172043866,-958543000,-258528000
65,Other Comprehensive Income/Loss,717988,-4983576,-15809090,-32024923,-43272910,-53603130,-157871248,-291633493,-453685366,6642000,519000
66,Other Total Stockholders Equity,22692814,72225515,96165179,199276216,441595784,426866770,487929793,616897735,812640022,1150873000,357283000
67,Total Stockholders Equity,15172857,51806722,55779897,140382508,352127567,255403643,155868945,138739419,192178959,205490000,99274000
68,Total Liabilities And Stockholders Equity,20376062,56834471,63846019,152506823,375309951,302363174,213315498,196464196,270493548,272245000,146723000
69,Minority Interest,-1,- -,-1,-0,-1093,1052,-0,-0,1120,1000,- -
70,Total Liabilities & Equity,20376061,56834471,63846018,152506823,375308858,302364225,213315498,196464196,270494668,272246000,146723000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613780/000119312516563719/0001193125-16-563719-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312517092134/0001193125-17-092134-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312518085953/0001193125-18-085953-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312519094568/0001193125-19-094568-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312520080633/0001193125-20-080633-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312521084223/0001193125-21-084223-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312522070467/0001193125-22-070467-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-9385208,-17208453,-26659692,-29198745,-48842193,-120452442,-177187657,-189974834,-172043866,-159555000,-97809000
74,Depreciation and Amortization,220986,372342,471120,626719,1173114,1418746,3510329,3237245,6384981,10461000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,908228,4224493,6970920,5641572,11391118,36129107,36928042,29631663,16716328,-1130000,- -
77,Change in Working Capital,260187,36318670,3848051,86418555,207548775,-92875983,-110661531,-28493706,33530906,-15603000,-71673000
78,Accounts Receivable,3010,-164586,-79642,-151593,148689,-1314627,3599,1405857,33605,-2070000,- -
79,Inventory,91618,6316,31905,-142885,135570,- -,- -,-1791352,-527601,2327000,- -
80,Accounts Payable,1161243,-1622390,717453,-515837,9004439,3833453,3998608,10403798,-7657496,-5082000,- -
81,Other Working Capital,14489481,50808151,54656201,141074757,348623532,255747550,145086019,116592313,150123219,1854000,82989000
82,Other Non-Cash Items,50572,-37504164,-2931395,-88488894,-200530867,113164359,110268028,29319604,-28551741,220000,61240000
83,Cash Provided by Operating Activities,-7945235,-13797113,-18300996,-25000793,-29260053,-62616213,-137142789,-156280027,-143963393,-165607000,-108242000
84,CAPEX,-926833,-478000,-1617398,-1181959,-4928607,-8631315,-9051755,-5434683,-5600860,-2761000,- -
85,Acquisitions Net,-419272,-44549,-327457,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-151071,-917281,-97808,-346714,-4449783,-64970,-103000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-24670,7057,-112382,-37326,-161809,-226116,-358711,-46900,-30245,-30000,-433000
89,Cash Used for Investing Activites,-1345888,-487687,-1944855,-1333031,-5845888,-8729124,-9398469,-9884466,-5665830,-2865000,-433000
90,Debt Repayment,-10809,-245175,- -,-155650,-209914,-289218,-693428,-2059025,-4652075,-303000,- -
91,Common Stock Issued,12546344,49676647,21302729,115087220,262980780,2120231,1032944,152252345,210603549,150449000,- -
92,Common Stock Repurchased,- -,-368042,- -,-1081007,-191328,-56792,-29993,-547930,- -,-563000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-0,1116794,3869543,921654,-22086,33592,-164722,-1194103,-35000,274000
95,Cash Used/Provided by Financing Activities,12535535,49063430,22419523,117720106,263501192,1752135,343115,149480668,204757371,149548000,274000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-85278,-773001,3921827,-600549,48167,22022000,-10651000
97,Net Change In Cash,3244412,34778631,2173672,91386283,228309973,-70367254,-142276315,-17284374,55176315,3097000,-119051000
98,Cash at the End of Period,14945392,50028607,54410176,139300531,353553233,269733078,165414977,140436971,192699839,196352000,- -
99,Cash at the Beginning of Period,11700980,15249976,52236503,47914248,125243260,340100332,307691293,157721345,137523524,193255000,196352000
100,Free Cash Flow,-8872068,-14275113,-19918393,-26182752,-34188660,-71247529,-146194544,-161714711,-149564253,-168368000,-108242000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613780/000119312516563719/0001193125-16-563719-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312517092134/0001193125-17-092134-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312518085953/0001193125-18-085953-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312519094568/0001193125-19-094568-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312520080633/0001193125-20-080633-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312521084223/0001193125-21-084223-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312522070467/0001193125-22-070467-index.htm
102,false,,,,,,,,,,,
