,https://roic.ai/company/TOPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,Operating Income ratio,0.2843,0.0312,0.1174,0.3990,0.3561,0.1334,-0.1154,0.2398,-0.3168,0.2450,-0.1743,-1.6792,0.4599,-0.1632,-0.5672,0.1705,0.0411,-0.0947,0.0596,-0.0298
19,Total Other Income Expenses (Gains),-1268000,- -,-1077000,-4483000,134000,-67000,16000,-12151000,-38889000,-5111000,-456000,-11210000,-7825000,3484000,-1091000,-3796000,-14961000,-7531000,-18709000,-21023000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63984000,1408000,2896000,-8507000,1052000,-13345000,-11420000,-14773000,-22818000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.0359,0.0701,0.8040,-0.6506,0.0370,-0.3390,-0.2782,-0.2235,-0.3789
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1777000,201000,1634000,32794000,68684000,15141000,-49076000,25639000,-50196000,2513000,-189112000,-63984000,1408000,2896000,-17014000,1052000,-13377000,-11425000,-14773000,-22818000
24,Net Income ratio,0.1332,0.0176,0.0708,0.3495,0.2812,0.0488,-0.1945,0.0996,-0.4649,0.0277,-4.5357,-2.0359,0.0701,0.8040,-1.3013,0.0370,-0.3398,-0.2783,-0.2235,-0.3789
25,EPS,592333.33,67000.00,544666.67,5334.01,5166.01,987.00,-33521.86,14140.01,-24920.02,1120.00,-3782240000.00,-1279680000.00,28160000.00,5792000.00,-30934545.45,-351000.00,-6300.00,-305.00,-264.50,-1.22
26,EPS Diluted,592333.33,67000.00,544666.67,5334.01,5166.01,987.00,-33521.86,14140.01,-24920.02,1120.00,-3782240000.00,-1279680000.00,28160000.00,5792000.00,-30934545.45,-351000.00,-6300.00,-305.00,-264.50,-1.22
27,Weighted Average Shares Outstanding,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2126,36362,117104,23517479
28,Weighted Average Shares Outstanding Diluted,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2126,36362,117104,23517479
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296484/000091957408003442/d884535_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957409012723/d1008663_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957410003935/d1098768_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957411002695/d1186072_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957412002730/d1274746_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957413002941/d1371555_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957414001820/d1444868_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957415003784/d6512835_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957416012626/d7034723_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957417002779/0000919574-17-002779-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957418002755/0000919574-18-002755-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957419002626/0000919574-19-002626-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957420002886/d8447369_20-f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,94000,2343000,114768000,17462000,29992000,26012000,46242000,- -,- -,- -,164000,9706000,- -,2668000,127000,24081000,57000,4412000,19328000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,94000,2343000,114768000,17462000,29992000,26012000,46242000,- -,- -,- -,164000,9706000,- -,2668000,127000,24081000,57000,4412000,19328000
34,Net Receivables,- -,129000,818000,20190000,39527000,27187000,15184000,4208000,328000,2370000,2745000,1458000,481000,211000,107000,169000,773000,1232000,642000,- -
35,Inventory,- -,289000,509000,3221000,6308000,6460000,7958000,965000,489000,660000,- -,- -,- -,324000,402000,583000,645000,587000,848000,514000
36,Other Current Assets,- -,333000,1192000,2872000,4277000,9160000,53007000,5673000,2970000,390000,12121000,25113000,75000,692000,2092000,3662000,3556000,3412000,44840000,25244000
37,Total Current Assets,- -,845000,4862000,141051000,67574000,72799000,102161000,57088000,3787000,3420000,14866000,26735000,10262000,1227000,5269000,4541000,29055000,5288000,50742000,45086000
38,PP&E,- -,32128000,48074000,382087000,887882000,338296000,625628000,414515000,649118000,600484000,268180000,179143000,15867000,73976000,58475000,127331000,162734000,220048000,366842000,213716000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,17738000,22063000,19306000,28230000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,676000,2975000,16748000,25016000,111640000,49128000,226772000,22244000,18187000,13327000,5537000,1739000,372000,11586000,11145000,10921000,11089000,8000000,6000000
45,Total Non-Current Assets,- -,32804000,51049000,398835000,913323000,449936000,674756000,641287000,671362000,618671000,281507000,184680000,17606000,74348000,70061000,138776000,191393000,253200000,394148000,247946000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,33649000,55911000,539886000,980897000,522735000,776917000,698375000,675149000,622091000,296373000,211415000,27868000,75575000,75330000,143317000,220448000,258488000,444890000,293032000
48,Accounts Payable,- -,1144000,3027000,13412000,12405000,14991000,21341000,8968000,3942000,4542000,8156000,3732000,2082000,2193000,4940000,1902000,2799000,4098000,4460000,2544000
49,Short-Term Debt,- -,2600000,4085000,19540000,45329000,16588000,85437000,358917000,399087000,337377000,173980000,172619000,- -,1412000,5863000,12080000,19691000,23626000,46885000,14612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1155000,- -,- -,1676000,6450000,6614000,5575000,5079000,2072000,2659000,- -,- -,- -,1978000,986000,- -,3337000,2074000
52,Other Current Liabilities,- -,683000,799000,9859000,20860000,7354000,40062000,12435000,19349000,19611000,35481000,14620000,6523000,5729000,7471000,4073000,2105000,9095000,20735000,6184000
53,Total Current Liabilities,- -,4427000,9066000,42811000,78594000,40609000,153290000,386934000,427953000,366609000,219689000,193630000,8605000,9334000,18274000,20033000,25581000,36819000,75417000,25414000
54,Long-Term Debt,- -,20450000,30526000,175266000,518774000,201464000,342079000,- -,- -,- -,- -,- -,- -,18007000,19687000,72459000,84258000,117029000,262122000,133100000
55,Deferred Revenue,- -,- -,- -,- -,13871000,79423000,- -,15479000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,3384000,70140000,3911000,- -,- -,- -,4706000,4468000,5705000,3216000,5304000,3335000,359000,1594000,300000
58,Total Non-Current Liabilities,- -,20450000,30526000,175266000,532645000,284271000,412219000,19390000,- -,- -,- -,4706000,4468000,23712000,22903000,77763000,87593000,117388000,263716000,133400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43093000
61,Total Liabilities,- -,24877000,39592000,218077000,611239000,324880000,565509000,406324000,427953000,366609000,219689000,198336000,13073000,33046000,41177000,97796000,113174000,154207000,339133000,158814000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,18084000,13518000
63,Common Stock,- -,60000,60000,278000,280000,324000,205000,283000,311000,322000,171000,172000,174000,190000,21000,57000,89000,230000,87000,398000
64,Retained Earnings,- -,1845000,2908000,27539000,71564000,80782000,-4951000,20688000,-29508000,-26995000,-216107000,-280091000,-278683000,-275786000,-284293000,-283241000,-296645000,-307779000,-322552000,-345370000
65,Other Comprehensive Income/Loss,- -,-4268000,-7872000,-248000,98000,-6000,4000,24000,88000,37000,37000,37000,- -,-757000,-548000,-4015000,-9759000,-16149000,-1361000,- -
66,Other Total Stockholders Equity,- -,11135000,21223000,294240000,297716000,116755000,216150000,271056000,276305000,282118000,292583000,292961000,293304000,318882000,318973000,332720000,412403000,427978000,411499000,465672000
67,Total Stockholders Equity,- -,8772000,16319000,321809000,369658000,197855000,211408000,292051000,247196000,255482000,76684000,13079000,14795000,42529000,34153000,45521000,106089000,104281000,105757000,134218000
68,Total Liabilities And Stockholders Equity,- -,33649000,55911000,539886000,980897000,522735000,776917000,698375000,675149000,622091000,296373000,211415000,27868000,75575000,75330000,143317000,219263000,258488000,444890000,293032000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1185000,- -,- -,- -
70,Total Liabilities & Equity,- -,33649000,55911000,539886000,980897000,522735000,776917000,698375000,675149000,622091000,296373000,211415000,27868000,75575000,75330000,143317000,220448000,258488000,444890000,293032000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296484/000091957408003442/d884535_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957409012723/d1008663_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957410003935/d1098768_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957411002695/d1186072_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957412002730/d1274746_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957413002941/d1371555_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957414001820/d1444868_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957415003784/d6512835_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957416012626/d7034723_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957417002779/0000919574-17-002779-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957418002755/0000919574-18-002755-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957419002626/0000919574-19-002626-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957420002886/d8447369_20-f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,201000,1634000,32794000,68684000,15141000,-49076000,25639000,-50196000,2513000,-189112000,-63984000,1408000,2896000,-17014000,1052000,-13377000,-11425000,-14773000,-22818000
74,Depreciation and Amortization,- -,-2551000,3604000,13108000,47055000,40128000,28043000,33474000,35005000,35810000,29390000,12510000,6763000,877000,795000,3588000,5864000,6763000,12442000,13210000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,3478000,3710000,935000,5116000,3467000,2024000,1412000,378000,345000,- -,131000,239000,-25000,-34000,-34000,-34000
77,Change in Working Capital,- -,-343000,-1132000,12197000,-10193000,506000,19278000,-11751000,-5175000,-298000,-4045000,5085000,-3309000,-2160000,527000,2518000,-1231000,1942000,4726000,-2974000
78,Accounts Receivable,- -,87000,-689000,-19153000,-19556000,12340000,12003000,7834000,2863000,-314000,-2189000,1281000,384000,-50000,-57000,88000,-602000,-194000,173000,642000
79,Inventory,- -,- -,-220000,-2712000,-3087000,-152000,-1498000,6993000,476000,-171000,660000,- -,- -,-324000,-78000,-181000,-62000,58000,-385000,334000
80,Accounts Payable,- -,497000,1883000,7331000,2047000,2586000,6350000,-12428000,-5048000,663000,2473000,-4426000,-1650000,-311000,114000,954000,-207000,695000,1462000,-2083000
81,Other Working Capital,- -,- -,- -,28381000,2058000,- -,4774000,-7500000,- -,-543000,-1298000,587000,-548000,-800000,-430000,1978000,-992000,-986000,3337000,-1263000
82,Other Non-Cash Items,- -,5102000,824000,-29498000,-14351000,-38415000,-10470000,-40631000,23475000,-4447000,178134000,61140000,-2137000,-4416000,14174000,-693000,9464000,3470000,16833000,18656000
83,Cash Provided by Operating Activities,- -,2409000,4930000,28601000,94673000,21070000,-11290000,11847000,6576000,35602000,15779000,15129000,3070000,-2803000,-1387000,6704000,695000,716000,19194000,6040000
84,CAPEX,- -,-18547000,-21964000,-353754000,-677944000,-31340000,-395683000,-234194000,-137514000,-416000,-356000,-7000,-14400000,-45911000,-53410000,-73383000,-41428000,-63555000,-203230000,-120823000
85,Acquisitions Net,- -,- -,- -,-327629000,- -,- -,- -,- -,-136678000,- -,- -,- -,37552000,- -,- -,- -,-17639000,-3681000,- -,-7899000
86,Purchases of Investments,- -,- -,-451000,-319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17639000,-1190000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,251000,2414000,336803000,152252000,562931000,77401000,292745000,169821000,26148000,125285000,6002000,27842000,1461000,52560000,-3688000,17639000,- -,-36000,310016000
89,Cash Used for Investing Activites,- -,-18296000,-20001000,-344899000,-524859000,531591000,-318282000,58551000,-104371000,25732000,124929000,6002000,50994000,-44450000,-850000,-77071000,-59067000,-68426000,-203266000,181294000
90,Debt Repayment,- -,-2550000,-14443000,-122266000,-100033000,-369518000,-98100000,-372692000,-59274000,-64624000,-151637000,-21631000,-41446000,-706000,-22169000,-5085000,-16779000,-26278000,-70746000,-269621000
91,Common Stock Issued,- -,- -,- -,264030000,- -,26916000,98341000,50601000,2569000,-27000,6833000,- -,- -,20191000,- -,- -,9726000,5781000,18892000,129660000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-733000,-732000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14302000,-24568000
93,Dividends Paid,- -,-844000,-571000,-2318000,-30504000,-217466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,17629000,32334000,289277000,463417000,19937000,325351000,272656000,108990000,3158000,3802000,500000,-2837000,18062000,27074000,72911000,90444000,65256000,255837000,-12748000
95,Cash Used/Provided by Financing Activities,- -,14235000,17320000,428723000,332880000,-540131000,325592000,-50168000,51553000,-61493000,-141002000,-21131000,-44283000,37547000,4905000,67826000,83391000,44759000,189681000,-177277000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000,294000,- -,-75000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1652000,2249000,112425000,-97306000,12530000,-3980000,20230000,51553000,-61493000,-141002000,-21131000,-44283000,37547000,4905000,-2541000,25019000,-22951000,5609000,10057000
98,Cash at the End of Period,- -,94000,2343000,114768000,17462000,29992000,26012000,46242000,- -,- -,- -,- -,9706000,- -,2668000,127000,30613000,7662000,13271000,23328000
99,Cash at the Beginning of Period,- -,1746000,94000,2343000,114768000,17462000,29992000,26012000,46242000,- -,- -,- -,- -,9706000,- -,2668000,5594000,30613000,7662000,13271000
100,Free Cash Flow,- -,-16138000,-17034000,-325153000,-583271000,-10270000,-406973000,-222347000,-130938000,35186000,15423000,15129000,-11330000,-48714000,-54797000,-66679000,-40733000,-62839000,-184036000,-114783000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296484/000091957408003442/d884535_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957409012723/d1008663_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957410003935/d1098768_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957411002695/d1186072_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957412002730/d1274746_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957413002941/d1371555_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957414001820/d1444868_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957415003784/d6512835_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957416012626/d7034723_20-f.htm,https://www.sec.gov/Archives/edgar/data/1296484/000091957417002779/0000919574-17-002779-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957418002755/0000919574-18-002755-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957419002626/0000919574-19-002626-index.html,https://www.sec.gov/Archives/edgar/data/1296484/000091957420002886/d8447369_20-f.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,
