,https://roic.ai/company/CPSI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,727816,673224,667564,720573,466678,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6609000,7736000,7577000,6694000,3562000,3160000
14,Depreciation and Amortization,- -,954543,1128454,1461039,1619792,1797289,1976319,1968501,1811097,1772327,1853724,2500324,3164184,3429053,3665414,3174241,13244000,12879000,12282000,12413000,13329000,16873000
15,EBITDA,4891000,9634743,13749063,14344516,13323100,25747789,27773795,22219432,26462318,25868945,31624372,44462827,45162138,54139672,53404423,28665355,27839000,7132000,37967000,42803000,35675000,43109000
16,EBITDA ratio,0.0994,0.1615,0.1864,0.1764,0.1612,0.2366,0.2395,0.2020,0.2211,0.2025,0.2064,0.2563,0.2464,0.2695,0.2608,0.1574,0.1042,0.0258,0.1354,0.1559,0.1349,0.1536
17,Operating Income,4655000,8476169,12068560,12545679,11202655,23292388,24665570,19047599,23711030,23368802,29097424,41294939,41277381,50243941,49586590,25086282,14375000,-4814000,24882000,24583000,21054000,24707000
18,Operating Income ratio,0.0946,0.1421,0.1637,0.1543,0.1355,0.2140,0.2127,0.1731,0.1981,0.1829,0.1899,0.2380,0.2252,0.2501,0.2422,0.1377,0.0538,-0.0174,0.0887,0.0895,0.0796,0.0880
19,Total Other Income Expenses (Gains),236000,204031,552049,337798,500653,658112,1131906,1203332,940191,727816,673224,667564,720573,466678,152419,404832,-6389000,-8669000,-6774000,-887000,-2270000,-1631000
20,Income Before Tax,4891000,8680200,12620609,12883477,11703308,23950500,25797476,20250931,24651221,24096618,29770648,41962503,41997954,50710619,49739009,25491114,7986000,-13483000,18108000,23696000,18784000,23076000
21,Income Before Tax Ratio,0.0994,0.1455,0.1711,0.1585,0.1416,0.2201,0.2224,0.1841,0.2060,0.1886,0.1943,0.2419,0.2291,0.2525,0.2429,0.1399,0.0299,-0.0487,0.0646,0.0863,0.0710,0.0822
22,Income Tax expense (Gain),- -,3231501,1970816,5017647,4639473,9381327,9982931,7335323,9213226,8913335,11032795,16129113,12024482,17967381,16818730,7147728,4053000,3933000,476000,3228000,4538000,4646000
23,Net Income,4891000,5448699,10649793,7865830,7063835,14569173,15814545,12915608,15437995,15183283,18737853,25833390,29973472,32743238,32920279,18343386,3933000,-17416000,17632000,20468000,14246000,18430000
24,Net Income ratio,0.0994,0.0913,0.1444,0.0967,0.0855,0.1339,0.1364,0.1174,0.1290,0.1189,0.1223,0.1489,0.1635,0.1630,0.1608,0.1007,0.0147,-0.0629,0.0629,0.0745,0.0539,0.0657
25,EPS,0.53,0.59,1.06,0.75,0.67,1.38,1.49,1.21,1.43,1.39,1.71,2.34,2.71,2.95,2.94,1.62,0.29,-1.27,1.26,1.43,0.98,1.26
26,EPS Diluted,0.53,0.56,1.06,0.75,0.67,1.37,1.48,1.20,1.43,1.39,1.71,2.34,2.71,2.95,2.94,1.62,0.29,-1.27,1.26,1.43,0.98,1.26
27,Weighted Average Shares Outstanding,9288000,9288000,10024438,10488406,10489849,10559589,10638028,10698143,10772160,10954000,10963000,11034000,11066000,11101000,11026000,11083000,13255000,13419000,13561000,13778000,14038000,14290000
28,Weighted Average Shares Outstanding Diluted,9288000,9288000,10061765,10536929,10535555,10646376,10717865,10740947,10790769,10955000,10963000,11034000,11066000,11101000,11026000,11136000,13255000,13419000,13568000,13778000,14038000,14318000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1169445/000093176303000667/0000931763-03-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312504040077/0001193125-04-040077-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312505051193/0001193125-05-051193-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312506052399/0001193125-06-052399-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000095012907001428/0000950129-07-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312508049038/0001193125-08-049038-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312509048540/0001193125-09-048540-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312510048842/0001193125-10-048842-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312511057572/0001193125-11-057572-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312512109797/0001193125-12-109797-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312513101203/0001193125-13-101203-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944514000005/0001169445-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944515000004/0001169445-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944516000020/0001169445-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944517000002/0001169445-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944518000006/0001169445-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944519000002/0001169445-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944520000002/0001169445-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000162828021004641/0001628280-21-004641-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944522000003/0001169445-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1033000,2018643,6352452,9472743,13785377,11669690,8760122,11806017,11744466,4386763,2939839,6664482,8912457,11729185,23791748,24950617,2220000,520000,5732000,7357000,12671000,11431000
32,Short-Term Investments,- -,- -,- -,- -,- -,10231446,10717952,11352457,11845646,13243118,13401923,16486688,10674609,10702626,10703126,10823689,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1033000,2018643,6352452,9472743,13785377,21901136,19478074,23158474,23590112,17629881,16341762,23151170,19587066,22431811,34494874,35774306,2220000,520000,5732000,7357000,12671000,11431000
34,Net Receivables,- -,8876890,13939558,13029187,12738625,13582269,16273221,16068888,17957879,23240255,28586730,25301881,24322898,45464229,41213208,33170223,37271000,53116000,55533000,50851000,43235000,40919000
35,Inventory,- -,1126353,1615312,1102061,1475166,1988184,1668119,1450164,1374302,1703668,1782743,1838937,1682008,1588673,1431560,1494859,1697000,1417000,1498000,1426000,1084000,855000
36,Other Current Assets,- -,196276,1334003,1457582,2006306,1734086,1833238,1899167,2152125,3099911,2908759,3876546,5354208,3267597,4376390,4118031,3361000,2824000,7175000,7198000,10154000,15793000
37,Total Current Assets,- -,12218162,23241325,25061573,30005474,39205675,39252652,42576693,45074418,45673715,49619994,54168534,50946180,72752310,81516032,74557419,44549000,57877000,69938000,66832000,67144000,68998000
38,PP&E,- -,4034527,4826823,5348304,5455015,6173037,6255200,5509027,4813031,5015767,8683058,17419231,19029974,19231372,17038619,14350669,13439000,11692000,10875000,19393000,19749000,18687000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168449000,140449000,140449000,150216000,150216000,177713000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107118000,96713000,86226000,83110000,74899000,106847000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275567000,237162000,226675000,233326000,225115000,284560000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2310606,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,998797,840603,793870,617657,1605226,2396764,2322471,2979639,3761239,4432277,4056748,7862833,550956,770169,1569179,5595000,11485000,20258000,20038000,14264000,11105000
45,Total Non-Current Assets,- -,5033324,5667426,6142174,6072672,7778263,8651964,7831498,7792670,8777006,13115335,21475979,26892807,19782328,17808788,18230454,294601000,260339000,257808000,272757000,259128000,314352000
46,Other Assets,14515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14515000,17251486,28908751,31203747,36078146,46983938,47904616,50408191,52867088,54450721,62735329,75644513,77838987,92534638,99324820,92787873,339150000,318216000,327746000,339589000,326272000,383350000
48,Accounts Payable,- -,1033349,2093812,1126334,969454,2051195,1204279,1716882,1829505,2212085,2617377,2469157,2980174,3213714,3990368,4590660,6841000,7620000,5668000,8804000,7716000,8079000
49,Short-Term Debt,- -,86185,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5817000,5820000,6486000,9974000,4975000,4394000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,731346,- -,797101,- -,- -,- -,810000,- -,- -,- -,- -
51,Deferred Revenue,- -,1601130,2347816,1633887,2602235,3285678,2274592,3580709,3728356,3582870,4469507,5589792,7452612,9581357,5890431,3820526,5840000,8707000,10201000,8628000,8130000,11529000
52,Other Current Liabilities,5810000,3830728,3988087,2691553,3953815,4560596,5210873,6161088,6293663,5452392,7398568,8611689,8027879,8655943,8279985,9010269,12447000,18702000,16148000,14524000,16621000,22425000
53,Total Current Liabilities,5810000,6551392,8429715,5451774,7525504,9897469,8689744,11458679,11851524,11247347,14485452,16670638,18460665,21451014,18160784,17421455,30945000,40849000,38503000,41930000,37442000,46427000
54,Long-Term Debt,- -,663712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146989000,136614000,124583000,99433000,73360000,100471000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,718753,698320,508382,571142,456394,512103,1785854,1589838,2176130,2001077,383050,- -,3246000,4667000,4877000,7623000,10378000,13880000
57,Other Non-Current Liabilities,749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6256000,5092000,- -
58,Total Non-Current Liabilities,749000,663712,- -,- -,718753,698320,508382,571142,456394,512103,1785854,1589838,2176130,2001077,383050,- -,150235000,141281000,129460000,113312000,88830000,114351000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,6610000,5505000
61,Total Liabilities,6559000,7215104,8429715,5451774,8244257,10595789,9198126,12029821,12307918,11759450,16271306,18260476,20636795,23452091,18543834,17421455,181180000,182130000,167963000,155242000,126272000,160778000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9288,10488,10490,10490,10625,10756,10807,10894,10973,10963,11063,11078,11159,11209,11303,13000,14000,14000,14000,15000,15000
64,Retained Earnings,- -,9917283,3434568,8625958,10654665,15941540,16275100,13663920,13484988,12900810,15845008,25783486,24315320,34416120,41805764,31206022,10046000,-19006000,-5024000,9715000,19624000,38054000
65,Other Comprehensive Income/Loss,- -,-2805709,-225423,-174385,-123345,-140284,-7333,44825,56715,100103,58903,7380,27693,11368,-19337,-37678,- -,-10174000,-5645000,-7053000,- -,- -
66,Other Total Stockholders Equity,7956000,2915520,17259403,17289910,17292079,20576268,22427967,24658818,27006573,29679385,30549149,31582108,32848101,34643900,38983350,44186771,147911000,165252000,170438000,181671000,180361000,- -
67,Total Stockholders Equity,7956000,10036382,20479036,25751973,27833889,36388149,38706490,38378370,40559170,42691271,46464023,57384037,57202192,69082547,80780986,75366418,157970000,136086000,159783000,184347000,200000000,222572000
68,Total Liabilities And Stockholders Equity,14515000,17251486,28908751,31203747,36078146,46983938,47904616,50408191,52867088,54450721,62735329,75644513,77838987,92534638,99324820,92787873,339150000,318216000,327746000,339589000,326272000,383350000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14515000,17251486,28908751,31203747,36078146,46983938,47904616,50408191,52867088,54450721,62735329,75644513,77838987,92534638,99324820,92787873,339150000,318216000,327746000,339589000,326272000,383350000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1169445/000093176303000667/0000931763-03-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312504040077/0001193125-04-040077-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312505051193/0001193125-05-051193-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312506052399/0001193125-06-052399-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000095012907001428/0000950129-07-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312508049038/0001193125-08-049038-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312509048540/0001193125-09-048540-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312510048842/0001193125-10-048842-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312511057572/0001193125-11-057572-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312512109797/0001193125-12-109797-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312513101203/0001193125-13-101203-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944514000005/0001169445-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944515000004/0001169445-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944516000020/0001169445-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944517000002/0001169445-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944518000006/0001169445-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944519000002/0001169445-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944520000002/0001169445-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000162828021004641/0001628280-21-004641-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944522000003/0001169445-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5448699,10649793,7865830,7063835,14569173,15814545,12915608,15437995,15183283,18737853,25833390,29973472,32743238,32920279,18343386,3933000,-17416000,17632000,20468000,14246000,18430000
74,Depreciation and Amortization,- -,954543,1128454,1461039,1619792,1797289,1976319,1968501,1811097,1772327,1853724,2500324,3164184,3429053,3665414,3174241,13244000,12879000,12282000,12413000,13329000,16873000
75,Deferred Income Tax,- -,- -,-1006470,33297,294910,219406,-434332,41988,-61894,-166942,572890,-452891,654093,-67848,-1551828,-2698540,3672000,1421000,-364000,1011000,2755000,3502000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,919980,855819,928224,1264779,1699128,4172174,5379716,5366000,7166000,9715000,9822000,7005000,5457000
77,Change in Working Capital,- -,-872977,9144840,4798189,2870171,6828236,1254702,555106,2104880,1203474,708174,2363354,-5012381,18815781,12053952,-6219284,-43531964,3424000,14407000,-6533000,4800000,284000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4948268,-6843741,3014205,1516349,-974145,-3956206,-166073,-3927000,-7847000,-3898000,641000,3667000,-3204000
79,Inventory,- -,3839,-488959,513251,-373105,-513018,320065,217955,75861,-1475326,-508044,-445974,-255037,93335,157113,-102180,14000,280000,-81000,72000,342000,229000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,382580,405292,-148220,511017,233540,776654,600292,-5588000,779000,-1952000,2542000,-1088000,-615000
81,Other Working Capital,- -,5666770,14811610,19609799,22479970,29308206,30562908,31118014,33222894,34426368,35134542,37497896,32485515,51301296,63355248,57135964,13604000,17028000,31435000,24902000,29702000,2099000
82,Other Non-Cash Items,- -,3456737,-12925249,-6161613,-774443,-5617655,-4142186,3656779,-3583037,-10099841,-3086780,2367774,2162550,-27572138,-12311435,12896233,19421964,16169000,-29743000,6420000,7007000,3198000
83,Cash Provided by Operating Activities,- -,8987002,6991368,7996742,11074265,17796449,14469048,19137982,15709041,8812281,19641680,33540175,32206697,29047214,38948556,30875752,2105000,23643000,23929000,43601000,49142000,47744000
84,CAPEX,- -,-1321948,-1920750,-1982520,-1726503,-2515311,-2058482,-1222328,-1115102,-829103,-5092047,-10846717,-4362961,-3630451,-1472661,-447410,-39000,-726000,-978000,-1760000,-6664000,-10285000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162611000,- -,- -,-10733000,- -,-59634000
86,Purchases of Investments,- -,- -,- -,- -,- -,-10342885,-387108,-548898,-472258,-2826331,-216837,-3178738,-1155352,-2733109,-50023,-150144,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,7000000,2678760,- -,- -,10861000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3328000,-9365000
89,Cash Used for Investing Activites,- -,-1321948,-1920750,-1982520,-1726503,-12858196,-2445590,-1771226,-1587360,-2155434,-5308884,-14025455,1481687,-3684800,-1522684,-597554,-151789000,-726000,-978000,-12493000,-6664000,-69919000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5196000,-13134000,-19010000,-34552000,-31630000,-38750000
91,Common Stock Issued,- -,- -,16895596,30509,- -,2228358,337792,996559,1152294,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-6600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1261000,-1315000
93,Dividends Paid,- -,- -,-16882508,-250000,-5035128,-9282298,-15480985,-15526788,-15616927,-15767461,-15793655,-15894912,-31441638,-22642438,-25530635,-28943128,-25092000,-11636000,-5620000,-5729000,-4337000,- -
94,Other Financing Activites,- -,-79559,-749897,-2674440,- -,- -,210167,209368,281401,1752911,13935,104835,1229,96752,167326,-176201,157241000,153000,6891000,10797000,64000,61000000
95,Cash Used/Provided by Financing Activities,- -,-6679559,-736809,-2893931,-5035128,-7053940,-14933026,-14320861,-14183232,-14014550,-15779720,-15790077,-31440409,-22545686,-25363309,-29119329,126953000,-24617000,-17739000,-29484000,-37164000,20935000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,985495,4333809,3120291,4312634,-2115687,-2909568,3045895,-61551,-7357703,-1446924,3724643,2247975,2816728,12062563,1158869,-22731000,-1700000,5212000,1624000,5314000,-1240000
98,Cash at the End of Period,- -,2018643,6352452,9472743,13785377,11669690,8760122,11806017,11744466,4386763,2939839,6664482,8912457,11729185,23791748,24950617,2220000,520000,5732000,7356000,12671000,11431000
99,Cash at the Beginning of Period,- -,1033148,2018643,6352452,9472743,13785377,11669690,8760122,11806017,11744466,4386763,2939839,6664482,8912457,11729185,23791748,24951000,2220000,520000,5732000,7357000,12671000
100,Free Cash Flow,- -,7665054,5070618,6014222,9347762,15281138,12410566,17915654,14593939,7983178,14549633,22693458,27843736,25416763,37475895,30428342,2066000,22917000,22951000,41841000,42478000,37459000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1169445/000093176303000667/0000931763-03-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312504040077/0001193125-04-040077-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312505051193/0001193125-05-051193-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312506052399/0001193125-06-052399-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000095012907001428/0000950129-07-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312508049038/0001193125-08-049038-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312509048540/0001193125-09-048540-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312510048842/0001193125-10-048842-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312511057572/0001193125-11-057572-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312512109797/0001193125-12-109797-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000119312513101203/0001193125-13-101203-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944514000005/0001169445-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944515000004/0001169445-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944516000020/0001169445-16-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944517000002/0001169445-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944518000006/0001169445-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944519000002/0001169445-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944520000002/0001169445-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000162828021004641/0001628280-21-004641-index.htm,https://www.sec.gov/Archives/edgar/data/1169445/000116944522000003/0001169445-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
