,https://roic.ai/company/BLU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42210,-19457,11160,48509,- -,- -,- -,-199000
23,Net Income,- -,-3768018,-1775355,-8885592,-12934564,-43587775,-62309759,-64676361,-81073000,-48223000,-8227000,-20109782,3353575,-13323884,-818956,-1663422,145566,-1606279,-1490258,-6669457,-26385051,-31757000,-71224000
24,Net Income ratio,- -,-31.7102,-0.3218,-3.9458,-Infinity,-396.9922,-21.3842,-23.5831,-53.7976,-82.5736,70.9224,-8.3526,1.1168,-5.7681,-0.3865,-0.8127,0.0502,-1.1405,-11.3576,-259.5429,-984.7429,-2117.1333,-4451.5000
25,EPS,- -,-32.08,-10.70,-53.41,-52.47,130.47,163.99,155.26,-199.80,-104.76,-6.48,-10.80,1.06,-1.48,-0.07,-0.12,0.01,-0.11,-0.09,-0.21,-0.56,-0.54,-1.21
26,EPS Diluted,- -,-32.08,-10.70,-53.41,-52.47,130.47,163.99,155.26,-199.80,-104.76,-18.36,-10.80,-1.06,-1.48,-0.07,-0.12,0.01,-0.11,-0.09,-0.21,-0.56,-0.54,-1.21
27,Weighted Average Shares Outstanding,- -,117168,161449,166733,248273,278730,317479,357305,405767,458622,1298011,1956844,2466423,8979558,13173998,13173998,13173998,16219929,19074415,33616894,47430219,59023380,59023380
28,Weighted Average Shares Outstanding Diluted,- -,117168,161449,178214,289726,318059,332933,357305,405767,458622,1305861,1956844,6039671,8979558,13173998,13173998,13173998,16219929,19074415,33616894,47430219,59023380,59023380
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000120621208000062/m39762orexv99w2.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000110465920026291/0001104659-20-026291-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1302366,4023125,757666,8872708,5994828,6356341,12155302,10908000,10595000,13393000,10255359,5000000,10800840,10592898,7660700,2189970,1915780,6162227,10963782,18584213,48889000,150078000
32,Short-Term Investments,- -,20929683,19859927,15175074,37428879,18271951,54854978,36592836,47466000,- -,- -,- -,- -,7864660,3773585,2940923,4801505,3168663,12834195,24942916,70894991,49371000,98728000
33,Cash and Short-Term Investments,- -,22232049,23883053,15932740,46301587,24266779,61211318,48748138,58374000,10595000,13393000,10255359,5000000,18665501,14366483,10601623,6991475,5084443,18996421,35906698,89479204,98260000,248806000
34,Net Receivables,- -,1519765,1419888,1411144,1689708,13787308,2696539,1971913,2569000,2373000,3819000,2108663,125367,157816,710012,135245,585866,602634,1350298,593966,1270028,1049000,1369000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,132330,134787,164194,997336,3191053,8753485,8487323,1344000,1114000,764000,1147816,793340,935838,863097,909670,1883706,509635,384891,843594,2971821,3005000,8029000
37,Total Current Assets,- -,23884144,25437727,17508078,48988631,41245140,72661341,59207375,62287000,14262000,18121000,13511838,5918707,19759155,15939593,11646538,9461047,6196712,20731610,37344258,93721053,102314000,258204000
38,PP&E,- -,1494784,3279154,2472799,2707904,13883129,4228548,3910845,3820000,3124000,2479000,91985,45054,- -,- -,- -,- -,- -,- -,- -,202868,501000,853000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1454665,1756264,3654191,4663119,5079201,6125000,6028000,- -,- -,- -,- -,509030,466895,390577,403244,1875944,1731974,1805905,50100000,50100000
41,Intangible Assets,- -,- -,- -,1454665,1756264,3654191,4663119,5079201,6125000,6028000,- -,- -,- -,- -,509030,466895,390577,403244,1875944,1731974,1805905,50100000,50100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8392000,6610000,6665933,5478942,- -,193469,473787,539025,475411,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000
44,Other Non-Current Assets,- -,118827,158573,149027,2773466,4811034,1920520,3191241,5801000,638000,816000,797872,621939,7479670,5550494,1805558,428049,55055,54871,56533,106410,198000,218000
45,Total Non-Current Assets,- -,1613611,3437727,4076492,7237634,22348355,10812187,12181288,15746000,18182000,9905000,7555791,6145935,7479670,6252994,2746240,1357652,933710,1930815,1788507,2115183,50799000,51391000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25497755,28875454,21584570,56226265,63593495,83473529,71388662,78033000,32444000,28026000,21067629,12064643,27238825,22192586,14392778,10818699,7130422,22662425,39132765,95836236,153113000,309595000
48,Accounts Payable,- -,1388111,1848034,2809100,1235742,3377706,4318666,3752932,3657000,2423000,707000,1240801,3526934,75390,262968,59439,67018,93743,380915,407480,3953241,648000,2857000
49,Short-Term Debt,- -,297066,262306,363996,253307,916293,- -,- -,- -,9736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166122,156000,254000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000
51,Deferred Revenue,- -,- -,- -,- -,- -,4009528,3317353,8788157,7093000,- -,- -,2579587,2714006,1513826,1577806,2040728,1665358,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,0,-0,- -,2237051,5344041,7362661,9831582,10382000,6834000,9486000,14617661,-0,1103706,1221860,1047499,1561588,811696,1376541,1586602,3450282,4847000,13838000
53,Total Current Liabilities,- -,1685177,2110340,3173096,3726100,13647568,14998680,22372672,21132000,18993000,10193000,18438050,6240940,2692922,3062633,3147666,3293963,905439,1757455,1994082,7569645,5651000,16949000
54,Long-Term Debt,- -,383486,- -,- -,248340,7861351,- -,33642461,35242000,37464000,16577000,20933651,39763957,8287848,4872414,- -,- -,- -,- -,- -,20670,- -,617000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6039034,4083252,5124494,3155611,2040728,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,111001,688427,- -,8233657,24750475,16364982,17093000,16011000,19608000,12247040,- -,0,941987,1013903,50444,77375,- -,- -,- -,347000,- -
58,Total Non-Current Liabilities,- -,383486,111001,688427,248340,16095007,24750475,50007443,52335000,53475000,36185000,39219725,43847209,13412342,8970012,3054632,50444,77375,- -,- -,20670,347000,617000
59,Other Liabilities,- -,- -,222002,1376855,496680,32190015,49500951,- -,- -,- -,- -,- -,- -,- -,17940025,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,248340,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186791,503000,871000
61,Total Liabilities,- -,2068663,2221341,3861523,3974440,29742576,39749156,72380115,73467000,72468000,46378000,57657775,50088149,16105264,12032646,6202298,3344407,982814,1757455,1994082,7590314,5998000,17566000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308434000,387478004,381583741,420767367,393129033,360587840,301646621,331636783,371572962,369085850,466332382,575286000,799391000
64,Retained Earnings,- -,-17484387,-19259333,-28106825,-51534618,-117229546,-190070399,-254468777,-316637000,-366477000,-383607000,-477552592,-442390793,-443684851,-415360125,-382642179,-319950421,-344729559,-371504573,-351844673,-400026028,-468829000,-554324000
65,Other Comprehensive Income/Loss,- -,-721061,-979848,-1329377,- -,4796063,-5116713,8356395,33326000,6799000,6295000,-5548112,-467189,- -,18783,198129,275998,248493,- -,- -,- -,9298000,9298000
66,Other Total Stockholders Equity,- -,41634541,46893294,47159248,- -,- -,- -,- -,- -,- -,50526000,59032555,23250735,32824704,31317562,29090502,24542945,18991890,20836581,19897506,21939568,31360000,37664000
67,Total Stockholders Equity,- -,23429092,26654113,17723046,52251824,33850920,43285797,-1716054,3889000,-40024000,-18352000,-36590146,-38023506,9907220,9105253,7234292,6515144,6147608,20904970,37138683,88245922,147115000,292029000
68,Total Liabilities And Stockholders Equity,- -,25497755,28875454,21584570,56226264,63593496,83034954,70664061,77356000,32444000,28026000,21067629,12064643,26012485,21137898,13436590,9859551,7130422,22662425,39132765,95836236,153113000,309595000
69,Minority Interest,- -,-0,-0,-0,1,-1,438575,724602,677000,- -,- -,-0,0,1226340,1054688,956188,959148,- -,- -,0,-0,- -,- -
70,Total Liabilities & Equity,- -,25497755,28875454,21584570,56226265,63593495,83473529,71388662,78033000,32444000,28026000,21067629,12064643,27238825,22192586,14392778,10818699,7130422,22662425,39132765,95836236,153113000,309595000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000120621208000062/m39762orexv99w2.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000110465920026291/0001104659-20-026291-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-3768018,-1775355,-8885592,-12934564,-43587775,-62309759,-64676361,-81073000,-48223000,-8227000,-20109782,3353575,-13323884,-818956,-1663422,145566,-1606279,-1490258,-6669457,-26385051,-31757000,-71224000
74,Depreciation and Amortization,- -,224150,278824,585559,497674,1701828,2595406,335815,399000,1884000,693000,1465765,45054,- -,- -,- -,- -,- -,- -,- -,120955,179000,193000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42210,-19457,11160,48509,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2309000,2301000,1227804,-285994,465406,648966,365246,207539,158470,152684,513205,1633659,4791000,6353000
77,Change in Working Capital,- -,1478581,509415,1017474,-300989,1098952,4605042,2473637,-4883000,-13566000,-5406000,9269517,-3304603,-1134867,-401965,-1119859,-2171234,-780448,910537,-740806,2932778,-1701000,5303000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000,231000,221964,27424,11057,- -,- -,- -,- -,- -,- -,-121721,-84000,-50000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180000,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-9708740,-2049871,483000,- -,- -,- -,- -,-337746,-1468862,-260152,-1748950,-1367458,- -,- -,- -,- -,-220000
82,Other Non-Cash Items,- -,0,-0,78470,993,4769113,7535889,6959165,19051000,3452000,-14984000,3846385,-5538688,10965693,-2430572,-469480,-212584,27528,-3089463,-572675,365927,-1257000,-1840000
83,Cash Provided by Operating Activities,- -,-2065287,-987116,-7204088,-12736885,-36017881,-47573423,-54907744,-66506000,-54144000,-25623000,-4300312,-5730656,-3027653,-3002526,-2929725,-2050170,-2189569,-3467992,-7469733,-21331731,-29745000,-61215000
84,CAPEX,- -,-320697,-2095144,-623805,-706280,-12270135,-2153826,-2448650,-1746000,-1262000,-68000,- -,- -,- -,- -,- -,- -,- -,-1060835,- -,- -,-535000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-233000,- -,- -,- -,653378,373790,-4307,- -,- -,1683499,293679,- -,- -,- -
86,Purchases of Investments,- -,-20929683,- -,- -,-40747702,- -,-35942161,-1424215,-10074000,- -,- -,- -,- -,-7864660,- -,- -,-2341301,- -,-9447316,-12959333,-71476035,-51090000,-97887000
87,Sales/Maturities of Investments,- -,- -,622398,4645565,- -,33905817,- -,18064046,- -,47709000,- -,760878,482860,553863,4380289,5163413,- -,1788557,1406759,341402,25631761,72771000,49389000
88,Other Investing Activites,- -,0,-0,-762282,-570190,-1308561,58076,999,- -,-1202000,2536000,562910,826641,7055477,92978,246369,104490,74399,-997217,598372,837499,820000,270000
89,Cash Used for Investing Activites,- -,-21250380,-1472745,3259479,-42024172,20327121,-38037911,14192179,-11820000,46075000,2468000,1323788,1309500,398058,4847056,5405475,-2236811,1862957,-7354274,-11725880,-45006775,22501000,-48228000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-416259,-481489,-1266940,-4473408,- -,- -,- -,- -,-149280,-187000,-209000
91,Common Stock Issued,- -,22518989,5874463,7254,66664511,1239690,72847587,8408367,370000,7000,- -,- -,979,- -,- -,- -,- -,- -,14974950,24146311,73291127,37297000,210466000
92,Common Stock Repurchased,- -,- -,-373307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-310809,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1991020,-292699,679855,-5410842,8077947,14200633,38813612,73901000,7694000,25741000,-780875,-236043,8802509,-133362,-89589,-7927,-8184,-8748,191626,928598,225000,-401000
95,Cash Used/Provided by Financing Activities,- -,20527968,5208457,687108,61253670,9317637,87048219,47221978,74271000,7701000,25741000,-780875,-651322,8321020,-1400302,-4562996,-7927,-8184,14966203,24337937,73759636,37335000,209856000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1286688,-684623,2867000,- -,212000,-2000,26445,-22114,57289,31873,76386,-10416,-29423,132156,-268704,110000,776000
97,Net Change In Cash,- -,-2787699,2748596,-3257501,6492613,-6374122,151199,5821792,-1188000,-368000,2798000,-3759398,-5046033,5669310,501517,-2055373,-4218521,-345212,4114513,5274480,7152426,30201000,101189000
98,Cash at the End of Period,- -,1302366,4023125,757666,11466376,5994828,6356341,12155302,10908000,10595000,13393000,10255359,5000000,10800840,10592898,7660700,2189970,1915780,6162227,10963782,18584213,48889000,150078000
99,Cash at the Beginning of Period,- -,4090065,1274529,4015167,4973763,12368950,6205142,6333510,12096000,10963000,10595000,14014758,10046033,5131530,10091381,9716073,6408492,2260992,2047714,5689302,11431787,18688000,48889000
100,Free Cash Flow,- -,-2385984,-3082260,-7827893,-13443166,-48288016,-49727249,-57356394,-68252000,-55406000,-25691000,-4300312,-5730656,-3027653,-3002526,-2929725,-2050170,-2189569,-4528827,-7469733,-21331731,-30280000,-61215000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000120621208000062/m39762orexv99w2.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1259942/000110465920026291/0001104659-20-026291-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
