,https://roic.ai/company/SLRX,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,-247113,- -
70,Total Liabilities & Equity,35611398,95069838,63214979,34992772,10389626,13894398,24685208,40833868
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1615219/000161521917000021/0001615219-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521918000018/0001615219-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521919000008/0001615219-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521920000014/0001615219-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521921000026/0001615219-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521922000028/0001615219-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-29141630,-39493123,-34433662,-21922217,-6936263,-7352254,-12768238
74,Depreciation and Amortization,- -,49881,277231,324548,228158,127408,18058,19183
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,6597359,6572963,4219165,1939611,751618,319391,559044
77,Change in Working Capital,- -,1734626,-30822142,-29890607,-19479171,-7827041,12561649,14677595
78,Accounts Receivable,- -,- -,-12181,1796,7206,690,-3855996,- -
79,Inventory,- -,- -,-454132,22241,227979,1169,- -,- -
80,Accounts Payable,- -,621393,309437,819357,-1661910,-519276,-2782,-310660
81,Other Working Capital,- -,89400216,58578074,28687467,9208296,1381255,13942904,28620499
82,Other Non-Cash Items,- -,13646,31413198,32058358,15634959,2304182,-15858207,-12687781
83,Cash Provided by Operating Activities,- -,-20746118,-32051873,-27722198,-23598660,-11580096,-10311363,-10200197
84,CAPEX,- -,-265617,-559378,-113498,- -,- -,-2600,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-39397769,-38682081,-32987697,-1997751,- -,- -,- -
87,Sales/Maturities of Investments,- -,12398295,26995324,57585413,16117184,- -,- -,- -
88,Other Investing Activites,- -,- -,5255,5344,4805,5607908,- -,- -
89,Cash Used for Investing Activites,- -,-27265091,-12240880,24489562,14124238,5607908,-2600,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-417885,- -,- -
91,Common Stock Issued,- -,80843751,22098,2632,118010,4130786,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-133594,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,17693677,28295963
95,Cash Used/Provided by Financing Activities,- -,80843751,22098,2632,118010,3579307,17693677,28295963
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,32832542,-44270655,-3230004,-9356412,-2392881,7379714,18095766
98,Cash at the End of Period,- -,66686695,22416040,19186036,9956219,3738900,11118614,29214380
99,Cash at the Beginning of Period,- -,33854153,66686695,22416040,19312631,6131781,3738900,11118614
100,Free Cash Flow,- -,-21011735,-32611251,-27835696,-23598660,-11580096,-10313963,-10200197
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1615219/000161521917000021/0001615219-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521918000018/0001615219-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521919000008/0001615219-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521920000014/0001615219-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521921000026/0001615219-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521922000028/0001615219-22-000028-index.htm
102,false,,,,,,,,
