,https://roic.ai/company/ENV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.49,0.10,-0.03,-0.05,0.24,0.04,0.11,0.41,0.12,-1.30,-0.08,0.13,-0.33,-0.06,0.24
26,EPS Diluted,0.49,0.10,-0.03,-0.05,0.23,0.04,0.10,0.38,0.12,-1.30,-0.08,0.12,-0.33,-0.06,0.24
27,Weighted Average Shares Outstanding,25613632,25613632,25613632,20805911,31643390,32162672,33191088,34559558,36500843,42814222,43732148,45268002,50937919,53589232,54470975
28,Weighted Average Shares Outstanding Diluted,25613632,25613632,25613632,20805911,32863834,33386161,35666575,36877599,38386873,42814222,43732148,47384085,50937919,53589232,55384096
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337619/000119312511071290/0001193125-11-071290-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312512107210/0001193125-12-107210-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312513259780/0001193125-13-259780-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000110465914020325/0001104659-14-020325-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000104746915001517/0001047469-15-001517-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837016003712/0001558370-16-003712-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017002115/0001558370-17-002115-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018001307/0001558370-18-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019002344/0001628280-19-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020002576/0001628280-20-002576-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021003457/0001628280-21-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022003985/0001628280-22-003985-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,28445000,31525000,67668000,64909000,29983000,49942000,209754000,51718000,52592000,60115000,289345000,82505000,384565000,429279000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,28445000,31525000,67668000,64909000,29983000,49942000,209754000,51718000,52592000,60115000,289345000,82505000,384565000,429279000
34,Net Receivables,- -,4538000,6514000,9135000,9644000,9188000,19848000,20345000,46756000,50011000,55910000,73632000,73370000,86635000,102304000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1384000,1561000,2133000,4232000,4590000,9617000,11896000,15175000,10481000,15082000,17929000,26628000,33999000,35693000
37,Total Current Assets,- -,34367000,39600000,78936000,78785000,43761000,79407000,241995000,113649000,113084000,131107000,380906000,182503000,505199000,567276000
38,PP&E,- -,4310000,8560000,9713000,11091000,11791000,12766000,16629000,28681000,33000000,35909000,44991000,136552000,153218000,140929000
39,Goodwill,- -,1023000,1023000,2031000,22223000,65644000,74335000,104976000,421273000,431936000,432955000,519102000,879850000,906773000,925154000
40,Intangible Assets,- -,7333000,6125000,4951000,15749000,31474000,41438000,65677000,302572000,280418000,244905000,343450000,565852000,531542000,534055000
41,Intangible Assets,- -,8356000,7148000,6982000,37972000,97118000,115773000,170653000,723845000,712354000,677860000,862552000,1445702000,1438315000,1459209000
42,Investments,- -,6186000,1250000,- -,- -,1250000,1250000,1250000,2666000,2750000,2731000,2862000,- -,- -,- -
43,Tax Assets,- -,16593000,14992000,13649000,6692000,6194000,8367000,565000,2688000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2439000,3508000,32588000,3162000,2285000,3679000,8266000,14036000,11213000,14445000,22436000,37127000,47558000,73768000
45,Total Non-Current Assets,- -,37884000,35458000,62932000,58917000,118638000,141835000,197363000,771916000,759317000,730945000,932841000,1619381000,1639091000,1673906000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,72251000,75058000,141868000,137702000,162399000,221242000,439358000,885565000,872401000,862052000,1313747000,1801884000,2144290000,2241182000
48,Accounts Payable,- -,2367000,1892000,1707000,1974000,2614000,5528000,4869000,10420000,11480000,11097000,19567000,17277000,18003000,19092000
49,Short-Term Debt,- -,- -,- -,159000,171000,- -,- -,- -,- -,37926000,- -,165711000,13816000,13649000,10999000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,10108000,9037000,9733000,11040000,8398000,4907000
51,Deferred Revenue,- -,211000,24000,232000,79000,5768000,6245000,5159000,15089000,16499000,21246000,23988000,34753000,34918000,33473000
52,Other Current Liabilities,- -,10384000,10422000,13859000,14919000,20201000,41250000,54652000,85948000,90049000,108012000,134030000,137944000,169799000,225159000
53,Total Current Liabilities,- -,12962000,12338000,15957000,17143000,28583000,53023000,64680000,111457000,155954000,140355000,343296000,203790000,236369000,288723000
54,Long-Term Debt,- -,- -,- -,18965000,- -,- -,- -,145203000,300133000,252984000,240158000,294725000,565513000,756503000,954782000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,1148000,6954000,14378000,15643000,12047000,6910000,5754000,1813000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5555000,969000,640000,29481000,34740000,21021000
57,Other Non-Current Liabilities,- -,706000,4474000,4627000,4920000,7820000,19299000,20530000,19670000,28978000,31853000,35574000,129770000,139047000,17114000
58,Total Non-Current Liabilities,- -,706000,4474000,23592000,4920000,7820000,20447000,172687000,334181000,303160000,285027000,337849000,730518000,932103000,992917000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,3886000,3547000,5550000,5428000,- -,- -,- -,102181000,125831000,116919000
61,Total Liabilities,- -,13668000,16812000,39549000,22063000,36403000,73470000,237367000,445638000,459114000,425382000,681145000,934308000,1168472000,1281640000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,68000,68000,215000,218000,220000,228000,232000,270000,278000,287000,306000,331000,339000,344000
64,Retained Earnings,- -,-41509000,-42381000,-45347000,-37742000,-37277000,-33617000,-19443000,-15007000,-70574000,-73854000,-58882000,-75664000,-79912000,-37988000
65,Other Comprehensive Income/Loss,- -,-10564000,-11227000,-12728000,-16995000,-22156000,-27307000,-17853000,194000,-422000,624000,-994000,-1749000,-398000,-1899000
66,Other Total Stockholders Equity,- -,110588000,111786000,160179000,170158000,185209000,208468000,238499000,454072000,483607000,509215000,693270000,946176000,1056308000,996632000
67,Total Stockholders Equity,- -,58583000,58246000,102319000,115639000,125996000,147772000,201435000,439529000,412889000,436272000,633700000,869094000,976337000,957089000
68,Total Liabilities And Stockholders Equity,- -,72251000,75058000,141868000,137702000,162399000,221242000,438802000,885167000,872003000,861654000,1314845000,1803402000,2144809000,2238729000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,556000,398000,398000,398000,-1098000,-1518000,-519000,2453000
70,Total Liabilities & Equity,- -,72251000,75058000,141868000,137702000,162399000,221242000,439358000,885565000,872401000,862052000,1313747000,1801884000,2144290000,2241182000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1337619/000119312511071290/0001193125-11-071290-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312512107210/0001193125-12-107210-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312513259780/0001193125-13-259780-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000110465914020325/0001104659-14-020325-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000104746915001517/0001047469-15-001517-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837016003712/0001558370-16-003712-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017002115/0001558370-17-002115-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018001307/0001558370-18-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019002344/0001628280-19-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020002576/0001628280-20-002576-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021003457/0001628280-21-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022003985/0001628280-22-003985-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,23938000,5255000,-872000,-626000,7605000,465000,3660000,14174000,4436000,-55567000,-3280000,5755000,-16782000,-3110000,13296000
74,Depreciation and Amortization,2914000,3538000,4517000,5703000,6376000,12400000,15329000,18651000,27962000,63999000,62820000,77626000,101271000,113661000,117767000
75,Deferred Income Tax,-14544000,3679000,1572000,1215000,2162000,83000,-2546000,-4640000,-10508000,5584000,-4597000,-23629000,-39630000,-8985000,-320000
76,Stock Based Compensation,21000,458000,780000,1731000,3062000,4342000,8738000,11423000,15161000,33276000,31331000,40245000,60444000,59637000,68020000
77,Change in Working Capital,2463000,21620000,5857000,35717000,-1337000,-46464000,11206000,150931000,-175123000,-45062000,33622000,46858000,-58897000,290117000,40585000
78,Accounts Receivable,50000,-796000,-1338000,- -,- -,1017000,-9566000,1788000,-9297000,1646000,-8121000,-12890000,1139000,-15055000,-16731000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-189000,151000,-475000,-185000,267000,640000,2914000,-659000,3128000,-462000,-442000,1743000,-2863000,-187000,1290000
81,Other Working Capital,-215000,21405000,27262000,62979000,61642000,15178000,26384000,177315000,2192000,-42870000,-9248000,37610000,-21287000,268830000,-2080000
82,Other Non-Cash Items,76000,-21372000,-3489000,-42273000,6853000,57715000,-7530000,-134542000,162500000,74585000,-11289000,-29470000,62320000,-281484000,11229000
83,Cash Provided by Operating Activities,14868000,13178000,8365000,1467000,24721000,28541000,28857000,55997000,24428000,76815000,108607000,117385000,108726000,169836000,250577000
84,CAPEX,-3481000,-4988000,-4384000,-5509000,-6280000,-7188000,-9268000,-9559000,-14716000,-22576000,-27569000,-44592000,-53943000,-66996000,-117418000
85,Acquisitions Net,- -,-7654000,-812000,-917000,-23719000,-62352000,-8992000,-59570000,-329805000,-33851000,-1450000,-195817000,-326165000,-35897000,-58720000
86,Purchases of Investments,- -,-7654000,-812000,- -,-162000,- -,- -,- -,-1500000,-2238000,-1450000,-1200000,-5250000,- -,- -
87,Sales/Maturities of Investments,- -,- -,210000,1015000,28000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2205000,5938000,-548000,-1430000,-1482000,-2524000,-3143000,-3382000,-4132000,-7871000,-11174000,-24138000,-24446000,-52011000,-93687000
89,Cash Used for Investing Activites,-3739000,-12706000,-5040000,-5501000,-30133000,-69707000,-18260000,-69129000,-344621000,-57927000,-29019000,-241679000,-375708000,-99996000,-176138000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-31500000,-20000000,-48000000,-98362000,-276168000,-269751000,-305000000,- -
91,Common Stock Issued,757000,17000,3000,42066000,- -,- -,1000,1000,2000,6000,5000,122704000,- -,4000,- -
92,Common Stock Repurchased,- -,-6086000,-248000,-3993000,-94000,-137000,-622000,-2062000,-7412000,-12414000,-13974000,-20816000,-23107000,- -,-4001000
93,Dividends Paid,- -,- -,- -,-1346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,8787000,- -,3450000,2747000,6377000,9983000,206505000,189567000,42394000,39891000,526574000,353323000,537946000,-25169000
95,Cash Used/Provided by Financing Activities,757000,2718000,-245000,40177000,2653000,6240000,9362000,172944000,162157000,-18014000,-72440000,352294000,60465000,232950000,-29170000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,-592000,-399000,-831000,-555000
97,Net Change In Cash,11886000,3190000,3080000,36143000,-2759000,-34926000,19959000,159812000,-158036000,874000,7523000,227408000,-206916000,301959000,44714000
98,Cash at the End of Period,25255000,28445000,31525000,67668000,64909000,29983000,49942000,209754000,51718000,52592000,60115000,289671000,82755000,384714000,429428000
99,Cash at the Beginning of Period,13369000,25255000,28445000,31525000,67668000,64909000,29983000,49942000,209754000,51718000,52592000,62263000,289671000,82755000,384714000
100,Free Cash Flow,11387000,8190000,3981000,-4042000,18441000,21353000,19589000,46438000,9712000,54239000,81038000,72793000,54783000,102840000,133159000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337619/000119312511071290/0001193125-11-071290-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312512107210/0001193125-12-107210-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000119312513259780/0001193125-13-259780-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000110465914020325/0001104659-14-020325-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000104746915001517/0001047469-15-001517-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837016003712/0001558370-16-003712-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837017002115/0001558370-17-002115-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000155837018001307/0001558370-18-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828019002344/0001628280-19-002344-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828020002576/0001628280-20-002576-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828021003457/0001628280-21-003457-index.htm,https://www.sec.gov/Archives/edgar/data/1337619/000162828022003985/0001628280-22-003985-index.htm
102,false,,,,,,,,,,,,,,,
