,https://roic.ai/company/MEEC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,70000,80000,82209,87055,142768,337719,350667,447773,1156948,1444420,29331788,33136492,34283631,39140243,44160298,50646328,75061800,76137894,76534957,77818780,77818780
28,Weighted Average Shares Outstanding Diluted,- -,70000,80000,82209,87055,142768,337719,350667,447773,1156948,1444420,29331788,33136492,34283631,39140243,44160298,50646328,75061800,76137894,76534957,77818780,77818780
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000072838508000008/dgco10ksb-071231.htm,https://www.sec.gov/Archives/edgar/data/728385/000072838509000008/0000728385-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000147793212004956/0001477932-12-004956-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793213001136/0001477932-13-001136-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793214001072/0001477932-14-001072-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793215006798/0001477932-15-006798-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793216009335/0001477932-16-009335-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793217001322/0001477932-17-001322-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793218001894/0001477932-18-001894-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793219001664/0001477932-19-001664-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793220002679/meec_10k.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793221002039/0001477932-21-002039-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793222002069/0001477932-22-002069-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10000,- -,- -,- -,54518,- -,10000,30000,180000,10000,100000,190000,510000,7212110,1083280,7751560,2418430,584880,1499290,591019,1388307
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10000,- -,- -,- -,54518,- -,10000,30000,180000,10000,100000,190000,510000,7212110,1083280,7751560,2418430,584880,1499290,591019,1388307
34,Net Receivables,- -,- -,- -,- -,- -,64408,60000,310000,160000,- -,- -,210000,270000,380000,410950,1150600,3553100,2931350,1642130,1222870,1116082,1015053
35,Inventory,- -,- -,- -,- -,- -,130168,50000,20000,- -,- -,- -,30000,40000,- -,5784910,2715910,609070,659580,509420,513500,560127,1075401
36,Other Current Assets,- -,- -,- -,- -,- -,253633,30000,10000,120000,160000,- -,30000,70000,70000,140560,161820,199490,348400,171080,316200,107443,312008
37,Total Current Assets,- -,10000,- -,- -,- -,502727,140000,350000,310000,340000,10000,370000,570000,960000,13548530,5111610,12113220,6357760,2907510,3551860,2374671,3790769
38,PP&E,- -,- -,- -,- -,- -,83016,250000,170000,20000,70000,40000,1570000,340000,170000,255330,1243450,2569350,2728990,2397690,3188920,2682898,2219642
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,796256,530000,400000,8640000,4690000,- -,80000,80000,70000,1221230,956250,695150,2969330,2733660,2532460,2318796,- -
41,Intangible Assets,- -,- -,- -,- -,- -,796256,530000,400000,8640000,4690000,- -,80000,80000,70000,1221230,956250,695150,2969330,2733660,2532460,2318796,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,48922,- -,-10000,-10000,-10000,10000,40000,160000,720000,13800,4060,500000,- -,10,- -,- -,2124372
45,Total Non-Current Assets,- -,- -,- -,- -,- -,928194,780000,560000,8650000,4750000,50000,1690000,580000,960000,1490360,2203760,3764500,5698320,5131360,5721380,5001694,4344014
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10000,- -,- -,- -,1430921,920000,910000,8960000,5090000,60000,2060000,1150000,1920000,15038890,7315370,15877720,12056080,8038870,9273240,7376365,8134783
48,Accounts Payable,- -,- -,- -,- -,- -,189095,360000,340000,200000,110000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1611956,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,50000,1068000,5000,- -,111000,200000,200000,350000,3080376,2497114,1539499,4022594,63424,1043304,29255,342884
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,80211,- -,69672,- -,- -,- -,- -,- -,- -,5808301,2281760,- -,517060,- -,- -,167000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,201145,840000,582328,845000,1060000,939000,2580000,2130000,1530000,2361023,2192646,5032511,2040206,2678106,2810226,1550572,15140081
53,Total Current Liabilities,- -,- -,- -,- -,- -,470451,1250000,2060000,1050000,1170000,1140000,2780000,2330000,1880000,11249700,6971520,6572010,6579860,2741530,3853530,3358783,15482965
54,Long-Term Debt,- -,- -,- -,- -,- -,362613,400000,440000,2370000,2500000,220000,- -,2570000,4680000,2438900,3265250,12963960,9901010,13918430,11157110,14521181,54551
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000,270000,5935010,10023600,-500000,- -,- -,3136250,2699933,2836743
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,362613,400000,440000,2370000,2500000,220000,- -,2710000,4950000,8373910,13288850,12963960,9901010,13918430,14293360,17221114,2891294
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1190716,802600,- -
61,Total Liabilities,- -,- -,- -,- -,- -,833064,1650000,2500000,3420000,3670000,1360000,2780000,5040000,6830000,19623610,20260370,19535970,16480870,16659960,18146890,20579897,18374259
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,83,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,10000,10000,36737,40000,40000,70000,160000,160000,30000,30000,40000,40230,47190,73510,76250,76250,76750,78096,89116
64,Retained Earnings,- -,-520000,-520000,-530000,-530000,-397862,-5480000,-7870000,-10840000,-20160000,-24280000,-10000000,-13880000,-18730000,-23738680,-38000210,-43763380,-46666650,-51483330,-57658480,-63484106,-67116913
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-20000,-100000,-20000,-40000,-70000,-20000,-410000,-580000,-831030,-956890,-1420760,-2067790,-2503990,-2707750,-2814993,- -
66,Other Total Stockholders Equity,- -,520000,- -,519765,523991,- -,4733483,6345238,16330549,21459545,22880951,9274777,10373962,14363652,19944755,25964912,40139386,44233404,45289974,51415829,53017471,56788321
67,Total Stockholders Equity,- -,10000,- -,-235,3991,597857,-726517,-1584762,5540632,1419548,-1309049,-715223,-3886038,-4906348,-4584725,-12944998,-4971244,-4424786,-8621096,-8873651,-13203532,-10239476
68,Total Liabilities And Stockholders Equity,- -,10000,- -,- -,- -,1430921,923483,915238,8960632,5089548,50951,2064777,1153962,1923652,15038885,7315372,14564726,12056084,8038864,9273239,7376365,8134783
69,Minority Interest,- -,- -,- -,- -,- -,- -,-3483,-5238,-632,452,9049,-4777,-3962,-3652,5,-2,1312994,-4,6,1,- -,- -
70,Total Liabilities & Equity,- -,10000,- -,- -,- -,1430921,920000,910000,8960000,5090000,60000,2060000,1150000,1920000,15038890,7315370,15877720,12056080,8038870,9273240,7376365,8134783
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000072838508000008/dgco10ksb-071231.htm,https://www.sec.gov/Archives/edgar/data/728385/000072838509000008/0000728385-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000147793212004956/0001477932-12-004956-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793213001136/0001477932-13-001136-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793214001072/0001477932-14-001072-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793215006798/0001477932-15-006798-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793216009335/0001477932-16-009335-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793217001322/0001477932-17-001322-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793218001894/0001477932-18-001894-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793219001664/0001477932-19-001664-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793220002679/meec_10k.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793221002039/0001477932-21-002039-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793222002069/0001477932-22-002069-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-10000,- -,- -,- -,-357561,-5080000,-2390000,-2980000,-9310000,-4120000,-9500000,-3880000,-4850000,-5007560,-14261530,-15617570,-2903270,-4816680,-6097290,-5825622,-3632683
74,Depreciation and Amortization,- -,- -,- -,- -,- -,125446,186606,269438,847384,145052,27007,22626,417735,176394,256144,131735,469748,1353973,658114,894369,713047,2655662
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,500000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,162654,2236141,1349087,4186823,358734,963756,3318759,789087,1158617,1532013,490520,1810267,1710226,967967
77,Change in Working Capital,- -,- -,-10000,- -,- -,-716090,-1142276,-600000,970000,-90000,-300000,-1280000,650000,840000,3218830,-4158740,7401120,-5763310,388080,-467650,-682442,-10708084
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,143237,161604,-329,-206545,-67919,-109395,-177091,-739652,-2590719,621743,1289227,419252,106792,101029
79,Inventory,- -,- -,- -,- -,- -,-130168,79463,35269,15436,- -,- -,-30622,-7371,37993,-5784905,3068992,2106841,-50507,150163,-4082,-46629,-515274
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147301,-13465,- -,- -,- -,- -,- -,82025,-426638,-64802,- -
81,Other Working Capital,- -,10000,- -,- -,- -,32276,-1110000,-1710000,-740000,-830000,-1130000,-2410000,-1760000,-920000,2298830,-1859910,5541210,-222100,165980,-301670,-984112,-11692196
82,Other Non-Cash Items,- -,10000,10000,-2082,-3009,642528,5287852,1871968,73627,4958968,2594101,5110337,-106736,1323321,-4750573,14761481,10314134,4808930,2214508,2283356,2845706,10923118
83,Cash Provided by Operating Activities,- -,- -,- -,-2082,-3009,-305677,-747818,-848594,-926335,-2059839,-449805,-1460214,-2560267,-1546529,-2964400,-2737967,3226049,-471664,-1065458,-1576948,-1239085,205980
84,CAPEX,- -,- -,- -,- -,- -,-451390,-32151,-14766,-5540,-327988,-2762,-1404567,-8244,- -,-297870,-956605,-1686344,-3306460,-131915,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,43408,-134599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,140000,- -,-2010,-8474,62500,11150,- -,- -,- -,- -,- -,-2500000,- -,30000,42500,-10975
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-407982,-26750,-14766,-5540,-73962,59738,-1393417,-8244,- -,-297870,-956605,-1686344,-3306460,-131915,30000,42500,-10975
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-600000,-3011574,-7031938,-1555006,-936177,-138642,-210985,- -
91,Common Stock Issued,- -,- -,- -,- -,7000,- -,273400,270610,347500,4000,- -,1763889,213500,- -,1058073,- -,13523190,- -,- -,- -,- -,4440000
92,Common Stock Repurchased,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,760321,450000,595000,613200,2277312,221000,1182145,2444665,2016767,9506706,577312,-1362680,- -,300000,2600000,499300,-3837717
95,Cash Used/Provided by Financing Activities,- -,10000,- -,- -,7000,760321,723400,865610,960700,2281312,221000,2946034,2658165,1866767,9964779,-2434262,5128572,-1555006,-636177,2461358,288315,602283
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-213,-492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,10000,- -,- -,7000,46662,-51168,2250,28825,147298,-169558,92403,89654,320238,6702509,-6128834,6668277,-5333130,-1833550,914410,-908268,797288
98,Cash at the End of Period,- -,10000,10000,- -,3991,54518,3350,5600,34425,181723,12165,99713,189367,509605,7212114,1083280,7751557,2418427,584877,1499287,591019,1388307
99,Cash at the Beginning of Period,- -,- -,10000,2082,- -,7856,54518,3350,5600,34425,181723,7310,99713,189367,509605,7212114,1083280,7751557,2418427,584877,1499287,591019
100,Free Cash Flow,- -,- -,- -,-2082,-3009,-757067,-779969,-863360,-931875,-2387827,-452567,-2864781,-2568511,-1546529,-3262270,-3694572,1539705,-3778124,-1197373,-1576948,-1239085,205980
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000072838508000008/dgco10ksb-071231.htm,https://www.sec.gov/Archives/edgar/data/728385/000072838509000008/0000728385-09-000008-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/728385/000147793212004956/0001477932-12-004956-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793213001136/0001477932-13-001136-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793214001072/0001477932-14-001072-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793215006798/0001477932-15-006798-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793216009335/0001477932-16-009335-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793217001322/0001477932-17-001322-index.html,https://www.sec.gov/Archives/edgar/data/728385/000147793218001894/0001477932-18-001894-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793219001664/0001477932-19-001664-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793220002679/meec_10k.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793221002039/0001477932-21-002039-index.htm,https://www.sec.gov/Archives/edgar/data/728385/000147793222002069/0001477932-22-002069-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
