,https://roic.ai/company/CIVI,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,226023000,14563000,96920000,116598000,224647000,158796000,274599000
84,CAPEX,- -,-445109000,-52788000,-46649000,-267510000,-256915000,-63799000,4786000
85,Acquisitions Net,- -,1549000,- -,-82091000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-9125000,-14672000,3086000,103134000,1757000,- -,68761000
89,Cash Used for Investing Activites,- -,-452573000,-67460000,-125654000,-164376000,-255158000,-63799000,73547000
90,Debt Repayment,- -,-91000000,-96333000,-6554000,-90000000,-25000000,-125102000,-21000
91,Common Stock Issued,- -,209308000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-7297000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-60780000
94,Other Financing Activites,- -,126999000,208395000,-801000,137998000,53604000,43855000,-57634000
95,Cash Used/Provided by Financing Activities,- -,245307000,112062000,-14652000,47998000,28604000,-81247000,-118435000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,18757000,59165000,-43386000,220000,-1907000,13750000,229711000
98,Cash at the End of Period,- -,21341000,80747000,7297000,13002000,11095000,24845000,254556000
99,Cash at the Beginning of Period,- -,2584000,21582000,50683000,12782000,13002000,11095000,24845000
100,Free Cash Flow,- -,-219086000,-38225000,50271000,-150912000,-32268000,94997000,279385000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1608638/000160863817000027/0001608638-17-000027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1509589/000150958921000015/0001509589-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1509589/000150958922000044/0001509589-22-000044-index.htm
102,false,,,,,,,,
