,https://roic.ai/company/ATHE,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,12550983,11418522,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43988,43988,45462,43988,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-1,-1,- -,1,- -,35240,35164,35164,37837,37837,- -,-1,-1,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,12692172,11598392,165539,102438,47882,104537,106314,93691,78746,85888,90881,91545,90189,68213,30815,71422,48748,71369,96808
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,16341277,41163692,22198618,10427481,7720579,11723434,4597250,6801417,9010952,7341868,17073821,41640855,41834382,33725020,25280946,18726013,19909918,9907718,33585754
48,Accounts Payable,- -,- -,- -,- -,- -,539611,2645772,2560737,952724,459894,850937,604142,1244417,658698,202347,278641,651152,362493,311719,65049,1333890,1693885,954033,1448546
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285785,299012,802641,- -,- -,- -,- -,- -,- -,32879,27746
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33332,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,23761,42339,78282,663288,1278819,121342,194903,256074,1130881,1210124,1984361,3300388,2356213,2045618,1525423,1310050,1626284,1727610,1591331
53,Total Current Liabilities,- -,- -,- -,- -,- -,563372,2688110,2639019,1616012,1738713,972278,799045,1500491,2075364,1711483,3098975,3951540,2718706,2357337,1590472,2643940,3320169,2714522,3067623
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,868,37903
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1169,8241,45017,76813,370839,863642,48389,71610,4386,6938,133,3028,2412,470,440,916,34976,41514,9768
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1169,8241,45017,76813,370839,863642,48389,71610,4386,6938,133,3028,2412,470,440,916,34976,42382,47671
59,Other Liabilities,- -,- -,- -,- -,- -,- -,16483,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33747,65649
61,Total Liabilities,- -,- -,- -,- -,- -,564541,2696352,2684036,1692825,2109552,1835921,847434,1572101,2079750,1718421,3099108,3954568,2721118,2357807,1590912,2644856,3355145,2756904,3115294
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,16691332,49204619,55180644,55131167,- -,- -,- -,- -,- -,- -,101379111,140009415,146895714,146879214,144018006,143910328,156632636,160703754,197447990
64,Retained Earnings,- -,- -,- -,- -,- -,-15533020,-25310111,-50268445,2868991,4105967,-66185535,-73566505,-78473427,-84904612,-90144081,-97931323,-111260562,-117145631,-124875182,-122648452,-129583125,-141236838,-154419061,-169728414
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-229865,14572832,14602384,-49265502,-52472121,6080769,-525767,-329646,9494995,9633451,10526925,8937434,9363181,9363181,2320480,1753954,1158975,866121,2750884
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,14848288,- -,-1,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,15776736,38467341,19514582,8734656,5611027,9887513,3749816,5229316,6931202,5623447,13974713,37686287,39113264,31367213,23690034,16081157,16554773,7150814,30470460
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,16341277,41163692,22198618,10427481,7720579,11723434,4597250,6801417,9010952,7341868,17073821,41640855,41834382,33725020,25280946,18726013,19909918,9907718,33585754
69,Minority Interest,- -,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,16341277,41163692,22198618,10427481,7720579,11723434,4597250,6801417,9010952,7341868,17073821,41640855,41834382,33725020,25280946,18726013,19909918,9907718,33585754
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131343/000121390020026557/0001213900-20-026557-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-5451373,-4571229,-9825533,-24907010,-11726433,-11140002,-13589797,-7522789,-4906922,-6431185,-5239469,-7787242,-13329239,-5885069,-7729551,-7542076,-8265737,-12337830,-13456800,-15309353
74,Depreciation and Amortization,- -,- -,- -,- -,1161212,1182452,1187744,1160493,118268,58570,25404,34190,35290,31577,19621,23130,22384,31587,22810,21328,21799,29696,112427,75369
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,893477,- -,468835,-16500,24460,764539,89138,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,377871,-372882,2163883,233236,-638927,137119,-841163,-23115,-569802,1538301,-1865116,-1167551,-2117961,-446852,1255435,975189,956094,-1331943,4188244,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299,-2548,-1547463,-1973102,- -,764255,1734389,1746152,-116837,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,640275,155167,-435779,817041,- -,-1206343,-403449,-856131,1162812,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26052,83242,32849,84392,-3333,45382,49576,78503,59215,52214,89237,-108869,47362,16582,- -
82,Other Non-Cash Items,- -,- -,- -,- -,144307,181704,1158986,12140852,588794,1746476,4994000,517540,732495,302892,239058,86932,1888593,-5039575,-950720,656019,278117,-403879,-274993,15233984
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-3767983,-3579956,-5314920,-11372429,-11658297,-9197836,-9411557,-6994174,-4708939,-4558415,-6845906,-7951254,-13536223,-10871074,-7418526,-5865080,-6245188,-13954818,-9431122,- -
84,CAPEX,- -,- -,- -,- -,-84277,-87668,-133545,-50261,-55659,-4558,-46706,-36192,-22667,-13691,-26763,-22000,-23048,-28757,-2307,-27918,-62405,-7022,-16744,-3000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6151,- -,-154077,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1474,- -,43988,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,375,299,-35239,- -,- -,-2673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-84277,-87668,-133545,-50261,-55285,-4259,-81946,-36192,-22667,-16364,-26763,-28151,-23048,-182834,-833,-27918,-18417,-7022,-16744,-3000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-810164,- -,- -,- -,- -,- -,-89241,- -
91,Common Stock Issued,- -,- -,- -,- -,580656,3702768,34405724,4734024,- -,7781867,14328322,- -,6000000,- -,3843495,16260806,37363075,7128142,- -,- -,- -,13084629,4363886,39237000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-143572,-2817711,-48379,-2021,-408676,-581619,100807,-344056,8335258,-221472,-678775,-1592119,-284931,- -,-159564,-107678,-362320,-292768,-2449000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,580656,3559196,31588013,4685645,-2021,7373191,13746703,100807,5655944,8335258,3622023,15582031,34960792,6843211,- -,-159564,-107678,12722309,3981877,36788000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-12444,-181657,-1357037,269124,-775077,-435241,15501,-2017,-149532,48870,107665,-581263,4953253,950720,-656019,-278118,403879,262977,-366000
97,Net Change In Cash,- -,- -,- -,- -,-3271604,-120871,25957889,-8094081,-11446479,-2603981,3817960,-6914058,922321,3610947,-3201776,7710291,20820258,742556,-6316036,-6708581,-6649401,-835652,-5203012,18919000
98,Cash at the End of Period,- -,- -,- -,- -,3586926,3453501,29400621,21366159,10019865,7407715,11243126,4304977,5227298,8838245,5636469,13346760,34167018,34909574,28593538,21884957,15235556,14399904,9196892,28116000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6858530,3574372,3442732,29460240,21466344,10011695,7425167,11219035,4304977,5227298,8838245,5636469,13346760,34167018,34909574,28593538,21884957,15235556,14399904,9197000
100,Free Cash Flow,- -,- -,- -,- -,-3852260,-3667624,-5448466,-11422690,-11713956,-9202394,-9458263,-7030366,-4731606,-4572106,-6872669,-7973254,-13559271,-10899831,-7420833,-5892998,-6307593,-13961840,-9447866,-17503000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131343/000121390020026557/0001213900-20-026557-index.htm,- -
102,Forex Rate,0.6208,0.6683,0.5967,0.5114,0.5635,0.6737,0.6985,0.7625,0.7423,0.8488,0.9579,0.8069,0.84,1.0717,1.0233,0.9136,0.943,0.7704,0.745,0.7686,0.7402,0.702,0.6902,0.7498
