,https://roic.ai/company/FF,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337298/000106880010000022/0001068800-10-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000106880011000032/0001068800-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774912002346/0001437749-12-002346-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774913003131/0001437749-13-003131-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774914004351/0001437749-14-004351-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774915004958/0001437749-15-004958-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774916027311/0001437749-16-027311-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774917004710/0001437749-17-004710-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1337298/000143774919005063/0001437749-19-005063-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774920005193/0001437749-20-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774921006178/0001437749-21-006178-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774922006298/0001437749-22-006298-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,2717000,8408000,22675000,16992000,23094000,34509000,34304000,74034000,53200000,46421000,56341000,23511000,53158000,88181000,46564000,26255000
74,Depreciation and Amortization,630000,4712000,5800000,7517000,7564000,9098000,10454000,10316000,8981000,10187000,10819000,11617000,10969000,12087000,11150000,- -
75,Deferred Income Tax,-956000,2330000,3053000,- -,- -,2846000,1827000,-1972000,5388000,-3721000,-5271000,-13657000,-1253000,-5145000,-610000,- -
76,Stock Based Compensation,- -,- -,849000,873000,- -,502000,281000,- -,1440000,2043000,1908000,998000,357000,21000,49000,- -
77,Change in Working Capital,-15369000,-1780000,15174000,-3534000,68805000,35231000,-29024000,65190000,36486000,31893000,-50038000,13844000,47762000,75287000,-88509000,- -
78,Accounts Receivable,-20434000,6389000,-2534000,-1711000,-13406000,-512000,12895000,-10467000,-18059000,4979000,21585000,2606000,4000000,-96728000,92041000,58000
79,Inventory,-1256000,-977000,-4149000,1141000,-10929000,-20067000,15447000,-172000,-3189000,-19604000,12864000,8339000,4458000,1723000,3684000,- -
80,Accounts Payable,2836000,-314000,1011000,1071000,272000,6592000,-5212000,-692000,17514000,1388000,-10633000,-4474000,1749000,41019000,-48910000,7911000
81,Other Working Capital,92830000,91050000,106224000,102690000,171495000,206726000,177702000,242892000,279378000,311271000,261233000,275077000,322839000,398126000,309617000,220777000
82,Other Non-Cash Items,484000,7884000,-11276000,4035000,-81624000,-31757000,47046000,-85114000,-53543000,-47200000,77216000,3034000,-25380000,-135793000,127759000,-26255000
83,Cash Provided by Operating Activities,-12494000,21554000,36275000,25883000,17839000,50429000,64888000,62454000,51952000,39623000,90975000,39347000,85613000,34638000,96403000,- -
84,CAPEX,-3269000,-17710000,-16346000,-23162000,-9671000,-23208000,-9112000,-18542000,-8117000,-8630000,-4495000,-3581000,-4867000,-6971000,-4464000,- -
85,Acquisitions Net,-72634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-14803000,-71204000,-23964000,-50151000,-87320000,-59895000,-49348000,-42354000,-39136000,-61199000,-32860000,-19664000,-20242000,-5073000,- -
87,Sales/Maturities of Investments,- -,- -,39557000,63581000,49812000,40196000,36147000,43722000,57098000,49785000,30487000,23254000,49915000,31419000,9961000,- -
88,Other Investing Activites,-9985000,-15175000,-20362000,-16935000,-30428000,-4243000,-8865000,-18485000,-8036000,-8624000,-4495000,-3577000,-4845000,-6958000,-4414000,- -
89,Cash Used for Investing Activites,-82619000,-29978000,-52009000,21430000,-30767000,-51367000,-32613000,-24111000,6708000,2025000,-35207000,-13183000,25406000,4219000,474000,- -
90,Debt Repayment,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8180000,- -
91,Common Stock Issued,169382000,- -,8169000,- -,70736000,15872000,3149000,19292000,- -,- -,213000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-19705000,-8457000,-31053000,-16254000,-66538000,-29904000,-20928000,-10493000,-10493000,-110688000,-10498000,-10498000,-141728000,- -
94,Other Financing Activites,-10468000,-50000,70000,-799000,-1210000,8000,106000,-5000,-116000,-1185000,-265000,-121000,-176000,- -,7822000,- -
95,Cash Used/Provided by Financing Activities,158214000,-50000,-11466000,-9256000,38473000,-374000,-63283000,-10617000,-21044000,-11678000,-10545000,-110809000,-10674000,-10498000,-142086000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,63101000,-8474000,-27200000,38057000,25545000,-1312000,-31008000,27726000,37616000,29970000,45223000,-84645000,100345000,28359000,-45209000,- -
98,Cash at the End of Period,63129000,54655000,27455000,65512000,91057000,89745000,58737000,86463000,124079000,154049000,199272000,114627000,214972000,243331000,198122000,- -
99,Cash at the Beginning of Period,28000,63129000,54655000,27455000,65512000,91057000,89745000,58737000,86463000,124079000,154049000,199272000,114627000,214972000,243331000,137521000
100,Free Cash Flow,-15763000,3844000,19929000,2721000,8168000,27221000,55776000,43912000,43835000,30993000,86480000,35766000,80746000,27667000,91939000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337298/000106880010000022/0001068800-10-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000106880011000032/0001068800-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774912002346/0001437749-12-002346-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774913003131/0001437749-13-003131-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774914004351/0001437749-14-004351-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774915004958/0001437749-15-004958-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774916027311/0001437749-16-027311-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774917004710/0001437749-17-004710-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1337298/000143774919005063/0001437749-19-005063-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774920005193/0001437749-20-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774921006178/0001437749-21-006178-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774922006298/0001437749-22-006298-index.htm
102,false,,,,,,,,,,,,,,,,
