,https://roic.ai/company/VMD,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,24679000,37691000,53525000,82596000,112560000,117962000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24679000,37691000,53525000,82596000,112560000,117962000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729149/000172914920000005/0001729149-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1729149/000172914921000049/0001729149-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1729149/000172914922000020/0001729149-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,1228000,8176000,10177000,8525000,31530000,9126000
74,Depreciation and Amortization,1424000,2543000,3783000,6400000,9582000,11312000
75,Deferred Income Tax,- -,- -,- -,- -,-8733000,3884000
76,Stock Based Compensation,- -,828000,2702000,3886000,4882000,5150000
77,Change in Working Capital,-564000,1824000,2130000,-4083000,22259000,-13561000
78,Accounts Receivable,-1123000,-10130000,-5253000,-12506000,-9955000,-7345000
79,Inventory,-111000,5000,-1254000,-306000,-2303000,-212000
80,Accounts Payable,1435000,900000,2498000,783000,213000,133000
81,Other Working Capital,2028000,3852000,5982000,1899000,24158000,-1889000
82,Other Non-Cash Items,4326000,-1347000,3576000,4359000,-24410000,6583000
83,Cash Provided by Operating Activities,6414000,12024000,22368000,19087000,35110000,22494000
84,CAPEX,-1674000,-4003000,-6114000,-13385000,-13044000,-19743000
85,Acquisitions Net,- -,- -,- -,- -,-629000,-599000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,738000,430000,813000,574000,5258000,596000
89,Cash Used for Investing Activites,-936000,-3573000,-5301000,-12811000,-8415000,-19746000
90,Debt Repayment,-4287000,-7692000,-10162000,-12045000,-10945000,-3999000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1594000,-1522000,- -,-1434000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4000,10233000,1876000,112000
95,Cash Used/Provided by Financing Activities,-4287000,-7692000,-11752000,-3334000,-9069000,-5321000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1191000,759000,5315000,2942000,17626000,-2573000
98,Cash at the End of Period,4339000,5098000,10413000,13355000,30981000,28408000
99,Cash at the Beginning of Period,3148000,4339000,5098000,10413000,13355000,30981000
100,Free Cash Flow,4740000,8021000,16254000,5702000,22066000,2751000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729149/000172914920000005/0001729149-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1729149/000172914921000049/0001729149-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1729149/000172914922000020/0001729149-22-000020-index.htm
102,false,,,,,,
