,https://roic.ai/company/RXT,2017,2018,2019,2020,2021
47,Total Assets,- -,6111400000,6272400000,6377800000,6328700000
48,Accounts Payable,- -,233500000,260400000,285400000,369500000
49,Short-Term Debt,- -,34000000,29000000,43400000,148000000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,57400000,66600000,76700000,98600000
52,Other Current Liabilities,- -,240600000,315900000,336700000,221300000
53,Total Current Liabilities,- -,565500000,671900000,742200000,837400000
54,Long-Term Debt,- -,3927600000,3844300000,3319300000,3770800000
55,Deferred Revenue,- -,- -,- -,236000000,- -
56,Deferred Tax Liabilities,- -,362400000,326900000,236700000,205800000
57,Other Non-Current Liabilities,- -,348100000,530500000,459900000,187300000
58,Total Non-Current Liabilities,- -,4638100000,4701700000,4251900000,4163900000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,337300000,444100000,661400000,584900000
61,Total Liabilities,- -,5203600000,5373600000,4994100000,5001300000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1600000,1600000,2000000,2100000
64,Retained Earnings,- -,-671100000,-717500000,-963300000,-1181600000
65,Other Comprehensive Income/Loss,- -,-1091200000,-1255200000,-18000000,6900000
66,Other Total Stockholders Equity,- -,2668500000,2869900000,2363000000,2500000000
67,Total Stockholders Equity,- -,907800000,898800000,1383700000,1327400000
68,Total Liabilities And Stockholders Equity,- -,6111400000,6272400000,6377800000,6328700000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6111400000,6272400000,6377800000,6328700000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000023/0001810019-22-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000036/0001810019-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-59900000,-470600000,-102300000,-245800000,-218300000
74,Depreciation and Amortization,757900000,611000000,566500000,536900000,490700000
75,Deferred Income Tax,-306900000,-24600000,-40700000,-73600000,-41500000
76,Stock Based Compensation,10200000,20000000,30200000,74500000,75400000
77,Change in Working Capital,-141700000,113700000,-177000000,144500000,-30000000
78,Accounts Receivable,-42900000,-32300000,-42200000,-156000000,-69500000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-7000000,88100000
81,Other Working Capital,-64900000,48800000,-128200000,16300000,3300000
82,Other Non-Cash Items,32100000,180300000,16200000,-319800000,94500000
83,Cash Provided by Operating Activities,291700000,429800000,292900000,116700000,370800000
84,CAPEX,-189500000,-294300000,-198000000,-116500000,-108400000
85,Acquisitions Net,- -,-65000000,-316000000,-10000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-1036700000,11000000,127500000,-1900000,39400000
89,Cash Used for Investing Activites,-1226200000,-348300000,-386500000,-128400000,-69000000
90,Debt Repayment,-70300000,-56900000,-362000000,-1529000000,-2984400000
91,Common Stock Issued,9700000,3200000,- -,657800000,- -
92,Common Stock Repurchased,- -,- -,-3300000,-2100000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,928100000,- -,286100000,903200000,2852200000
95,Cash Used/Provided by Financing Activities,867500000,-53700000,-79200000,29900000,-132200000
96,Effect of Forex Changes on Cash,3700000,-4500000,1700000,2800000,-2300000
97,Net Change In Cash,-63300000,23300000,-171100000,21000000,167300000
98,Cash at the End of Period,234900000,258200000,87100000,108100000,275400000
99,Cash at the Beginning of Period,298200000,234900000,258200000,87100000,108100000
100,Free Cash Flow,102200000,135500000,94900000,200000,262400000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000023/0001810019-22-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000036/0001810019-22-000036-index.htm
102,false,,,,,
