,https://roic.ai/company/AWX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,879000,538000,254000,204000,195000,344000,599000,435000,49000,33000,24000,5000,2000,1000,1000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,15000,14000,15000,16000,14000,15000,14000,14000,13000,22000,58000,147000,379000,699000,675000,837000,1210000,1158000
14,Depreciation and Amortization,2600000,3000000,3265000,3129000,2558000,2070000,895000,985000,1035000,1099000,1546000,1688000,1684000,1663000,1635000,1636000,2155000,2560000,2816000,2996000,2877000,2522000,2909000,3112000
15,EBITDA,2200000,5200000,89000,-1806000,-3117000,-1600000,-1745000,1402000,2390000,2613000,2334000,953000,1196000,2542000,1393000,2193000,1206000,2054000,3251000,3510000,2575000,3064000,4231000,6330000
16,EBITDA ratio,0.0295,0.0643,0.0011,-0.0235,-0.0468,-0.0299,-0.0582,0.0410,0.0608,0.0575,0.0477,0.0258,0.0275,0.0471,0.0285,0.0369,0.0234,0.0387,0.0530,0.0628,0.0414,0.0448,0.0721,0.0899
17,Operating Income,-1500000,1100000,-2704000,-5444000,-5406000,-2431000,-1215000,48000,11000,846000,526000,-978000,-765000,78000,-501000,271000,-1396000,-1302000,-186000,-271000,-2698000,133000,124000,561000
18,Operating Income ratio,-0.0201,0.0136,-0.0321,-0.0707,-0.0812,-0.0454,-0.0405,0.0014,0.0003,0.0186,0.0107,-0.0265,-0.0176,0.0014,-0.0102,0.0046,-0.0271,-0.0245,-0.0030,-0.0049,-0.0434,0.0019,0.0021,0.0080
19,Total Other Income Expenses (Gains),1100000,1100000,-472000,509000,675000,506000,370000,506000,872000,539000,248000,228000,263000,787000,246000,264000,211000,139000,-98000,-423000,-391000,-508000,-72000,1175000
20,Income Before Tax,-400000,2200000,-3176000,-4935000,-4731000,-1925000,-845000,554000,883000,1385000,774000,-750000,-502000,865000,-255000,535000,-1185000,-1163000,-284000,-694000,-3089000,-375000,52000,1736000
21,Income Before Tax Ratio,-0.0054,0.0272,-0.0377,-0.0641,-0.0710,-0.0360,-0.0282,0.0162,0.0225,0.0305,0.0158,-0.0203,-0.0116,0.0160,-0.0052,0.0090,-0.0230,-0.0219,-0.0046,-0.0124,-0.0496,-0.0055,0.0009,0.0247
22,Income Tax expense (Gain),200000,1000000,-743000,-1605000,163000,-26000,- -,13000,13000,40000,36000,24000,41000,89000,71000,97000,73000,59000,125000,122000,167000,160000,98000,89000
23,Net Income,-600000,1200000,-2433000,-3330000,-5838000,-3644000,-2655000,390000,1327000,1458000,738000,-774000,-543000,776000,-326000,438000,-1080000,-712000,-69000,-307000,-1144000,-455000,14000,1971000
24,Net Income ratio,-0.0081,0.0148,-0.0289,-0.0432,-0.0877,-0.0681,-0.0885,0.0114,0.0337,0.0321,0.0151,-0.0210,-0.0125,0.0144,-0.0067,0.0074,-0.0210,-0.0134,-0.0011,-0.0055,-0.0184,-0.0067,0.0002,0.0280
25,EPS,-0.17,0.32,-0.64,-0.88,-1.54,-0.96,-0.70,0.10,0.35,0.38,0.19,-0.20,-0.14,0.20,-0.09,0.12,-0.28,-0.19,-0.02,-0.08,-0.30,-0.12,0.00,0.51
26,EPS Diluted,-0.17,0.32,-0.64,-0.88,-1.54,-0.96,-0.70,0.10,0.35,0.38,0.19,-0.20,-0.14,0.20,-0.09,0.11,-0.28,-0.19,-0.02,-0.08,-0.30,-0.12,0.00,0.51
27,Weighted Average Shares Outstanding,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3814000,3875000,3876000,3876000
28,Weighted Average Shares Outstanding Diluted,4000000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3803000,3852000,3803000,4090000,3803000,3803000,3803000,3803000,3814000,3875000,3878000,3878000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061069/000119312504051725/0001193125-04-051725-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312505065174/0001193125-05-065174-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312506058954/0001193125-06-058954-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312507059373/0001193125-07-059373-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312508061656/0001193125-08-061656-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312509059700/0001193125-09-059700-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312510060608/0001193125-10-060608-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312511064059/0001193125-11-064059-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774912002363/0001437749-12-002363-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774913002939/0001437749-13-002939-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774914005016/0001437749-14-005016-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774915004919/0001437749-15-004919-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774916027847/0001437749-16-027847-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774917004731/0001437749-17-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774918004696/0001437749-18-004696-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774919004948/0001437749-19-004948-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774920004979/0001437749-20-004979-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774921005722/0001437749-21-005722-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774922005883/0001437749-22-005883-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22300000,18700000,11022000,5092000,2595000,4656000,7861000,7759000,13251000,5086000,3061000,5862000,5565000,7324000,7888000,9798000,4329000,1814000,2299000,1025000,1406000,1446000,4210000,3254000
32,Short-Term Investments,- -,- -,759000,1939000,5965000,- -,1598000,4433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22300000,18700000,11781000,7031000,8560000,4656000,9459000,12192000,13251000,5086000,3061000,5862000,5565000,7324000,7888000,9798000,4329000,1814000,2299000,1025000,1406000,1446000,4210000,3254000
34,Net Receivables,16200000,16600000,16156000,14749000,11776000,7803000,5299000,5639000,7672000,7704000,9304000,7119000,8216000,12887000,9253000,10204000,8758000,9612000,11349000,10486000,12751000,12611000,9329000,10511000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,830000,773000,850000,820000,813000,910000,1105000
36,Other Current Assets,2200000,2400000,3015000,3355000,2330000,5020000,2113000,504000,447000,653000,945000,859000,941000,998000,1045000,1179000,519000,532000,497000,546000,653000,740000,810000,1101000
37,Total Current Assets,40700000,37700000,30952000,25135000,22666000,17479000,16871000,18335000,21370000,13443000,13310000,13840000,14722000,21209000,18186000,21181000,14553000,12788000,14918000,12907000,15630000,15610000,15259000,15971000
38,PP&E,23300000,26200000,30099000,28205000,28303000,21871000,17774000,17571000,24512000,34327000,35319000,33851000,32579000,32063000,31857000,34282000,42372000,49428000,50006000,49575000,48602000,56322000,58762000,60326000
39,Goodwill,- -,- -,- -,538000,538000,538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2500000,2300000,1082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,2500000,2300000,1082000,538000,538000,538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,25000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
44,Other Non-Current Assets,200000,200000,177000,6089000,139000,9166000,8895000,7682000,69000,60000,59000,58000,28000,87000,104000,108000,911000,78000,2966000,2888000,529000,7224000,3921000,1732000
45,Total Non-Current Assets,26000000,28700000,31358000,34832000,28980000,31575000,26669000,25253000,24581000,34406000,35403000,33917000,32615000,32158000,31969000,34398000,43291000,49514000,52980000,52471000,49139000,63554000,62691000,62066000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66700000,66400000,62310000,59967000,51646000,49054000,43540000,43588000,45951000,47849000,48713000,47757000,47337000,53367000,50155000,55579000,57844000,62302000,67898000,65378000,64769000,79164000,77950000,78037000
48,Accounts Payable,6300000,6000000,5242000,7246000,5852000,5938000,3797000,3837000,4723000,5013000,4831000,5119000,5173000,9643000,6677000,8101000,6429000,8022000,9387000,7832000,10454000,11719000,9097000,10164000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1000,1000,40000,1000,1000,1000,1000,1000,2000,56000,58000,59000,629000,759000,814000,1823000,2456000,1827000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000,269000,280000,305000,308000,387000,380000,496000,398000,489000,527000,504000,608000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988000,2105000,2180000,2265000,2256000,2401000,2716000,2718000,2899000,3153000,3196000,3363000
52,Other Current Liabilities,5400000,4800000,3981000,3502000,3029000,4196000,3228000,2867000,2893000,3168000,3477000,3008000,970000,1441000,1215000,1222000,1808000,1665000,1944000,1795000,2154000,2327000,2434000,2670000
53,Total Current Liabilities,11700000,10800000,9223000,10748000,8881000,10134000,7026000,6705000,7656000,8182000,8309000,8128000,8132000,13190000,10074000,11644000,10551000,12147000,14676000,13104000,16321000,19022000,17183000,18024000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,7975000,11294000,10745000,10167000,21570000,21941000,20936000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,50000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1200000,1400000,1239000,701000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -
57,Other Non-Current Liabilities,900000,- -,120000,120000,131000,- -,255000,242000,317000,231000,230000,229000,228000,227000,224000,465000,433000,374000,552000,957000,788000,1608000,1851000,100000
58,Total Non-Current Liabilities,2100000,1400000,1359000,821000,131000,- -,255000,242000,317000,231000,230000,229000,228000,227000,224000,465000,4371000,8399000,11846000,11702000,10955000,23178000,23800000,21036000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,234000,233000,317000,231000,231000,230000,229000,228000,226000,446000,391000,333000,564000,1069000,924000,2316000,2621000,2261000
61,Total Liabilities,13800000,12200000,10582000,11569000,9012000,10134000,7281000,6947000,7973000,8413000,8539000,8357000,8360000,13417000,10298000,12109000,14922000,20546000,26522000,24806000,27276000,42200000,40983000,39060000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,39000,39000,39000,39000
64,Retained Earnings,-5200000,-4000000,-6406000,-9736000,-15574000,-19218000,-21873000,-21483000,-20156000,-18698000,-17960000,-18734000,-19277000,-18501000,-18827000,-18389000,-19469000,-20181000,-20250000,-20557000,-21701000,-22156000,-22142000,-20171000
65,Other Comprehensive Income/Loss,-15300000,-16600000,-16670000,-17494000,74000,4000,-2000,-10000,-6552000,-7630000,-9145000,-9042000,-10223000,-11321000,-15429000,-16953000,-19039000,-21543000,-20000000,-27038000,-27246000,-29640000,- -,- -
66,Other Total Stockholders Equity,73400000,74800000,74766000,75590000,58096000,58096000,58096000,58096000,64648000,65726000,67241000,67138000,68439000,69734000,74075000,75724000,77907000,80467000,78953000,86003000,86387000,88787000,59196000,59201000
67,Total Stockholders Equity,52900000,54200000,51728000,48398000,42634000,38920000,36259000,36641000,37978000,39436000,40174000,39400000,38977000,39950000,39857000,40420000,39437000,38781000,38741000,38446000,37479000,37030000,37093000,39069000
68,Total Liabilities And Stockholders Equity,66700000,66400000,62310000,59967000,51646000,49054000,43540000,43588000,45951000,47849000,48713000,47757000,47337000,53367000,50155000,52529000,54359000,59327000,65263000,63252000,64755000,79230000,78076000,78129000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3050000,3485000,2975000,2635000,2126000,14000,-66000,-126000,-92000
70,Total Liabilities & Equity,66700000,66400000,62310000,59967000,51646000,49054000,43540000,43588000,45951000,47849000,48713000,47757000,47337000,53367000,50155000,55579000,57844000,62302000,67898000,65378000,64769000,79164000,77950000,78037000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061069/000119312504051725/0001193125-04-051725-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312505065174/0001193125-05-065174-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312506058954/0001193125-06-058954-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312507059373/0001193125-07-059373-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312508061656/0001193125-08-061656-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312509059700/0001193125-09-059700-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312510060608/0001193125-10-060608-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312511064059/0001193125-11-064059-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774912002363/0001437749-12-002363-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774913002939/0001437749-13-002939-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774914005016/0001437749-14-005016-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774915004919/0001437749-15-004919-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774916027847/0001437749-16-027847-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774917004731/0001437749-17-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774918004696/0001437749-18-004696-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774919004948/0001437749-19-004948-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774920004979/0001437749-20-004979-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774921005722/0001437749-21-005722-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774922005883/0001437749-22-005883-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-600000,1200000,-2433000,-3330000,-5838000,-3644000,-2655000,390000,1327000,1458000,738000,-774000,-543000,776000,-326000,438000,-1080000,-712000,-69000,-307000,-1144000,-455000,14000,1971000
74,Depreciation and Amortization,2600000,3000000,3265000,3129000,2558000,2070000,895000,985000,1035000,1099000,1546000,1688000,1684000,1663000,1635000,1636000,2155000,2560000,2816000,2996000,2877000,2522000,2909000,3112000
75,Deferred Income Tax,-600000,100000,-276000,-1197000,142000,- -,- -,- -,- -,-19000,-6000,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,197000,233000,118000,80000,56000,29000,12000,6000,6000,6000,5000
77,Change in Working Capital,-1200000,-2100000,-5171000,-7342000,-602000,-6440000,2500000,1785000,2084000,-8453000,-260000,711000,878000,1429000,93000,1425000,-5535000,-3361000,-399000,-439000,-494000,-2721000,1488000,-505000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1716000,2117000,-1122000,-4710000,3591000,-975000,1395000,-914000,-1885000,857000,-2333000,155000,3225000,-1225000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132000,117000,57000,-77000,30000,7000,-97000,-195000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182000,288000,54000,4470000,-2966000,86000,-2566000,1323000,1240000,-1557000,1966000,675000,-2769000,796000
81,Other Working Capital,29000000,26900000,21729000,14387000,13785000,7345000,9845000,11630000,13714000,5261000,5001000,5712000,6590000,8019000,8112000,9537000,4002000,641000,242000,-197000,-691000,-3412000,-1924000,167000
82,Other Non-Cash Items,1400000,-200000,5355000,11894000,2335000,11092000,302000,-710000,-3163000,8543000,-1507000,1377000,-2048000,-1267000,353000,-2359000,4434000,3348000,210000,-1014000,1812000,3797000,-1846000,-2220000
83,Cash Provided by Operating Activities,1600000,2000000,740000,3154000,-1405000,3078000,1042000,2450000,1283000,2628000,511000,3019000,91000,2798000,1988000,1258000,54000,1891000,2587000,1248000,3057000,3149000,2571000,2363000
84,CAPEX,-2300000,-5900000,-8144000,-1609000,-3285000,-310000,-5154000,-1015000,-2128000,-10783000,-2541000,-219000,-411000,-1414000,-1465000,-2370000,-6790000,-8523000,-2998000,-1789000,-4406000,-7249000,-4549000,-4424000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3122000,- -,- -,- -,-1269000,- -,- -,- -
86,Purchases of Investments,- -,100000,-12426000,-7939000,- -,- -,- -,-4439000,-94000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,11678000,57000,1900000,5838000,4399000,1600000,4557000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,200000,448000,407000,93000,-5882000,3271000,1005000,- -,1000,-2535000,-217000,-387000,-1038000,-1422000,-2345000,-6776000,-8523000,-2998000,-1710000,-1840000,-7114000,-4511000,-4421000
89,Cash Used for Investing Activites,-2200000,-5600000,-8444000,-9084000,-1292000,-354000,2516000,-2849000,2335000,-10782000,-2535000,-217000,-387000,-1038000,-1422000,-2345000,-9898000,-8523000,-2998000,-1710000,-4378000,-7204000,-4511000,-4421000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,-1000,-1000,-1000,-2000,-60000,-55000,-5058000,-9067000,-770000,-788000,-16637000,-1404000,-1445000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,21200000,- -,- -,- -,- -,- -,-3000,-1000,-7000,-11000,- -,- -,- -,- -,- -,3057000,3730000,9175000,9963000,-42000,166000,27415000,2808000,358000
95,Cash Used/Provided by Financing Activities,21100000,- -,- -,- -,- -,- -,-3000,-1000,-7000,-11000,-1000,-1000,-1000,-1000,-2000,2997000,4375000,4117000,896000,-812000,-622000,10778000,1404000,-1087000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-3600000,-7704000,-5930000,-2212000,2727000,4637000,-102000,5492000,-8165000,-2025000,2801000,-297000,1759000,564000,1910000,-5469000,-2515000,485000,-1274000,-1943000,6723000,-536000,-3145000
98,Cash at the End of Period,- -,18700000,11022000,5092000,2595000,4656000,7861000,7759000,13251000,5086000,3061000,5862000,5565000,7324000,7888000,9798000,4329000,1814000,2299000,1025000,1908000,8631000,8095000,4950000
99,Cash at the Beginning of Period,1800000,22300000,18726000,11022000,4807000,1929000,3224000,7861000,7759000,13251000,5086000,3061000,5862000,5565000,7324000,7888000,9798000,4329000,1814000,2299000,3851000,1908000,8631000,8095000
100,Free Cash Flow,-700000,-3900000,-7404000,1545000,-4690000,2768000,-4112000,1435000,-845000,-8155000,-2030000,2800000,-320000,1384000,523000,-1112000,-6736000,-6632000,-411000,-541000,-1349000,-4100000,-1978000,-2061000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1061069/000119312504051725/0001193125-04-051725-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312505065174/0001193125-05-065174-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312506058954/0001193125-06-058954-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312507059373/0001193125-07-059373-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312508061656/0001193125-08-061656-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312509059700/0001193125-09-059700-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312510060608/0001193125-10-060608-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000119312511064059/0001193125-11-064059-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774912002363/0001437749-12-002363-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774913002939/0001437749-13-002939-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774914005016/0001437749-14-005016-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774915004919/0001437749-15-004919-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774916027847/0001437749-16-027847-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774917004731/0001437749-17-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774918004696/0001437749-18-004696-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774919004948/0001437749-19-004948-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774920004979/0001437749-20-004979-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774921005722/0001437749-21-005722-index.htm,https://www.sec.gov/Archives/edgar/data/1061069/000143774922005883/0001437749-22-005883-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
