,https://roic.ai/company/WARM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15,EBITDA,- -,- -,-10000,- -,-10000,-10000,-10000,-6000000,-5120000,-1600000,-2857968,-23554050,-6788260,-4603000,-2282940,-2352260,-1514040,-966714
16,EBITDA ratio,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-600.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,-10000,- -,- -,-12272,- -,- -,-5120000,-52311,-2979152,-23560282,-5049658,-3958220,-2378961,-2259621,-1754938,-985783
18,Operating Income ratio,- -,- -,-Infinity,- -,- -,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,2272,- -,- -,- -,-647689,-60848,-14968,-1889832,3102330,-2692259,-2361269,-1487972,-1737900
20,Income Before Tax,- -,- -,-10000,- -,-10000,-10000,-10000,-6000000,-5120000,-700000,-3040000,-23575250,-6939490,-855890,-5071220,-4620890,-3242910,-2723683
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-600.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-10000,- -,-10000,-10000,-10000,-6000000,-5120000,-700000,-3040000,-23562980,-6923100,-844170,-5059330,-4618390,-3241310,-2722770
24,Net Income ratio,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-600.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,-0.00,- -,-0.00,-0.00,-0.00,-0.28,-0.11,-0.01,-0.07,-0.42,-0.11,-0.01,-0.04,-0.02,-0.01,-0.01
26,EPS Diluted,- -,- -,-0.00,- -,-0.00,-0.00,-0.00,-0.28,-0.11,-0.01,-0.07,-0.42,-0.11,-0.01,-0.04,-0.02,-0.01,-0.01
27,Weighted Average Shares Outstanding,14040000,14040000,14040000,14040000,14040000,17839998,20040000,21170769,45170000,47646411,45327116,56742881,64586781,84894351,130188614,191539568,238714877,401652835
28,Weighted Average Shares Outstanding Diluted,14040000,14040000,14040000,14040000,14040000,17839998,20040000,21170769,45170000,47646411,66316703,56742881,64586781,84894351,130188614,191539568,238714877,401652835
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000109328709000024/0001093287-09-000024-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000109328710000026/0001093287-10-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000110262413000526/0001102624-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793214001519/0001477932-14-001519-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793215002048/0001477932-15-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793216009349/0001477932-16-009349-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793217001799/0001477932-17-001799-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000147793220003139/0001477932-20-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793221002386/0001477932-21-002386-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,30000,20000,10000,- -,80000,190000,480000,171870,10880,62290,173340,24440,15310,33
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,30000,20000,10000,100000,80000,190000,480000,171870,10880,62290,173340,24440,15310,33
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54470,149740,179593
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,610000,950000,380000,- -,57020,95180,- -,10000,12000,5000,- -
37,Total Current Assets,- -,- -,- -,- -,30000,20000,10000,710000,1030000,570000,480000,228890,106060,62290,183340,90910,170050,179626
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118450,97600,71660,45730,64450,76280,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,100000,139800,153430,166400,183490,205970,213190,233942
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,100000,139800,153430,166400,183490,205970,213190,233942
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,100000,258250,251030,238070,229220,270420,289470,233942
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,30000,20000,10000,710000,1030000,640000,580000,487140,357090,300360,412560,361330,459520,413568
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,10000,100000,180000,230000,529740,1278310,1595880,1222780,1288180,1931540,1473513
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,267052,410,- -,- -,40235,697903,825170,659312,2091014,2971232,2938836
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2948,889590,80000,310000,903695,1382157,5899230,1456128,1355676,2088918,2809761
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,280000,990000,260000,540000,1473670,3358370,8320280,3338220,4734870,6991690,7222110
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77080,77800,18310,97010,36820,29330,37581
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12270,-28650,-40380,-52270,-54770,-56360,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64810,49150,-22070,44740,-17950,-27030,37581
59,Other Liabilities,- -,- -,- -,- -,30169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,30169000,- -,- -,280000,990000,260000,540000,1538480,3407520,8298210,3382960,4716920,6964660,7259691
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54636,2727,2727,2727,2727
63,Common Stock,- -,- -,- -,- -,905000,- -,- -,20000,50000,40000,50000,496700,246830,236370,864840,338380,326120,508675
64,Retained Earnings,- -,- -,-10000,-20000,-20000,-40000,-50000,-6040000,-5120000,-5820000,-8860000,-32421150,-39344250,-40188410,-45247740,-49866130,-53107440,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,21258,-854831,58347,55746,6456760,5115809,6158287,8849817,30873112,36046996,31899548,41409768,45169432,47273457,-7243037
67,Total Stockholders Equity,- -,- -,- -,1258,30169,18347,5746,436760,45809,378287,39817,-1051338,-3050424,-7997856,-2970405,-4355591,-5505136,-6731635
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,30199169,20000,10000,716760,1035809,638287,579817,487142,357096,300354,412555,361329,1459524,528056
69,Minority Interest,- -,- -,- -,- -,-30169169,- -,- -,-6760,-5809,1713,183,-2,-6,6,5,1,-1000004,-114488
70,Total Liabilities & Equity,- -,- -,- -,- -,30000,20000,10000,710000,1030000,640000,580000,487140,357090,300360,412560,361330,459520,413568
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000109328709000024/0001093287-09-000024-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000109328710000026/0001093287-10-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000110262413000526/0001102624-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793214001519/0001477932-14-001519-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793215002048/0001477932-15-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793216009349/0001477932-16-009349-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793217001799/0001477932-17-001799-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000147793220003139/0001477932-20-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793221002386/0001477932-21-002386-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-10000,- -,-10000,-10000,-10000,-6000000,-5120000,-700000,-3040000,-23562980,-6923100,-844170,-5059330,-4618390,-3241310,-2722770
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6230,25850,25940,25940,27380,32570,1205709
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,30000,-10000,-10000,420000,-390000,270000,-370000,-1184780,-2007530,-5005680,5103110,-1489080,-2177680,-220844
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54474,95270,-29849
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,9845,- -,195884,79222,299209,748571,317576,-373108,77533,643848,-20993
81,Other Working Capital,- -,- -,- -,- -,30000,20000,10000,430000,40000,310000,-60000,-1244780,-3252310,-8257990,-3154880,-4643960,-6821640,-7042484
82,Other Non-Cash Items,- -,- -,- -,- -,-30000,10000,10000,5460000,5030000,-240000,1680000,20407460,6664730,4499830,-1675450,3677810,4033470,1223332
83,Cash Provided by Operating Activities,- -,- -,-10000,- -,-10000,-10000,-10000,-120000,-480000,-670000,-1730000,-4334070,-2240050,-1324080,-1605730,-2402280,-1352950,-514573
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-50000,-40000,-30000,-30000,-27500,-5000,-12970,-17090,-22490,-51620,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-150000,- -,-29018,-25115,-41103,-13634,-12968,-17086,-22486,-7218,-20750
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-150000,-40000,-29018,-25115,-68603,-18634,-12968,-17086,-22486,-51622,-20750
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12100,- -,- -,- -,- -,- -,128887,-64450
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2047200,4099782,1190020,671500,1171000,259995,- -,109400
92,Common Stock Repurchased,- -,- -,10000,10000,30000,30000,- -,- -,50000,510000,2050000,4099780,1190020,671500,1171000,260000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-5209,4045,450,- -,267052,550000,306000,-2049100,-4102566,-282346,45453,-608128,1755865,1266559,- -
95,Cash Used/Provided by Financing Activities,- -,- -,10000,4791,34045,30450,- -,267052,600000,816000,2036000,4096996,2097694,1388453,1733872,2275860,1395446,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,30000,20000,-10000,- -,80000,120000,280000,-305680,-160990,51410,111050,-148910,-9130,-15273
98,Cash at the End of Period,- -,- -,- -,- -,30000,50000,10000,10000,80000,200000,470000,174320,10880,62290,173340,24430,15310,33
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,30000,20000,10000,- -,80000,190000,480000,171870,10880,62290,173340,24440,15306
100,Free Cash Flow,- -,- -,-10000,- -,-10000,-10000,-10000,-170000,-520000,-700000,-1760000,-4402670,-2258680,-1337050,-1622820,-2424770,-1404570,-514573
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000109328709000024/0001093287-09-000024-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000109328710000026/0001093287-10-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000110262413000526/0001102624-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793214001519/0001477932-14-001519-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793215002048/0001477932-15-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793216009349/0001477932-16-009349-index.html,https://www.sec.gov/Archives/edgar/data/1399352/000147793217001799/0001477932-17-001799-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1399352/000147793220003139/0001477932-20-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1399352/000147793221002386/0001477932-21-002386-index.htm
102,false,,,,,,,,,,,,,,,,,,
