,https://roic.ai/company/COMM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,14525000,-3172735000,-35525000,-63411000,-75952000,-3050612000,-54587000,-166206000,-64305000,-5154900000,-120200000,-136800000
90,Debt Repayment,-197521000,-1597326000,-394356000,-907817000,-1124392000,-619056000,-718914000,-990379000,-550000000,-3061300000,-1282000000,-1282000000
91,Common Stock Issued,- -,1606599000,- -,433958000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-175000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-200000000,-538705000,- -,- -,- -,- -,- -,-43700000,-14300000,-43000000
94,Other Financing Activites,6240000,2634608000,294834000,922895000,1315232000,3222182000,44541000,751760000,140423000,7803600000,912500000,1185500000
95,Cash Used/Provided by Financing Activities,-191281000,2643881000,-299522000,-89669000,190840000,2603126000,-674373000,-413619000,-409577000,4698600000,-383800000,-139500000
96,Effect of Forex Changes on Cash,-5905000,-3283000,-3815000,-2676000,-21305000,-21011000,-11921000,19288000,-16044000,-100000,-8500000,-7600000
97,Net Change In Cash,43626000,-396388000,-52727000,81945000,383001000,-166437000,-134656000,25749000,4218000,140000000,-76300000,-161600000
98,Cash at the End of Period,706066000,317102000,264375000,346320000,729321000,562884000,428228000,453977000,458195000,598200000,521900000,360300000
99,Cash at the Beginning of Period,662440000,713490000,317102000,264375000,346320000,729321000,562884000,428228000,453977000,458200000,598200000,521900000
100,Free Cash Flow,190888000,96957000,258178000,200921000,252483000,245559000,537911000,517565000,411797000,492300000,315000000,-9100000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517228/000119312514060685/0001193125-14-060685-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312515054437/0001193125-15-054437-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312516468563/0001193125-16-468563-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459017002042/0001564590-17-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459018002108/0001564590-18-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459019003497/0001564590-19-003497-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459020005564/0001564590-20-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459021006126/0001564590-21-006126-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000095017022001374/0000950170-22-001374-index.htm
102,false,,,,,,,,,,,,
