,https://roic.ai/company/CLSH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-892,-1784,-2674,-546408,-868200,- -
66,Other Total Stockholders Equity,- -,- -,271,925114,2693775,7103570,17938975,71759528,72306123,77627095
67,Total Stockholders Equity,- -,-2836,-30488,-588473,-1430968,-1886538,-627780,25037554,-5395548,-15096820
68,Total Liabilities And Stockholders Equity,- -,- -,- -,292779,255256,131940,2105272,46503317,15267301,11596781
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,292779,255256,131940,2105272,46503317,15267301,11596781
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1522222/000118518514002351/0001185185-14-002351-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518515002316/0001185185-15-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518516005361/0001185185-16-005361-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518517001877/0001185185-17-001877-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518518001595/0001185185-18-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518519001214/0001185185-19-001214-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518520001268/0001185185-20-001268-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518521001218/0001185185-21-001218-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-30000,-1515590,-2610300,-4865720,-9577480,-27619060,-30657973,-15890514
74,Depreciation and Amortization,- -,- -,- -,5556,1288,1324,1322,288351,449192,685292
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,37500,327500,- -,794607,- -,- -,- -
77,Change in Working Capital,- -,-12836,-27652,-604587,-609383,-502300,-888016,8387797,306569,-7203514
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-128134,-106230,-539324
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-340880,171591,-652810
80,Accounts Payable,- -,- -,11382,- -,- -,- -,300421,-484609,-74319,435742
81,Other Working Capital,- -,-2836,-30488,-635075,-1244458,-1746758,-2634774,5753023,6059592,-1143922
82,Other Non-Cash Items,- -,12656,42992,1283350,1739468,4184391,8244269,8778370,26739247,19873577
83,Cash Provided by Operating Activities,- -,-180,-14660,-793771,-1151427,-1182305,-1425298,-10164542,-3162965,-2535159
84,CAPEX,- -,- -,- -,-2158,-109400,-35013,- -,-1037262,-1945368,-269437
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-5982710,- -,- -
86,Purchases of Investments,- -,- -,- -,-795250,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2158,- -,- -,-2050000,-5150000,1485248,1544291
89,Cash Used for Investing Activites,- -,- -,- -,-797408,-109400,-35013,-2050000,-12169972,-438090,1274854
90,Debt Repayment,- -,- -,-14,- -,- -,-390166,-837794,-1097637,-3999168,- -
91,Common Stock Issued,- -,- -,- -,1000000,- -,- -,1460917,15535978,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,175,14674,800000,1140250,1597550,2826829,18369000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,175,14660,1800000,1140250,1207384,3449952,32807341,-3999168,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-120577,-9934,-25346,10472827,-7600223,-1260305
98,Cash at the End of Period,- -,- -,- -,208821,88244,78310,52964,10525791,2925568,1665263
99,Cash at the Beginning of Period,- -,5,- -,- -,208821,88244,78310,52964,10525791,2925568
100,Free Cash Flow,- -,-180,-14660,-795929,-1260827,-1217318,-1425298,-11201804,-5108333,-2804596
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1522222/000118518514002351/0001185185-14-002351-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518515002316/0001185185-15-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518516005361/0001185185-16-005361-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518517001877/0001185185-17-001877-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518518001595/0001185185-18-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518519001214/0001185185-19-001214-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518520001268/0001185185-20-001268-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518521001218/0001185185-21-001218-index.htm
102,false,,,,,,,,,,
