,https://roic.ai/company/RLGY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-32.75,-12.38,-2.85,-14.41,2.99,0.97,1.24,1.46,3.11,1.09,-1.65,-3.13,2.91
27,Weighted Average Shares Outstanding,8000000,8000000,81000000,37700000,145400000,146000000,146500000,144500000,136700000,124000000,114200000,115200000,116600000
28,Weighted Average Shares Outstanding Diluted,8000000,8000000,81000000,3770000000,146600000,147200000,148100000,145800000,138400000,125300000,114200000,115200000,120300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398987/000135500112000073/0001355001-12-000073-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1398987/000139898714000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898715000014/r10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898716000164/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898717000015/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898718000017/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898719000019/realogy10-k.htm,https://www.sec.gov/Archives/edgar/data/1355001/000139898720000010/0001398987-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1398987/000139898721000038/0001398987-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898722000022/0001398987-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,255000000,192000000,143000000,376000000,236000000,313000000,415000000,274000000,227000000,225000000,235000000,520000000,735000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,255000000,192000000,143000000,376000000,236000000,313000000,415000000,274000000,227000000,225000000,235000000,520000000,735000000
34,Net Receivables,436000000,500000000,498000000,446000000,391000000,413000000,420000000,396000000,376000000,377000000,79000000,267000000,262000000
35,Inventory,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,183000000,206000000,165000000,147000000,290000000,300000000,126000000,148000000,186000000,166000000,897000000,157000000,191000000
37,Total Current Assets,874000000,898000000,806000000,978000000,917000000,1026000000,961000000,818000000,789000000,768000000,1211000000,944000000,1188000000
38,PP&E,211000000,186000000,165000000,188000000,205000000,233000000,254000000,- -,289000000,304000000,515000000,450000000,453000000
39,Goodwill,2577000000,2611000000,3299000000,3304000000,3335000000,3477000000,3618000000,3690000000,3710000000,3712000000,3300000000,2910000000,2923000000
40,Intangible Assets,4161000000,4119000000,2868000000,2760000000,2659000000,2572000000,2489000000,2422000000,2327000000,2230000000,1905000000,1961000000,1879000000
41,Intangible Assets,6738000000,6730000000,6167000000,6064000000,5994000000,6049000000,6107000000,6112000000,6037000000,5942000000,5205000000,4871000000,4802000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,218000000,215000000,212000000,215000000,210000000,230000000,209000000,491000000,222000000,276000000,612000000,669000000,767000000
45,Total Non-Current Assets,7167000000,7131000000,6544000000,6467000000,6409000000,6512000000,6570000000,6603000000,6548000000,6522000000,6332000000,5990000000,6022000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8041000000,8029000000,7350000000,7445000000,7326000000,7538000000,7531000000,7421000000,7337000000,7290000000,7543000000,6934000000,7210000000
48,Accounts Payable,96000000,203000000,184000000,148000000,123000000,128000000,139000000,140000000,156000000,147000000,84000000,128000000,130000000
49,Short-Term Debt,- -,- -,325000000,371000000,271000000,288000000,987000000,447000000,321000000,979000000,234000000,310000000,256000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,64000000,76000000,76000000,69000000,73000000,73000000,73000000,69000000,68000000,59000000,43000000,111000000,- -
52,Other Current Liabilities,1280000000,1078000000,851000000,427000000,444000000,389000000,406000000,394000000,410000000,342000000,785000000,476000000,666000000
53,Total Current Liabilities,1440000000,1357000000,1436000000,1015000000,911000000,878000000,1605000000,1050000000,955000000,1527000000,1146000000,1025000000,1052000000
54,Long-Term Debt,6674000000,6698000000,6825000000,4256000000,3886000000,3891000000,2962000000,3265000000,3221000000,2800000000,3211000000,3575000000,3357000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,760000000,883000000,421000000,444000000,337000000,350000000,267000000,389000000,327000000,389000000,390000000,276000000,353000000
57,Other Non-Current Liabilities,148000000,163000000,167000000,211000000,179000000,236000000,275000000,248000000,212000000,259000000,700000000,291000000,256000000
58,Total Non-Current Liabilities,7582000000,7744000000,7413000000,4911000000,4402000000,4477000000,3504000000,3902000000,3760000000,3448000000,4301000000,4142000000,3966000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,327000000,- -,- -,- -,- -,- -,- -,- -,602000000,572000000,545000000
61,Total Liabilities,9022000000,9101000000,8849000000,5926000000,5313000000,5355000000,5109000000,4952000000,4715000000,4975000000,5447000000,5167000000,5018000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000000,2000000,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,-2971000000,-3070000000,-3502000000,-4045000000,-3607000000,-3464000000,-3280000000,-3062000000,-2631000000,-2507000000,-2695000000,-3055000000,-2712000000
65,Other Comprehensive Income/Loss,-255000000,-314000000,-32000000,-31000000,-19000000,-35000000,-36000000,-40000000,-37000000,-52000000,-56000000,-59000000,-50000000
66,Other Total Stockholders Equity,2241000000,2308000000,2033000000,- -,5635000000,5677000000,5733000000,5565000000,5285000000,4869000000,4842000000,4876000000,4947000000
67,Total Stockholders Equity,-983000000,-1074000000,-1501000000,1516000000,2010000000,2179000000,2418000000,2464000000,2618000000,2311000000,2092000000,1763000000,2186000000
68,Total Liabilities And Stockholders Equity,8039000000,8027000000,7348000000,7442000000,7323000000,7534000000,7527000000,7416000000,7333000000,7286000000,7539000000,6930000000,7204000000
69,Minority Interest,2000000,2000000,2000000,3000000,3000000,4000000,4000000,5000000,4000000,4000000,4000000,4000000,6000000
70,Total Liabilities & Equity,8041000000,8029000000,7350000000,7445000000,7326000000,7538000000,7531000000,7421000000,7337000000,7290000000,7543000000,6934000000,7210000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398987/000135500112000073/0001355001-12-000073-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1398987/000139898714000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898715000014/r10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898716000164/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898717000015/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898718000017/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898719000019/realogy10-k.htm,https://www.sec.gov/Archives/edgar/data/1355001/000139898720000010/0001398987-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1398987/000139898721000038/0001398987-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898722000022/0001398987-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-262000000,-99000000,-441000000,-543000000,438000000,143000000,184000000,213000000,431000000,137000000,-188000000,-360000000,343000000
74,Depreciation and Amortization,194000000,197000000,186000000,173000000,176000000,190000000,201000000,202000000,198000000,195000000,169000000,186000000,204000000
75,Deferred Income Tax,-59000000,131000000,18000000,36000000,-249000000,77000000,96000000,124000000,-63000000,71000000,-34000000,-114000000,72000000
76,Stock Based Compensation,- -,- -,- -,- -,61000000,42000000,57000000,57000000,52000000,40000000,28000000,39000000,29000000
77,Change in Working Capital,501000000,-171000000,593000000,43000000,142000000,-792000000,412000000,66000000,-593000000,824000000,-146000000,217000000,11000000
78,Accounts Receivable,40000000,-9000000,-6000000,-1000000,- -,4000000,-27000000,-10000000,-1000000,7000000,5000000,-4000000,4000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-128000000,-14000000,-53000000,28000000,-15000000,9000000,-71000000,- -,- -,17000000
81,Other Working Capital,-459000000,-630000000,-37000000,6000000,148000000,-644000000,-232000000,-166000000,-759000000,65000000,-81000000,136000000,- -
82,Other Non-Cash Items,-33000000,-176000000,-548000000,188000000,-76000000,763000000,-406000000,-75000000,642000000,-873000000,542000000,780000000,-16000000
83,Cash Provided by Operating Activities,341000000,-118000000,-192000000,-103000000,492000000,423000000,544000000,587000000,667000000,394000000,371000000,748000000,643000000
84,CAPEX,-40000000,-49000000,-49000000,-54000000,-62000000,-71000000,-84000000,-87000000,-99000000,-105000000,-108000000,-95000000,-101000000
85,Acquisitions Net,-5000000,-17000000,-6000000,-3000000,-32000000,-215000000,-127000000,-95000000,-62000000,3000000,-13000000,-5000000,-50000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2000000,-4000000,6000000,-9000000,-8000000,-12000000,2000000,-8000000,15000000,11000000,-7000000,10000000,4000000
89,Cash Used for Investing Activites,-47000000,-70000000,-49000000,-66000000,-102000000,-298000000,-209000000,-190000000,-146000000,-91000000,-128000000,-90000000,-147000000
90,Debt Repayment,-957000000,-5000000,-1005000000,-1660000000,-1055000000,-748000000,-829000000,-1339000000,-183000000,-29000000,-643000000,-783000000,-1567000000
91,Common Stock Issued,- -,- -,- -,1176000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-195000000,-280000000,-402000000,-20000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-26000000,-49000000,-45000000,-31000000,- -,- -
94,Other Financing Activites,478000000,129000000,1197000000,885000000,525000000,702000000,598000000,1025000000,-58000000,179000000,479000000,381000000,1292000000
95,Cash Used/Provided by Financing Activities,-479000000,124000000,192000000,401000000,-530000000,-46000000,-231000000,-535000000,-570000000,-297000000,-215000000,-402000000,-275000000
96,Effect of Forex Changes on Cash,3000000,1000000,- -,1000000,- -,-2000000,-2000000,-3000000,2000000,-2000000,- -,1000000,-1000000
97,Net Change In Cash,-182000000,-63000000,-49000000,233000000,-140000000,77000000,102000000,-141000000,-47000000,4000000,-3000000,257000000,220000000
98,Cash at the End of Period,255000000,192000000,143000000,376000000,236000000,313000000,415000000,274000000,234000000,238000000,235000000,523000000,743000000
99,Cash at the Beginning of Period,437000000,255000000,192000000,143000000,376000000,236000000,313000000,415000000,281000000,234000000,238000000,266000000,523000000
100,Free Cash Flow,301000000,-167000000,-241000000,-157000000,430000000,352000000,460000000,500000000,568000000,289000000,263000000,653000000,542000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398987/000135500112000073/0001355001-12-000073-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1398987/000139898714000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898715000014/r10k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898716000164/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898717000015/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898718000017/r10-k.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898719000019/realogy10-k.htm,https://www.sec.gov/Archives/edgar/data/1355001/000139898720000010/0001398987-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1398987/000139898721000038/0001398987-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898722000022/0001398987-22-000022-index.htm
102,false,,,,,,,,,,,,,
