,https://roic.ai/company/GDOT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,17335000,37163000,42232000,52083000,47219000,34040000,42693000,38415000,41600000,85887000,118703000,99897000,23131000,47480000
24,Net Income ratio,- -,0.1031,0.1583,0.1161,0.1114,0.0864,0.0593,0.0710,0.0553,0.0579,0.0965,0.1139,0.0901,0.0184,0.0331
25,EPS,- -,0.28,0.63,1.12,1.24,1.10,0.78,0.92,0.73,0.82,1.70,2.27,1.91,0.43,0.88
26,EPS Diluted,- -,0.11,0.25,0.52,1.19,1.07,0.76,0.90,0.72,0.80,1.61,2.18,1.88,0.42,0.86
27,Weighted Average Shares Outstanding,- -,12955000,12955000,24569000,22238000,34487000,35875000,40907000,51332000,49535000,50482000,52222000,52195000,52438000,54221000
28,Weighted Average Shares Outstanding Diluted,- -,32219000,32219000,52578000,42065000,35921000,37156000,41770000,51875000,50797000,53198000,54481000,53138000,53685000,55415000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386278/000138627812000029/0001386278-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627813000015/0001386278-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627814000030/0001386278-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627815000022/0001386278-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627816000079/0001386278-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627817000023/0001386278-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627818000013/0001386278-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627819000012/0001386278-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627820000020/0001386278-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627821000008/0001386278-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627822000007/0001386278-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,39285000,56303000,167503000,223033000,296591000,423621000,724638000,772129000,732676000,919243000,1094728000,1063426000,1491842000,1322319000
32,Short-Term Investments,- -,- -,- -,- -,23047000,115244000,116159000,46650000,49106000,46686000,11889000,19960000,10020000,970969000,- -
33,Cash and Short-Term Investments,- -,39285000,56303000,167503000,246080000,411835000,539780000,771288000,821235000,779362000,931132000,1114688000,1073446000,2462811000,1322319000
34,Net Receivables,- -,15168000,34609000,48416000,44678000,47827000,61957000,65194000,36966000,36012000,26542000,30138000,34145000,46331000,81755000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,27591000,54465000,33974000,46267000,70557000,64336000,174701000,117090000,198062000,363531000,231128000,334401000,-95719000,405078000
37,Total Current Assets,- -,82044000,145377000,249893000,337025000,530219000,666073000,1011183000,975291000,1013436000,1321205000,1375954000,1441992000,2413423000,1809152000
38,PP&E,- -,7096000,11973000,18034000,27281000,58376000,60473000,77284000,78877000,82621000,97282000,120269000,171849000,146534000,146308000
39,Goodwill,- -,- -,- -,- -,10817000,27250000,27250000,144662000,208079000,208355000,301790000,301790000,301790000,301790000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,3554000,3426000,272538000,265700000,242696000,280587000,249326000,219204000,189988000,- -
41,Intangible Assets,- -,- -,- -,- -,10817000,30804000,30676000,417200000,473779000,451051000,582377000,551116000,520994000,491778000,466943000
42,Investments,- -,- -,- -,- -,10563000,68543000,82585000,73781000,132433000,161740000,141620000,181223000,267419000,970969000,2115501000
43,Tax Assets,- -,- -,- -,- -,- -,4629000,3362000,6268000,3864000,4648000,6507000,7867000,9037000,12739000,15048000
44,Other Non-Current Assets,- -,8106000,25758000,17831000,40173000,33157000,32305000,37924000,27204000,26848000,48540000,50689000,49299000,79824000,172525000
45,Total Non-Current Assets,- -,15202000,37731000,35865000,88834000,195509000,209401000,612457000,716157000,726908000,876326000,911164000,1018598000,1701844000,2916325000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,97246000,183108000,285758000,425859000,725728000,875474000,1623640000,1691448000,1740344000,2197531000,2287118000,2460590000,4115267000,4725477000
48,Accounts Payable,- -,28042000,33199000,17625000,15441000,31411000,34940000,36444000,37186000,22856000,34863000,38631000,37876000,34823000,51353000
49,Short-Term Debt,- -,- -,- -,- -,- -,50724000,49930000,23724000,22033000,22177000,22277000,60386000,44144000,8410000,6918000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,67000,3948000,12146000,291000
51,Deferred Revenue,- -,8351000,15048000,17214000,21500000,19557000,24517000,24418000,22901000,25005000,30875000,34607000,28355000,141718000,168806000
52,Other Current Liabilities,- -,26805000,56485000,76669000,124713000,277715000,329462000,751069000,806154000,890760000,1247961000,1203710000,1369759000,2892621000,3415987000
53,Total Current Liabilities,- -,63198000,104732000,111508000,161654000,379407000,438849000,835655000,888274000,960798000,1335976000,1337334000,1480134000,3077572000,3643064000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,127500000,100686000,79720000,58705000,- -,- -,- -,8209000
55,Deferred Revenue,- -,169000,97000,44000,19000,- -,300000,200000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2024000,4154000,5338000,4751000,- -,- -,- -,1272000,3763000,7780000,9045000,17772000,7192000,- -
57,Other Non-Current Liabilities,- -,27387000,2761000,3737000,6239000,18557000,34076000,31295000,37894000,12330000,30520000,30927000,35328000,20671000,3531000
58,Total Non-Current Liabilities,- -,29580000,7012000,9119000,11009000,18557000,34376000,158995000,139852000,95813000,97005000,39972000,53100000,27863000,11740000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33209000,24571000,15127000
61,Total Liabilities,- -,92778000,111744000,120627000,172663000,397964000,473225000,994650000,1028126000,1056611000,1432981000,1377306000,1533234000,3105435000,3654804000
62,Preferred Stock,- -,18345000,31322000,- -,7000,7000,7000,2000,2000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12000,13000,40000,35000,35000,38000,51000,51000,51000,51000,53000,52000,54000,55000
64,Retained Earnings,- -,-12247000,27426000,69658000,121741000,168960000,203000000,245693000,284108000,325708000,410440000,529143000,629040000,651890000,699370000
65,Other Comprehensive Income/Loss,- -,-11614000,- -,- -,30000,106000,-47000,-52000,-215000,-181000,-730000,-137000,2040000,3428000,-29807000
66,Other Total Stockholders Equity,- -,9972000,12603000,95433000,131383000,158656000,199251000,383296000,379376000,358155000,354789000,380753000,296224000,354460000,- -
67,Total Stockholders Equity,- -,4468000,71364000,165131000,253196000,327764000,402249000,628990000,663322000,683733000,764550000,909812000,927356000,1009832000,1070673000
68,Total Liabilities And Stockholders Equity,- -,97246000,183108000,285758000,425859000,725728000,875474000,1623640000,1691448000,1740344000,2197531000,2287118000,2460590000,4115267000,4725477000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,97246000,183108000,285758000,425859000,725728000,875474000,1623640000,1691448000,1740344000,2197531000,2287118000,2460590000,4115267000,4725477000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386278/000138627812000029/0001386278-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627813000015/0001386278-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627814000030/0001386278-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627815000022/0001386278-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627816000079/0001386278-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627817000023/0001386278-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627818000013/0001386278-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627819000012/0001386278-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627820000020/0001386278-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627821000008/0001386278-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627822000007/0001386278-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,17335000,37163000,42232000,52083000,47219000,34040000,42693000,38415000,41600000,85887000,118703000,99897000,23131000,47480000
74,Depreciation and Amortization,- -,4407000,4593000,7588000,12330000,18131000,27099000,36984000,61714000,62481000,64580000,71342000,82105000,86124000,84799000
75,Deferred Income Tax,- -,40000,-1731000,-704000,251000,5792000,5464000,463000,-406000,1270000,2780000,-234000,6876000,-15003000,2722000
76,Stock Based Compensation,- -,1240000,2468000,20625000,26861000,20985000,23425000,29261000,29531000,28321000,40734000,50093000,29583000,53694000,51419000
77,Change in Working Capital,- -,-3677000,23350000,97740000,36986000,-24559000,76412000,-51696000,-88511000,-34379000,-67409000,53391000,-76762000,-626007000,-69815000
78,Accounts Receivable,- -,-24717000,-29853000,-51754000,-70510000,-66099000,-48175000,-30453000,-54450000,-74851000,-68368000,-85455000,-105052000,-16177000,-32468000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,31475000,26915000,925000,13179000,-19156000,27982000,12471000,-8145000,- -,-5308000
81,Other Working Capital,- -,17295000,40645000,138385000,175371000,150812000,227224000,175528000,87017000,52638000,-14771000,38620000,-38142000,-664149000,-18368000
82,Other Non-Cash Items,- -,15661000,-30546000,-83978000,-34460000,34460000,-43932000,11270000,115977000,12227000,91738000,-42244000,48215000,687239000,45928000
83,Cash Provided by Operating Activities,- -,35006000,35297000,83503000,94051000,102028000,122508000,68975000,156720000,111520000,218310000,251051000,189914000,209178000,162533000
84,CAPEX,- -,-5120000,-6361000,-13459000,-23076000,-40441000,-35742000,-39338000,-47837000,-43273000,-44142000,-61030000,-78214000,-59035000,-57432000
85,Acquisitions Net,- -,- -,- -,- -,5085000,-31823000,- -,-226964000,-65209000,- -,-141498000,- -,- -,-35000000,-35000000
86,Purchases of Investments,- -,- -,- -,- -,-45056000,-271869000,-274072000,-212446000,-195132000,-135920000,-58665000,-186884000,-189066000,-994428000,-1450599000
87,Sales/Maturities of Investments,- -,- -,- -,- -,20152000,119037000,258104000,289690000,132388000,106974000,111648000,138834000,115886000,306618000,203781000
88,Other Investing Activites,- -,-43000,-13039000,10246000,-7546000,14776000,-1686000,1712000,72000,-6072000,-91273000,-5887000,-2459000,-3987000,-29237000
89,Cash Used for Investing Activites,- -,-5163000,-19400000,-3213000,-50441000,-210320000,-53396000,-187346000,-175718000,-78291000,-223930000,-114967000,-153853000,-785832000,-1368487000
90,Debt Repayment,- -,-79407000,-12404000,- -,- -,- -,- -,- -,-52501000,-167500000,-377500000,-22500000,-60000000,-135000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-39770000,- -,- -,- -,- -,- -,-40986000,-59013000,-51969000,- -,-100000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,76143000,23556000,30910000,14320000,179450000,57918000,419388000,159976000,153831000,621656000,-28461000,94875000,1142201000,1034893000
95,Cash Used/Provided by Financing Activities,- -,-3264000,-28618000,30910000,14320000,179450000,57918000,419388000,66489000,-72682000,192187000,-50961000,-65125000,1007201000,1034893000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,26579000,-12721000,111200000,57930000,71158000,127030000,301017000,47491000,-39453000,186567000,85123000,-29064000,430547000,-171061000
98,Cash at the End of Period,- -,39285000,26564000,167503000,225433000,296591000,423621000,724638000,772129000,732676000,919243000,1095218000,1066154000,1496701000,1325640000
99,Cash at the Beginning of Period,- -,12706000,39285000,56303000,167503000,225433000,296591000,423621000,724638000,772129000,732676000,1010095000,1095218000,1066154000,1496701000
100,Free Cash Flow,- -,29886000,28936000,70044000,70975000,61587000,86766000,29637000,108883000,68247000,174168000,190021000,111700000,150143000,105101000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386278/000138627812000029/0001386278-12-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627813000015/0001386278-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627814000030/0001386278-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627815000022/0001386278-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627816000079/0001386278-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627817000023/0001386278-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627818000013/0001386278-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627819000012/0001386278-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627820000020/0001386278-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627821000008/0001386278-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1386278/000138627822000007/0001386278-22-000007-index.htm
102,false,,,,,,,,,,,,,,,
