,https://roic.ai/company/UXIN,2017,2018,2019,2020,2021
82,Other Non-Cash Items,857882000,-1177898000,620314000,- -,-644886000
83,Cash Provided by Operating Activities,-1834243000,-2281333000,-1194101000,- -,-1122308000
84,CAPEX,-81211000,-133907000,-46820000,- -,-413000
85,Acquisitions Net,-3575000,-66339000,- -,- -,430072000
86,Purchases of Investments,-152723000,-784528000,- -,- -,- -
87,Sales/Maturities of Investments,101166000,- -,694822000,- -,- -
88,Other Investing Activites,-1361876000,-489643000,-1132256000,- -,13357000
89,Cash Used for Investing Activites,-1498219000,-1474417000,-484254000,- -,443016000
90,Debt Repayment,-204068000,-1183797000,-1925476000,- -,-41094000
91,Common Stock Issued,- -,2574010000,- -,- -,169499000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,3492910000,2883839000,1999106000,- -,1912000
95,Cash Used/Provided by Financing Activities,3288842000,4274052000,73630000,- -,130317000
96,Effect of Forex Changes on Cash,3334000,-9278000,960000,- -,-14741000
97,Net Change In Cash,-40286000,509024000,-627514000,- -,-563716000
98,Cash at the End of Period,291973000,800997000,1185188000,- -,233719000
99,Cash at the Beginning of Period,332259000,291973000,1812702000,- -,797435000
100,Free Cash Flow,-1915454000,-2415240000,-1240921000,- -,-1122721000
101,SEC Link,- -,- -,- -,undefined,- -
102,Forex Rate,0.1537,0.1453,0.1436,undefined,0.1526
