,https://roic.ai/company/MLKN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,153700000,178600000,209100000,237900000,258500000,307800000,280600000,286300000,308600000,377000000,388500000,436700000,481200000,507400000,574800000,519700000,520200000,358900000,344100000,366900000,416600000,447800000,447000000,376500000,358200000,411800000,447600000,489100000,630200000,615300000,662700000,660900000,689800000,716200000,717300000,715900000
11,COGS and Expenses,460000000,505300000,640900000,724100000,782300000,839600000,777700000,811900000,891500000,1042100000,1192500000,1350700000,1510200000,1541900000,1703300000,2000200000,1548600000,1271800000,1266800000,1392700000,1579000000,1720800000,1760400000,1478800000,1248500000,1522900000,1581100000,1658800000,1881200000,1966100000,2053400000,2074900000,2198000000,2353500000,2293200000,2231800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1000000,400000,400000,600000,800000,2200000,4400000,2100000,2300000,2100000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25600000,21700000,19900000,17500000,17200000,17600000,17500000,15400000,15200000,13500000,12100000,12500000,13900000
14,Depreciation and Amortization,16900000,19300000,21500000,23000000,28000000,32800000,30500000,31600000,33200000,39700000,45000000,48000000,50700000,62100000,77100000,92600000,112900000,- -,59300000,46900000,41600000,41200000,43200000,41700000,42600000,39100000,37200000,37500000,42400000,49800000,53000000,58900000,66900000,72100000,79500000,87200000
15,EBITDA,83400000,82600000,91100000,89300000,103000000,66000000,18800000,74000000,96700000,43700000,115100000,173900000,260200000,292000000,298900000,321200000,21900000,35800000,110400000,159600000,188500000,228200000,273700000,166300000,99100000,161500000,174200000,151800000,16700000,212000000,264600000,253100000,250900000,284300000,88900000,322100000
16,EBITDA ratio,0.1569,0.1440,0.1277,0.1126,0.1191,0.0751,0.0234,0.0865,0.1014,0.0403,0.0896,0.1163,0.1514,0.1653,0.1542,0.1436,0.0149,0.0268,0.0825,0.1053,0.1085,0.1189,0.1360,0.1020,0.0751,0.0979,0.1010,0.0855,0.0089,0.0990,0.1168,0.1111,0.1054,0.1107,0.0358,0.1307
17,Operating Income,71600000,68200000,72700000,69200000,82700000,39100000,27000000,43800000,61700000,41000000,91400000,145200000,208400000,224300000,234700000,236000000,-79900000,64700000,71500000,122900000,158200000,198100000,251700000,151200000,70300000,126300000,143000000,114900000,-25700000,163400000,211500000,190800000,177500000,203500000,-38400000,230600000
18,Operating Income ratio,0.1347,0.1189,0.1019,0.0872,0.0956,0.0445,0.0336,0.0512,0.0647,0.0379,0.0712,0.0971,0.1213,0.1270,0.1211,0.1055,-0.0544,0.0484,0.0534,0.0811,0.0911,0.1032,0.1251,0.0928,0.0533,0.0766,0.0829,0.0647,-0.0137,0.0763,0.0934,0.0838,0.0745,0.0793,-0.0154,0.0935
19,Total Other Income Expenses (Gains),-5100000,-4900000,-3100000,-2900000,-7700000,-5900000,-28000000,-1400000,1800000,-37000000,-21300000,-19300000,1100000,5600000,-12900000,-10900000,-11100000,-28900000,-19900000,-10100000,-10600000,-11100000,-21300000,-52300000,-35500000,-23800000,-23500000,-17700000,-17700000,-18200000,-14900000,-13200000,-9400000,-8400000,25000000,-4200000
20,Income Before Tax,66500000,63300000,69600000,66300000,75000000,33200000,-1000000,42400000,63500000,4000000,70100000,125900000,209500000,229900000,221800000,225100000,-91000000,35800000,51600000,112800000,147600000,187000000,230400000,98900000,34800000,102500000,119500000,97200000,-43400000,145200000,196600000,177600000,168100000,195100000,-13400000,226400000
21,Income Before Tax Ratio,0.1251,0.1104,0.0975,0.0836,0.0867,0.0378,-0.0012,0.0496,0.0666,0.0037,0.0546,0.0842,0.1219,0.1302,0.1144,0.1007,-0.0620,0.0268,0.0386,0.0744,0.0850,0.0975,0.1145,0.0607,0.0264,0.0622,0.0693,0.0548,-0.0231,0.0678,0.0868,0.0780,0.0706,0.0760,-0.0054,0.0918
22,Income Tax expense (Gain),28700000,30000000,25000000,24900000,28400000,19100000,2500000,20300000,23100000,-300000,24200000,51500000,81200000,88100000,82100000,81000000,-35000000,12500000,8800000,44700000,47700000,57900000,78200000,31000000,6500000,31700000,44300000,28900000,-21200000,47200000,59500000,55100000,42400000,39600000,6000000,47900000
23,Net Income,37800000,33300000,44600000,41400000,46600000,14100000,-14200000,22100000,40400000,4300000,45900000,74400000,128300000,141800000,139700000,147600000,-56000000,23300000,42300000,68000000,99200000,129100000,152300000,68000000,28300000,70800000,75200000,68200000,-22100000,97500000,136700000,123900000,128100000,160500000,-9100000,173100000
24,Net Income ratio,0.0711,0.0581,0.0625,0.0522,0.0539,0.0160,-0.0176,0.0258,0.0424,0.0040,0.0358,0.0497,0.0747,0.0803,0.0721,0.0660,-0.0381,0.0174,0.0316,0.0449,0.0571,0.0673,0.0757,0.0417,0.0215,0.0429,0.0436,0.0384,-0.0117,0.0455,0.0604,0.0544,0.0538,0.0625,-0.0037,0.0702
25,EPS,0.39,0.34,0.46,0.45,0.46,0.14,-0.15,0.22,0.40,0.05,0.46,0.78,1.42,1.69,1.76,1.83,-0.74,0.31,0.58,0.97,1.46,2.01,2.58,1.26,0.51,1.24,1.29,1.17,-0.37,1.64,2.29,2.07,2.15,2.72,-0.15,2.94
26,EPS Diluted,0.39,0.34,0.46,0.44,0.45,0.14,-0.15,0.22,0.40,0.04,0.46,0.78,1.39,1.67,1.74,1.81,-0.74,0.31,0.58,0.96,1.45,1.98,2.56,1.25,0.43,1.06,1.29,1.16,-0.37,1.62,2.26,2.05,2.12,2.70,-0.15,2.92
27,Weighted Average Shares Outstanding,96923077,97941176,96956522,92000000,101304348,100714286,100652000,100454545,101000000,86000000,99782609,96000000,90352113,83905325,7952026,76663746,75873160,75161290,72567476,70174618,67861900,64318034,59109284,54138570,55997781,57118777,58171472,58425522,58955487,59475297,59844540,59871805,59681268,59011945,58920653,58771821
28,Weighted Average Shares Outstanding Diluted,96923077,97941176,96956522,94090909,103555556,100714286,100652000,100454545,101000000,107500000,99782609,97916667,92302158,84910180,80531283,77647311,75873160,75161290,73072907,70829027,68501139,65061270,59584916,54535491,57490368,57675120,58456876,58844514,58955487,60126101,60529269,60554589,60311305,59381791,58920653,58771821
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66382/000006638221000033/0000066382-21-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185500000,189200000,154400000,106800000,76400000,155400000,192900000,134800000,148600000,172200000,82700000,101500000,63700000,84900000,96200000,203900000,159200000,454000000,396400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,10700000,13900000,15200000,15900000,15700000,11300000,12100000,11000000,9600000,10800000,11100000,5700000,7500000,8600000,8600000,8800000,7000000,7700000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197000000,199900000,168300000,122000000,92300000,171100000,204200000,146900000,159600000,181800000,93500000,112600000,69400000,92400000,104800000,212500000,168000000,461000000,404100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125600000,142400000,169800000,173200000,188100000,209000000,148900000,144700000,193100000,159700000,178400000,204300000,189600000,211000000,186600000,219300000,252300000,199500000,221100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,38100000,46700000,47100000,56000000,55100000,37300000,57900000,66200000,59300000,76200000,78400000,129600000,128200000,152400000,162400000,184200000,197300000,213600000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59500000,50200000,49400000,47900000,48300000,58000000,60500000,45200000,59200000,54500000,51200000,56500000,74900000,48900000,48100000,51200000,56800000,59300000,52700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413500000,430600000,434200000,390200000,384700000,493200000,450900000,394700000,478100000,455300000,399300000,451800000,463500000,480500000,491900000,645400000,661300000,917100000,891500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245700000,208500000,195400000,203300000,196600000,196300000,179200000,175200000,169100000,156000000,184100000,195200000,249500000,280100000,314600000,331400000,348600000,524700000,541900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,39100000,40200000,69500000,132600000,133600000,144700000,227000000,228200000,303100000,305300000,304500000,304100000,303800000,346000000,364200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45400000,45000000,39100000,7500000,9400000,- -,- -,25000000,24300000,70400000,110300000,85100000,137500000,136000000,123500000,119400000,119200000,205200000,202800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45400000,45000000,39100000,46600000,48500000,40200000,69500000,157600000,157900000,215100000,337300000,313300000,440600000,441300000,428000000,423500000,423000000,551200000,567000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,7300000,- -,4800000,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,23300000,36800000,23100000,33200000,53500000,67700000,43100000,9300000,11000000,25800000,30600000,34600000,33300000,71800000,79200000,136400000,60900000,61500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000000,284100000,271300000,277800000,281500000,290000000,316400000,375900000,336300000,382100000,547200000,539100000,724700000,754700000,814400000,834100000,908000000,1136800000,1170400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767500000,714700000,705500000,668000000,666200000,783200000,767300000,770600000,814400000,837400000,946500000,990900000,1188200000,1235200000,1306300000,1479500000,1569300000,2053900000,2061900000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73900000,90400000,106600000,112300000,110500000,117900000,79100000,96300000,112700000,115800000,130100000,136900000,164700000,165600000,148400000,171400000,177700000,128800000,178400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,14500000,13000000,3000000,3000000,- -,75000000,104300000,6400000,- -,- -,50000000,- -,- -,- -,- -,- -,51400000,2200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,- -,- -,- -,- -,- -,16500000,- -,32000000,35400000,33200000,30400000,30700000,39800000,43100000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149700000,132400000,165300000,184100000,157700000,192600000,129100000,112400000,153100000,136200000,143400000,169200000,154200000,189000000,204100000,212000000,237700000,293300000,277100000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237200000,237300000,284900000,299400000,284500000,310500000,283200000,313000000,272200000,252000000,290000000,356100000,350900000,390000000,385700000,413800000,446100000,513300000,500800000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209400000,192700000,181000000,175800000,173200000,375500000,302400000,201200000,250000000,250000000,250000000,200000000,290000000,221900000,199900000,275000000,281900000,718700000,471800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129900000,90100000,69000000,54200000,52900000,73800000,173700000,176300000,87200000,87100000,87000000,62700000,119200000,98600000,133000000,125900000,122100000,178900000,239700000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339300000,282800000,250000000,230000000,226100000,449300000,476100000,377500000,337200000,337100000,337000000,262700000,409200000,320500000,332900000,400900000,404000000,897600000,711500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178800000,196900000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576500000,520100000,534900000,529400000,510600000,759800000,759300000,690500000,609400000,589100000,627000000,618800000,760100000,710500000,718600000,814700000,850100000,1410900000,1212300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,14400000,13900000,13200000,12600000,11100000,10800000,11400000,11600000,11700000,11700000,11900000,11900000,12000000,11900000,11700000,11700000,11800000,11800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250500000,246100000,227300000,192200000,197800000,76700000,129200000,152400000,218200000,288200000,331100000,277400000,338000000,435300000,519500000,598300000,712700000,683900000,808400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74100000,-65900000,-70700000,-67000000,-55100000,-64400000,-134100000,-136200000,-104200000,-140600000,-126200000,-39600000,-57400000,-65600000,-83200000,-62000000,-95000000,-134300000,-65300000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,52500000,79400000,89000000,102900000,122400000,135100000,142700000,139300000,116600000,89800000,81600000,94700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191000000,194600000,170500000,138400000,155300000,23400000,8000000,80100000,205000000,248300000,319500000,372100000,427600000,524400000,587500000,664600000,719200000,643000000,849600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767500000,714700000,705400000,667800000,665900000,783200000,767300000,770600000,814400000,837400000,946500000,990900000,1187700000,1234900000,1306100000,1479300000,1569300000,2053900000,2061900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,300000,- -,- -,- -,- -,- -,- -,- -,500000,300000,200000,200000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,767500000,714700000,705500000,668000000,666200000,783200000,767300000,770600000,814400000,837400000,946500000,990900000,1188200000,1235200000,1306300000,1479500000,1569300000,2053900000,2061900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66382/000006638221000033/0000066382-21-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,46600000,14100000,-14200000,22100000,40400000,4300000,45900000,74400000,128300000,141800000,139700000,147600000,-56000000,23300000,42300000,68000000,99200000,129100000,152300000,68000000,28300000,70800000,75200000,68200000,-22100000,97500000,136700000,123900000,128100000,160500000,-9100000,173100000
74,Depreciation and Amortization,- -,- -,- -,- -,28000000,32800000,30500000,31600000,33200000,39700000,45000000,48000000,50700000,62100000,77100000,92600000,112900000,- -,59300000,46900000,41600000,41200000,43200000,41700000,42600000,39100000,37200000,37500000,42400000,49800000,53000000,58900000,66900000,72100000,79500000,87200000
75,Deferred Income Tax,- -,- -,- -,- -,-2600000,-100000,-12300000,3200000,-1600000,-17800000,7300000,-17200000,-6600000,13500000,2000000,1300000,-10300000,- -,27500000,7300000,400000,3200000,-10600000,3100000,-1500000,24200000,14500000,-16600000,-52800000,-8800000,10400000,14800000,-800000,800000,-25200000,6700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,4400000,4800000,6000000,8100000,11000000,10000000,11900000,8700000,7700000,7300000,2700000,9000000
77,Change in Working Capital,- -,- -,- -,- -,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176300000,17000000,-44000000,-58500000,9400000,82500000,-15000000,-86000000,124200000,-2600000,-94000000,-13600000,16900000,-22100000,15700000,125400000,-16400000,188600000,-13100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53500000,9000000,-48500000,17500000,-7700000,-26700000,7800000,-30500000,17300000,-33100000,-24800000,68600000,-14800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,-9200000,11000000,11100000,5200000,15200000,-14800000,-2000000,16300000,- -,-4500000,-8900000,-8700000,-9000000,2600000,15300000,-7100000,-8300000,200000,-4600000,-2200000,-9000000,-6000000,-29900000,-12400000,-31900000,6000000,-8500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37800000,13900000,16400000,4800000,6000000,2600000,1100000,8700000,-11200000,16000000,500000,-59500000,43200000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176300000,193300000,149300000,90800000,100200000,182700000,167700000,81700000,205900000,203300000,109300000,95700000,112600000,90500000,106200000,231600000,215200000,403800000,390700000
82,Other Non-Cash Items,- -,- -,- -,- -,8300000,39600000,73000000,25700000,-2200000,3700000,26300000,113000000,96300000,-11800000,-16700000,-29700000,8000000,-54900000,-63400000,31100000,67700000,-45200000,-53800000,-9400000,111300000,-172000000,-40200000,133300000,125200000,2300000,20500000,-19900000,-160800000,-7900000,-14700000,69400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,81700000,86400000,77000000,82600000,69800000,29900000,124500000,218200000,268700000,205600000,202100000,211800000,54600000,144700000,82700000,109300000,150400000,137700000,213600000,91700000,99100000,91100000,90100000,136500000,90100000,167700000,210400000,202100000,166500000,216400000,221800000,332300000
84,CAPEX,- -,- -,- -,- -,-33600000,-32500000,-32000000,-43400000,-40300000,-63400000,-54400000,-54500000,-73600000,-108100000,-135700000,-105000000,-52400000,-29000000,-26700000,-34900000,-50800000,-41300000,-40500000,-25300000,-22300000,-30500000,-28500000,-50200000,-40800000,-63600000,-85100000,-87300000,-70600000,-90600000,-69000000,-59800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-700000,2100000,-3500000,-11700000,-29500000,-46100000,- -,-47100000,-157500000,-6700000,-154000000,-3600000,-13100000,- -,-73600000,-114500000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38900000,-4500000,-9000000,-18700000,-11600000,-11500000,-11900000,-63300000,-22800000,-3100000,-7100000,-3700000,-5200000,- -,-7800000,-2000000,-1000000,-1900000,-3100000,-5900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42300000,4200000,9300000,15200000,9800000,11000000,12100000,88200000,16400000,4400000,22300000,2500000,4900000,5300000,6100000,900000,1000000,1700000,5000000,5300000
88,Other Investing Activites,- -,- -,- -,- -,-3100000,-1200000,1600000,-9200000,-18900000,-34300000,9900000,-14400000,7500000,17500000,-15200000,5600000,23200000,22000000,4700000,-1000000,2900000,7900000,1000000,-24900000,-25100000,-32700000,-26500000,-51000000,-41200000,-64900000,-75500000,-102100000,-62700000,-91200000,-55500000,-59300000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-36700000,-33700000,-30400000,-52600000,-59200000,-97700000,-44500000,-68900000,-66100000,-90600000,-150900000,-99400000,-25800000,-7300000,-21900000,-40100000,-47600000,-37400000,-51000000,-29500000,-77600000,-31400000,-58400000,-209700000,-48200000,-213600000,-80800000,-116300000,-62700000,-165000000,-168100000,-59900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000000,-103000000,- -,-2400000,- -,-756700000,-868800000,-816400000,-265400000,- -,- -,-315000000
91,Common Stock Issued,- -,- -,- -,- -,2700000,2800000,2600000,5700000,12100000,5400000,12200000,12000000,18500000,13500000,15400000,20900000,11900000,3900000,27400000,59900000,37000000,50400000,6500000,3400000,2500000,8600000,6400000,7200000,20800000,7800000,9200000,11700000,17000000,12300000,15600000,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,-2000000,-4700000,-10400000,-8200000,-25400000,-700000,-25100000,-98000000,-202000000,-167500000,-90100000,-94200000,-19300000,-61900000,-62000000,-131600000,-155100000,-164900000,-266700000,-300000,-800000,-1000000,-2700000,-3600000,-12700000,-3700000,-14100000,-23700000,-46500000,-47900000,-26600000,-900000
93,Dividends Paid,- -,- -,- -,- -,-12600000,-13300000,-13100000,-13000000,-13100000,-12900000,-13000000,-12500000,-13500000,-12300000,-11500000,-11100000,-11000000,-10800000,-10600000,-20400000,-20300000,-20700000,-21200000,-19200000,-4900000,-5000000,-5200000,-19100000,-30300000,-33300000,-34900000,-39400000,-42400000,-45600000,-36400000,-34500000
