,https://roic.ai/company/PINE,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-59404024,-5186372,- -,-113875000,-195992000
89,Cash Used for Investing Activites,-59404024,-5186372,- -,-113875000,-195992000
90,Debt Repayment,-7300000,- -,- -,-8691000,-162431000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-5014000,- -
93,Dividends Paid,- -,- -,- -,-7203000,-12164000
94,Other Financing Activites,61005587,-438133,- -,114941000,360990000
95,Cash Used/Provided by Financing Activities,53705587,-438133,- -,94033000,186395000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-417600,1358,- -,-10448000,7603000
98,Cash at the End of Period,6900,8258,- -,1894000,9497000
99,Cash at the Beginning of Period,424500,6900,- -,12342000,1894000
100,Free Cash Flow,5280837,5625863,- -,9394000,-206207000
101,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1786117/000155837021001062/0001558370-21-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1786117/000155837022001014/0001558370-22-001014-index.htm
102,false,,,,,
