,https://roic.ai/company/VERI,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.4459,-3.0276,-4.1352,-2.2592,-1.2504,-0.8296,-0.6122
25,EPS,-0.92,-3.98,-6.20,-3.48,-2.85,-1.73,-2.56
26,EPS Diluted,-0.92,-3.98,-6.20,-3.48,-2.85,-1.73,-2.56
27,Weighted Average Shares Outstanding,6784411,6784411,10332593,17572938,21797714,27594911,27594911
28,Weighted Average Shares Outstanding Diluted,6784411,6784411,10332593,17572938,21797714,27594911,27594911
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1615165/000119312518077593/0001193125-18-077593-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459019008261/0001564590-19-008261-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459020010119/0001564590-20-010119-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459021011303/0001564590-21-011303-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459022010802/0001564590-22-010802-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,19197000,12078000,29545000,37539000,44065000,114817000,254722000
32,Short-Term Investments,- -,- -,39598000,13565000,- -,- -,- -
33,Cash and Short-Term Investments,19197000,12078000,69143000,51104000,44065000,114817000,254722000
34,Net Receivables,7311000,8218000,11854000,31837000,31638000,35031000,112243000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,766000,1071000,2808000,3579000,5409000,6719000,12117000
37,Total Current Assets,27274000,21367000,83805000,86520000,81112000,156567000,379082000
38,PP&E,52000,68000,680000,4008000,3214000,2354000,1556000
39,Goodwill,- -,- -,- -,5509000,6904000,6904000,34058000
40,Intangible Assets,940000,321000,3154000,20480000,16126000,10744000,88247000
41,Intangible Assets,940000,321000,3154000,25989000,23030000,17648000,122305000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,592000,919000,1237000,1170000,1085000,1809000
45,Total Non-Current Assets,992000,981000,4753000,31234000,27414000,21087000,125670000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28266000,22348000,88558000,117754000,108526000,177654000,504752000
48,Accounts Payable,21192000,12321000,13338000,28714000,16996000,15632000,46711000
49,Short-Term Debt,- -,13388000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4846000,1841000,3477000,9639000,19193000,6496000,10561000
52,Other Current Liabilities,1632000,16951000,10441000,17732000,23547000,66120000,134004000
53,Total Current Liabilities,27670000,44501000,27256000,56085000,59736000,88248000,191276000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,195082000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,20174000,23372000,- -,1386000,1379000,1196000,37815000
58,Total Non-Current Liabilities,20174000,23372000,- -,1386000,1379000,1196000,232897000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,47844000,67873000,27256000,57471000,61115000,89444000,424173000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,4000,16000,19000,26000,32000,- -
64,Retained Earnings,-15053000,-45236000,-109307000,-170411000,-232489000,-280365000,- -
65,Other Comprehensive Income/Loss,-76000,-108000,-135000,1000,46000,66000,-104000
66,Other Total Stockholders Equity,-4451000,-185000,170728000,230674000,279828000,368477000,- -
67,Total Stockholders Equity,-19578000,-45525000,61302000,60283000,47411000,88210000,80579000
68,Total Liabilities And Stockholders Equity,28266000,22348000,88558000,117754000,108526000,177654000,504752000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28266000,22348000,88558000,117754000,108526000,177654000,504752000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1615165/000119312518077593/0001193125-18-077593-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459019008261/0001564590-19-008261-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459020010119/0001564590-20-010119-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459021011303/0001564590-21-011303-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459022010802/0001564590-22-010802-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-6210000,-26979000,-59601000,-61104000,-62078000,-47876000,-70593000
74,Depreciation and Amortization,57000,151000,253000,3701000,5947000,6407000,9035000
75,Deferred Income Tax,- -,- -,- -,- -,-1489000,- -,- -
76,Stock Based Compensation,127000,1730000,16089000,15493000,20657000,19539000,40065000
77,Change in Working Capital,7929000,-22738000,79683000,-26114000,-9059000,46943000,7125000
78,Accounts Receivable,-2770000,1257000,-2964000,-15531000,7739000,4393000,-47225000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8480000,-9188000,1017000,13148000,-11718000,-1382000,17896000
81,Other Working Capital,-396000,-23134000,56549000,30435000,21376000,68319000,4065000
82,Other Non-Cash Items,500000,21081000,-68335000,25797000,15905000,-23580000,21602000
83,Cash Provided by Operating Activities,2403000,-26755000,-31911000,-42227000,-30117000,1433000,7234000
84,CAPEX,-494000,-37000,-4477000,-4288000,-770000,-175000,-1016000
85,Acquisitions Net,- -,- -,- -,-5783000,-883000,- -,-52827000
86,Purchases of Investments,- -,- -,-39850000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,26000000,13614000,- -,- -
88,Other Investing Activites,-494000,-137000,-3698000,-570000,-770000,-119000,-1016000
89,Cash Used for Investing Activites,-494000,-137000,-44327000,15929000,11961000,-119000,-53843000
90,Debt Repayment,- -,- -,- -,- -,- -,-6491000,- -
91,Common Stock Issued,- -,- -,56468000,32770000,23851000,66278000,- -
92,Common Stock Repurchased,-1459000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,19773000,37237000,1522000,764000,9651000,186514000
95,Cash Used/Provided by Financing Activities,-1459000,19773000,93705000,34292000,24615000,69438000,186514000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,450000,-7119000,17467000,7994000,6459000,70752000,139905000
98,Cash at the End of Period,19197000,12078000,29545000,37539000,45235000,115672000,255577000
99,Cash at the Beginning of Period,18747000,19197000,12078000,29545000,38776000,44920000,115672000
100,Free Cash Flow,1909000,-26792000,-36388000,-46515000,-30887000,1258000,6218000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1615165/000119312518077593/0001193125-18-077593-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459019008261/0001564590-19-008261-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459020010119/0001564590-20-010119-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459021011303/0001564590-21-011303-index.htm,https://www.sec.gov/Archives/edgar/data/1615165/000156459022010802/0001564590-22-010802-index.htm
102,false,,,,,,,
