,https://roic.ai/company/MFH,2012,2013,2014,2015,2016,2017,2018,2019,2020
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,20999239,28690785,22703718,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,29024229,54296563,22116816,21118660,13026640,11139881,12474272,836550,692495
53,Total Current Liabilities,67296592,96424582,67500288,24949880,15227090,22805570,20289200,836550,708495
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,90048,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,46197571,83839419,186619205,13142910,10420760,9786400,6921860,- -,- -
58,Total Non-Current Liabilities,46287619,83839419,186619205,13142910,10420760,9786400,6921860,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,113584211,180264001,254119493,38092790,25647850,32591970,27211060,836550,708495
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3039,3039,3039,14450,14760,14770,14770,21100,29805
64,Retained Earnings,-129033247,-161205591,-233140944,-326711130,-352004280,-513903260,-637143040,-638368340,-640019614
65,Other Comprehensive Income/Loss,-2464099,-4388835,-5292254,1000000,-33000000,-17000000,-19000000,1000000,- -
66,Other Total Stockholders Equity,44900822,8702678,4610761,630377970,633386732,634438349,633941993,645381981,650242412
67,Total Stockholders Equity,-86593485,-156888709,-233819398,304681290,248397212,103549859,-22186277,8034741,10252603
68,Total Liabilities And Stockholders Equity,26990726,23375292,20300095,342774080,274045062,136141829,5024783,8871291,10961098
69,Minority Interest,- -,- -,43244,- -,-2,1,-3,-1,- -
70,Total Liabilities & Equity,26990726,23375292,20343339,342774080,274045060,136141830,5024780,8871290,10961098
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-39010476,-32172344,-43856347,-93570190,-25293150,-161898980,-123239790,-1225300,-1651273
74,Depreciation and Amortization,2768122,2352797,1864739,4949040,8900190,8626840,1508860,- -,- -
75,Deferred Income Tax,- -,- -,- -,-1249700,-2233460,-6857180,-2098410,- -,- -
76,Stock Based Compensation,1939326,909904,5762384,- -,- -,- -,- -,- -,286132
77,Change in Working Capital,17722593,-3334558,3680089,3030562,10324978,1584400,3128022,-1400428,-65879
78,Accounts Receivable,718795,-643796,446314,- -,2103160,-1650580,3119700,-1471880,835533
79,Inventory,- -,- -,- -,- -,-129740,-314510,-47100,- -,- -
80,Accounts Payable,3123431,-4272818,9650054,- -,1630770,-1780380,3438100,- -,- -
81,Other Working Capital,5532262,6880109,-5611868,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,1933718,3490885,589075,53308988,2475052,148671170,116370128,1981108,835344
83,Cash Provided by Operating Activities,-14646717,-28753316,-31960060,-33531300,-5826390,-9873750,-4331190,-644620,-595676
84,CAPEX,-1151470,-646953,-590333,-93320,-1860320,-741080,-13060,- -,- -
85,Acquisitions Net,- -,- -,- -,-10000000,- -,- -,- -,1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4143452,2712282,3799,-1803002,-720150,- -,- -,-411661,-10148
89,Cash Used for Investing Activites,2991982,2065329,-586534,-11896319,-2580471,-741079,-13064,588339,-10148
90,Debt Repayment,-6145896,-3477692,-1651880,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,300000
92,Common Stock Repurchased,- -,- -,- -,55294600,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17943836,26213752,35419851,-411722,- -,12642573,1686123,- -,- -
95,Cash Used/Provided by Financing Activities,11797940,22736060,33767971,54882878,- -,12642573,1686123,- -,300000
96,Effect of Forex Changes on Cash,-226935,123858,5490,50468,-140157,279538,-1897366,134820,45396
97,Net Change In Cash,-83730,-3828069,1226867,9505730,-8547010,2307280,-4555500,78540,-260428
98,Cash at the End of Period,4247374,419305,1646172,9505730,2604890,4912170,356670,435210,174783
99,Cash at the Beginning of Period,4331104,4247374,419305,- -,11151900,2604890,4912170,356670,435211
100,Free Cash Flow,-15798187,-29400269,-32550393,-33624620,-7686710,-10614830,-4344250,-644620,-595676
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,
